SMILES,Tanimoto,drug_id,cluster
C[C@H]1Oc2cccc3c2C[C@H](N3)[C@@H]2CCC(C2)N=C2CC(=CC[C@H]1N)NN2,0.496,JAK1_450,314
CCC[C@H](CC)CC=C(C(=O)O)C1=C(C)NC(=N)[C@H]1Cl,0.3939,JAK1_80,554
CN1C(=O)CC[C@@H](CC(C=CC2C=NC(=O)C(C=O)=C2)N=CF)C1=O,0.3457,JAK1_445,316
CN[C@H]1C=NNC(=S)[C@H]1N[C@@H](C)CCC(=O)O,0.261,JAK1_841,54
CCCC=C[C@H](O[C@H]1CCC2N=CCC=C21)C(C)C,0.2683,JAK1_821,69
CC[C@H](Nc1c(C)n[nH]c(=N)c1N)c1ccccc1C,0.4389,JAK1_200,477
C[C@H]1N=C[C@@H]2N[C@H]1CCCC[C@H](CC(=O)O)C1N=CN=C3NNC(O2)C3=N1,0.4704,JAK1_28,586
CCC[C@H](CO)CC[C@H](CO)c1ccc(N)c(O)c1,0.3172,JAK1_233,450
CCN(C=CC[C@H](C)N)C1=NCNCC(CN)=C1,0.2367,JAK1_692,157
C[C@H]1[C@H]2CC(=O)N[C@H]2CN1C(=O)[C@H](O)C[C@H]1C(=N)NC(=N)N=C1Cl,0.4438,JAK1_541,254
CC(N)=C1CC(NC2=NC(c3ccncc3)C(CN)C=C2)=C(C)C=N1,0.4337,JAK1_553,245
CC[C@H](C[C@@H]1CCN1)N1C=C2C=NNN=C2C(=N)CC1,0.3408,JAK1_261,431
CC[C@@H]1CCC[C@H](C(C)N2C(C)[C@@H](C)C(=O)N(O)[C@@H]2CC)C1,0.3422,JAK1_843,52
CCN1C[C@@H](C2=C(C=N)C(=N)N=CC2)CCC1=O,0.3341,JAK1_715,137
CC=C[C@@H](C)N[C@H](C)C[C@H](C(C)=O)[C@@H](C)CC,0.2262,JAK1_489,292
O=C(CCCO)NC1=CC=Nc2ncnc(OCC3CCCC3)c2N1,0.4321,JAK1_164,502
O[C@H]1[C@H]2CC(F)O[C@@H]2[C@@H](CC2C=NC3OCNCC[C@H]3C2)O[C@@]12CCNC2,0.4216,JAK1_401,342
N=C1NNC(=O)CC[C@H]1[C@@H]1CCC[C@@H](F)C1=CN,0.2754,JAK1_270,426
C[C@H](Cc1ccccc1)N[C@H]1CC2C(=N)NCN2C1,0.3254,JAK1_260,432
COC1=NC=CC(NC2[C@@H](O)[C@H](O)C[C@@]2(O)CO)C=C1,0.3294,JAK1_353,376
CNCCCN[C@@H](C1=CC(=N)N=C(C)C1)[C@@H]1C[C@H](O)CCO1,0.3684,JAK1_804,79
C[C@@H]1CCC[C@H]2OCc3cncc(n3)C(=N)N=C[C@@H]([C@H](C)[C@H](C)[PH](N)(O)O)C[C@@](C)(O)O[C@@H]2C1,0.441,JAK1_319,398
CCC[C@@H](CCCC1=C(C=N)C=NC(=N)C1C)CNC,0.2444,JAK1_861,40
N=C1CCC(NS(O)(O)CCCCCF)=C1O,0.2518,JAK1_642,189
CC(C)c1[nH][nH]c2c3ccc4ccc(O)cc4c3c(F)c1-2,0.4783,JAK1_877,27
COC1=C(O)C[C@H](CCc2cc(C)ncc2C)C1,0.2806,JAK1_276,422
CO[C@H]1CO[C@H](C2=NC[C@@H]3C(=N)C(=N)CN23)C1,0.4221,JAK1_223,460
CC[C@@H]1CCC(=O)NCOc2nc(ccnc2=N)CCC(=O)N1,0.3542,JAK1_676,166
COCCCC[C@H](CC(=O)O)Cc1cc[nH]c(=N)c1,0.2474,JAK1_13,596
CC1=C(O)[C@H](C)N=C([C@H]2CC(=O)C[C@]3(O)C[C@@H](N)CC(C)[C@@H]23)C1=CCCCN,0.4316,JAK1_725,128
CC[C@H](OCC1CC(F)=NC(=O)C1=N)[C@@H]1C[C@@H](C)CN1,0.3316,JAK1_549,249
