SMILES,Tanimoto,drug_id,cluster
CCC[C@@H](CCCCCC(=O)O)O[C@H](C=CC[C@@H](C)OCC)CCC,0.191,KDM1A_273,259
CCC(=O)NC[C@@H](C=CCC=CC#CC1=C[C@H](Cl)C=C2[C@@H]1OC(=O)N2CC[C@H]1CCOC1)CC,0.4792,KDM1A_296,241
CC1=CCO[C@H]2[C@@H]1[C@H](C[C@@H](C[C@H]1CC[C@@H](C)C1)[C@@H]1C(Cl)=C[C@](F)(N=C(C)C)C=C1C(=O)O)C[C@@H]2C,0.4272,KDM1A_124,385
C=CN(C[C@H]1CCCC[C@@H]1[C@@H]([C@H](CCCN)C(Cl)=COC)N(O)OCC=C=C[C@H](O)CC)OCC,0.3058,KDM1A_480,84
C#CC[C@@]1(O)C=C[C@H](CC(C)C)C=C(C=C)C[C@](O)(NC(C)(C)CO)NC2=C[C@@H](C)[C@H](CN1)[C@@H](OC)C2,0.4322,KDM1A_315,225
CCCC[C@H](C)CCCN(CC)C(=O)N(C(=O)CCC)c1cccc(C)c1,0.4855,KDM1A_185,332
CC[C@@H](C)[C@H]([C@@H](O)CCC[C@H](O)CO)[C@@](O)(CCCOC(C)C)[C@H]1C[C@@H](O)[C@](C)(O)C1,0.188,KDM1A_230,295
CC(C)C[C@@H](O)CCCCCNC1=CC(=C2C=C(C[C@H](O)[C@H]3CCOC3)CC=C2O)[C@H](C)C=C1,0.3227,KDM1A_224,301
CCCc1ccc(Cl)c(O[C@H]2CC(CCO)C[C@@H]2[C@@H](CCCCCCN)C[C@H]2CCC(=CCNCNCCO)C2)c1,0.383,KDM1A_388,164
CC[C@@H](C)CC1C=C[C@H](NC(=NC(C)C)[C@@H]([C@@H](CC)CCO)[C@H](C)O)C(O)=C1,0.3159,KDM1A_539,33
CO[C@H](C)C[C@@H](C)[C@H]1C[C@@H](CC[C@@H]2CCC[C@@H]2C)[C@H](C)C[C@](C)([C@@H](C)CCCC(=O)O)C1,0.1634,KDM1A_513,55
CCCCCCC(=C=C1CC(=O)C[C@@H](C)C1)C(C)=C=C1C[C@H](C)CC[C@@H]1C,0.1716,KDM1A_347,196
CCc1cc(Cl)cc([C@@H](OC(=O)CCCCO)C2(C(O)=C[C@H](C)O)CCCCCC2)c1,0.4171,KDM1A_255,273
CC[C@@H](O)[C@H]1CC(OCS)=C(O)CC1=C=C(CCNCO)C(C)C,0.2939,KDM1A_189,328
COc1ccc([C@@H](C)[C@@H](C)[C@@H]2C[C@@H](C)CC[C@@H]2[C@@H](C[C@H](C)CCC[C@@H](C)C[C@@H]2CCCCO2)[C@H](C)CC(C)=O)cc1,0.3633,KDM1A_441,117
CCC(=O)Nc1ccc(C2=CCC(OC)=C[C@H]2C2C=C3C=C(C)C=CC3C=CC2)cn1,0.4443,KDM1A_515,53
CC[C@@H](C)CCO[C@H](CNC(C)C)N(CC)C(C=CSCCCO)CO,0.2429,KDM1A_561,17
CCCC[C@@](Cl)(CC)[C@H]1C=C[C@@H](NC(=O)O)C(C(=O)C2CC3=C(CCC3)C2)=C1,0.3276,KDM1A_549,26
CCOC(=O)[C@@]1(C)[C@@H]2CCCC[C@@H](CCN)CC[C@H](CC)C[C@H](O[C@@H]1C=C[C@H](O)CC)[C@H]([C@H](O)C(C)C)[C@H]2C,0.2912,KDM1A_392,160
