SMILES,Tanimoto,drug_id,cluster
CC(C)CCC=C(S)C(NCO)c1ccc(Cl)c(OO)c1,0.3151,NR4A1_448,58
CC=C(C)CC[C@H](CC(O)=C[C@H](F)CCCCCCCC(C)O)OC(C)CO,0.1748,NR4A1_470,36
CCOCC1C=CC([C@H](O)[C@H](CCCO)[C@H](O)C2C=CC(F)(F)C=C2)C([C@@H](O)CO)=C1,0.2606,NR4A1_317,188
CCCCN(CO)CCCC[C@@H](CC[C@](C)(O)CF)C(=O)Nc1cc(Cl)ccc1C(O)F,0.3172,NR4A1_161,341
CCCC#CC(=C=C1CCCC1)C(O)=C=C(C1CO[C@@H](C#N)C1)N(O)O,0.279,NR4A1_478,28
COCC=C[C@@H](CCOSC1C[C@H]([C@H](O)CN)NN1C(C)(C)C(C)C)C(O)F,0.3271,NR4A1_307,198
CC1CSC(=C(O)C(O)C=C2C=C(O[C@@H](C)C[C@H](C)O)C(NC[C@H](C)N)=CC2)C1,0.3191,NR4A1_487,19
CCC#C[C@H](C=CCN)[C@@H](CC[C@@H](c1ccccc1C)c1ccc(F)cc1O)C(=O)O,0.4091,NR4A1_417,89
CCCCC1S[C@H](C(O)C=C(O)CC[C@@H](C)C(=O)O)C[C@H]1CCO,0.2468,NR4A1_146,356
CCCCCC1=CC(NC(=O)c2ccc(OC)cc2)C=C(O)[C@H]1C,0.3114,NR4A1_175,327
CCCCCC[C@@H](CC[C@@H]1CC[C@H](C)C1)C(=CCCN)C(=O)NCC(=O)COCC,0.2638,NR4A1_205,298
CCN=C1C=C(OCC)C=C(O[C@@H](C)[C@@H](CC2=CC=C(O)CO2)C(=O)O)C1,0.3114,NR4A1_314,191
CCC=C[C@H](CC1=NO[C@H](Cl)C(CCC)=C1)NCC[C@H](C)O,0.2544,NR4A1_244,259
CCCCC(=O)N[C@H]([C@H](O)[C@@H](NCCC)C(=O)N(C)C)[C@H]1C=CCC(OC)=C1O,0.3454,NR4A1_154,348
CC[C@H](C)[C@@H]1NC(=O)[C@@H]([C@@H](O)C#CCOC)c2c1ccc(OC(F)F)c2F,0.4662,NR4A1_506,0
CNC[C@@H](C=CCCF)[C@H](CNC(=O)CC(=O)CC1=CCC=CC1)C(=O)O,0.2601,NR4A1_422,84
COC(C)=C=CCC(Cl)=C=CC(=O)NC(=N)[C@H](O)CCN(C)c1cccnc1,0.2808,NR4A1_450,56
COC(=O)c1cc(CC=C(COC(C)C)C(O)C=O)cc(C(=O)NC(N)=O)c1,0.31,NR4A1_384,122
CC[C@@H]1[C@H](C[C@@H]2CC(C[C@H](C)N=C(C)C)=CC[C@]3(O)[C@@H](CC[C@@H]4CCOC4)CC(=O)N3C2=O)C[C@H]1C,0.3747,NR4A1_112,390
CCCC1C=CC([C@H](S)[C@H](CC=C(C)O)c2cccc(Cl)c2)C(O)=C(O)C1N,0.3732,NR4A1_456,50
COCC(N)[C@H](N)C(O)(O)C[C@H](CC(O)=C(O)[C@@H]1CC2=C1CCCC2)CN(O)CC[C@@H]1CC[C@@H](CC(N)=O)[C@H]1C,0.3514,NR4A1_185,317
CCC[C@H](O)C(=O)NCC[C@@H]1CC[C@H](F)O1,0.1549,NR4A1_400,106
CC[C@@](C)(O)C[C@@H]1C=C2CC(=O)O[C@@H](C(=O)O)[C@@H]2C(O)=C1C=C(O)CO,0.372,NR4A1_269,234
CCCCC[C@H]1CC(=O)O[C@@H]1[C@H](O)CNC(=O)C1CCC[C@H](C)C(O)C1,0.271,NR4A1_388,118
CC[C@H]1C[C@@H](C[C@@H](O)c2ccc(Cl)cc2NC2COC2)[C@H](O)C1,0.3084,NR4A1_316,189
COC(CC1=C(O)CC(F)(F)C1)C(CCc1ccccc1)NC(C)=O,0.3319,NR4A1_397,109
