SMILES,Tanimoto,drug_id,cluster
CCC[C@@H](O)[C@@H](COC1=C(Cl)C(=NCO)NC1)CO[PH](O)(O)OP(O)O,0.3194,P2RX3_4,233
O=C(O)C(O)=CO[C@](O)(COP(O)O[PH](O)(O)O)[C@@H](O)C1C=CC(C(=O)O)C(Cl)=N1,0.4374,P2RX3_129,141
CN(O)C1CC(CCC[C@H](C(=O)O)C(=O)OP(O)O)C(=C2NCCN2)S1,0.3671,P2RX3_87,169
CCCC[C@@H](OCC[PH](O)(O)O)C(N=C1C=CC=NC(=O)C1)=NC(=O)C=C=C[PH](O)(O)O,0.359,P2RX3_229,76
C[C@@H]1C[C@@H](SNC(=NC(O[PH](O)(O)O)O[PH](O)(O)O)C(=O)O)Cc2cc(OO)c(O)cc21,0.4069,P2RX3_291,31
C[C@H]1[C@H](C(=O)c2ccc(F)c(F)c2)CC[C@H](O[PH](O)(O)NC(=O)CO)[C@@]1(F)CO[PH](O)(O)O[PH](O)(O)O,0.4532,P2RX3_247,60
C[C@@H](CO[C@@H]1CC(C(=O)O)CN1)O[C@H](CNC[PH](O)(O)CO)C(=O)CO,0.2899,P2RX3_315,15
Cc1[nH]c(=N)nc2nc([C@H](O)[C@@](C)(S)CC[C@H](C[C@H](C)C(=O)O)OP(O)O[PH](O)(O)O)[nH]c12,0.4691,P2RX3_203,91
C[C@@H](CCCCN(CCSC[PH](O)(O)O)[C@H](F)C=C(O)c1cccc(O)c1)CC(=O)O,0.3022,P2RX3_138,134
CC(C)N(C[C@H]1CCC(C(=O)O)S1)C[C@@H](O)[C@H](N=CCC(=O)O)[C@H](O)C(=O)O[PH](O)(O)O[PH](O)(O)O,0.3838,P2RX3_122,146
Nc1ccc(C(=O)O)cc1N[C@@H](CO)CN[C@H](CC(=O)O)O[PH](O)(O)OOO,0.3468,P2RX3_2,235
C[C@H](O)CC(=O)O[PH](O)(O)O[C@H]1O[C@H](COP(O)O)C[C@H]1N1CCCc2cc(O)c(O)cc2C1,0.4856,P2RX3_46,199
CC1=C(O)[C@@H]([C@H]2C[C@@H](O)N2)[C@H](CCc2cnc(OC[PH](O)(O)O)c(OCO[PH](O)(O)O)c2)C1,0.4871,P2RX3_206,90
COc1cc(N(O)O)cc(N2C[C@@H](C(CO)CO)[C@H](CCO[PH](O)(OC=O)OP(O)O)O2)c1,0.4073,P2RX3_137,135
CCC[C@H](CCCO[PH](O)(O)C[PH](O)(O)O)C1C=CC2C=C(O)C=CC2=N1,0.2979,P2RX3_158,120
C[C@H](C[C@@H]1CC[C@@H](CO)C1)C(=CO)OCCO[C@@H](CO[PH](O)(O)O)O[C@@H](C)[PH](O)(O)OP(O)O,0.2907,P2RX3_215,83
C[C@H]1C(=O)N(C(=O)[C@H](CC[PH](O)(O)O)[C@@H](O)COP(O)O)NC1C#N,0.3554,P2RX3_151,124
O=C(O)CC[C@H](CCC[C@@H](O)[C@H]1Oc2ccc(OO)c(O)c2[C@H]1CO)O[PH](O)(O)O,0.4566,P2RX3_327,4
CNC(=O)[C@H](C)[C@H](O)[C@H]1O[C@H](CC[C@H]2C[C@@H](OP(O)O[PH](O)(O)O)[C@@H](CO[PH](O)(O)O)O2)[C@@H]1OC[C@H](C)c1ccc(O)c(OO)c1,0.441,P2RX3_314,16
CC1C=C(O)CC(=CC[C@@H](C)CC[C@@H](O[PH](O)(O)O)C(=O)O)C1Cl,0.2905,P2RX3_148,127
N=c1ncc(O)cc(N=C[C@@H](COC(=O)O)NCC(=O)O)n1,0.2906,P2RX3_124,144
COC1=CC=C(C(O)(O)[C@@H](C[C@@H]2SC[C@@H]([PH](O)(O)O)CC2O[PH](O)(O)OP(O)O)OC)CNC1,0.4624,P2RX3_49,197
O=Cc1cc2c(cc1O)CC(O)CN([C@H](CC[PH](O)(O)O)CO[PH](O)(O)OP(O)O)C2,0.4328,P2RX3_140,133
CC(=O)[C@H](O[PH](O)(O)PO)[C@@H](O)[C@H](O)[C@@H](O)c1nc2ccc(=O)[nH]c2[nH]1,0.4784,P2RX3_169,114
N=C1N=CN([C@@H](O)C[C@H](CCC(O)(O)CO)[C@@H](O)CCOC(=O)O)C2=C[C@@H](F)C(F)=CC12,0.4919,P2RX3_86,170
N=c1[nH][nH]c2nc(C[C@@H](O)[C@H]3O[C@H](O[PH](O)(O)O)[C@H]3C[PH](O)(O)O)[nH]c12,0.4763,P2RX3_61,189
CC1=NC(=N)N=C2N=C(N3[C@H](O)[C@@H](CO[PH](O)(O)OP(O)O)C[C@@H]3O)C=NC12,0.4571,P2RX3_35,207
O=C(O)C[C@H](COC[C@@H]1C=NC2=C(N(O)O)CNC2=NC1=O)SP(O)O[PH](O)(O)O,0.4553,P2RX3_234,71
CNC(=O)C1C=C(O)C=CC1=NC[C@H](O)C[C@H](CO)CO[PH](O)(O)OP(O)O,0.3434,P2RX3_125,143
C[C@H]1C([PH](O)(O)O[PH](O)(O)O)=C(C(=O)O)C[C@@H]1C[C@H]1CC(=CC(C)(C)C)C=C[C@@H](c2ccc(O)cc2)C1,0.4665,P2RX3_160,119
CC(C)Nc1cc(C(=O)O)c(O)cc1O[C@@H](C(=O)O)[C@H](C[C@H](O)[PH](O)(O)O)C(=O)O,0.4614,P2RX3_273,43
CCOC(=Cc1ccccn1)[C@@H](C=C=C(CCC(=O)O)OC[C@@H](O)CO[PH](O)(O)O[PH](O)(O)O)N(O)O,0.3939,P2RX3_235,70
CC(NC(=O)Nc1cc(CO)cc(Cl)n1)[C@H](O)P(O)O[PH](O)(O)O,0.3585,P2RX3_68,182
CC1=C=CC(=N[C@H](C(=N[C@@H]([C@H](O)CC(=O)NO[PH](O)(O)O)[PH](O)(O)O)NC[C@@H](C)[PH](O)(O)O)C2C=CCC=C2)C=CC(=O)O1,0.4981,P2RX3_111,154
N=c1cc(F)c(=N[C@H](O)[C@H](O)CCOP(O)O[PH](O)(O)O[P@TB7](O)(O)(O)O)nc[nH]1,0.3102,P2RX3_6,231
CP(OC[C@@H]1O[C@H](C2=CCC(C(=O)O)=CC2Cl)C[C@@H]1C(=O)NCC(=O)C(=O)O)O[PH](O)(O)O,0.4816,P2RX3_24,217
CN(Cc1cc(O)ccc1O)C1=CC([PH](O)(O)O)C(O)=C(CC(=O)O)C=C1,0.4179,P2RX3_31,210
CCCC(=O)N[C@H]1C=C[C@@H](CN[C@@H](C[C@@H](C)C[C@@H](O)COC(OP(O)O)OP(O)O)C(=O)CCC(=O)O)C=C1,0.2988,P2RX3_171,112
C[C@@H]([C@@H](CC=C1C(S)=CCC(O)=C1Cl)NC(=O)C[PH](O)(O)O)[PH](O)(O)O,0.3315,P2RX3_150,125
CC1=CC=C(O)C=CC1C=NC(=O)[C@H](S)[C@@H](O)[C@H](CCO[PH](O)(O)O[PH](O)(O)O)CO[PH](O)(O)O,0.3362,P2RX3_185,103
COC(=O)N=C1N=C(N(C)[C@H](CO[P@TB16](O)(O)(O)O)C(=S)CC(=O)O)C=NC1=N,0.4013,P2RX3_308,20
C[C@@H](C(=O)NS(O)(O)O)[C@@H](NCNC[PH](O)(O)O)[C@H](CC1C=CCC=C1)N=C1C=CCC=C1,0.3319,P2RX3_288,33
O=Cc1ccc(C[C@@H](O)C[C@@H](O)[C@H](CCC(=O)O)O[P@TB15](O)(O)(O)O)cc1,0.2336,P2RX3_317,13
O=C(O)CC(=O)O[C@@H](CCCO[PH](O)(O)O)C1=CC(N2CC[C@@H]3C=CC=CC3=C(O)CC2=O)=CC=CC1,0.4668,P2RX3_163,117
CC=C[C@H](C[C@@H]1C[PH](O)(O[P@TB12](O)(O)(O)O)OC[C@H]1C[PH](O)(O)O)C1=CC(=O)NC(=O)C1,0.3789,P2RX3_188,101
O=C1N=CN(CO[C@@H](O)[C@@H](O)COOP(O)O[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)NCC1O,0.2827,P2RX3_262,52
Cc1c(Cl)cc([C@H]2O[C@@H](O)[C@H](O[PH](O)(O)OP(O)OP(O)O)[C@@H]2CO)cc1C(=O)O,0.4602,P2RX3_83,171
