SMILES,Tanimoto,drug_id,cluster
CC(C)OC[C@@H](C[C@H](O)[C@@H](F)NC(=O)c1ccccc1)Oc1cccc(S(N)(O)O)c1,0.3596,RIOK1_863,36
CN1CC=CC(C(=O)O)=C1N[C@H](C[C@@H](O)CO)c1cccc(Cl)c1,0.3646,RIOK1_480,242
CC[C@H]1C2=CC3=C(CC=CC3C=C2)[C@@H](C)CS(O)(O)C2=C[C@@H](C(O)=C(C)[C@H]2C)[C@@H]1O,0.4146,RIOK1_194,389
COC(=O)CNCC[C@@H]1[C@H](CCCC2=C=CC[C@@H](C)C[C@@H]2[C@@H](O)C(O)O)C[C@@H](C)[C@H]1C(C)=O,0.2295,RIOK1_282,341
CCOC(=O)C[C@H](O)C[C@@H]1N[C@@]2(CCCOC2C)C(=O)[C@@H]1OCC,0.3818,RIOK1_711,118
CC[C@@H]1CCC[C@H](N(C)CO)[C@@H]2C=C[C@@H](C(=O)NC(=O)C3=C(O)CC[C@H]3C1)C(O)=CN2CO,0.4319,RIOK1_226,372
C[C@@H]1CNCC(=CC2=NC(=CNS(C)(O)O)CN2)CC[C@H]1c1coc(=O)cc1O,0.4273,RIOK1_340,313
CC(=O)[C@H](N)C(=O)[C@@H]1c2ccccc2-c2c(C(=O)O)cc(C(N)=O)cc21,0.4743,RIOK1_250,357
C[C@@H](O)C1C=C2C=C([C@@H](C[C@H]3C[C@H](C)[C@@H](O)[C@@H]3O)[PH](C)(O)O)[C@H](O)C=C2C(C(=O)O)=C1,0.4187,RIOK1_525,221
C[C@@H](O)c1ncc(O)cc1N1CC2C(CO)CC(=N)C2C2C=CC=CC21,0.4834,RIOK1_214,377
CCC(=S)C1=C(O)Cc2cc3c4c(c21)CCC4CN3,0.4852,RIOK1_647,154
C[C@H](CCO)[C@@H]1c2ccccc2[C@@H]2[C@H]1C(=O)N([C@H]1C[C@@H](O)C1)C(=O)[C@H]2C=O,0.409,RIOK1_278,343
CC(=COC1=C[C@H](N(C)C(=O)C2C=C(C)[C@@H]3CCCC3=C2)C=C(O)C1)C(=O)O,0.2963,RIOK1_308,331
C[C@@H]1CCC2=C(O)CCN2C[C@H](CO)CCCCCC[C@H](O)C1,0.2196,RIOK1_329,321
CCC(=O)NC1C(C=C2CCCC2=C2CN=C([S@H](C)O)N2)=CC(O)=C[C@H]1C,0.4017,RIOK1_767,83
C[C@@H]1CC[C@H](C)C2C=C(C[C@@H](C(=O)O)NC(=O)c3cccc4c3CC(C4)C(=O)N1)SC2,0.4687,RIOK1_637,160
C[C@H]1NCC(=C=C(CN[C@H]2CCC(=O)O2)C(=S)Nc2nc(=O)[nH]cc2Cl)O1,0.396,RIOK1_745,97
CC(C)CC1C=C[C@H]2C(=C1)[C@H](C)CC(O)=C2[C@H](O)[C@@H]1[C@@H](C2C=CC(O)=CC2=CO)[C@H](C(=O)O)C[C@H]1C,0.3034,RIOK1_882,26
C[C@@H]1CNC2=NC3=C([C@@H](C4=CC([C@@H](C)O)C=CC(CO)=C4)C=CC3)[C@H]21,0.4063,RIOK1_295,336
C=C(C=CC#CC(C)=C1CCC(SCNN=C2CN[C@@H](OC)C2)C1)CO,0.2563,RIOK1_894,17
CC(=O)N=C1CC(=O)NC2=C(C)CC(=NC(=O)CNC(=O)[C@@H]3O[C@H](C)CC3CN1)C2,0.417,RIOK1_378,292
Cc1cc2nnc3cccc(Nc4cnc5c(n4)CNC5)c3c2nc1C,0.4791,RIOK1_390,289
CC[C@H](O)C=C1C(=O)N(NC(C)C)C=C2C1C=CC=CC2[C@@H](C)CO,0.392,RIOK1_392,288
