SMILES,Tanimoto,drug_id,cluster
CCCCCC[C@H](O)[C@H]1CC(=O)[C@H](CCc2cc(N)cc(CCCC)c2)[C@@](O)(N=C2C=CCC(OCC)=C2)C1,0.3912,SPIN1_236,4
C[C@H](CCC=CN)CCC[C@@H]1C=C(OCCC#CCCl)NC(CCC=C=CCN)=N1,0.2647,SPIN1_4,229
CC=C=CCOC[C@@H](C)N[C@@H](C(=C[C@H]1C=C[C@@H](CCCCCCC)C=C1)N[C@@H]1CCCN(C(C)=O)CC1)C1C=CC=CC=C1,0.3129,SPIN1_41,193
CCN(C)CCCOC(=O)[C@H](C=CCCCCCC#CCl)[C@@H](CCCO)CCC[C@@H](C)O,0.1826,SPIN1_93,142
CCOc1ccc(CCCOCCCO)cc1CCCCCC(=O)O,0.3433,SPIN1_226,14
CC#CC1CN[C@@H](C(C)N[C@]2(C=NC(C)=O)C[C@@H](c3ccc(C=CCC)cc3)N2CCC2CC(Cl)=C(F)N2)C1,0.4519,SPIN1_31,203
Cc1sc(CF)cc1NN=C(N[C@@H]1C=C[C@H](C)N=C1)C(=O)OCCCNCC(C)(C)C,0.3393,SPIN1_149,89
CC=CCC=C=C[C@H](CC1CCCC1)C(=O)N=C(C=C(C=CCNC(F)(F)F)NOC(=O)CCC)C(=O)N1CCC(C=CO[C@@H]2CCC(Cl)C2)=C1C,0.4407,SPIN1_207,33
CC(C)CN(C=O)[C@H](CC(O)(O)c1ccc(F)c(C[C@@H](C)C(=O)O)c1)[C@@H](O)[C@H](C)CCCCN(C)C#N,0.3801,SPIN1_185,54
C=C(CC)CN=CCCN(CCCCC=CC#CCl)C(=O)[C@H]1C[C@@H](C2=CCC=CC2)C(=O)N1,0.3269,SPIN1_2,231
CC(C)C(=O)NC1C=CC(/[S]=[C]/CCO)C=NC1O[C@@H]1N=CC=CC(=CC#CCl)O1,0.3767,SPIN1_67,167
CC1=CCC=C(C2CN([C@@H](CC=C[C@@H]3CCC(C)C3)[C@@H]3C=CC=C(CCCN)C=N3)C2)N1,0.298,SPIN1_150,88
CCC#CCCCOC(=O)O[C@H](C(O)CCCC1=C(CO)C=NCC1)[C@@H](O)C=C(O)CC,0.2416,SPIN1_99,136
C=C(Cl)CC[C@H](O)C=CCN1C=C(CC[C@H](O)CCCCCO)C[C@@](O)(OCCCCCC#CC)C1,0.2592,SPIN1_162,76
C=C(F)CCC(=O)OC[C@H](CCC=CNCCN)CCC[C@@H](NCCCN1CC[C@H](F)C1)OCC[C@@H](C)NCCCCC,0.2213,SPIN1_114,123
CCCC=C=CC=C=C(/[C]=C\C(=O)NCCC)/[C]=C/CN,0.1151,SPIN1_240,0
CC/[C]=[S]/CCC(=O)ONC[C@H]1C[C@@]2(CC=CC(C)C=C[C@@H](C)CN(C)CNC2=O)C[C@@H](CC2=CCC(CCC)=NC2)N1,0.3565,SPIN1_132,106
CCCCCCCC[C@@H]1C=CC2=C3C1CCC(=NCN)N(C)[C@@H]3[C@@H](CCC#Cc1cccc(OC)c1)C2,0.3897,SPIN1_225,15
CCCCCCCCCC[C@H]1N[C@@H](C[C@@H]2CC[C@@H](OC)C2)C[C@@H]1c1ncc(C)cn1,0.2696,SPIN1_221,19
C=C(O)COCN1NCCC1C[C@H](OC#CCCCCCl)C1C[C@@H](OCCOC=CCN)CN1,0.3049,SPIN1_156,82
CC=C=C1C=CC(CNC(=NNCCCCCC)[C@H](O)[C@H]2C=CC=CC(N(C)CC(F)F)=C2)=CC1,0.3135,SPIN1_39,195
C[C@@H](O)CCCCC[C@@H](CN[C@H]1CCC(O)C1)N[C@H](CN1CCCC1)C1=CC=C2CCOC(=O)[C@H](C)[C@@H]2C=C1,0.3167,SPIN1_199,41
CC#CC=C=C[C@H]1CN([C@H]2CC[C@H](C)N(CC)C2)[C@@](O)([C@@H]2CC[C@@H]([C@@H](O)CCCC(=O)NCOCC)N2)C1,0.3463,SPIN1_186,53
CCCCCCCO[C@@H]1CN(C(C)=O)C[C@H]1OO[C@@H](O)CCCCCCCCC(C)C,0.247,SPIN1_49,185
CCCCCC(C)=CN[C@](O)(C=C=CC=C=CC=CC#CCl)c1ccc(N(N)O)nc1,0.3683,SPIN1_116,121
CC(C)CCC[C@@H]1CC[C@H]([C@@H]2CC=C([C@H](C=C=C3CC=C(Cl)S3)N(CO)C(C)C)[C@H](S([O])([O])CC3CCCC3)C2)N1,0.424,SPIN1_179,59
CCCCCCCOC#CC(C#COC1CNC(=N)C1)CNCCC[C@H](C)O,0.1603,SPIN1_170,68
COCc1cccc(CCCN(CCN(O)C(C)=NCCCCCC(C)C)c2ccccc2O)c1,0.3268,SPIN1_117,120
CCCCN=C[C@H](N[C@@H]1C=CC(=N)N=C1)[C@H](O)C=CSCC(=O)NCCC(C)C,0.2542,SPIN1_69,165
CC=CCC=C=CN=C[C@@H](CCC[C@@H]1CC[C@H]([C@@H](CC)CF)N1)c1ccc(N=C2C=CCC=C2C)nc1,0.3624,SPIN1_174,64
CCCC[C@@H](C)CC[C@@H](N[C@H]1C=C2CCCN=C2C(OO)=C1)c1ccc(OCCCCCCN)cc1,0.4355,SPIN1_75,159
CC#CC=CCCCC[C@@H](N=CNc1ccc(Cl)cc1C(C)C)OC(=O)CCCC[C@H]1CC[C@H](C)C1,0.3549,SPIN1_141,97
CC#CCC=CCCCC[C@@](C[C@@H]1CCC(CC(F)(F)F)=C1F)(NC[C@H]1CCC(=CC=CCO)N1)[C@@H]1C[C@H]2CCC[C@H]2N1,0.3151,SPIN1_6,227
CCCCCCCCOC1=C[C@H]([C@@H](C)CC[C@H](C)CC)C=C(CCCCCCCC)C1,0.1684,SPIN1_21,213
CCCC=CCCCC[C@H]1C=C(CN2CCNCC2)C(O)=C[C@@H]1CCC=CC#CCl,0.2039,SPIN1_28,206
COc1ccc([C@@H](CN=Nc2ccccc2)NC[C@@H](O)CO)cc1,0.3124,SPIN1_124,113
