SMILES,Tanimoto
CCCCC[C@H](C)c1ccc([C@@H](O)[C@@H](c2ccc([C@H](O)CO)cc2)N([C@H]2C(F)=CC(F)=CCC2=CC(=O)CO)[SH](O)O)cc1,0.5369
CCC[C@@H]1C(=O)CC2C=C(Cl)C=C3C=C[C@H](Cc4ccc(Cl)cc4)N1[C@@H]32,0.4119
O=c1ncc2c([nH]1)C(CO)=C=C(C1CCCO1)OC[C@@H](CC(O)=CC[C@@H]1CCC[C@@H]1CO)C2,0.4635
CCc1nc(C)c(Nc2cc(C(=O)N[C@H](CC)OC)cc([C@@H]3CC4CCO[C@@H]4C3)c2)[nH]1,0.4809
O=C(O)CN(C(=O)O)[C@H](CCc1ccccc1)[C@@H](c1ccc(F)cc1)[C@H]1[C@H](c2ccc(O)c(O)c2)[C@H](C[C@H]2CC=C[C@@H]3CC[C@H]2CC3(F)F)[C@@H](F)C(F)[C@@H]1O,0.5140
COC(=O)[C@@H]1C=C(c2ccc(C)c3cc(C(=O)O)ccc23)C(=NCCC[C@H]2CC[C@@H](C)CC2)C[C@H]1CO,0.4462
CC(C)=Cc1cc2cc(c1)N1CC(=O)N=c3ccc(cc31)=CCC(C[C@@H](C)CC1CCCC1)=CNCC2,0.4546
COc1ccc2c(c1)C[C@@H](CC(=O)O)C1=C[C@@H](C3=CC=C4C(O)=CCC=CCC4C3)C=C[C@H]12,0.4436
CC(C)OC1=C[C@H](CCC(=O)O)C(CC2C=C(C[C@]3(C(C)C)C[C@@H](C)C[C@H](CF)C3)C=CC2CCCC(=O)O)=C2N[C@H](C)[C@H](C)[C@@H]12,0.4050
C[C@H](CCCCC(C)(C)O)Nc1cc(C(=O)O)ccc1[C@H](C)C(=O)O,0.3327
COC1=CC(N2C(=O)C3C=CC(Cl)=CC4C=C(C(C)C)C[C@@H](C(O)C(=O)O)C(=CC2C=C=C(Cl)C(=O)O)C43)C=CC1N(O)O,0.4657
CCC[C@H]1SC(N(C[PH](C)(O)O)[C@@H](O)NC[C@@H]2CCC(C)(C)C2)=C(O)[C@@H]1C,0.4148
C[C@@H]1C=COC2C#CC=C=C3CC(=O)CNc4cc(CO)cc(c4)COC(=O)CC[C@@H](C(=O)O)[C@@H](C[C@@H](O)CCC21)NC3=O,0.4498
CC[C@H](C)CCCC[C@@H](CCC=C(C)CCl)C(=CS)C(=O)CN,0.1415
CC(C)c1cc2cc(c1)N(O)[C@@H]1C(=O)NC=C(CC(=O)O[C@@H]2C)[C@H]1[C@@H](C=CC1C=CCC(F)=C1)CCC(=O)O,0.5423
CCOC1CN(C(=O)[C@@H](NC[C@H]2CC(C(C)C)CN2)C(C)CCC[C@@H](C)C(C)C)C1,0.2339
