SMILES,Tanimoto
CC[C@@H](CCCCF)NC(=O)N1CC2=C(CC3=C(C2)[C@@H]([C@H]2C[C@@](F)(c4cccc(OC)c4)[C@H](F)N2[C@]2(O)CC[C@@H](C)[C@H](O)[C@@H]2O)CC3)N1,0.7546
CC1=C(O)CC([C@H](S)[C@H]2c3ccc(O)cc3C(=O)N2C(=O)[C@H]2C=C[C@H]([C@@H]3CC[C@H]([C@H]4CC[C@H](C)C4)C3)CC2)=C1,0.6560
CC=C(C[C@H](CC)[C@H](Cc1ccc(C2=CCCC[C@@H]([C@H]3OCCC3=O)NC2)cn1)NCC(O)=C(F)/C(O)=[C]/C(=O)O)C(=O)O,0.5658
CCCN1C[C@H](CC[C@@H]2CC=C(N(C)O)C[C@H]2[C@@H]2C=CCC=C2Cl)C[C@@H]1C,0.3236
COc1ccc([C@@H]2C=CC(O)=c3c(c(O)ccc3=CO)[C@H]2N(C)Cc2ccccc2)cc1,0.6387
C=CN(C=CCCC)C1=N[C@H](C[C@@H](C)N(CC=NCc2cccc(O)c2O)c2cccc(Cl)c2)CC1,0.4299
CCCC=COc1ccc([C@@H]2C[C@H]([C@@H]3CC[C@H](O)[C@H](O)[C@@H]3O)[C@H](C)[C@H]3CC(C(=O)O)C(C)=C3[C@]2(C)O)c(F)c1,0.5685
CCCCCCCCCC[C@H]1C[C@@H](C)CC[C@@H]1[C@H]1CCC(O)=C1O,0.4064
CC1=C[C@H](F)C[C@@H](C)C(O)(O)[C@@H](O)C[C@H](O)C(=O)C[C@@H](C)C[C@H](C(C)(C)CC(=O)O)CCC(C)[C@@H]1[C@H](C)CC[C@@H](C)C[C@@H](C)C[C@@H]1OCC[C@@H]1CCC(=O)O,0.4749
CC(C)C1=CC(F)=CC2C1=C1C(=CCC(=C(O)C(=O)N(C)C)[C@@H]1S)N2C1CC[C@H](CC(=O)O)C1,0.6298
CSc1ccc2c(NC(=O)O)ccc(CC=C=C3C=CC=C(C)C3)c2n1,0.4297
CC(=CCCCC[C@@H](OC1CCC(=O)S1)c1ccc(O)cc1)CN,0.4593
CC[C@@H]([C@H]1C=CCC(O)=C1)[C@H](C1=CCC(N([O])[O])=C(Cl)C1F)c1ccc(CC=C(C)C)cc1,0.4906
CCCCCOc1ccc(O)c(N2CC3=CC(O)(O)C=C4C3=C3[C@H](C(=O)[C@@H]4F)C4=C(CC(O)C4)[C@@]32C)c1,0.7035
CC(C)[C@H](C)CC[C@@H](CCCCCC[C@H]1CC[C@@H](C)C1)[C@@H]1CCC2C[C@H](O)[C@@H](O)CC(O)[C@@H]21,0.3317
COC1=C[C@H]2C3=C[C@@H]([C@H]4C[C@H](C)[C@@H]([C@@H](C)O)C[C@H]4[C@H]4CC[C@@H](OC)C4)CC(C)=C3CC2CC1,0.5739
CCC[C@@H](C[C@@H]1CCC(=CCC(C)C)C1)c1cccc2c3c(oc12)CNC3=O,0.5286
CC(C)(C)[C@H]1CNC2=C1[C@@H](C=O)[C@@H](CCCCCO)CCC(=O)C=C(OCN)C#C2,0.3731
CCCCCCOCCOC1=CCC([C@@H](C)O)=C(C)C1NCC1C=CCC(O)=C1N(O)F,0.4541
CC(C)CC=CCc1ccc(CC2=CC3O[C@H](N)[C@@H](O)CC3=C[C@H]2Cc2ccccc2F)cc1,0.4718
CCCCCCC[C@@H](C)C[C@@H]1Cc2ccc(NO)cc2C[C@@H]1c1ccc(F)cc1C,0.5268
CC[C@H](C)C1=CC=C=C(C2=C(C3=CC=CCC(F)=C3)C=C[C@H]3C=C(C(N)=O)CC=C23)[C]=C1,0.3423
CO[C@H]1CCC(C(c2ccccc2)c2cccc(C(N)=O)c2)[C@@H]1C,0.4436
NC1=CC(C(=O)O)C(N)=C2C1=CC([C@H]1CC[C@@H](CCCCS)C1)=N[C@@H]2c1ccc(O)c(Cl)c1,0.6336
