SMILES,Tanimoto
CCC1=CO[C@@H](C(=O)O)CO[C@@](C)(C(=O)O)OC2CN(CCC1O)NC2=O,0.3626
COC1=C[C@H]2O[SH](C)(O)(NC(C)C)[C@@H](N(C)CCNC=C=CC=CCCN3CCCC3)C2C=C1,0.5828
CCN1C[C@@H]2C=CCC(C(=O)O)=CC2C2=C=C(C=C[C@@](C)(O)C2)[C@H](OC2=CC(COC)C=C(F)C2)CC1=O,0.4609
CC(C)CO[C@]1(N=C2C=CC=CC2)NC2=CC(Cl)C=CC2C[C@@H]2C1=CC=C(C(=O)O)C2N[C@H]1CCN(CO)C1C,0.5969
COC1=CC([C@@H](C)CF)C(OCCN(C(=O)O)C(=NC2CCCC2)[C@H]2CN(C(=O)O)CC(=Cc3ccccc3)O2)=CC1C(=O)O,0.4935
COCC1=C[C@@H](CN(O)O)C=CC(N(C(C)=O)[C@H]2C=CC=C[C@@H]2O)=C1,0.3711
COC1=C2COC3=C2C=CC(=C(C(=O)O)CC=CCNCC2C=CC=CC2=C=C1CN)[C@@H]3C,0.4240
CC(C)C[C@@H]1CCSC1[C@H](O)[C@H](C(=O)O)[C@H]1N[C@@H](C(=O)O)[C@@H]1C1C=CCC=C1,0.3692
CCC=C[C@H]1[C@@H]([C@@H](CCC)C(=O)O)c2ncnc(NC[C@H](C)O)c2[C@@H]1C(=O)O,0.5557
CC[C@@H]1CC(OC)=C[C@@H]2N[C@H]3CCC(C)C3=C3COc4ccc(F)cc4C(=O)[C@@H](O)C[C@H](N3)C12,0.5601
COC(=O)C1N=C2[C@H](Cl)C=C(F)C[C@H]3c4ccccc4N(C(=O)O)CCC[C@@H]4C(O)=C(C)C1[C@H]4N23,0.6606
CCC1C=C(C(=O)O)C(NC(=O)O)C([C@H](F)C(F)F)=C1,0.3593
CC(=O)OC(=N)C(=C=CNC(=O)N(C=C1C=CCC=C1)c1ccc(O)cc1)[C@@H]1CC[C@H](F)C1,0.3766
CCCCC(CCO)Cc1cc(N(O)O)cc(C(=O)O)c1Cl,0.3213
CC=C1C=C2[C@H](C=C1O)C=C(OC)[C@H](C(=O)c1ccc(O[C@@H]3CC[C@H](C(=O)O)C3)cc1)[C@H]2CC(C)C,0.4647
CCCC[C@@H](C)C(=O)O[C@@H]1[C@H]2C=C[C@H](C=C2)C(=O)OCC[C@]2([C@H](O)CO)CCC[C@H]2N[C@@H](OC)C2C[C@]3(O)[C@H](CCC[C@@H]13)O2,0.4285
O=C(NCC(F)(F)OC1=CCNCN1[C@@H](CC1C=CCC=C1)c1ccccc1)Nc1cccc(CS(O)(O)O)c1,0.4826
CCCC(CCC(=O)O)N1[C@@H](CC)[C@](C)(O)c2ccccc2[C@@H]1OC(C)C,0.5137
CCNC(=O)[C@@H](CC)N[C@]1(O)C(C=CCCl)=C2C[C@@H](OC)C3=C2N1C1=C(C3)NCC1,0.6098
CC1=C=CC(N)C(Cl)C(=O)N(O)[C@H](Cl)C[C@@]2(CCC(=O)C2)NCC1,0.3433
CCC(C)[C@H](CC(=O)OC(C)C)N=CC1=CC=Cc2cccc3c2C1OC[C@@H](c1cccc(C)c1)[C@H]3CNC(=O)CNCO,0.5801
CCCNC(=CCCCCCC(=O)CO)[C@@H](NC(=O)O)c1ccc(C(=O)O)cc1,0.3146
C=C(C=C(COC)CN(N[C@@H]1C2=C(C=NC1C)c1ccc(CO)c(O)c1C2=O)[C@H](CC)C1=CC=NC(=N)C1)NC(N)=O,0.6459
CCC(=O)O[C@@H](CC(=O)NC1=CC=C(C(=O)O)[C@H](O)[C@H]1CC(O)(O)CO)[C@H]1CC[C@@H](F)O1,0.4647
CC(=O)[C@@H](C)C[C@H]1SC[C@H](CC=C(Oc2cncc(CCC(=O)O)c2)[C@H](C)C(C)C)[C@@]1(O)C=C1C=CC(Cl)C=C1,0.4830
CCN([C@@H]1CCOC1)[C@@H]1C=CC(C)=C[C@H]1[C@H]1CC[C@@H](OC)C1=CC(=O)OC,0.3767
CCCCCCCC1NC2C(=CC=C3[C@@H](N(C)CC)[C@H](N(OC(=O)[C@@H](O)[C@H]4CCN(C(=O)CCCO)N4)C(C)=O)O[C@@H]32)C1=N,0.6318
CC[C@H]1CC2=CC3C=CC(C)=C(OC(O)(O)CC)[C@H]3[C@H](C2)C[C@@H](C(=O)O)NC(=O)C(=O)N[C@@H](C[C@H](C)NC)CO1,0.4216
CC[C@H]1C2=C[C@@H](OC=C(S)CC3C=CCC(=C3)[C@@H](C)CCC[C@@H]1CNC(C)=O)C(F)=CC2,0.2858
CC[C@H]1C(=O)N[C@@H](Cl)C1[C@@H]1CC(=COC)CN1Cc1cccc(C(=O)O)c1,0.4387
CS(O)(O)Nc1ccc(Cl)cc1[C@@H]1CC=CC(O)C=CC(C(=O)O)=NCc2cccc(c2)O1,0.4460
COCC[C@H]1CN(C)C2=CC(=CCC=C2)O[C@H](c2ccc(C)cc2)CCC[C@H](CO)C[C@@]1(O)C[C@@H]1OCC(=O)[C@H]1[C@H](CO)S(O)(O)O,0.5022
Cc1cc(CC(=O)O)cc(-c2cccc(O)c2S(O)(O)NC(N)=O)c1,0.3844
COC(=O)c1ccccc1C[C@H]1CC(=O)O[C@]12CC(CC(=O)O)=C2NCN(C)[C@H](C=O)[C@@H](O)CO,0.5580
CC1=CC=C([C@H]2CCCO2)[C@H](O[C@@H](C)Cc2cc(C)cc(C(N)=O)c2)C1NC(=O)O,0.4454
C[C@@H]1C=C[C@@H]2CC(O)C3=NNC=C(C(O)=CC(N)=O)C3C[C@H]3C2=C1C[C@@H]3N[C@H](C)C(=O)O,0.4431
O=C(O)NCC[C@@H]1C=C(O)C=C2N=C(C(F)(F)F)C3=CCC=C[C@H]3[C@@H](C(=O)Nc3ccccc3)[C@H]21,0.4711
CNC(=O)O[C@@H](c1ccccc1)N1C2=C(O)C=C[C@H](C(=O)O)C2[C@H]2C[C@](C)(O)CCC21,0.5431
