SMILES,Tanimoto
CC(F)N[C@@H]1C=CCCN(C(=O)CCC(=O)O)[C@H]2C[C@H](C3=NC(=O)C=C[C@H]3F)C[C@@](O)(OC2=O)C(=O)CNC(=O)C[C@H](F)[C@@H](C)[C@@H](F)C1,0.4652
CC=C1[C@@H](C(=O)O)C[C@H]2Nc3c(O)c(O)cc4c3C=C(CC=C4)[C@H](F)C(=O)NC(OO)=C=C2OC1(F)F,0.5422
CC1=NC=C2C3C4=C(N[C@H]5[C@H](O)C[C@H]25)C(NNC(=O)CO)=C[C@@H]2C4[C@H](C(=O)[C@H]2C)N(CO)C13,0.4997
N=C1CCCC[C@@H](O)N2COC(=C(C(=O)F)C(=O)N=C[C@@H](CO)[C@H]3C(=O)NC[C@H]3C(=O)N1)C2,0.4156
C[C@@H](CO)[PH](O)(O)[C@@H]1CC[C@H](O)[C@H](C(O)(O)[C@@H](C(=N)NC(=O)CO)C2=C(O)[C@@H](O)CCC2)[C@@H]1O,0.4231
N[C@H]1C[C@H]2C[C@](O)(C[C@H](N)C(=O)O)[C@@H](C=O)c3c(O)ccnc3[C@@](O)(CO)N2C1,0.5467
Cc1cc(C[C@H](C[C@@H](C)C(=O)O)C(N)=O)c([C@H](O)C[C@H](N)C(=O)C(=O)O)c(C=O)c1O,0.3661
CCC[C@@H](C(=O)O)[C@@H]([C@H](C)[C@H](O)CC[C@@H](NCCO)OC(=O)O)[C@H](O)[C@@](C)(O)CP(O)O,0.3616
O=C(CO)C[C@H]1C[C@](O)([C@@H](O)CC2=CC(F)[C@@H](F)CC2)[C@H](O)[C@@H](O)[C@@H](O)[C@H](C(=O)O)[C@@H]1CC[C@@H]1CCC(C(=O)O)=C1O,0.3225
O=C(O)CCCC[C@@H](C=NC1=CC(OC(F)F)=C(F)C[C@H]1CO)[PH](O)(O)O,0.3216
COC1=C=C(O)[C@@H](C[PH](O)(O)O)NCC[C@@H]2C=C[C@@H](CN3CC=C4CN(C(=O)OC[C@@H](C(=O)O)C1)[C@H]4C3)[C@@H](O)[C@H]2C,0.4264
N=C1C2=NC3=NC(=O)[C@@H](C[C@H](O)[C@@H](O)C(=O)OCc4ccccc4F)[C@@]3(O)CC2=C(C=NC(=O)[C@@H](O)C(N)=CC(=O)O)N1O,0.5777
O=C[C@@H](O)C[C@H](CCNC[C@@H]1[C@@H]2[C@H](C[C@H]1O)[C@@H](O)C[C@@H]2OC1=C(F)[C@@H](F)C[C@H]1C1C=CCC=C1)C(=O)O,0.4211
