SMILES,Tanimoto
CCN1CNC[C@@H](C(C)=O)[C@@]1(C)C[C@H]1CC(c2ccc(Cl)cc2)=C[C@@H](C)CCC[C@@H](C(C)(C)O)C=CC[C@@H]1OC=C(C)CO,0.4805
CCCO[C@@H](C1CC[C@H](Cl)C1)[C@H]1C(C(=O)O)=CC(C(C)C)=C[C@@H]1C(=O)OC,0.3862
CCC[C@@H](NC(=O)[C@@H]1C(C2=CC=C(F)CC=C2)C[C@H](CCO)O[C@H]1[C@H](C)O)[C@H](C)NCC,0.4447
CC(=O)[C@@H]1CCCCCC[C@@H]2C(=O)N(C)CNC=C2CC=CCS(O)(O)CC([C@@H]2CCCN2)=NC=C(C)[C@@H](C)CCC[C@@H]1C,0.4405
CC[C@H](O)[C@H]([C@H](C)O)N1C(=O)CC[C@](O)(N2CCCN2)CC[C@H](C)CNC(=O)[C@H](C)C(OC)C2C=C(CC=C2F)C1=O,0.5588
CCC[C@H](C)CC1=C(CO[C@@H](C)[C@H]2[C@H](O)[C@H]3C=C(C(C)C)C=C[C@@H]3C[C@@H]3CCC[C@@H](CO)CN[C@@H]32)[C@H](CC)CC1,0.3933
CC[C@H]1CC[C@H](C)C[C@@H]([C@H](O)CCO)OC[C@@H](C)C=C(OC)CC=C(F)[C@@H](F)C=COC1,0.2397
CC[C@@H](C)CC[C@H]1[C@@H]2C=C(F)C=C3C(O)=C=C(C)C(=C=C(C)C(=O)O)CCC(=O)NC(=O)CO[C@@H](C)[C@H]1O[C@H](CC(C)C)[C@H]32,0.4899
CO[C@H]1C=C[C@H](O)C([C@@H]2[C@@H]([C@H](C)C=C(C)C)CN(C3CCCC3)[C@H]2CN)=C1,0.4435
CCCOC[C@H](CC1=C([C@@H](C)C(C)C)C[C@H](C)C1=NC(=O)C1CCCC1)C(=O)N[C@@H]1CCNC[C@@H]1O,0.4262
C[C@@H]1CC[C@@H](C)[C@@H]([C@H]2C=C(CCC[C@@](O)(F)CC[C@H]3C[C@@H](C)[C@@H](C)C3=O)[C@](O)(CO)[C@H](C)CCC(C)(C)[C@@H]3CCCC[C@@H]23)C1,0.3235
CC1=C[C@@H]([C@H](CC2C=C(Cl)C(O)=C[C@@H]2C(C)C)[C@H](C)O)C=C[C@H]1N,0.2635
CC[C@H](C)CCCCCCC[C@@H](C[C@@H](C)C[C@@H](O)[C@@H](C)[C@@H](C)O)[C@H](O)CO,0.1313
CCO[C@@H](C[C@]1(CC)C(O)[C@H](C(N)(O)O)C(=O)[C@H]1OC)c1ccccc1C[SH](O)O,0.4852
CCOC(=O)O[C@@H]1CC[C@H]2[C@@H](C(=CN)C3CCCC3)C(=C(C)N)[C@@H](c3ccc(F)c(Cl)c3O)[C@H]2N1,0.6558
CC[C@H](C)CCC[C@H](C)CC[C@H](C)C=CC[C@@H](C)OC,0.0973
CC[C@H](O)[C@@H](O)CC[C@@H](O)[C@H](C[C@H](CCCN)CC(C)C)[C@@H]1[C@H](C)CC[C@H]1O,0.1658
CCC1=C(C2=C3C[C@H](O)[C@@H](C)[C@H]3[C@H](CC)[C@H]2OC(=O)CN)C[C@H](C(C)C)[C@H]1C,0.3594
CCC=C=C1C(=CCF)C=C[C@@H](C)[C@H](O)CC(=O)[C@@H](C(C)C)C[C@@H](CN)[C@@H]2N=C(C(C)C)N[C@@H]12,0.4866
CCC1[C@H]2CC[C@@H](C[C@@H](C)[C@H](O)C=C[C@H]([C@H](C)[C@@H](CC[C@@H]3CC[C@@H](O)C(=O)O3)[C@H](O)CO)[C@@H](O)C(C)C)NC2=C[C@@H](C)[C@H]1C,0.3793
CCC[C@H]1CC[C@@H](C(=C=C2C=C(C)CC(CCCCCc3cccc(C)n3)=C2)C(N)=O)[C@H]1O,0.3592
C[C@@H]1C=C[C@H](NC(=O)O)[C@H](C)C2=C[C@H]3C(=COC[C@H]3Cl)C(=C2)OC2C(=C(F)F)C[C@@H](c3ccccc3)[C@H]2C(=O)C1,0.6393
CC1=CC(F)C([C@@H](CCN)C(=CC(N)=O)N2C(Cl)=NC3=C(C[C@@H](C)C3)C2OC(F)F)C(O)=C1,0.6662
CC(=O)[C@@H](C)c1ccc2c(c1)[C@H]([C@H](O)[C@@H](O)[C@@H](C)C(N)=O)[C@@H](C1C=CC=C[C@@H]1CO)N[C@@H]([C@@](C)(O)[C@@H](C)[C@@H](C)C(=O)O)C[C@H]2Cl,0.6714
CO[C@H]1CN2C=C(C3CCCC3)C[C@@H](CC=C[C@](C)(O)C[C@@H](C)CCCC[C@@](N)(O)[C@H]1O)CC2,0.3619
CCCC[C@H](C)[C@@H](C[C@H](C)C(N)=O)O[C@@H](OCC)c1cc(C)cc(CC)c1,0.2835
CC(C)C[C@@H](C)NC(=NCN)[C@H](O)[C@@H](C)CN(C=CCC[C@H](C)[C@@H](CN)Cc1ccc(Cl)c(F)c1)C1=CC=CC(F)=CC1,0.4578
CC1C=CC2C(=C1)O[C@]1(O)CCN([C@H](C[C@H]3CC[C@@H]4[C@@H]3CCCC[C@@H]4C)CCN3C[C@H](C(=O)O)[C@@H]23)[C@H]1CO,0.5192
CCCC1=C=C(O)C=CC[C@H](C)C=C=C(C(=O)O)[C@@]2(C)CCC[C@@H]2CCC1,0.2484
CC(C)CCC[C@H](C)[C@H]1C(CC(=O)O)=C[C@@H](CCCCCO)OC2=C1[C@@H](O)C[C@H]2C(C)C,0.3753
CCCCC[C@@H](C)CC(O)=c1cc2c(cc1F)=NC([C@@H](C)CC)=C[C@H]2C(=O)NC(C)C,0.5561
COCC(=CCCC[C@@H](C)ON=C1C=CC(C)=CC1=C[C@H](CO)[C@@H]1CCC2=NC[C@@H](O)CN21)C(C)C,0.4676
CC[C@H](C)CC1=C2C[C@@H](O[C@H](C)[C@H]3C=CC4=CN(C)SC4=CC3C2=O)C(C[C@@H](C)O)[C@@H](CC)C1OC,0.4705
CC[C@@H]1NN([C@@H]2C=CC=C(Cl)[C@H]2C(O)C(C)C)C(=O)[C@H]1C1C=CC=C(O)[C@H]1OCN,0.5943
CCC=C1C=CC(CCCCC(=CCC(C)=O)[C@H](O)C[C@H](O)c2cccc(C(=O)O)c2)C=C1Cl,0.3396
CO[C@H](CCC(C)C)CC[C@H](C)CCCCCN,0.1297
CC1=CCC=C[C@]1(Cc1cccc(OCC(C)C)c1)C[C@H](O)[C@H](O)C1=C(C)CC(C)C1,0.3980
CCCC[C@H](C(O)=C[C@@H](C)[C@H]1O[C@H](CC[C@H]2C(C)=CC=C(F)C2O)OC(=O)[C@H]1C)[C@H](C)O,0.3808
CCC=C(Cl)C[C@@H](CCC[C@H](C)CCC)CC(=O)O,0.1381
CCC[C@H](C)[C@H](CC(C)C)[C@H](O)[C@H](C)C[C@H](C)C=CC(C)C,0.1518
CCN(CC1=CC(C[C@@H](C)[C@H](C)CC(=O)O)C=C(C)[C@@H]1C)C(=O)C=C1C[C@@H](O[C@H]2COCO2)C[C@H]([C@@H]2[C@@H](C)CO[C@@H]2C)C[C@]1(O)CO,0.4399
CO[C@](O)(OC[C@@H](CC(=O)O)[C@H](C)N[C@](C)(O)C[C@@H](C)O)O[C@@H]1C2=C(C(=O)c3cc(C(=O)O)ccc32)[C@H](F)N1OCC[C@@H]1C=CC(F)=CC1OCCNCC(C)C,0.7798
COC[C@@H]1C(=C=C2CCCC2C)C=C(Cl)C#CC2=CC(=C=CC=C2)c2cc(c(OC)cc2O)[C@@H]1C,0.5530
CC1CC[C@H](C)CC[C@H](C(C)(C)C)C=C[C@@H](C)CC[C@@H]2CC[C@H](C1)[C@@H](O)C2,0.1507
CC[C@H]1C(N[C@@H]2C[C@@H](CO)CC[C@H]2C)=C([C@H](O)CF)CCC2=C(CC=CC2)OCS1(O)O,0.5212
CC[C@H](CCN1NC(=c2ccc(O)cc2=COC)[C@H]([C@@H](C)O)C[C@@]1(C)O)C(=O)OC,0.5267
CCOC(C)(C)CCC[C@@](CC[C@H](C)C(C)O)(c1ccccc1)N1CCNC(C)S1(O)O,0.5228
CCC1C[C@@H](O[C@@H](CCCCC(C)(C)O)C(C)(C)CC[C@H](C)CC(C)C)C[C@H]1[C@H](CC(=O)O)C(N)=O,0.2764
CCN(C)C(O)(O)C[C@@H]1C=C(C)C=C(OC)C1=C=C1CCC(NCl)O1,0.4079
CCc1ccccc1C(=O)C[C@H](C)C1=CC(F)(F)C=CC1[C@@H]1[C@H](OCO)C[C@H](O)CN1C(=O)CO,0.5351
CC=CCC(=C=C(C=C(C)C)CC)C=C(CCCCCN)[C@H](C)O,0.1707
C=CC(C=c1cc(Cl)cc2c1=C(CCC(C)C)O[C@H](C)O2)=C(COC)C[C@@H](C)CO,0.5252
CC[C@@]1(C)CCCC[C@H]1C=C=C[C@@H](Cl)OC1=C[C@@H](CC(O)(O)C(=C2CCN(C)C2)[C@@H](C)O)C=C(C)C1,0.3794
CCC(C)(C)NC1=CC(=C2C=CCC=C2C[C@@H](C)OC(=O)O)C(C)=C(C)C1O,0.3658
CCC1N[C@@H](C[C@H](C)C[C@@H]2[C@H](C(N)=O)C[C@H]2c2[nH]c(C)c(C(N)=O)c2O)CC1=O,0.5080
CC[C@@H]1N[C@](C)(C(C)C)[C@@H](O[C@@H](F)Cc2cccc(OC)c2)N[C@]12CN[C@H]([C@@H](C)O)C(O)(O)C2,0.5276
CC[C@@H](O)C1=C=CC(=CCC(C)C)CC=C[C@H](C(C)(C)[C@@H](C)O)C(=O)NC[C@@H](OC)CCC[C@@H](CO)C1,0.3722
CC(CC(O)[C@@H]1CCCNC(=O)COC2=CC(Cl)=CCC2=C[C@@H](C(=O)O)CCCC[C@H]1C(C)(C)[C@H](C)[C@](C)(O)CO)C(=O)O,0.3920
CC=CC[C@H]1CC(C)(C)[C@H]2C[C@H](CC2=O)C([S@H](O)OC)=C2CC(Cl)SC2=C=C1C(C)O,0.5059
CO[C@H](C)[C@H]1C[C@H](CC(C)(C)O)[C@H]2CN(C(=O)c3ccccc3)C[C@@H]2[C@@](O)(C2CCCC2)C1,0.4624
CCCCNC(OCC)C1=C[C@H](CCCC)C=C(CC[C@@H](C)CCC)[C@@H]1Cl,0.3416
CC[C@H](C)[C@H](CC=C(CCCCC(C)C)C(C)C)[C@@H](C)CC(C)C,0.1111
CC[C@H](C)C1CO[C@@H](C)CCCCC2=C=CC(OC)=C=C3C[C@@H](CO)C4=C3[C@@](OC)(C=C2)C1C4,0.4395
CCCO[C@@H]1CCC[C@@H](O[C@@H](C)CC(=O)NO)[C@H](N[C@H]2C[C@H](O)c3cc(OC)ccc32)C1,0.4975
CCCCC[C@H](NCNC(=NS(O)(O)[C@H]1CC[C@@H](N(C(=O)O)[C@H]2C=CC=CC(C)=C2)C1)[C@@](F)(CO)CC(=O)OC)C(C)(C)C,0.5455
CCC[C@H](C[C@H](C)CCC(O)(O)CC)[C@@](C)(CCCC(C)C)C[C@H](CO)CCC(=O)O,0.1395
CCCC[C@@H]1CC[C@@H]2CC[C@H](CCCCCC(C(C)C(C)C)=C=C(Cl)C3=C[C@@H](C1=O)C(C(C)(C)C)=CC3)C2,0.3054
C=CC=CCCCC=C(C=C[C@H](C)C#CCC(C)(C)CCC)[C@H](OC)[C@@H](O)CN,0.2360
C#CCC1=NC(Cl)=CC(=CCC=CCON[C@H](CC=C=CC(=O)O)C(F)(F)F)N1c1ccccc1,0.4730
CCCCCCCC[C@H]1[C@H](C[C@H]2C[C@H](OC)c3ccccc3CN([C@H](O)CC)[C@@H]2C)[C@H](Cl)CC1(C)C,0.4638
COC1=C2C[C@H](C1)[C@@H](C)C=CC[C@@H](CC(C)(C)C)O[C@@H](C[C@H](N)C[C@H](C)O)[C@](C)(O)[C@@H](O)[C@H]1CCN(F)C[C@](O)(C1)[C@H]2C,0.4517
Cc1[nH]c([C@](C)(O)CN)c2c1[C@H](C(C)C)C[C@@H]2[C@H]1c2ccccc2NC=C[C@H]1CCC(C)(C)O,0.6205
CC=C(C)[C@@H](C[C@@H](C(C)C)[C@@H](C)OC(C)C)C(CCC)CCC,0.2088
CC(=O)[C@H](N)C(NCC[C@H](C)C(=O)O)[C@@H](Cc1cccc(Cl)c1)[C@H]1[C@H](C(=O)O)C(=O)N[C@@]12C=CCC(C(N)(O)O)=C2,0.5597
CCN(COC1=C(C)CC2=C1CCOC1=C2[C@@H]([C@@H](C)[C@@H](C)C(C)(C)C)C[C@](C)(O)N1)C(C)=O,0.5486
CCCCC=CC(C)[C@@H](OC[C@@]1(CCC(N)=O)CC[C@H](Cl)[C@H]1C)[C@@H](OCC)O[C@H](C)CC(C)C,0.2847
CC=C1C(=C=C(C)OCCC=C[C@H](O)[C@H]2CCCC[C@H](C)[C@H](C)C2)NC=C[C@H]1CCCOC,0.3485
CC[C@H]1CC(C)=C[C@@H]2[C@H]1OC1=C([C@H](C)CC)C=C[C@H](C(=O)O)C1=C(C)[C@@H]2C=N,0.4528
CC(=C=C[C@H]1[C@H](C)C[C@@H]([C@]2(C)COC[C@@H]2C)C[C@@H]1O)CCC[C@@H](C)C(N)=CCCC(C)C,0.2435
C[C@H](CN)CC(=C[C@@H]([C@H]1C[C@@H](C)C1)[C@H]1CCCC1O)C[C@@H](F)C[C@@H](O)CC(C)(C)C,0.2466
C[C@H]1[C@H](C[C@H]2C[C@@H](CC(O)CC(C)(O)O)[C@@H](CO)C[C@H]3CCCOC[C@@]3(C(=O)O)C[C@H]2O)CCC[C@@H]1F,0.2338
CCCCC[C@@H](CC(C)C)C[C@H](C)CCCCC[C@H](CCCCC(C)C)C[C@@H](C)O,0.0957
CO[C@H]1C2=NC(=N)[C@H]3CC(C)=C(CC(OC(C)C)[C@H](C)[C@@H](C)ON([C@@H](C)CC4=CCC=CN4C)C4=C(N2)C1[C@@H](C(C)C)C=C4)C3,0.6915
CCCC(=C=C(C)C)O[C@@H](OCC=C[C@H](CN)C(C)C)[C@H](C)CC,0.2019
CC[C@H](CCO)[C@@](C)(CCC[C@H](C)[C@H](C)C(C)C)[C@@H]1CC[C@@H](O)C[C@H](C[C@@H](C)CCO)CC1,0.1128
CCC1=C2CC[C@@H]3C(=O)N(C[C@@H](O)[C@@H](O)CC)[C@@H](C#C[C@H](C)[C@@H](C)CCO[C@@H](C)[C@@H](O)CC[C@@H](C2)C1(C)C)[C@@H]3CO,0.4492
CCC1=CC=C(C)C[C@@H]1C[C@H](CO)CCC[C@@H](CO)C(=O)N(c1ccccc1)c1ccc(C2[C@@H](C)CC[C@@H]2C)cc1,0.4179
CC(C)CN(C(=O)C1CSC([C@](C)(O)[C@H](C)C[C@H](C)O)[C@H]1C)[C@@H](C)CO,0.3625
CC[C@@H]1CC[C@H](C)[C@](C)(O)N[C@@H]2C[C@@H](NCOC[C@@H]3CC(=O)OCC3N)C3=C4C[C@@H](CC)C(=N[C@@H]4CC[C@@H]32)NC1=O,0.5552
CO[C@H]1C[C@@H]2O[C@@H]([C@H]([C@@H](C)CC3C[C@@H](C)[C@H](C)C3)C(C)(C)O)[C@@H](O)C[C@H](C)C2[C@@H]1CC(C)C,0.2194
CC[C@]12OC(=O)N[C@@H](C(=O)O)[C@@](O)(CO)NC3=CC4=C=CCC=C=CC(C)c5cc(cc(Cl)c5O[C@H]1OC(COC)[C@@H]2O)O[C@@]1(O)O[C@@H](C(F)F)C(O)=C2OCCC3C(=C4)COC(=O)C(=O)N21,0.8384
COC1=CC(CC(C)C)[C@@]2(C)C(=C1)C1=C(NC(=O)[C@@H]1[C@H]1C[C@H](C)C[C@H]1C)C(C(C)=O)[C@H]2C,0.5078
CC[C@H]1N[C@H]([C@@H](C)OC)[C@H]2C(NCCC(=O)O)=C=C3C=CCC=CC3C(C3=CCCCC3)=C=C21,0.5045
