SMILES,Tanimoto
C[C@@H]1CC(CC(=O)N[C@H]2C3=C(CCCC3)C[C@H]2N)=CC[C@H](C)C1,0.2882
CCCC[C@H](CC(=O)N=CC1=NC[C@H](CCC)N1CC[C@@H](C)CC)[C@H](C)N,0.2699
CC[C@@H](C)[C@H]1C2=C(C(=O)C[C@@H]1Cl)[C@@H](C(C)=NC(C)=O)Oc1ccc(C)cc1C2,0.5585
CCC[C@H]1N(CO)[C@@H](C)C(=O)[C@@]1(CCC[C@@H](C)c1cc(CC)ncc1C(C)(C)C)C[C@H](O)CC,0.4787
CCNc1nc2c(c(CCc3ccc(OC)c4c3CCO4)n1)CCCC2,0.4911
CCC(=O)NOC1=C2C=C(C)C=CC2[C@@H](NC2=N[C@@H](OC)CC3=NC=CC=NC32)C1,0.5582
CCCNC(=O)N(C)C(CCCc1ccc(O)cc1C(=O)O)[C@H](O)CNC1CCC1,0.3735
CC(=O)[C@H]1CCC(C(=O)C2=N[C@@H](CC(=O)O)N=C([C@H](Cl)c3ccccc3C)C2)=C1Cl,0.5109
O=C(O)C[C@@H](c1ccc(O)cc1)c1ccc(CC2CCCC2)cc1,0.2586
CCC1C=C([C@H](C)C2C=CCC=C2)C(Nc2cc(Cl)nc(C)n2)C=N1,0.4259
CC(=O)[C@H](C)[C@@H](O)[C@]1(C=C2C=C3CCCCC3CC2)CC[C@@H](CC=CO)CC1,0.2281
O[C@@H]1CCCCCN2CC=Cc3ccc(nc32)NC2=CC(Cl)C=C3C2C[C@@H]2[C@@H]1CC[C@H]32,0.5306
CCN=C(C)C=C(C=C1CC2=C(C=C1C)C(N1CCOC1)=NNCC(F)(F)[C@@H](F)N2)OC,0.5299
CC[C@@H](O)CC(=O)NC1=C(CCCNC2=C[C@H]([C@H]3C=C(OC)C(=O)S3)C(N(CC)NCC3CCCC3)C=C2)C[C@@H](F)N1,0.5529
CC[C@H]1CC2=CC(CN)=CC(=C3C=C(C(=O)O)c4c(ccc5ccccc45)[C@@H]3O)C2N1,0.6140
CCCCc1cc([C@H](C)[C@@H]2CCCC[C@@]2(O)CCN)ccc1[C@H]1CCC[C@H]1N,0.3300
CCNCC[C@@H]1CCCN1Cc1ccc(CC)cc1CC,0.2802
COC1=C(C[C@H](C)C2CCON2)C[C@H](c2ccc(C)c(OC)c2)C=C1[C@H](O)C(C)C,0.4631
CCC(C)C1=CC=CC2C(O[C@@]3(CC(C)C)C(=O)NC(=N)C[C@H]3C)=C=C(O)C(O)C=C=C12,0.5146
CC[C@@H]1C[C@H](c2cc(OC[C@@H](C)O)cc(C(C)(C)CC)c2)C(C(C)=O)[C@@H]1C,0.3386
COC(=O)CCC1C=C(OC)C=CC1=NC(=O)c1cccc(C(F)F)c1,0.3626
CC1N[C@@](C)(O)C[C@@H]1C(=O)NC=C1C=CC2=C(CCC2)C1CCC(N)=O,0.3796
CCCC1=NC=C[C@H](CCC[C@@H]2SC(C3CCCC3)=N[C@@H]2CCC)S1(O)O,0.3521
C=NC(=N)NC1=C=C[C@@H](Cl)C[C@@H](C)C[C@H]1CCCC[C@@H](C)[C@H]1C[C@H]([C@@H](C)O)C[C@H]2CC[C@@H](C)[C@@H]21,0.2559
CCCC=C[C@H]1CS(O)(O)Nc2c(O)cc([C@@H]3CCCC[C@H]3C)cc21,0.4461
CC[C@@H]1C2=CC=C3NC(=NC(=O)N(O)CC)[C@@H]4C(=N)NC(C)=NC4=NC(=C31)CCOC(=O)NC1=CC(C=CC1)CN(CC)C2,0.6080
CCCCC(O)=C(CC1CCCC1)C[C@@H](Cl)C1=CCCCC1,0.1628
N[C@H]1C2=C(C[C@@H]3CC[C@@H]31)SC(=CC1=C(Nc3cccc(F)c3)C[C@H](CO)N1)N2,0.5449
CCC(=O)N=C1Nc2c(ncc3c2CC(F)(F)C3)[C@H]1C(=O)N1C(=O)CNNc2c(C(F)F)cccc21,0.7245
