SMILES,Tanimoto
C[C@@H](c1ccccc1C(F)F)[C@@H](O)C1C=CC(=O)N(N)C(CONCO)=N1,0.4744
C=NC(=O)NCCn1c(=O)[nH]c2ncnc(CC[C@]3(C4C=NC=CC4)CCC(OCCN)C3)c21,0.5224
CC=C[C@@H](OC1=C2CCC(F)=C2NO1)C(=COC)N[C@H](C)CC[C@@H](C)CC(C)=O,0.4346
CC[C@H]1CN(CC)CN(c2cc(C)n(O)c(=N)n2)C1,0.4275
C[C@H](O)[C@@H]1C[C@H](O)C[C@H]([C@@H](O)[C@@H](O)C(O)=C2CNC3=C2[C@H](c2cccc(O)c2)NN3)O1,0.5512
C[C@H]1C=C([C@H](O)CC[C@H]2C(=O)NC(=N)[C@@H]2CCC=O)CC[C@@H]1O,0.3090
C[C@](O)(CCCO)NC(=CCC1=C=C(N)NCNC(=N)N1)N=CN,0.2824
Cc1n[nH]c(=N)c2c1C[C@@]1(CC[C@H](CCN)N1)C2,0.4288
COC(=N)CCO[C@](O)(CO)CC[C@H](O)[C@H](O)CCn1[nH]c2cccnc21,0.3981
NC[C@H](C=C(O)C1C[C@H]2C[C@H](O)[C@@H]3CN=C(C[C@@H]23)OC2=CCC=CC2C#CC1C(F)(F)F)CO,0.4177
O=C1Cc2ccc(cc2)NCC#C[C@@H](CNO)[C@H](O)C[C@@H]2CCC[C@@H]2N1,0.3610
C[C@H]1C2=CC(=C=C3C(=O)NC(=N)C3=C=C3C=CCC=C3CC[C@@H]1C(N)=O)C=CC(N)=C2,0.4124
CCN1CCCC[C@@H](C)C2C(O)=C(O)C(O)C(N)=CC21,0.4004
COCCCC[C@H](CC(=O)O)Cc1cc[nH]c(=N)c1,0.2474
C[C@]1(CCCC=C2c3ccccc3NN2C#N)C[C@H](CN)C=C[C@H]1O,0.4047
CC1C2=C(CCF)N=CNC2=N[C@H]([C@H](C)[C@@H](N)[C@H](O)C(=O)O)C[C@H]1O,0.4743
CC(=N)NC1=CCC[C@H](CCC2=C(C)C(=N)C(=O)C2)[C@H]1C,0.2839
C[C@H](O)CNC(=O)[C@@H](O)CCc1ccnc2c1CCO2,0.3678
CC[C@@H]1CCC[C@H](C)[C@@H]([C@H]2C=C(O)C(=O)N=C2C)C1,0.2407
CCCN[C@@H](CC)CCC(C)C(N)=CN,0.1942
NCc1cnncc1C[C@]12CC[C@@](N)(CN)[C@H](C1)[C@H](O)C2,0.3483
O=C(O)c1cccc(C2NCC[C@@H]2c2cc(CO)ncn2)c1,0.4533
C[C@@H](N)C(=C=C(S)C1CNc2[nH]c(=N)oc21)OCO,0.4575
C[C@@H]1C=NC2=CC3=C(CONC3=N)N(C)C2[C@H]1[C@@H](C)N,0.5312
C[C@](O)(CC(=O)N1CCCC1)C1=c2c(nnc3c2=C(CCCCO)CN3)CCC1,0.6044
CN1CCC2=C1C1c3ccccc3COC1[C@H](O)C2O,0.5743
CC(O)=C=C1CC=C2N=C3NCC[C@]3(N=CC3=CC(F)(F)C=C[C@H]3C)N2C1,0.5810
CC[C@@H](COC)CN(C(=O)[C@H](C)CN)[C@@H]1CC2=C3C(C=C(O)C(O)=C2)N=C2C=CC=C(C=CS)C2N31,0.6365
C[C@H]1N=C[C@@H]2N[C@H]1CCCC[C@H](CC(=O)O)C1N=CN=C3NNC(O2)C3=N1,0.4704
CN(C)C1C=CC(Cl)=CC2=C1[C@H]1CC(C(=O)O)ON1c1c2cn[nH]c1=O,0.6848
CC1=NC2=Nc3c(O)cnc(C)c3C(=O)N3[C@H](CCO)C[C@@H](C)[C@H]3[C@H]2CC1,0.6139
C[C@@H](NC(=N)COC1=CC=NC(=O)C1=NN)C(C)(C)O,0.3118
CC[C@@H](C=Cc1c(C)[nH]c2[nH][nH]c(=N)c12)C[C@H](O)CO,0.4170
CC(=O)[C@@H]([C@@H](CO)C[C@H](O)CC(C)C)N1C=CC(=O)C(=CN)[C@H]1C,0.3798
N=C1NCNC1[C@@H]1C=C(O)[C@H](O)C[C@@H]1C(O)=CO,0.3432
