SMILES,Tanimoto
CCCCCCNC(=O)[C@H](C[C@H]1C[C@H](C)CO1)c1ccccc1Cl,0.3991
CCC[C@H](C)O[C@@H](OC)[C@@H](Oc1ccccc1CCCCOC)C(N)=O,0.4002
CCCCN[C@@]1(C(C)C)NC2=C(C=CC=C[C@@H]2CCNC)[C@H](C2C=CCC=C2)[C@]1(O)NC(=O)OC,0.5667
CCOC1=C2CC[C@@H]3N[C@@H](C[C@@H]3C)C3=C(C=CC=C4C(=O)[C@@H](CC)C(=O)C43)O[C@H]2SC1=O,0.5800
CCCCC(=CC[S@](C)(O)OC)C[C@H]([C@@H]1C=CC[C@H](O)[C@H]1Cl)[C@@H]1C(=O)[C@H]2CC[C@H](O)C[C@@H]1CC2,0.2662
CCC=C(N=C(NC(=O)C=C[C@@H](CCc1ccccc1)OC)[C@@](C)(O)OC)C(C)C,0.3386
CCC[C@](C)(O)OC1=C([C@H](C)O)[C@](OCC2C=CC(C)C=C2)([C@H](C)C[C@H](C)N(CC)C2=C(C(N)=O)[C@H](C)CC2)C(=O)N1,0.5879
CCCO[C@H]1C[C@H](CC)[C@@H](C2C(NC3C[C@@H](Cl)[C@H](O)[C@H]3C)C=CC=CC2C(=O)NC)[C@@H]1CC,0.3700
CCCCCC1=CCC2=C3C[C@H](C(=O)C[C@H](C)OC(=O)CCCCC[C@H](C)O[C@H](C4CCCC4)C2O)N(C)[C@H]13,0.4304
CC=C=C(C)C1=C(OC)[C@@H](OC)C(CC[C@@H](C)CCCC(CCC)C[C@@]2(CC)CC[C@H]2C)C1,0.3016
CCCCCCCOC1[C@@H](C[C@@H]([C@@H](C)O)[C@@H](O)C(=O)OC)C[C@H](c2ccccc2)C([C@](C)(O)CCC)[C@H]1O[C@H](C)c1ccccc1,0.3977
CC(O)C[C@H](NC=C(NC1=C(C(C)C)C=CC([C@@H](C)O)C(O)=C1)[C@@H](C)CO)C(C)C,0.3585
CCC[C@H]1CC[C@H](C)[C@@H](CC[C@H](CCCCCC(C)C)[C@@H](O)[C@H]2C[C@H](C(N)=O)[C@H](C)[C@@H]([C@@H](C)O)[C@@H]2O)[C@H]1C,0.2277
CCCCC1=C=C2[C@@H](CCCC)C=CC(C(C)=C=CC(=O)O)C[C@H]2[C@@]2(CC[C@H]2OC)[C@@H](O)[C@@H]1O,0.3102
CCCC=C=C(N)N(O)C(=O)[C@@H]1[C@@H]([C@H](Nc2cc(F)ccc2NC(=O)CO)c2ccccc2)[C@H](C(=S)N=C(C)C(C)=O)N1O,0.6169
CCCCCCc1cc(O)cc(CCCCC[C@H](C)CC)c1C(CCCO)=C1C=CCC(OCC)=C1,0.3874
CC[C@@H]1C(OOC(=O)C(C)C)=C[C@H]([C@H](C)CC)C(C(=O)N[C@@H]2CCC(=C=C(C)O)O2)=C1C(C)=O,0.4616
CC[C@@H](C)CC[C@@H](CCC[C@H]1CC[C@@H](O)C1)NC(=O)[C@@H](CO)[C@@H](O)CC,0.3295
C=C1C[C@H](C[C@H](CC)O[C@H](C)C(CCC(C)(C)C)=NC(=O)C2=C[C@@](O)(OC)C=C(O)C2)CC1=CCC,0.3789
CC[C@H](C1=C(O)C[C@@H](CCl)[C@@H]1CO)[C@H](C=C(C)[C@H](C)C=CCCO)CC(=O)O,0.2435
C#CCC(Cl)=C=C([C@H](CC(C)C)OCC)N(CCC)O[C@@H]1C=C([C@@H](C)N)CN1,0.4142
CC[C@@H]([C@H](C)NC1=C(O)CC(C=CCCCC(=O)O)=C1[C@@H](C(N)=O)N1C=CCC=C1)N(C)C,0.4577
CCC[C@H]1CC[C@H]2C=CC=C(C)N2[C@@]2(O)C[C@H]1CC(C)(C)[C@H](C)O[C@H](CC)c1c(cc(C(C)C)cc1OC)N[C@H]2C,0.6092
CCCC(=O)N(C)CC1=C[C@@H](N(C(C)=O)C2=NC3=C([C@@H]2C)[C@@H](Cl)[C@H](C)[C@H]3C)C=C[C@H]1Cl,0.5051
C[C@@H]1CCC[C@H]1[C@@H](C)CC[C@H](C)[C@H](O)[C@H](CO)[C@@H](CCC[C@@H]1CN(C)CCO1)C(=O)O,0.2824
CCCCCCCCC[C@@H]1CC[C@@]2(O)CC[C@@H]([C@H](C)O)C[C@@H]2[C@@H]1C,0.1494
CCC1C=C2O[C@H](C)C[C@](C)(NC(=O)C(=O)O)C[C@H]2C2=C1C[C@](CCCCC(C)(C)O)(CCC(=O)O)[C@@H]2O,0.4405
CC1=CN([C@@H]2COC3=C(O2)SC(Cl)S3)C(=O)C(=CCCC(C)C)[C@@H]1[C@H](C)[C@H](C)[C@@H]1C[C@@H](CCN)C[C@@H]1C,0.5114
CC[C@H]1O[C@]2(O)C[C@@](C)(C=C(C)O)C[C@H]([C@@H](C3=CCC[C@@H](C)C3)[C@](C)(O)[C@H](C)O)[C@H]2C=C2C[C@@H](C)C[C@@H]21,0.3149
C=CN(C[C@H]1CC[C@@H](NN)C1)C(=O)C[C@@]1(O)CCC[C@H](C)C[C@](O)(N=CCC(C)C)c2ccccc2[C@@H]1C,0.5022
CCCCS[C@H](C)C[C@@H](CC[C@H](C)O)[C@@H]1C=CC=C[C@H]1[C@H]1C(O)=C(CC)N=C[C@@H]1CCC,0.2918
CO[C@H]1CC(OC(C)C)[C@@H]([C@@H](C(=O)NC2CCC(Cl)O2)[C@@H](NC(=O)C(C)(C)C)C(C)=CC(N)=O)C1,0.4462
CCC[C@H]1C[C@H](C[C@@H]2CC[C@@H]([C@@H](O)Cc3ccccc3C[C@@H](O)[C@H]3C=C(C(C)(C)O)S[C@@H]3[C@@H]3CCCO3)C2)CC[C@@H]1O,0.4189
CCC1CC(C[C@@]2(C)C[C@H](C)[C@@H](O[C@@H]3CC[C@H](C[C@@H](C)CC)[C@@H](C4=C(O)CC5=C4CCC5)O3)O2)=C(C)N1,0.4479
CCCCC(O)CCC(=O)[C@@H]1[C@@H](C[C@@H](O)C(O)=C=C(NCC)C(=COC)C(=O)O)[C@H](C(=O)OCC)NN1C,0.4724
CC[C@H]1CC(C)=C[C@@H](CCC[C@H](C)O)[C@@H]2CC[C@H]([C@H](C)O)[C@@H]12,0.1689
CCCCNC(=O)[C@@H](CCC)C[C@@H]1C[C@H]([C@H](O)c2ccccc2)[C@@H](Cl)[C@@H](C2CCC(=O)O2)C1,0.3769
CC(C)CCC[C@H](C)C1=C[C@H](CO)OC[C@H](C(C)C)C(C)(C)C[C@H](C)C1,0.1970
CC#CCC[C@@H](C)c1ccc(C(C)(C)CCC(=O)O)cc1OCCOC,0.3962
CCCN1C=C(CC)c2cc(Cl)cc([C@H](CCC[C@@H](C)C=C=CO)OC)c2C1,0.4542
CCC[C@@H]1C[C@@H](C)[C@H]2CCC(C)=C[C@@H](O)CCOCCCC[C@H]([C@@H](C)N)O[C@H]3[C@H](C)[C@H](C[C@@H](C)OCC)[C@H]3[C@@H]1[C@H](O)[C@@H](C)O2,0.2532
C=CC1=C[C@](N[C@H](C(=O)O)c2cccc(Cl)c2)([C@@H](NC(C)C)[C@@H](C)O)C=CC1,0.4329
COC(=O)[C@H](C[C@H](O)CCc1cccc(Cl)c1)[C@@H]1S[C@@H](CCCC(=O)O)C[C@@](C)(CO)[C@@H]1C,0.3202
COc1ccc(C[C@@](O)(C2=CC=CCC=C2)[C@H](C)OC)c(N2CCCCC2(O)O)c1,0.5425
CCCCCC[C@H]1CC[C@@H](CCC[C@@H](CCC[C@H]2C(C)=C(C)CC2(C)C)[C@@H](C)C(N)=O)C1,0.1938
CCC1=C(C[C@@H]2CC(=O)[C@H](CO)C2)[C@@H](C)[C@H](C)[C@H]1NC(C)C,0.3003
CO[C@@H]1C[C@H]([C@@H](C)C2CC[C@H]3[C@@H](CCCCO)[C@@H](CO)C=CCN23)SS1,0.3320
CCCC[C@H](CCc1ccc(C(C)C)cc1)[C@H]1C=CC=C[C@@H]1CC[C@]1(CO)CC(C)=C(C)N(CO)C1,0.3871
C[C@@H]1[C@@H](O)[C@@H]2C(=C[C@H](CO)[C@@H](CO)[C@@H]2O)O[C@H]1[C@H](C)OCC1CCC1,0.3003
CCC[C@@H](C)[C@H](C)C[C@H](CC)[C@@H]1CC[C@@H]2CCC(=O)N2C[C@@H]2C[C@H](O)CC[C@H]21,0.3929
CCC[C@@H]1C[C@H](COC2=C[C@H](O)C(=O)CC2)[C@@H](OC(C)(C)CCCCC[C@]2(C)CCC[C@H](C[C@H](C)O)O2)C[C@H]1C(O)=C=CCOCC,0.2966
CCC[C@@H]1C=C(N(C2=CCC(OC)=C[C@H]2O)C2=NCN(C)C2)NN(CCC)C1=O,0.5213
CC[C@H](O)CC=CC[C@H](O)C[C@@H](C[C@H](C(=O)CC(C)C)[C@H](O)CC)C[C@H](O)[C@@H](C)Cc1ccc(O)cc1,0.3267
CC[C@H](OCCC[C@@H](C)C(C)O)C(CCc1ccccc1O)[C@H]1C=CC=CC1C,0.3258
CC(=O)CCCC[C@@H](O)[C@H](O)C1=C[C@@H](C)C[C@H](C)[C@H]1C[C@@H]1CCC[C@H](C)ON(C)[C@H](CO)C1,0.2733
CCOC1=NC2=C3C(=CN([C@H](Cl)c4cc(O)cc([PH](O)(O)O)c4)N=C3C(OC)=CC2)C(O)C1,0.6495
CCCOC=C(C)[C@H]1C=C=C[C@@H](C)[C@@H](O)CCCC(C)(C)CCC1,0.1774
C=C(O)[C@@H]1C=C(CCCC)C[C@H](Cl)[C@H]1[C@@H](O)[C@]1(C)[C@@H](CC)[C@H](C[C@]2(O)CCC[C@H](C)C2)O[C@H](C)[C@@H]1C1=C(OC)OCC1,0.3781
CCC#C[C@@H](C)[C@@H](CO)CC[C@H](C(O)[C@@H](CC)CCC=O)[C@H](O)[C@H]1C[C@H]([C@@H](O)CO)[C@H](C)[C@@H](C(O)C(C)C)[C@@H](O)C1,0.1644
CCC1C[C@](C)([C@H](O)CC[C@H](C)CO)[C@@H](C[C@@H](C)[C@H]2CCCN[C@H]3C=C(C)C=C[C@H]23)C(O)=C[C@H](OC)[C@@]1(O)C[C@H](C)O,0.3669
CC=CC1[C@H](O)C(CCCOCCOC(=O)CC)NC(Cl)=C[C@@H]1Cl,0.3189
CCCC=CCc1cc(F)c(O)cc1[C@]1(OCCO)C[C@H](C=CC(N)=O)C2=CN(C)[C@@H](C)C[C@@H]21,0.5784
CCCCCC1=C(OCC)C=C(O)[C@H](C(=O)O)C1[C@H](C)[C@H]1CC[C@@H](C)[C@H]1OC1=C[C@@H](Cl)C(C)=CC1,0.3876
CCCC[C@@H](C[C@@H]1CC=CCC1(C)C)C(=O)Nc1cc(Cl)cc(C[C@H](C)O)c1N(C)C,0.4862
CC[C@@H]1CC2=C(O)CC=CC2[C@@H](N2C[C@H]([C@H]3OCC[C@H]3C)C3=C(C)N(CCCCCO)CC32)[C@H](CC)c2cc(C)ccc21,0.6013
CC=C=CC(Cl)C=C=CN1C(NC(N)=O)=CCC=C1NC(=O)Cc1ccc([C@@H](C)OC)cc1C,0.3594
CCOC[C@H]1C[C@H](C)C[C@]12CC[C@H]2CC[C@H](C(C)C)[C@@H]1C[C@@H]([C@H](O)CCCCC[C@H](O)CC)NC[C@@H]([C@@H](C)O)[C@H]1O,0.3117
