SMILES,Tanimoto
CC(=O)OC[C@H](O)[C@@H](C=NC(C)(C)O)n1cc(C)[nH]c(=O)c1=O,0.3322
C[C@H]1CC[C@@H](CC=C(NC[C@H](C)C(=O)O)[C@H]2C=C(Cl)C=C([C@@H](O)C(C)(F)F)[C@@H]2OO)C1,0.3685
CCC[C@H](CCCN1C[C@](C)(CCC)CC[C@@H](CCCC(=O)O)C1=O)C[C@H](C(=O)O)[C@@H](O)CCF,0.2484
C=C1C(=C2CC(C)(C)CO2)CCC1[C@H](CC(=O)N1C[C@@H](C(=C)C)C1=O)[C@@H](O)[C@@H](O)CC,0.3638
CC[C@H](O)C[C@@H](OO)ON[C@@H]([C@H](C)[C@H](O)[C@H](C)O)[C@@H](F)C[C@H](C(=O)OC)c1ccccc1,0.3829
N=C1C([C@@H](C[C@H](NO)C(=O)O)c2ccnc(CN)c2)CNC(=O)N1CN,0.3947
COC=NC(=O)CCc1cc([C@H](C)NO)ccc1NC(=O)CO,0.2753
CC[C@@H]1C(C[C@@H](C)[C@H](C)C(=O)F)C[C@@H](C)[C@H](C(=O)O)[C@H]1CCCC[C@@H](CC(=O)O)OC(C)=O,0.2154
C[C@H](N)CC1=C[C@H](C2=C(F)C[C@@H](CO)C2)C=C(NC(=O)C(O)CC2=CCC(F)=C(Cl)C2)C1,0.3435
N[C@@H]1C=CCC(Cl)C=C1C(C=CC(=CN(O)O)c1ccc(F)cc1)C(=O)O,0.3579
CCCCC=C[C@@H](C1=C(C(=O)O)C[C@@H](C(F)F)C1)c1cc(C(=O)O)ccc1[C@@H](C)O,0.4572
NC[C@@](O)(C[C@@H]1CC=CC=C1F)Oc1ccc(OC[C@@H](F)NO)c([C@@H]2C[C@H](O)[C@H](OO)C2)c1,0.4068
C=C1C=C([C@H](NCC(N)=O)OC(=O)N[C@@H](CO)[C@H](O)COc2ccc(F)cc2)SC1,0.3541
CC=NCC=C=CC1=C(CN(O)CC)[C@@](O)(C(=C=C2CNC2)[C@@H](O)CCC(C)C)CC1,0.3515
CCCC=C[C@H](C(O)C1=C(O)CC(OC)C1)[C@@H]1N[C@H](CO)OC2=C1CC(C)C2,0.3751
CCC[C@@H](O)[C@H](CCO)CC(=O)N[C@H](CCCC1CCCCC1)[C@H](O)[C@@H](O)CO,0.2109
CC[C@H](O)CO[C@H](C[C@H](O)C=CC(=O)O)c1c[nH]c(=O)c(F)c1,0.3020
CCCC[C@@H](C)C(=N)N(O)CC[C@@H](CCC)C[C@@H](CCN)C(=O)O,0.2112
COc1c(C)sc2c(=O)n(C(=O)[C@@H](CC3CCC3)C[C@@H](O)[C@H](O)CC(C)C)[nH]c12,0.4413
CCN[C@](OO)(C(=O)NC[C@@H](C(O)CCCCOC)[C@@H](C)C(O)(O)C[C@@H](C)O)C(C)=C(CC)CNC(F)F,0.3821
CC=CC(=C=C(C=CC(CO)CO)CCC)[C@H](N)C(=O)O,0.1685
