SMILES,Tanimoto
N=c1cc2nc(Cl)nc(-c3cccc(OP(O)O[PH](O)(O)O)c3)c2c[nH]1,0.4054
Oc1ccc2cc3c(cc2c1)C[C@@H](C[C@H](OP(O)O[PH](O)(O)O)O[PH](O)(O)O)C[C@H]3O,0.3406
Nc1ccc(C(=O)O)cc1N[C@@H](CO)CN[C@H](CC(=O)O)O[PH](O)(O)OOO,0.3468
N=c1[nH]cnc(CC[C@@H](O)C[C@H](O[PH](O)(O)O[PH](O)(O)O)C(=O)O)c1CN,0.3638
CCC[C@@H](O)[C@@H](COC1=C(Cl)C(=NCO)NC1)CO[PH](O)(O)OP(O)O,0.3194
CCCC[C@](O)(CC=C(CPO[PH](O)(O)O)C(C)CCC(=O)O)c1ccc(C=O)nc1,0.3854
N=c1cc(F)c(=N[C@H](O)[C@H](O)CCOP(O)O[PH](O)(O)O[P@TB7](O)(O)(O)O)nc[nH]1,0.3102
CCCOCO[PH](O)(O)CO[C@H](CC[C@@H]1[C@H]([C@H]2CC(C(=O)O)ON2)N[C@H](CO)O[C@H]1Cl)COC(=O)C(O)(O)C1C=C[C@H](C)C(F)=C1,0.5382
C[C@H](CCN(CCC(=O)O)CC[PH](O)(O)O)[C@H](C)C1=CC=C(O)CC=N1,0.2401
N=c1cc2[nH]c([C@@H]3COC(=O)[C@H]3CO[PH](O)(O)O[PH](O)(O)O)nc2cnn1,0.4296
O=C1C2=C[C@H](CCC[C@H](CCC[PH](O)(O)O)[PH](O)(O)O)CC3=CCC=CC3=C2CC1O,0.3328
CCN[C@H](c1ccc(O)cc1O)[C@@H](CC(=O)O[C@@H](O[PH](O)(O)O)[PH](O)(O)O[PH](O)(O)O)[C@@H]1C=CC(F)=CC1,0.5067
COc1[nH]c(=O)[nH]c1NN1CCC[C@@H](CCCCCOP(O)O)O1,0.3432
CC1C=C(O)CC2=C1NCN2CCC[C@@H](C[PH](O)(O)O)NS(O)(O)OP(O)O,0.3653
N=Cc1ccc(N2CN=C2CCC[C@@H](CC(=O)C[C@H](O)[PH](O)(O)O)C(=O)O)cc1,0.3527
