SMILES,Tanimoto
NC1=CCC(NC(=O)O)=CC1c1nccc2c1C=C1C=CC=C(O)[C@@H]1[C@H](O)C2,0.5248
CC1CCc2c1[nH]c1c2C=C2CC=C(C(=O)O)[C@H]3C[C@H]4[C@H](C)C[C@@H]1N4[C@@H]23,0.6043
COC(NC(=O)N(C)O)C1=CC[C@@H](C(=O)O)C=C1N=C1C=CC(Cl)C=C1F,0.4220
CO[C@H]1C2=NC(=O)N(C)C(=O)C2=C2NC3=C(OCN3)N2c2c(Cl)cccc21,0.6478
Cc1cc2c3cc1CCC[C@@H](O)CCCc1cccc(c1)[C@@H]3CCNC2,0.2991
CC=C1N=C2C(C(=O)O)=CC(C)(C)C=C2C2=CCC=CC12,0.4055
O=C(C1=Cc2cc(NF)ccc2N(O)[C@@H]1Cl)N1CC=CCC1,0.4274
O=C1C=C[C@H](N[C@@H]2N=C3[C@H]2c2ccccc2C(=O)N3c2cc(O)cc(C(=O)O)c2)C(=O)N1,0.5954
C[C@@H]1CC2=COC[C@H]3C2=C(C2=C1C1C=C[C@@](C)(O)C=C1O2)[C@@]1(C)C2=C(CCC2)[C@H](CCCO)[C@@H]31,0.4070
CC[C@@H]1C2=C(CC[C@@H]2O)C2=C([C@H]1[C@@H](O)C(N)=O)[C@H](O)[C@H]1[C@@H](CO)COC(=O)[C@@H]1[C@H]2O,0.3989
CCC1=Nc2nc(cc(O)c2O)C2=C(C(C)C)NC(CC(C)=O)[C@H]2N(Cl)C2C=C(C)[C@H](O)C1=N2,0.6381
CC1=C2C=Nc3ncc([C@@H](C)[C@H](C)[C@@H](C)O)cc3C2[C@H](OC(=O)c2ccnc(C)c2)N1CC(C)C,0.6105
O=C1CC(N2C3C=C[C@@H](Cl)C=C3C3=C4[C@H](C[C@@H]3S(O)(O)O)c3ccccc3[C@H]42)=C=CC=N1,0.6287
COCc1cc(CCC(CO)C(=O)O)c2c(c1O)C1=C3C2=C[C@H]2[C@H](CO[C@H]2C)[C@H]3CNC1,0.5868
C[C@@H]1C[C@H]2CC[C@H]([C@H](C(=O)NC(O)(O)C[C@H](O)c3cccnc3)[C@@H]3CC=C[C@@H](C)[C@@H]3C)C[C@@H]2[C@@H](O)C1,0.3331
CC(=O)Nc1cc2c(c(OC(=O)CO)n1)CC(=C(C)O)C1C=NC=NC21,0.5714
Cc1sc2c3c1NC(CCO)=CC1=C3[C@@H](CC1)C[C@H](O)[C@@H]2C,0.5822
CC(=CCNO)C[C@@H](C(C)C)C1CCCC1,0.0829
COCC(=O)NC1=CC(COC)=C2C=CN=C[C@H]2C2=C1CCCC=C2,0.3893
CC1=C2C3=C(C=C4NC(=O)S[C@@H]4N3N1)C(=O)C[C@@H]1ONCC21,0.6290
CCN=C(C)N(c1cccc(C(=O)O)c1)C1N=CC2NCN(CC3C[C@@H](O)[C@H](O)C3)C2=N1,0.4561
CC1=CC(C2=C=C(CCC(C)O)C(O)=C(Nc3ccccc3)N(F)C2=N[C@](O)(C(N)=O)C(C)C)C=CC1,0.5550
CO[C@H]1C=CC=C[C@@H]2O[C@H](C(=C3NNC(=O)[C@@H]3C)C(C)C(=O)O)O[C@@H]12,0.4002
O=C(O)C(=NC[C@H](O)CO)C(=O)NCC1=C=CCC=C=C(O)c2cc3cnccc3cc21,0.4268
C[C@@H](O)C1C2=C(C=C3[C@H](C(=O)NC3(C)C)C3=C=C2N(C)C(=O)C2=C3NCC2)NN1c1ccccc1,0.6362
COC=CCC=CN=C1C=C2C(=C(O)[C@H]1C(=O)O)NC[C@H]1CCC3=C1C2C=C(N(C)O)C3N,0.5261
O=C1OOCCNc2c(Oc3ccccc3)cc(CNCO)cc21,0.3825
C[C@@H]1CC[C@H](O)[C@H](O)CC[C@@H]2CCNC2=C2CC3=C(C2)C(C=CC3=O)c2ccnc(c2)[C@@H]1C,0.4511
CN1CC=CCC=C=C2C=CC(O)=C(N)C3=C2C2=C4[C@@H]3CC[C@@H]3O[C@@H](N(O)O)C[C@@H](C(O)=C1N2)[C@@H]43,0.5543
CC[C@H](CO)[C@@H](O)CC1=C(C2=C3N=C4Nc5ncccc5N4C(=O)C3C(=O)N=C2)CCS1,0.6010
CCN(CC)[C@@H]1C2C=NC(C)C=C2[C@H]2C3=C(CN21)[C@H](C)C(O)(O)N[C@H]([C@H](C)OC)C3=O,0.5459
CCCNCC1=NN=C2NC1=C=C1CC(F)=CC3=C1O[C@H](C3)[C@@H](O)c1ccc(O)c(c1)[C@@H]2CC,0.5969
CC1=C=C2C3C(=COc4cccc5c4[C@H]2N2C5=C(C(=O)O)CC2C=C1CO)CNN3C,0.6569
CCC(C=CCCC=NC=O)OC(NC1C=CC(Cl)C=C1)=C1C=CNC(=O)C1,0.3133
C[C@@H]1[C@@H](O)[C@@H](C)C2N=C(Oc3cccc(C(=O)O)c3)C=C(NC3=C[C@H](F)C=C(F)C3Cl)N21,0.5603
CCSC=Nc1nc2c3cc1C(=O)NCC=CC=CC(=O)NC1=CCC=C(C13)[C@@H]2O,0.6150
COC1=CC(C)C2=C(C1)[C@@H]1[C@H](C[C@H](C3CCN(O)CC3)C(=O)N1C1=CC=CN=C[C@@H]1OC)[C@@H]([C@@H](O)CO)[C@@H]2OC,0.5457
CCCCCOC1=CC(C=CCc2cccc(CC(=O)O)c2)C=CC=C1,0.2079
COC1=CC2C=NC(C(=O)NCCC(=O)O)=CC2=CC1=C[C@@H](C)C1CC[C@@H]2C(O)=CC=CC2=NS1(O)O,0.5155
O=C(NCN1CC(C(=O)O)C2=CC(O)=CC3=c4cnccc4=C4C(CC[C@H]4C(=O)O)C3=C21)c1ccccc1,0.6122
Cc1cc2c(cn1)OC1=CC=C(C(=O)O)[C@@H](CCCN(C)C(=O)CO)[C@@H]12,0.5225
CCN1CNC2=C3C1[C@H]([C@@H](O)[C@H](C)O)[C@@H](C)[C@@H]3SC2CC(=O)O,0.5288
CCCCCC1=C[C@H](CO)[C@@H]([C@H](O)c2ccccc2)C=C1CC[C@@H](O)[C@H](O)CO,0.2701
C[C@H]1C=CC(=C2CCCC2C(=O)O)C=C1[C@@H]1CCC[C@@H](O)[C@@H](O)[C@H]1O,0.2518
CNCCCC1=CC(=C2NCc3ccc(CC(=O)O)cc32)C(=O)S1,0.4288
CC[C@H]1C2C=CC([C@@H]3[C@H](c4cccnc4)C(=O)[C@@H]4C[C@@H](C)ON34)C=C2N(CO)[C@@H]1CO,0.5601
COC(=O)C[C@@H]1CC2C(=C3C=CCC=C[C@@H]3[C@H]2c2ccc(O)c(O)c2)[C@@H]1N(O)[C@@H]1CCOC1,0.5083
CC1(C)C[C@@H](C2=C=C3C=CCC=C3C[C@@H](c3ccccc3)C2)C(=O)[C@H](C(=O)O)N1,0.4010
COC(=O)C1=c2cc3c(cc2N2C4=C1CN=C1N=NN[C@@H]5CC(OC)=C(O)[C@H]5C2=C14)=C(O)[C@@H](O)[C@H]3O,0.6931
CC1=CCC=C[C@H]1[C@@H]1NC(=O)[C@@H]2[C@@H]3CCC[C@H]4[C@@H](C(C)C)[C@H](CC[C@@H]5C=CCC=C5F)C[C@@]2(O1)N43,0.5183
CC1=C=C(C)c2ccnc(c2)N(C)[C@@]2(O)CC(=C3CCCC3)CC(=C3N=C(C#C1)[C@H](C[PH](O)(O)O)N3)N2,0.5928
Cc1nc2c(s1)N[C@@H]([C@H](C)C(=O)O)C(=NO)NCC(C)(C)[C@@H]1C=N[C@H](C)C2=C1,0.5382
COC1[C@@H]2C[C@H](C)CC(C)=C(O2)C(=O)[C@H]2CC(=C(C)C2=N)CCC[C@@H]1C,0.3509
C[C@H]1CCCOC2=CC[C@H](CCCCC(=O)O)[C@@H]3C4=CC[C@H](O)[C@@H](O)[C@@H]4[C@@]1(C)[C@@H]23,0.2611
C[C@H](NO)OC1C(C(N)=O)=CC=C2[C@H]1CCCOC[C@@H]2N(C)N,0.4281
CCc1cc2c3c4c([nH]c3n1)C([C@H](O)C(=O)O)=CC(=O)N1CCC[C@@H]3C=C5NCN2C5=C4C31,0.6986
CC(C)C=CC1C=C(C(=O)O)C=C2C(C(=O)O)=C3SC(=N)CC3=C21,0.4388
CC1=C2C3=COCS[C@@H]3CC2C(=NC2=N[C@@H](C(=O)O)C(=O)C2)C=C1,0.4832
CCc1cc2c(cc1CC(=O)O)N[C@H]1[C@H](CC[C@H]1O)[C@H]1[C@@H](O)[C@@H](O)[C@H](C)[C@@H]21,0.4512
