SMILES,Tanimoto
CCOC1OCC(C2CC(O)=C(C(O)=CCCNC(=O)CN)C2)O1,0.2777
CCOC[C@@H](C)C(CCN)[C@H]1CC[C@@H](C(=CN=CNC2CC[C@H](OCC)C2)OCC(=O)N2CCCC2)N1,0.3424
C=C(CC)CN=CCCN(CCCCC=CC#CCl)C(=O)[C@H]1C[C@@H](C2=CCC=CC2)C(=O)N1,0.3269
CC=CC=CCCN=N[C@@H](CC=C1CCC(OC)C1)C1COC(OC=C=CCC)C1,0.2370
C[C@H](CCC=CN)CCC[C@@H]1C=C(OCCC#CCCl)NC(CCC=C=CCN)=N1,0.2647
C=C1N=C(NCC[C@H](C#CCCCO)OCCOCC)CN1OC,0.2555
CC#CCC=CCCCC[C@@](C[C@@H]1CCC(CC(F)(F)F)=C1F)(NC[C@H]1CCC(=CC=CCO)N1)[C@@H]1C[C@H]2CCC[C@H]2N1,0.3151
C=CC(C)C(C=CF)N1CC[C@H](CC(=O)N(COC2=CCC(C#CCl)=CC2)C2=N[C](NCC=C(C)C)NC2)C1=O,0.4107
CCCCC1Cc2c(cc(F)c(F)c2C(=O)O)[C@@H]1CCCOCCCC=CC(=O)O,0.3556
CCC[C@H](O)C=C1CN(CO)C2=C1C[C@](O)(CCCCCNCCO)N2,0.3356
COC1C=CC(O)=CC=C1N1CC[C@@H](CC(=O)NNC[C@H]2CC=C(Cl)C2)C1,0.3166
CCCCCOC=CC(CCNCc1cc(CC)ccn1)c1ccc(O)cc1,0.2984
CCCCCCC[C@H](O)CCC=CC(CCCc1ccc(C)s1)C(=O)NC[C@@H]1CC=CC=N1,0.2733
N[C@H](C=C=CCC#CCl)CCN(CCCc1ccccc1)C(=O)NCNCCC=CCCO,0.2206
CC(C)=CCC=CC=CNC(=N)C1=C[C@@H](c2cccc(N)c2)CC=C1OC[C@H]1C(=O)CN(F)N1F,0.4189
CCCCCCCCCC[C@@H]1CC[C@@H]2CCCC[C@H](CCCC(=O)O[C@@H]3CC[C@H](Cl)C3)N12,0.1856
CCNCCC=C1C=C(CCC=CC(C)C)C=C[C@H]1c1ccc(C=CNN)cc1,0.2795
Nc1cccc(C[C@H](O)[C@H](OCCCCCCl)c2ccc(CCCCCO)cc2)c1Cl,0.3017
CCCCCCCC(=O)N=C[C@H]([C@@H](C(=N)C=CC=CC(C)C)C(=O)Oc1nc2c([nH]1)=NCNC=2)N(C)C,0.4123
CC#CCC=CCC=C1CC(N(CO)[C@@H]2CN(CC(N)=O)c3ccccc32)=C(CCNC(=O)C[C@@H](N)C[C@H](O)CC)N1,0.5240
C=C(C=CC=C1C=CNC(=O)C1)[C@H]1CN(C(C)C)CN1CCC[C@@H](C=O)CN,0.2486
CCCCCCCCOC1=C[C@H]([C@@H](C)CC[C@H](C)CC)C=C(CCCCCCCC)C1,0.1684
CC=CCCCCCC[C@@H](O)C[C@H](CCN[C@H]1C2=C(C[C@@H]1O)C(CCCC)=CO[C@H]2C)CN[C@]1(O)CC2=C(C)CC[C@@H]2CN1,0.4041
CC#CCCCCSCC(=CN1CCC(=C[C@@H](C)CCCCS)N1)O[C@@H]1C=C(Cl)C=C[C@H]1C(=O)O,0.3571
CCCCCCCNC(=O)CN(CCc1ccc(OC)cc1)c1ccc(CCNCCC)cc1C,0.3787
CC(CC=NCCOCCO)NN=C1CN(CCCC#CCl)C[C@H]2CN[C@@H](c3cc(F)ccc3O)[C@H]12,0.4200
CCCCC=NCCCN=C(N=NCNCCCCCCCC)C1=CC(=C2C=C(O)C=CC2)[C@H](C)C=C1,0.2798
CC#CCC[C@H](C)CCN[C@H](CCC[C@H]1CC[C@@H](C)N1)Cc1ccc(NCC)cc1,0.2619
CCCC=CCCCC[C@H]1C=C(CN2CCNCC2)C(O)=C[C@@H]1CCC=CC#CCl,0.2039
OC1=CCC(CN[C@@](O)(CC2=C(C3CC[C@@H](CF)C3)CNC2)NCC2CC(C#CCl)CO2)=CC1,0.3295
CC=C=CCCCCCN1[C@@H](O)[C@H]([C@@H](O)C2C=CCC(C)=C2)O[C@@]1(O)C=C=COCCOCCl,0.3776
CC#CC1CN[C@@H](C(C)N[C@]2(C=NC(C)=O)C[C@@H](c3ccc(C=CCC)cc3)N2CCC2CC(Cl)=C(F)N2)C1,0.4519
Cc1cc(N=C(NC=N[C@H](CO)[C@H]2COC(=C=CCF)C2)N2CC3=C(C2)[C@H](CCC[C@@H](C)O)CC3=O)ccc1OC(C)(C)C,0.4636
COOC=C(C)CC#CC1=C[C@H](OC)C2=C(CCS2)c2ccccc21,0.3942
CCNC=CN(C=CC=CCCl)CC1=NC(=C=CCCOCCO)CC(Cc2ccc(C)cc2)=C1,0.3217
CCCCCCCC[C@@]1(O)N[C@@H]2CC(N=C[C@H](C)N)=CC([C@@H](CC)C(=O)NCc3cccc(O)c3)=C2CC1(O)O,0.4774
CCNCCCCC1=CC(OCCSC=C=CF)=CC(CC[C@H](C)O)C1O,0.2389
CCCC=CCNCOO[C@H](NC[C@@H]1CC[C@@H](CC(C)(C)O)C=N1)c1ccc(OCCCNCN)cc1,0.3506
CC(=C=CN)CNCNC[C@H](NCCNCC(C)C)C1CC[C@H](C(=N)F)C1,0.1860
CC=C=C1C=CC(CNC(=NNCCCCCC)[C@H](O)[C@H]2C=CC=CC(N(C)CC(F)F)=C2)=CC1,0.3135
C[C@H](CCc1ccccc1)NC(=O)N(CCOS(O)(O)CO[C@@H]1CC[C@H](Cl)C1)c1ccc(N)c(O)c1,0.3871
CC=C=CCOC[C@@H](C)N[C@@H](C(=C[C@H]1C=C[C@@H](CCCCCCC)C=C1)N[C@@H]1CCCN(C(C)=O)CC1)C1C=CC=CC=C1,0.3129
Cc1ccc([C@@H]2C[C@@H](CN=C[C@@H]3CC[C@H](C)C3)C(C=CC=C=CCCF)C2=S)cc1,0.3310
COC1=CCC=C(CC[C@H](N=NC(=O)C/C=[C]/C(=O)O)C(=O)N=C2COC(Cl)=C2C)C1,0.3299
CC=C=Cc1ccc(C(O)C[C@H]2CCN([C@H](C(C)C)[C@H](C)O)CC[C@@H]2CCNN2CCC(=CCC)C2)cc1,0.3152
O=C(CCCc1ccc(O)c(CO)c1)c1ccc(OCCO)cc1,0.3198
CC#CCCC=CC[C@H](NC(=O)N[C@@H]1C[C@H](CCC)CN(O)[C@H]1[C@](C)(N)O)C(=O)NC1=CC(=C=CC(C)C)CC=C1,0.3939
C[C@H](O)[C@@H](C)C[C@@H]1CC[C@@H](CCCC(=O)O)C[C@H]1COC1C=CN(C)C=C1,0.1340
CNC1=NC[C@](CCOc2ccccc2C)(NC(=O)c2cccc(COC)c2)N1,0.3871
CCCCCCCO[C@@H]1CN(C(C)=O)C[C@H]1OO[C@@H](O)CCCCCCCCC(C)C,0.2470
CCC=C=CCCCCON=C(N[C@@H](C1C=CC(O)C=C1)[C@@H]1CCN[C@H]1C)ONC(=O)CCCCCO,0.2932
CO[C@H](C)C1=C([C@H](CCCCCCC[C@@H](C)O)CCC(=O)NCC(C)=O)NN(CC2=NNN(C)N2)C1,0.3604
CC=C=CCC=NCOC(C[C@@H](C)C=CN(C)C)OCCCCCCCCCCl,0.1458
CCOCC=CC#C[C@H]1C[C@H]([C@@H](Nc2cc(C)ccc2O)c2ccccc2)[C@@H](NC(C)=O)C1,0.4281
CCCCCCCCC(=O)NC[C@H](O)C(=NCCC1=C(OCCC)CC(=CC(F)(F)F)C1)NCCCCC=CCCO,0.3044
CCCCCCCC[C@H](CCCOC)COCC,0.0571
CC(C)NC1=COC2=C(C1)C1=C(C2)N2CC(C=C=CC3=CC=C(F)CC3)=N[C](CCO)N=C2C1,0.4906
CCNc1ccc(CN(CC(=O)NC[C@@H]2C[C@H]3CCCN3C2)CC(O)=C(O)CC[C@H](O)CC)cc1,0.3702
CCC=CCC=CCO[C@H](CCCCCCCCC)COc1ccc(C)cc1,0.2730
CCCC=CCCNCCCCCC[C@@H]1C[C@H]2C[C@H](CCCCCCOC)C[C@H]2[C@@H]2C[C@@H]3C(=C=CCCF)[C@H](N)OC[C@@H]3[C@@H]2[C@H]1O,0.2592
CCCC=C=CO[C@@H](N=CC(=O)NC(C)=O)N=CC(O)=CCCCCCN,0.1853
CC=CCCC[C@@H]1C[C@H](O)[C@H]2CC[C@@H](COCC)[C@H](C[C@H](C(=O)O)c3cccc(CCC[S@SP1](C)(F)F)c3)N2C1,0.3679
CCC[C@@H](CCc1cccc(CC)c1)N(CC1C[C@H]([C@H](C)CC[C@@H](O)CO)CN1)C(=O)N[C@@H]1CC[C@H](C(C)(O)O)[C@@H](O)C1,0.3430
CCC=CC=COCCOC1=C(C(N)COc2ccc(Cl)cc2)C[C@@H](CCCNCCC)O1,0.3045
CCC=C=CC1CCC(NCN2OC3=CCC=C([C@@H]4CCNC4)N3[C@H]2C)C1,0.4113
COCC[C@@H](NCCCCCCCF)C1CC(CCS)CO1,0.1980
CC[C@H](O)C=NC1=CCC(O[C@@H]2C=CC(F)=C(F)[C@@H]2C(=O)NCCc2ccc(C)cc2)C1,0.3959
CC(C)C(=O)NC1C=CC(/[S]=[C]/CCO)C=NC1O[C@@H]1N=CC=CC(=CC#CCl)O1,0.3767
COC=C=CCC=CC[C@H](CCCC[C@H](N)C[C@H](C)N)CCc1ccc(C(=O)CC(C)C)cc1,0.2142
CCCCN=C[C@H](N[C@@H]1C=CC(=N)N=C1)[C@H](O)C=CSCC(=O)NCCC(C)C,0.2542
CCCC[C@H](N)CCCCO[C@H]1NC(C[C@H](C)C2CCCC2)=C2C=CC(CCCC=CCN)C=C21,0.3210
CCC(N[C@H](C)CO)=C1CCC(=CNC(C)=N)C1,0.1644
CC=C=CCNC(=N)NC(=N)C(C=CC(C)=COCCCCC)[C@@H](C[C@H]1CCCNC1)c1ccc(C(=O)NC)cc1,0.4054
C=CC[C@H](CCF)NC[C@@H](CCNC)C[C@H](CN=NNCCC=CC=CCC=CCl)C(=O)NCCC=CCC#CCl,0.2192
CCCCCC[C@@H](C)c1cccc(C(=O)NC[C@@H]2CCC(NCC(N)=O)C2)c1,0.3179
CCCC[C@@H](C)CC[C@@H](N[C@H]1C=C2CCCN=C2C(OO)=C1)c1ccc(OCCCCCCN)cc1,0.4355
NC(=O)CCCN1C[C@@H](CCCOCCC=C=CCO)O[C@H]1CC[C@H](S)C=C=CCCl,0.2300
CCCC=C=C[C@@H]1NC(=NC(=O)CC=C=C(C)C)[C@H](Cc2cccc(OCC)c2)[C@H]1NC,0.4210
COC=C(CCl)NCC(=O)O[C@H](CCCc1ccc(C=N)cc1)NC(=O)c1cccc(O)c1,0.3517
CCCC=C=COc1cc(NC(=O)C=C(O)C=CCO)cc([C@@H](O)CCCOCCOC)c1,0.3917
CC#CCc1ccc(NC(=O)[C@@H](N[C@H]2CCC(=C=CC=C(C)O)C2)C(c2ccccc2)c2ccc(CC(F)F)c(C)c2)cc1,0.4088
CC=CCC=NCCNNCC(=NCc1ccc(N)cc1)Nc1ccc(OC[C@@H](C)O)c(F)c1,0.3618
CCCCCCCNO[C@@H](CN1CCN(C)C1)c1ccc(OCCCN)cc1,0.3010
CCCCC[C@H](O)CCC[C@@H](CCNCCCCCCCl)OC[C@@H]1C[C@H](C)N1,0.1292
CC(=N)C=CC=C=CC[C@@H](NOCCC=CC#CCl)C(=O)c1ccc(N2C=CC=NC2)cc1,0.3148
CCC=CCCC=CO[C@H](OCCCC(C)(C)NCCCCCO)[C@H]1CC[C@@H](N)[C@H]2c3ccc(F)cc3CN12,0.4589
CC=CCCCCNC(=O)N=C(N=C(C[C@@H](O)CN=CCCC(=O)O)NC(C)C)C1CCC(c2cccnc2)C1,0.3592
CC#CC=C(C)CCN1C[C@@H]([C@H]2CCC(OCCCCl)C2)c2cc(OCCC)ccc21,0.5603
CC=CCC1=NCC(CN2C[C@H]3C=C(OC)C=CC3=C2NCCCNC(=O)CCCCCCC)N1,0.3746
O=C(Cc1ccc(F)cc1)N(CCCC=CC#CCl)Cc1ccc2c(c1)CCC2,0.3131
OCCCCCCCCCNC[C@@H]1C[C@H](OC2=CC[C@@H]3OCCCC3=C2)CN1CCN1C=CC(CCl)=CC1,0.3416
CC1=C(NCCc2ccc(OC[C@H](C)C=CF)c(OCCCNc3ccc(CC(F)F)cn3)c2)NC[C@H]1F,0.4110
CCCC=CCOC(=O)C=CC[C@H](CCCC=CC1=C(C(=O)N(C)C)O[C@H](C)C1)C(=O)NCCC1CCCC1,0.3075
CCN(C)CCCOC(=O)[C@H](C=CCCCCCC#CCl)[C@@H](CCCO)CCC[C@@H](C)O,0.1826
CCCCC#CCN1CC(=CC(=N)NNCCC2C(=O)CC(F)=C2F)SC1=O,0.3230
CCC=CCCCCCN1O[C@H](CCCCN(C)CC=C(C)O)OC2=C(N3CCN[C@H](C)C3)[C@H](O)C=C[C@@H]21,0.4378
CC#CCCCCCC[C@@H](NC(=O)C(=S)C(O)=CCOCCCC)[C@@H](CCCC(=O)OCC)C[C@H](C)OCC,0.2699
CC#C[C@@H](O)CCCCC[C@@H](CCO[C@@H]1CCCC[C@H]1O)[C@H](O)C[C@@H](C)CCCCCCC,0.1205
CCC=C=CC[C@@H]1C[C@H](C2C=CCC(F)=C2)[C@](NC(=O)C=CCC#CCl)([C@H]2CCCNC(=C[C@@H](C=O)CCC=O)C2)C1,0.2965
CCC#CCCCOC(=O)O[C@H](C(O)CCCC1=C(CO)C=NCC1)[C@@H](O)C=C(O)CC,0.2416
CC=CCCC[C@@H](C)CC1N=C([C@H]2C=CC=C3OCN(CC)C32)N(OC)[C@H]1OC1=NCN(CCCCCCC)CCN1,0.5006
CCCCCCCCC[C@H](O)CNC(=O)C1=CC(OC(F)(F)F)CC1,0.2310
C=C(C=N)C(F)CCC=CC[C@H](NC(=O)[C@@H](O)C=CCCC=CCC)[C@@H]1[C@@H](O)[C@H](C=CCCCCCCN)[C@@]2(O)CCCCN[C@@H]12,0.3572
CCCCCNCCCC[C@H](CCCCCCOC)CNCCCCCC=NCC,0.1074
CC=NCCCCNC=NC(C[C@H]1CC2=NC=C(C)CN2N1)=NC=C=CCCCCCCC,0.2913
CC#CC1=CCC(COc2ccc(CN(C=CCCCC)CO)c3c2N[C@@H](CNCCC)C3)=CN1,0.5148
CCC1C=CC(C[C@H]2C[C@@H]([C@H](O)[C@@H](O)OC=CC[C@@H](C)O)N2CC(=O)OC2=CCC(CN)=CC2)C=C1,0.3206
CCCCCCc1ccnc(CN(CC[C@H]2CC[C@@H]3CCC(OCCC(=O)O)=CN23)C(=O)C(S)=C=CCCC=CCCN)c1,0.4263
COCOCC[C@@H]1CCO[C@H]1c1cc(CC(=O)O)cc(C2C=CC(OC)C(OC)=C2)c1,0.3481
CCCC=CCCNCCC(NC1=CCC(=C=C[C@@H](C)O)C=C1)=C1C=CC(OC)C=C1,0.2399
CC(C)OC=CCOc1ccc(CC[C@@H](C)O)cc1OCCCN,0.4722
CCCC[C@@H]1CCCN1C1=CCC=C(OCCN[C@H](CCO)CCCCO)C1,0.2487
CCC=CCCCNC(=O)N(CCNC1=NC(CC)=NC1)C(C)=NNNCCC=CCN,0.2503
CCCC=C=CNN(CO)CC(=Cc1ccc(F)cc1)[C@@H]1C[C@@H](CC=CCCC)O1,0.3099
C=C(F)CCC(=O)OC[C@H](CCC=CNCCN)CCC[C@@H](NCCCN1CC[C@H](F)C1)OCC[C@@H](C)NCCCCC,0.2213
C=C(CF)OCN[C@H](CCc1sc(OCC(=O)O)cc1C)C(=C)O,0.2975
CCCCCC(C)=CN[C@](O)(C=C=CC=C=CC=CC#CCl)c1ccc(N(N)O)nc1,0.3683
COCc1cccc(CCCN(CCN(O)C(C)=NCCCCCC(C)C)c2ccccc2O)c1,0.3268
CC(C)N1CC=CN(C2=C[C@H](C=C=CCCC#CCl)[C@@H](C(=O)CCCC3(C)CCC(=C(F)C(F)(F)F)CC3)C[C@@H]2C)C(=O)C1,0.3574
CC=CCCCCCC[C@H](CC(=O)N[C@H]1C[C@@H](F)S1)NC(=O)CCCCCCC,0.2073
CCC=CCCCCO[C@@H](C[C@H]1[C@@H](COCCOCC=CCCC)CCC[C@@H]1CO)[C@@H]1OC(=O)[C@@H](N)[C@H]2[C@@H](OC[C@H]2O)O1,0.3161
CCCCCCCS([O])([O])N=C(N=CN1C=CN=CC1C1=CC=C2OCCC=C2C1)[C@@H]1CCCCO1,0.4539
CC=CCCCCCC(=O)CN(CC(C)c1ccc(OCC)cc1)NCC1CC(=NC(N)=O)CN1,0.3551
CC(C)=C=C=C=CCC[C@@H](O)CN1O[C@@H]2[C@@H](C[C@@H]3C=C(C)C=C(F)C3)[C@H](C3C=CC(C)C=C3)C[C@@H]2[C@H]1CCc1ccccc1,0.3728
COc1ccc([C@@H](CN=Nc2ccccc2)NC[C@@H](O)CO)cc1,0.3124
O=C1C=C2C=CC(Cl)C=C2CC[C@@H](C2=NCC=C3C4=NC=C5C=Cc6cc(O)ccc6C=C5C4C(=O)C32)O1,0.4950
CCC=CCCCC=C[C@H]1C[C@H](C2=NC(=O)c3c(C=CCC(C)C)cccc3C2)[C@H]([C@@H](C)c2ccc(Cl)cc2)N1C1CCCC1,0.4776
CCCNC1=CCC([C@@]2(O)C[C@@H]3C(=NC(=O)[C@H]3C3CC[C@@H](CN([O])[O])C3)N2C(=O)NO)=CC1,0.5078
CC#C[C@@H]1CCC(=CNN=C(CC=C2CCC(C)C2)NC2=NC3=C(C(C)C)CCN=C3C2)C1,0.3503
CCCC=CC=CCCC[C@@H](CC(=O)OC(=O)CCNCNCN)C(=O)NC[C@@H](O)CCCCCCCN,0.2272
CCCC=C=CC[C@@H](O)c1cc(NC(=O)C2=CC=CC3CC4=C(CCC4)C3=C2)nc(C)n1,0.4089
CCC#CC#CC#CC(CC#Cc1ccc(C[C@H](C)CN)cc1)[C@@H](C(=O)O)C1C=CC(Cl)C=C[C@H]1CC,0.2722
CC/[C]=[S]/CCC(=O)ONC[C@H]1C[C@@]2(CC=CC(C)C=C[C@@H](C)CN(C)CNC2=O)C[C@@H](CC2=CCC(CCC)=NC2)N1,0.3565
CC[C@@H]1CN=C(CCN(CCCCCC(F)(F)F)c2ccnc(C=CC=C=CCCN)c2)N1,0.2999
CCC=CCCC=C=C1NC2=NC(CN1C)[C@@H](C[C@@H]1CCC(OCC)C1)COCCCCCNC(=N)[C@@H](C)C(=O)N2,0.3868
NC1=CCC2=C(C1)[C@@H]1C=C[C@H](CO)C(O)=C1OO2,0.3034
COc1ccc([C@H](C)[C@H]2C=C[C@@H](C(C=O)=CCCC=CCCN)C=C2)cc1,0.2779
CCCCCCC=C(C(=O)C1=C[C@@H]([C@H]2N=C3C=CC(F)=C4NC[C@@H](C)N(C2=O)C34)N=C(CCCCCC#CCl)C1)[C@H](C)CC,0.4947
