confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,ligand_id,gene_id,yaml
0.749,0.855,0.539,0.539,0.000,0.801,0.548,1.002,4.855,0.873,0.850,0.873,0.116,0.539,0.850,0,CCR9,CCR9_0
0.771,0.861,0.610,0.610,0.000,0.811,0.600,0.905,5.370,0.870,0.935,0.870,0.128,0.610,0.935,102,CCR9,CCR9_102
0.843,0.882,0.921,0.921,0.000,0.823,0.813,0.702,1.090,0.880,0.863,0.880,0.413,0.921,0.863,11,CCR9,CCR9_11
0.751,0.862,0.521,0.521,0.000,0.809,0.558,0.957,4.768,0.874,0.923,0.874,0.111,0.521,0.923,127,CCR9,CCR9_127
0.701,0.815,0.455,0.455,0.000,0.762,0.473,1.435,6.290,0.848,0.842,0.848,0.128,0.455,0.842,154,CCR9,CCR9_154
0.755,0.852,0.634,0.634,0.000,0.785,0.573,0.984,4.084,0.867,0.869,0.867,0.170,0.634,0.869,161,CCR9,CCR9_161
0.783,0.864,0.675,0.675,0.000,0.809,0.665,0.810,3.581,0.875,0.732,0.875,0.146,0.675,0.732,168,CCR9,CCR9_168
0.711,0.845,0.441,0.441,0.000,0.779,0.490,1.135,6.179,0.876,0.798,0.876,0.104,0.441,0.798,182,CCR9,CCR9_182
0.701,0.815,0.424,0.424,0.000,0.770,0.490,1.423,6.924,0.846,0.819,0.846,0.109,0.424,0.819,184,CCR9,CCR9_184
0.756,0.862,0.563,0.563,0.000,0.804,0.649,1.031,5.494,0.872,0.932,0.872,0.128,0.563,0.932,188,CCR9,CCR9_188
0.739,0.830,0.538,0.538,0.000,0.789,0.547,1.148,4.880,0.852,0.829,0.852,0.131,0.538,0.829,19,CCR9,CCR9_19
0.712,0.851,0.410,0.410,0.000,0.788,0.492,1.276,7.584,0.879,0.784,0.879,0.101,0.410,0.784,2,CCR9,CCR9_2
0.778,0.858,0.717,0.717,0.000,0.794,0.631,0.908,3.085,0.868,0.815,0.868,0.170,0.717,0.815,200,CCR9,CCR9_200
0.706,0.832,0.443,0.443,0.000,0.772,0.480,1.422,7.227,0.867,0.778,0.867,0.129,0.443,0.778,210,CCR9,CCR9_210
