confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,ligand_id,gene_id,yaml
0.743,0.849,0.585,0.585,0.000,0.783,0.559,1.200,5.411,0.873,0.780,0.873,0.177,0.585,0.780,0,CCR9,CCR9_0
0.845,0.881,0.866,0.866,0.000,0.839,0.798,0.720,1.637,0.883,0.897,0.883,0.350,0.866,0.897,11,CCR9,CCR9_11
0.797,0.876,0.735,0.735,0.000,0.812,0.686,0.882,3.307,0.884,0.913,0.884,0.252,0.735,0.913,118,CCR9,CCR9_118
0.784,0.877,0.688,0.688,0.000,0.807,0.625,0.855,4.988,0.888,0.909,0.888,0.208,0.688,0.909,12,CCR9,CCR9_12
0.765,0.865,0.627,0.627,0.000,0.799,0.601,0.950,4.296,0.880,0.824,0.880,0.154,0.627,0.824,13,CCR9,CCR9_13
0.824,0.879,0.883,0.883,0.000,0.809,0.765,0.690,1.782,0.882,0.817,0.882,0.406,0.883,0.817,136,CCR9,CCR9_136
0.808,0.858,0.814,0.814,0.000,0.807,0.695,0.785,2.583,0.862,0.859,0.862,0.265,0.814,0.859,14,CCR9,CCR9_14
0.777,0.857,0.685,0.685,0.000,0.800,0.639,1.007,3.565,0.874,0.850,0.874,0.224,0.685,0.850,145,CCR9,CCR9_145
0.726,0.835,0.501,0.501,0.000,0.783,0.526,1.386,6.528,0.866,0.706,0.866,0.124,0.501,0.706,156,CCR9,CCR9_156
0.730,0.847,0.475,0.475,0.000,0.794,0.500,1.187,7.127,0.871,0.863,0.871,0.127,0.475,0.863,157,CCR9,CCR9_157
0.700,0.828,0.418,0.418,0.000,0.771,0.479,1.550,8.883,0.863,0.875,0.863,0.133,0.418,0.875,163,CCR9,CCR9_163
0.737,0.849,0.517,0.517,0.000,0.792,0.532,1.253,8.973,0.872,0.820,0.872,0.129,0.517,0.820,167,CCR9,CCR9_167
0.733,0.833,0.512,0.512,0.000,0.789,0.548,1.095,5.932,0.850,0.840,0.850,0.133,0.512,0.840,17,CCR9,CCR9_17
0.766,0.854,0.678,0.678,0.000,0.788,0.605,1.064,4.913,0.871,0.868,0.871,0.273,0.678,0.868,172,CCR9,CCR9_172
0.745,0.868,0.560,0.560,0.000,0.791,0.547,1.130,6.970,0.891,0.838,0.891,0.156,0.560,0.838,173,CCR9,CCR9_173
0.740,0.859,0.516,0.516,0.000,0.796,0.545,1.114,6.897,0.882,0.794,0.882,0.128,0.516,0.794,174,CCR9,CCR9_174
0.725,0.837,0.492,0.492,0.000,0.784,0.512,1.219,5.874,0.861,0.888,0.861,0.118,0.492,0.888,177,CCR9,CCR9_177
0.718,0.842,0.467,0.467,0.000,0.781,0.507,1.239,7.012,0.867,0.855,0.867,0.116,0.467,0.855,18,CCR9,CCR9_18
0.830,0.880,0.868,0.868,0.000,0.820,0.740,0.795,2.431,0.881,0.829,0.881,0.317,0.868,0.829,194,CCR9,CCR9_194
0.783,0.872,0.657,0.657,0.000,0.814,0.635,0.780,3.557,0.886,0.918,0.886,0.183,0.657,0.918,196,CCR9,CCR9_196
0.753,0.845,0.614,0.614,0.000,0.788,0.594,1.362,6.430,0.866,0.801,0.866,0.207,0.614,0.801,2,CCR9,CCR9_2
0.794,0.880,0.613,0.613,0.000,0.839,0.631,1.219,7.394,0.902,0.782,0.902,0.186,0.613,0.782,20,CCR9,CCR9_20
0.673,0.813,0.314,0.314,0.000,0.763,0.436,1.976,12.420,0.860,0.760,0.860,0.105,0.314,0.760,214,CCR9,CCR9_214
0.722,0.838,0.465,0.465,0.000,0.787,0.479,1.397,9.612,0.866,0.801,0.866,0.141,0.465,0.801,222,CCR9,CCR9_222
