ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,CCR9_311,-8.035,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,True
0,0,1,CCR9_311,-7.99,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,2,CCR9_311,-7.937,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
1,0,0,CCR9_11,-5.917,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,True
1,0,1,CCR9_11,-5.374,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,2,CCR9_11,-4.857,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,3,CCR9_11,-4.609,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,4,CCR9_11,-4.171,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
2,0,0,CCR9_331,-8.459,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,True
2,0,1,CCR9_331,-8.125,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,2,CCR9_331,-8.095,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,3,CCR9_331,-7.801,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,4,CCR9_331,-7.625,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
3,0,0,CCR9_233,-4.825,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,True
3,0,1,CCR9_233,-4.349,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,2,CCR9_233,-4.219,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,3,CCR9_233,-3.868,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,4,CCR9_233,-3.659,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
4,0,0,CCR9_820,-5.832,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,True
4,0,1,CCR9_820,-5.74,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,2,CCR9_820,-5.713,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,3,CCR9_820,-5.712,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,4,CCR9_820,-5.695,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
5,0,0,CCR9_732,-8.018,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,True
5,0,1,CCR9_732,-7.928,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,2,CCR9_732,-6.212,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,3,CCR9_732,-6.055,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,4,CCR9_732,-5.494,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
6,0,0,CCR9_53,-7.84,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,True
6,0,1,CCR9_53,-7.002,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
6,0,2,CCR9_53,-6.756,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
6,0,3,CCR9_53,-6.593,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
6,0,4,CCR9_53,-6.107,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
7,0,0,CCR9_122,-10.694,O=c1ccc2ccc(CCc3ccccc3)cc2o1,True
7,0,1,CCR9_122,-10.68,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,2,CCR9_122,-9.902,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,3,CCR9_122,-9.787,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,4,CCR9_122,-9.416,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
8,0,0,CCR9_618,2.917,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,True
8,0,1,CCR9_618,5.363,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
10,0,0,CCR9_162,-9.75,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,True
10,0,1,CCR9_162,-9.7,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
10,0,2,CCR9_162,-9.099,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
10,0,3,CCR9_162,-8.357,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
11,0,0,CCR9_819,-9.473,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,True
11,0,1,CCR9_819,-8.871,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
11,0,2,CCR9_819,-8.732,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
11,0,3,CCR9_819,-8.156,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
11,0,4,CCR9_819,-8.142,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
12,0,0,CCR9_647,11.143,CCc1ccc(C2C3=C(CC(C)(C)CC3=O)N(c3ccc(C(=O)Nc4nnc(S(N)(=O)=O)s4)cc3)C3=C2C(=O)CC(C)(C)C3)cc1,True
12,0,1,CCR9_647,12.105,CCc1ccc(C2C3=C(CC(C)(C)CC3=O)N(c3ccc(C(=O)Nc4nnc(S(N)(=O)=O)s4)cc3)C3=C2C(=O)CC(C)(C)C3)cc1,False
13,0,0,CCR9_826,-6.914,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,True
13,0,1,CCR9_826,-5.759,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,False
13,0,2,CCR9_826,-4.848,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,False
13,0,3,CCR9_826,-4.515,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,False
14,0,0,CCR9_629,-8.83,Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,True
14,0,1,CCR9_629,-8.715,Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,False
14,0,2,CCR9_629,-8.485,Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,False
14,0,3,CCR9_629,-8.388,Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,False
14,0,4,CCR9_629,-8.021,Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,False
