ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,ESR1_311,-9.591,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,True
0,0,1,ESR1_311,-9.566,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,2,ESR1_311,-8.638,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,3,ESR1_311,-8.12,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,4,ESR1_311,-8.087,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
1,0,0,ESR1_11,-6.744,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,True
1,0,1,ESR1_11,-6.623,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,2,ESR1_11,-6.538,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,3,ESR1_11,-6.521,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,4,ESR1_11,-6.436,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
2,0,0,ESR1_331,-7.243,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,True
2,0,1,ESR1_331,-7.156,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,2,ESR1_331,-6.887,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,3,ESR1_331,-6.73,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,4,ESR1_331,-6.672,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
3,0,0,ESR1_233,-7.463,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,True
3,0,1,ESR1_233,-7.333,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,2,ESR1_233,-7.272,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,3,ESR1_233,-7.25,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,4,ESR1_233,-7.16,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
4,0,0,ESR1_820,-9.031,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,True
4,0,1,ESR1_820,-8.84,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,2,ESR1_820,-8.672,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,3,ESR1_820,-8.611,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,4,ESR1_820,-8.498,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
5,0,0,ESR1_732,-9.405,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,True
5,0,1,ESR1_732,-8.935,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,2,ESR1_732,-8.691,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,3,ESR1_732,-8.567,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,4,ESR1_732,-8.403,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
6,0,0,ESR1_53,-6.976,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,True
6,0,1,ESR1_53,-6.918,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
6,0,2,ESR1_53,-6.912,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
6,0,3,ESR1_53,-6.897,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
6,0,4,ESR1_53,-6.861,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
7,0,0,ESR1_122,-8.615,O=c1ccc2ccc(CCc3ccccc3)cc2o1,True
7,0,1,ESR1_122,-8.509,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,2,ESR1_122,-8.354,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,3,ESR1_122,-8.345,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,4,ESR1_122,-8.309,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
8,0,0,ESR1_618,-9.292,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,True
8,0,1,ESR1_618,-8.997,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
8,0,2,ESR1_618,-8.931,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
8,0,3,ESR1_618,-8.47,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
8,0,4,ESR1_618,-8.172,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
10,0,0,ESR1_162,-7.623,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,True
10,0,1,ESR1_162,-7.19,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
