ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,FTO_311,-8.327,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,True
0,0,1,FTO_311,-8.116,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,2,FTO_311,-7.917,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,3,FTO_311,-7.792,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,4,FTO_311,-7.655,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
1,0,0,FTO_11,-7.546,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,True
1,0,1,FTO_11,-7.484,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,2,FTO_11,-7.438,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,3,FTO_11,-7.298,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,4,FTO_11,-6.941,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
2,0,0,FTO_331,-6.883,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,True
2,0,1,FTO_331,-6.606,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,2,FTO_331,-6.476,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,3,FTO_331,-6.383,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
