ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,GRIK1_311,0.525,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,True
0,0,1,GRIK1_311,1.238,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,2,GRIK1_311,1.344,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
1,0,0,GRIK1_11,-1.301,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,True
1,0,1,GRIK1_11,0.428,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,2,GRIK1_11,0.59,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,3,GRIK1_11,0.699,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,4,GRIK1_11,0.718,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
2,0,0,GRIK1_331,-4.072,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,True
2,0,1,GRIK1_331,-3.712,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,2,GRIK1_331,-3.675,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,3,GRIK1_331,-3.383,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,4,GRIK1_331,-3.248,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
3,0,0,GRIK1_233,7.117,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,True
3,0,1,GRIK1_233,8.96,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,2,GRIK1_233,9.058,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,3,GRIK1_233,9.753,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
4,0,0,GRIK1_820,1.008,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,True
4,0,1,GRIK1_820,3.967,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
5,0,0,GRIK1_732,-0.967,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,True
5,0,1,GRIK1_732,-0.964,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,2,GRIK1_732,-0.882,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,3,GRIK1_732,-0.82,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,4,GRIK1_732,-0.5,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
6,0,0,GRIK1_53,-2.028,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,True
6,0,1,GRIK1_53,-1.676,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
6,0,2,GRIK1_53,-1.273,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
6,0,3,GRIK1_53,0.945,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
7,0,0,GRIK1_122,-7.8,O=c1ccc2ccc(CCc3ccccc3)cc2o1,True
7,0,1,GRIK1_122,-5.67,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,2,GRIK1_122,-5.494,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,3,GRIK1_122,-5.397,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
8,0,0,GRIK1_618,13.728,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,True
8,0,1,GRIK1_618,15.678,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
10,0,0,GRIK1_162,-4.434,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,True
10,0,1,GRIK1_162,-4.186,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
10,0,2,GRIK1_162,-4.011,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
10,0,3,GRIK1_162,-2.963,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
10,0,4,GRIK1_162,-2.703,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
11,0,0,GRIK1_819,-6.131,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,True
11,0,1,GRIK1_819,-5.984,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
11,0,2,GRIK1_819,-5.69,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
11,0,3,GRIK1_819,-5.352,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
12,0,0,GRIK1_647,25.692,CCc1ccc(C2C3=C(CC(C)(C)CC3=O)N(c3ccc(C(=O)Nc4nnc(S(N)(=O)=O)s4)cc3)C3=C2C(=O)CC(C)(C)C3)cc1,True
13,0,0,GRIK1_826,0.864,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,True
13,0,1,GRIK1_826,0.915,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,False
13,0,2,GRIK1_826,1.262,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,False
13,0,3,GRIK1_826,1.506,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,False
13,0,4,GRIK1_826,1.544,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,False
14,0,0,GRIK1_629,-5.178,Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,True
14,0,1,GRIK1_629,-4.876,Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,False
14,0,2,GRIK1_629,-4.754,Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,False
14,0,3,GRIK1_629,-4.735,Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,False
15,0,0,GRIK1_8,-2.734,CCCCNc1ncc(-c2ccccn2)c(NC2CCNCC2)n1,True
15,0,1,GRIK1_8,-1.993,CCCCNc1ncc(-c2ccccn2)c(NC2CCNCC2)n1,False
15,0,2,GRIK1_8,-0.104,CCCCNc1ncc(-c2ccccn2)c(NC2CCNCC2)n1,False
15,0,3,GRIK1_8,0.037,CCCCNc1ncc(-c2ccccn2)c(NC2CCNCC2)n1,False
15,0,4,GRIK1_8,0.098,CCCCNc1ncc(-c2ccccn2)c(NC2CCNCC2)n1,False
16,0,0,GRIK1_995,1.2,COc1ccc2c(n1)CCN(C(=O)C1CC(CC(=O)O)C1)C2C(=O)Nc1cc(F)c2c(c1)CCC2(C)C,True
17,0,0,GRIK1_683,-0.073,NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C1CSCN1C(=O)C(N)Cc1ccc(O)cc1,True
18,0,0,GRIK1_814,0.885,CC1(C)OC(=O)c2ccc(Nc3ncc(-c4nnc(C5CC5)o4)c(N[C@H](CO)c4ccccc4)n3)cc21,True
19,0,0,GRIK1_551,-0.46,CCCC/C(=C\c1cc(OCc2ccc3nc(C(F)(F)F)cc(OC)c3c2)ccc1OCc1ccc(OC(F)F)cc1)C(=O)O,True
