ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,HCRTR1_311,-9.249,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,True
0,0,1,HCRTR1_311,-8.96,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,2,HCRTR1_311,-8.903,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,3,HCRTR1_311,-8.616,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,4,HCRTR1_311,-8.502,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
1,0,0,HCRTR1_11,-8.088,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,True
1,0,1,HCRTR1_11,-7.59,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,2,HCRTR1_11,-7.468,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,3,HCRTR1_11,-7.448,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,4,HCRTR1_11,-7.409,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
2,0,0,HCRTR1_331,-7.496,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,True
2,0,1,HCRTR1_331,-7.317,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,2,HCRTR1_331,-7.137,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,3,HCRTR1_331,-7.041,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,4,HCRTR1_331,-7.007,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
3,0,0,HCRTR1_233,-10.386,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,True
3,0,1,HCRTR1_233,-10.047,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,2,HCRTR1_233,-9.956,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,3,HCRTR1_233,-9.88,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,4,HCRTR1_233,-9.641,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
4,0,0,HCRTR1_820,-9.488,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,True
4,0,1,HCRTR1_820,-9.083,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,2,HCRTR1_820,-9.049,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,3,HCRTR1_820,-9.038,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,4,HCRTR1_820,-8.97,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
5,0,0,HCRTR1_732,-9.178,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,True
5,0,1,HCRTR1_732,-9.071,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,2,HCRTR1_732,-8.929,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,3,HCRTR1_732,-8.771,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,4,HCRTR1_732,-8.574,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
6,0,0,HCRTR1_53,-8.376,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,True
6,0,1,HCRTR1_53,-8.317,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
6,0,2,HCRTR1_53,-8.194,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
6,0,3,HCRTR1_53,-8.19,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
6,0,4,HCRTR1_53,-8.046,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
7,0,0,HCRTR1_122,-8.854,O=c1ccc2ccc(CCc3ccccc3)cc2o1,True
7,0,1,HCRTR1_122,-8.75,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,2,HCRTR1_122,-8.351,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,3,HCRTR1_122,-8.276,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,4,HCRTR1_122,-8.081,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
8,0,0,HCRTR1_618,-10.116,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,True
8,0,1,HCRTR1_618,-8.077,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
8,0,2,HCRTR1_618,-8.027,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
8,0,3,HCRTR1_618,-7.319,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
8,0,4,HCRTR1_618,-7.159,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
10,0,0,HCRTR1_162,-8.631,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,True
10,0,1,HCRTR1_162,-8.151,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
10,0,2,HCRTR1_162,-7.997,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
10,0,3,HCRTR1_162,-7.709,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
10,0,4,HCRTR1_162,-7.701,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
11,0,0,HCRTR1_819,-8.97,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,True
11,0,1,HCRTR1_819,-8.906,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
11,0,2,HCRTR1_819,-8.748,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
11,0,3,HCRTR1_819,-8.535,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
11,0,4,HCRTR1_819,-8.511,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
12,0,0,HCRTR1_647,-7.155,CCc1ccc(C2C3=C(CC(C)(C)CC3=O)N(c3ccc(C(=O)Nc4nnc(S(N)(=O)=O)s4)cc3)C3=C2C(=O)CC(C)(C)C3)cc1,True
13,0,0,HCRTR1_826,-9.673,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,True
13,0,1,HCRTR1_826,-9.331,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,False
13,0,2,HCRTR1_826,-9.165,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,False
13,0,3,HCRTR1_826,-8.715,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,False
13,0,4,HCRTR1_826,-8.653,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,False
14,0,0,HCRTR1_629,-7.424,Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,True
14,0,1,HCRTR1_629,-7.412,Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,False
14,0,2,HCRTR1_629,-7.143,Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,False
14,0,3,HCRTR1_629,-7.079,Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,False
14,0,4,HCRTR1_629,-7.052,Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,False
15,0,0,HCRTR1_8,-8.537,CCCCNc1ncc(-c2ccccn2)c(NC2CCNCC2)n1,True
15,0,1,HCRTR1_8,-8.38,CCCCNc1ncc(-c2ccccn2)c(NC2CCNCC2)n1,False
15,0,2,HCRTR1_8,-8.301,CCCCNc1ncc(-c2ccccn2)c(NC2CCNCC2)n1,False
15,0,3,HCRTR1_8,-8.2,CCCCNc1ncc(-c2ccccn2)c(NC2CCNCC2)n1,False
15,0,4,HCRTR1_8,-8.017,CCCCNc1ncc(-c2ccccn2)c(NC2CCNCC2)n1,False
16,0,0,HCRTR1_995,-10.184,COc1ccc2c(n1)CCN(C(=O)C1CC(CC(=O)O)C1)C2C(=O)Nc1cc(F)c2c(c1)CCC2(C)C,True
16,0,1,HCRTR1_995,-9.646,COc1ccc2c(n1)CCN(C(=O)C1CC(CC(=O)O)C1)C2C(=O)Nc1cc(F)c2c(c1)CCC2(C)C,False
16,0,2,HCRTR1_995,-9.237,COc1ccc2c(n1)CCN(C(=O)C1CC(CC(=O)O)C1)C2C(=O)Nc1cc(F)c2c(c1)CCC2(C)C,False
16,0,3,HCRTR1_995,-8.852,COc1ccc2c(n1)CCN(C(=O)C1CC(CC(=O)O)C1)C2C(=O)Nc1cc(F)c2c(c1)CCC2(C)C,False
16,0,4,HCRTR1_995,-8.818,COc1ccc2c(n1)CCN(C(=O)C1CC(CC(=O)O)C1)C2C(=O)Nc1cc(F)c2c(c1)CCC2(C)C,False
17,0,0,HCRTR1_683,-9.406,NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C1CSCN1C(=O)C(N)Cc1ccc(O)cc1,True
17,0,1,HCRTR1_683,-9.224,NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C1CSCN1C(=O)C(N)Cc1ccc(O)cc1,False
17,0,2,HCRTR1_683,-9.165,NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C1CSCN1C(=O)C(N)Cc1ccc(O)cc1,False
17,0,3,HCRTR1_683,-9.134,NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C1CSCN1C(=O)C(N)Cc1ccc(O)cc1,False
17,0,4,HCRTR1_683,-9.119,NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C1CSCN1C(=O)C(N)Cc1ccc(O)cc1,False
18,0,0,HCRTR1_814,-10.33,CC1(C)OC(=O)c2ccc(Nc3ncc(-c4nnc(C5CC5)o4)c(N[C@H](CO)c4ccccc4)n3)cc21,True
18,0,1,HCRTR1_814,-10.223,CC1(C)OC(=O)c2ccc(Nc3ncc(-c4nnc(C5CC5)o4)c(N[C@H](CO)c4ccccc4)n3)cc21,False
18,0,2,HCRTR1_814,-10.183,CC1(C)OC(=O)c2ccc(Nc3ncc(-c4nnc(C5CC5)o4)c(N[C@H](CO)c4ccccc4)n3)cc21,False
18,0,3,HCRTR1_814,-10.17,CC1(C)OC(=O)c2ccc(Nc3ncc(-c4nnc(C5CC5)o4)c(N[C@H](CO)c4ccccc4)n3)cc21,False
18,0,4,HCRTR1_814,-10.162,CC1(C)OC(=O)c2ccc(Nc3ncc(-c4nnc(C5CC5)o4)c(N[C@H](CO)c4ccccc4)n3)cc21,False
19,0,0,HCRTR1_551,-9.292,CCCC/C(=C\c1cc(OCc2ccc3nc(C(F)(F)F)cc(OC)c3c2)ccc1OCc1ccc(OC(F)F)cc1)C(=O)O,True
19,0,1,HCRTR1_551,-9.125,CCCC/C(=C\c1cc(OCc2ccc3nc(C(F)(F)F)cc(OC)c3c2)ccc1OCc1ccc(OC(F)F)cc1)C(=O)O,False
19,0,2,HCRTR1_551,-8.911,CCCC/C(=C\c1cc(OCc2ccc3nc(C(F)(F)F)cc(OC)c3c2)ccc1OCc1ccc(OC(F)F)cc1)C(=O)O,False
19,0,3,HCRTR1_551,-8.883,CCCC/C(=C\c1cc(OCc2ccc3nc(C(F)(F)F)cc(OC)c3c2)ccc1OCc1ccc(OC(F)F)cc1)C(=O)O,False
19,0,4,HCRTR1_551,-8.669,CCCC/C(=C\c1cc(OCc2ccc3nc(C(F)(F)F)cc(OC)c3c2)ccc1OCc1ccc(OC(F)F)cc1)C(=O)O,False
20,0,0,HCRTR1_153,-10.396,COc1cc(N2CCNCC2)ccc1Nc1ncc(C(F)(F)F)c(Nc2ccccc2NS(C)(=O)=O)n1,True
20,0,1,HCRTR1_153,-9.76,COc1cc(N2CCNCC2)ccc1Nc1ncc(C(F)(F)F)c(Nc2ccccc2NS(C)(=O)=O)n1,False
20,0,2,HCRTR1_153,-9.682,COc1cc(N2CCNCC2)ccc1Nc1ncc(C(F)(F)F)c(Nc2ccccc2NS(C)(=O)=O)n1,False
20,0,3,HCRTR1_153,-9.409,COc1cc(N2CCNCC2)ccc1Nc1ncc(C(F)(F)F)c(Nc2ccccc2NS(C)(=O)=O)n1,False
