ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,IDH1_311,-9.637,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,True
0,0,1,IDH1_311,-9.348,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,2,IDH1_311,-9.304,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,3,IDH1_311,-9.259,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,4,IDH1_311,-9.167,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
1,0,0,IDH1_11,-8.187,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,True
1,0,1,IDH1_11,-7.453,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,2,IDH1_11,-7.423,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,3,IDH1_11,-7.419,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,4,IDH1_11,-7.22,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
2,0,0,IDH1_331,-8.11,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,True
2,0,1,IDH1_331,-8.01,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,2,IDH1_331,-7.95,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,3,IDH1_331,-7.91,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,4,IDH1_331,-7.257,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
3,0,0,IDH1_233,-8.35,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,True
