ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,JAK1_311,-8.436,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,True
0,0,1,JAK1_311,-8.319,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,2,JAK1_311,-8.232,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,3,JAK1_311,-8.075,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,4,JAK1_311,-8.034,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
1,0,0,JAK1_11,-8.591,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,True
1,0,1,JAK1_11,-8.098,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,2,JAK1_11,-7.973,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,3,JAK1_11,-7.95,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,4,JAK1_11,-7.748,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
2,0,0,JAK1_331,-7.429,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,True
2,0,1,JAK1_331,-7.057,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,2,JAK1_331,-7.001,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,3,JAK1_331,-6.954,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,4,JAK1_331,-6.822,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
3,0,0,JAK1_233,-8.172,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,True
3,0,1,JAK1_233,-7.823,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,2,JAK1_233,-7.813,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,3,JAK1_233,-7.693,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,4,JAK1_233,-7.529,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
4,0,0,JAK1_820,-8.15,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,True
4,0,1,JAK1_820,-7.872,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,2,JAK1_820,-7.755,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,3,JAK1_820,-7.722,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,4,JAK1_820,-7.652,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
5,0,0,JAK1_732,-8.491,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,True
5,0,1,JAK1_732,-8.376,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,2,JAK1_732,-8.312,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,3,JAK1_732,-8.061,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
5,0,4,JAK1_732,-7.655,Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,False
6,0,0,JAK1_53,-7.222,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,True
6,0,1,JAK1_53,-7.188,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
6,0,2,JAK1_53,-7.184,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
6,0,3,JAK1_53,-7.001,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
6,0,4,JAK1_53,-6.93,CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,False
7,0,0,JAK1_122,-8.673,O=c1ccc2ccc(CCc3ccccc3)cc2o1,True
7,0,1,JAK1_122,-8.577,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,2,JAK1_122,-8.56,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,3,JAK1_122,-8.439,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,4,JAK1_122,-8.362,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
8,0,0,JAK1_618,-6.533,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,True
8,0,1,JAK1_618,-5.485,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
8,0,2,JAK1_618,-5.268,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
8,0,3,JAK1_618,-5.232,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
10,0,0,JAK1_162,-8.625,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,True
10,0,1,JAK1_162,-8.333,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
