ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,NR4A1_311,-7.814,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,True
0,0,1,NR4A1_311,-7.799,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,2,NR4A1_311,-7.778,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,3,NR4A1_311,-7.749,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,4,NR4A1_311,-7.733,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
1,0,0,NR4A1_11,-6.3,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,True
1,0,1,NR4A1_11,-6.2,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,2,NR4A1_11,-6.105,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,3,NR4A1_11,-6.038,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,4,NR4A1_11,-5.925,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
2,0,0,NR4A1_331,-6.104,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,True
2,0,1,NR4A1_331,-6.051,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,2,NR4A1_331,-5.696,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,3,NR4A1_331,-5.668,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,4,NR4A1_331,-5.655,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
