ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,RIOK1_311,-8.809,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,True
0,0,1,RIOK1_311,-8.759,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,2,RIOK1_311,-8.686,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,3,RIOK1_311,-8.596,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
0,0,4,RIOK1_311,-8.393,CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,False
1,0,0,RIOK1_11,-7.799,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,True
1,0,1,RIOK1_11,-7.74,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,2,RIOK1_11,-7.618,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,3,RIOK1_11,-7.509,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
1,0,4,RIOK1_11,-7.497,Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,False
2,0,0,RIOK1_331,-6.93,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,True
2,0,1,RIOK1_331,-6.694,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,2,RIOK1_331,-6.5,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,3,RIOK1_331,-6.374,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
2,0,4,RIOK1_331,-6.337,CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,False
3,0,0,RIOK1_233,-8.655,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,True
3,0,1,RIOK1_233,-8.608,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,2,RIOK1_233,-8.382,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,3,RIOK1_233,-8.314,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
3,0,4,RIOK1_233,-7.986,CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,False
4,0,0,RIOK1_820,-8.503,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,True
4,0,1,RIOK1_820,-8.345,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,2,RIOK1_820,-8.246,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,3,RIOK1_820,-8.097,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
4,0,4,RIOK1_820,-7.85,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,False
