ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,CCR9_83,-6.348,Cc1cc[n+]([O-])cc1N1C(=O)c2c(Cl)ccc(NS(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C1=O,True
0,0,1,CCR9_83,-5.218,Cc1cc[n+]([O-])cc1N1C(=O)c2c(Cl)ccc(NS(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C1=O,False
0,0,2,CCR9_83,-4.525,Cc1cc[n+]([O-])cc1N1C(=O)c2c(Cl)ccc(NS(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C1=O,False
1,0,0,CCR9_53,-11.936,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2-c2nccc(C(N)=O)c2O)cc1,True
1,0,1,CCR9_53,-10.48,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2-c2nccc(C(N)=O)c2O)cc1,False
1,0,2,CCR9_53,-9.192,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2-c2nccc(C(N)=O)c2O)cc1,False
2,0,0,CCR9_6,-9.887,Cc1ccc2cc(C(=O)O)n(Cc3ccc(C(C)(C)C)cc3)c2c1,True
2,0,1,CCR9_6,-8.883,Cc1ccc2cc(C(=O)O)n(Cc3ccc(C(C)(C)C)cc3)c2c1,False
2,0,2,CCR9_6,-8.88,Cc1ccc2cc(C(=O)O)n(Cc3ccc(C(C)(C)C)cc3)c2c1,False
2,0,3,CCR9_6,-7.241,Cc1ccc2cc(C(=O)O)n(Cc3ccc(C(C)(C)C)cc3)c2c1,False
2,0,4,CCR9_6,-6.888,Cc1ccc2cc(C(=O)O)n(Cc3ccc(C(C)(C)C)cc3)c2c1,False
3,0,0,CCR9_132,-8.027,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)c3c2C(=O)N(Cc2cccc[n+]2[O-])C3=O)cc1,True
3,0,1,CCR9_132,-7.272,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)c3c2C(=O)N(Cc2cccc[n+]2[O-])C3=O)cc1,False
3,0,2,CCR9_132,-6.862,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)c3c2C(=O)N(Cc2cccc[n+]2[O-])C3=O)cc1,False
4,0,0,CCR9_32,-6.853,Cc1cccc(N2C(=O)c3c(Cl)ccc(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3C2=O)n1,True
4,0,1,CCR9_32,-5.416,Cc1cccc(N2C(=O)c3c(Cl)ccc(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3C2=O)n1,False
4,0,2,CCR9_32,-3.865,Cc1cccc(N2C(=O)c3c(Cl)ccc(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3C2=O)n1,False
5,0,0,CCR9_166,-4.969,CCOc1cc(N2C(=O)c3c(Cl)ccc(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3C2=O)c[n+]([O-])c1,True
5,0,1,CCR9_166,-4.599,CCOc1cc(N2C(=O)c3c(Cl)ccc(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3C2=O)c[n+]([O-])c1,False
5,0,2,CCR9_166,-3.994,CCOc1cc(N2C(=O)c3c(Cl)ccc(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3C2=O)c[n+]([O-])c1,False
5,0,3,CCR9_166,-3.272,CCOc1cc(N2C(=O)c3c(Cl)ccc(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3C2=O)c[n+]([O-])c1,False
5,0,4,CCR9_166,-3.013,CCOc1cc(N2C(=O)c3c(Cl)ccc(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3C2=O)c[n+]([O-])c1,False
6,0,0,CCR9_148,-10.412,CC1(c2ccc(Cn3c(C(=O)O)cc4ncc(Cl)cc43)cc2)CCOCC1,True
