ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,ESR1_693,-8.418,CC1=CC[C@@]2(CO)CO[C@@H](c3cc(C)c(O)c(C)c3)[C@@H]1C2,True
0,0,1,ESR1_693,-7.484,CC1=CC[C@@]2(CO)CO[C@@H](c3cc(C)c(O)c(C)c3)[C@@H]1C2,False
0,0,2,ESR1_693,-6.677,CC1=CC[C@@]2(CO)CO[C@@H](c3cc(C)c(O)c(C)c3)[C@@H]1C2,False
0,0,3,ESR1_693,-6.635,CC1=CC[C@@]2(CO)CO[C@@H](c3cc(C)c(O)c(C)c3)[C@@H]1C2,False
0,0,4,ESR1_693,-6.198,CC1=CC[C@@]2(CO)CO[C@@H](c3cc(C)c(O)c(C)c3)[C@@H]1C2,False
1,0,0,ESR1_883,-9.269,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2)N1CC(C)(C)F,True
1,0,1,ESR1_883,-9.017,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2)N1CC(C)(C)F,False
1,0,2,ESR1_883,-8.615,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2)N1CC(C)(C)F,False
1,0,3,ESR1_883,-8.495,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2)N1CC(C)(C)F,False
1,0,4,ESR1_883,-7.636,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2)N1CC(C)(C)F,False
2,0,0,ESR1_646,-10.034,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2F)N1S(C)(=O)=O,True
2,0,1,ESR1_646,-9.541,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2F)N1S(C)(=O)=O,False
2,0,2,ESR1_646,-8.806,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2F)N1S(C)(=O)=O,False
2,0,3,ESR1_646,-8.384,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2F)N1S(C)(=O)=O,False
2,0,4,ESR1_646,-8.146,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2F)N1S(C)(=O)=O,False
3,0,0,ESR1_261,-8.446,Cc1ccccc1-c1cc(-c2ccc(O)cc2)nc(N(C)CCc2ccccc2)c1,True
3,0,1,ESR1_261,-8.435,Cc1ccccc1-c1cc(-c2ccc(O)cc2)nc(N(C)CCc2ccccc2)c1,False
3,0,2,ESR1_261,-8.414,Cc1ccccc1-c1cc(-c2ccc(O)cc2)nc(N(C)CCc2ccccc2)c1,False
