ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,FTO_10,-7.682,Cc1cccc2cc(CNCC3(N4CCCC4)COC3)c(Cl)nc12,True
0,0,1,FTO_10,-7.67,Cc1cccc2cc(CNCC3(N4CCCC4)COC3)c(Cl)nc12,False
0,0,2,FTO_10,-7.668,Cc1cccc2cc(CNCC3(N4CCCC4)COC3)c(Cl)nc12,False
0,0,3,FTO_10,-7.662,Cc1cccc2cc(CNCC3(N4CCCC4)COC3)c(Cl)nc12,False
0,0,4,FTO_10,-7.509,Cc1cccc2cc(CNCC3(N4CCCC4)COC3)c(Cl)nc12,False
1,0,0,FTO_8,-7.197,c1cc2c(cc1CNCC1(N3CCCC3)COC1)OCCO2,True
1,0,1,FTO_8,-7.13,c1cc2c(cc1CNCC1(N3CCCC3)COC1)OCCO2,False
1,0,2,FTO_8,-7.076,c1cc2c(cc1CNCC1(N3CCCC3)COC1)OCCO2,False
1,0,3,FTO_8,-6.915,c1cc2c(cc1CNCC1(N3CCCC3)COC1)OCCO2,False
1,0,4,FTO_8,-6.84,c1cc2c(cc1CNCC1(N3CCCC3)COC1)OCCO2,False
2,0,0,FTO_0,-7.509,Fc1ccc2[nH]cc(CNCC3(N4CCCC4)COC3)c2c1,True
2,0,1,FTO_0,-7.441,Fc1ccc2[nH]cc(CNCC3(N4CCCC4)COC3)c2c1,False
2,0,2,FTO_0,-7.358,Fc1ccc2[nH]cc(CNCC3(N4CCCC4)COC3)c2c1,False
2,0,3,FTO_0,-7.322,Fc1ccc2[nH]cc(CNCC3(N4CCCC4)COC3)c2c1,False
2,0,4,FTO_0,-7.29,Fc1ccc2[nH]cc(CNCC3(N4CCCC4)COC3)c2c1,False
3,0,0,FTO_5,-8.709,Cc1n[nH]c(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,True
3,0,1,FTO_5,-8.66,Cc1n[nH]c(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,False
3,0,2,FTO_5,-8.613,Cc1n[nH]c(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,False
3,0,3,FTO_5,-8.473,Cc1n[nH]c(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,False
3,0,4,FTO_5,-7.922,Cc1n[nH]c(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,False
4,0,0,FTO_7,-7.39,COc1cccc2c(CNCC3(N4CCCC4)COC3)c[nH]c12,True
4,0,1,FTO_7,-7.331,COc1cccc2c(CNCC3(N4CCCC4)COC3)c[nH]c12,False
4,0,2,FTO_7,-7.251,COc1cccc2c(CNCC3(N4CCCC4)COC3)c[nH]c12,False
4,0,3,FTO_7,-6.948,COc1cccc2c(CNCC3(N4CCCC4)COC3)c[nH]c12,False
4,0,4,FTO_7,-6.936,COc1cccc2c(CNCC3(N4CCCC4)COC3)c[nH]c12,False
5,0,0,FTO_35,-6.804,c1ccc(C2CCC(CNCC3(N4CCCC4)COC3)S2)cc1,True
5,0,1,FTO_35,-6.642,c1ccc(C2CCC(CNCC3(N4CCCC4)COC3)S2)cc1,False
5,0,2,FTO_35,-6.375,c1ccc(C2CCC(CNCC3(N4CCCC4)COC3)S2)cc1,False
5,0,3,FTO_35,-6.332,c1ccc(C2CCC(CNCC3(N4CCCC4)COC3)S2)cc1,False
5,0,4,FTO_35,-6.27,c1ccc(C2CCC(CNCC3(N4CCCC4)COC3)S2)cc1,False
6,0,0,FTO_2,-8.684,Cc1noc(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,True
6,0,1,FTO_2,-8.654,Cc1noc(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,False
6,0,2,FTO_2,-8.605,Cc1noc(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,False
6,0,3,FTO_2,-8.512,Cc1noc(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,False
6,0,4,FTO_2,-8.463,Cc1noc(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,False
7,0,0,FTO_14,-8.175,O=C(O)c1ccccc1Nc1c(Cl)cc(-c2nn[nH]n2)cc1Cl,True
7,0,1,FTO_14,-8.049,O=C(O)c1ccccc1Nc1c(Cl)cc(-c2nn[nH]n2)cc1Cl,False
7,0,2,FTO_14,-7.946,O=C(O)c1ccccc1Nc1c(Cl)cc(-c2nn[nH]n2)cc1Cl,False
7,0,3,FTO_14,-7.876,O=C(O)c1ccccc1Nc1c(Cl)cc(-c2nn[nH]n2)cc1Cl,False
7,0,4,FTO_14,-7.353,O=C(O)c1ccccc1Nc1c(Cl)cc(-c2nn[nH]n2)cc1Cl,False
8,0,0,FTO_4,-7.279,c1cc2cc(CNCC3(N4CCCC4)COC3)ccc2[nH]1,True
8,0,1,FTO_4,-7.278,c1cc2cc(CNCC3(N4CCCC4)COC3)ccc2[nH]1,False
8,0,2,FTO_4,-7.224,c1cc2cc(CNCC3(N4CCCC4)COC3)ccc2[nH]1,False
8,0,3,FTO_4,-7.077,c1cc2cc(CNCC3(N4CCCC4)COC3)ccc2[nH]1,False
8,0,4,FTO_4,-6.581,c1cc2cc(CNCC3(N4CCCC4)COC3)ccc2[nH]1,False
9,0,0,FTO_36,-8.593,Cc1[nH]ncc1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,True
9,0,1,FTO_36,-8.528,Cc1[nH]ncc1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,False
9,0,2,FTO_36,-8.02,Cc1[nH]ncc1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,False
9,0,3,FTO_36,-7.848,Cc1[nH]ncc1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,False
9,0,4,FTO_36,-7.472,Cc1[nH]ncc1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,False
10,0,0,FTO_20,-7.732,O=C(NC1CCCCC1)c1cnc2ccccc2n1,True
10,0,1,FTO_20,-7.621,O=C(NC1CCCCC1)c1cnc2ccccc2n1,False
10,0,2,FTO_20,-7.595,O=C(NC1CCCCC1)c1cnc2ccccc2n1,False
10,0,3,FTO_20,-7.47,O=C(NC1CCCCC1)c1cnc2ccccc2n1,False
10,0,4,FTO_20,-7.211,O=C(NC1CCCCC1)c1cnc2ccccc2n1,False
