ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,GRIK1_38,-3.54,O=C(O)c1ccccc1S[C@H]1CC[C@H]2CNC(C(=O)O)C[C@H]2C1,True
0,0,1,GRIK1_38,-3.278,O=C(O)c1ccccc1S[C@H]1CC[C@H]2CNC(C(=O)O)C[C@H]2C1,False
0,0,2,GRIK1_38,-2.407,O=C(O)c1ccccc1S[C@H]1CC[C@H]2CNC(C(=O)O)C[C@H]2C1,False
0,0,3,GRIK1_38,-2.354,O=C(O)c1ccccc1S[C@H]1CC[C@H]2CNC(C(=O)O)C[C@H]2C1,False
0,0,4,GRIK1_38,-2.033,O=C(O)c1ccccc1S[C@H]1CC[C@H]2CNC(C(=O)O)C[C@H]2C1,False
1,0,0,GRIK1_70,-7.619,CCC(CC)=C(CC(N)C(=O)O)C(=O)O,True
1,0,1,GRIK1_70,-7.384,CCC(CC)=C(CC(N)C(=O)O)C(=O)O,False
1,0,2,GRIK1_70,-7.176,CCC(CC)=C(CC(N)C(=O)O)C(=O)O,False
1,0,3,GRIK1_70,-6.84,CCC(CC)=C(CC(N)C(=O)O)C(=O)O,False
1,0,4,GRIK1_70,-6.721,CCC(CC)=C(CC(N)C(=O)O)C(=O)O,False
2,0,0,GRIK1_5,-7.227,CC(C)(C)c1s[nH]c(=O)c1CC(N)C(=O)O,True
2,0,1,GRIK1_5,-6.855,CC(C)(C)c1s[nH]c(=O)c1CC(N)C(=O)O,False
2,0,2,GRIK1_5,-6.742,CC(C)(C)c1s[nH]c(=O)c1CC(N)C(=O)O,False
2,0,3,GRIK1_5,-6.722,CC(C)(C)c1s[nH]c(=O)c1CC(N)C(=O)O,False
2,0,4,GRIK1_5,-5.701,CC(C)(C)c1s[nH]c(=O)c1CC(N)C(=O)O,False
3,0,0,GRIK1_109,-3.79,O=C(O)Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccc(CNCCCc4ccccc4)c3)cc21,True
3,0,1,GRIK1_109,-3.441,O=C(O)Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccc(CNCCCc4ccccc4)c3)cc21,False
3,0,2,GRIK1_109,-1.816,O=C(O)Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccc(CNCCCc4ccccc4)c3)cc21,False
3,0,3,GRIK1_109,-1.355,O=C(O)Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccc(CNCCCc4ccccc4)c3)cc21,False
3,0,4,GRIK1_109,-1.051,O=C(O)Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccc(CNCCCc4ccccc4)c3)cc21,False
4,0,0,GRIK1_51,-2.777,O=C(O)c1ccc(-c2ccccc2)cc1O[C@H]1CC[C@H]2CNC(C(=O)O)C[C@H]2C1,True
4,0,1,GRIK1_51,-2.373,O=C(O)c1ccc(-c2ccccc2)cc1O[C@H]1CC[C@H]2CNC(C(=O)O)C[C@H]2C1,False
4,0,2,GRIK1_51,-1.881,O=C(O)c1ccc(-c2ccccc2)cc1O[C@H]1CC[C@H]2CNC(C(=O)O)C[C@H]2C1,False
5,0,0,GRIK1_36,-6.322,COc1cccc(/C=C/CC(CC(N)C(=O)O)C(=O)O)c1,True
5,0,1,GRIK1_36,-6.272,COc1cccc(/C=C/CC(CC(N)C(=O)O)C(=O)O)c1,False
5,0,2,GRIK1_36,-5.347,COc1cccc(/C=C/CC(CC(N)C(=O)O)C(=O)O)c1,False
5,0,3,GRIK1_36,-5.343,COc1cccc(/C=C/CC(CC(N)C(=O)O)C(=O)O)c1,False
5,0,4,GRIK1_36,-5.269,COc1cccc(/C=C/CC(CC(N)C(=O)O)C(=O)O)c1,False
6,0,0,GRIK1_99,-6.878,NC(CC(C/C=C/c1c(Cl)cccc1Cl)C(=O)O)C(=O)O,True
6,0,1,GRIK1_99,-6.86,NC(CC(C/C=C/c1c(Cl)cccc1Cl)C(=O)O)C(=O)O,False
6,0,2,GRIK1_99,-6.75,NC(CC(C/C=C/c1c(Cl)cccc1Cl)C(=O)O)C(=O)O,False
6,0,3,GRIK1_99,-6.739,NC(CC(C/C=C/c1c(Cl)cccc1Cl)C(=O)O)C(=O)O,False
6,0,4,GRIK1_99,-6.655,NC(CC(C/C=C/c1c(Cl)cccc1Cl)C(=O)O)C(=O)O,False
7,0,0,GRIK1_82,-7.015,NC(CC(CC#Cc1ccccc1)C(=O)O)C(=O)O,True
7,0,1,GRIK1_82,-6.952,NC(CC(CC#Cc1ccccc1)C(=O)O)C(=O)O,False
7,0,2,GRIK1_82,-6.374,NC(CC(CC#Cc1ccccc1)C(=O)O)C(=O)O,False
7,0,3,GRIK1_82,-5.859,NC(CC(CC#Cc1ccccc1)C(=O)O)C(=O)O,False
7,0,4,GRIK1_82,-5.046,NC(CC(CC#Cc1ccccc1)C(=O)O)C(=O)O,False
8,0,0,GRIK1_20,-3.494,O=C(O)C1C[C@H]2C[C@@H](Oc3cc(Cc4ccccc4)ccc3-c3nn[nH]n3)CC[C@H]2CN1,True
8,0,1,GRIK1_20,-2.757,O=C(O)C1C[C@H]2C[C@@H](Oc3cc(Cc4ccccc4)ccc3-c3nn[nH]n3)CC[C@H]2CN1,False
8,0,2,GRIK1_20,-2.745,O=C(O)C1C[C@H]2C[C@@H](Oc3cc(Cc4ccccc4)ccc3-c3nn[nH]n3)CC[C@H]2CN1,False
8,0,3,GRIK1_20,-1.552,O=C(O)C1C[C@H]2C[C@@H](Oc3cc(Cc4ccccc4)ccc3-c3nn[nH]n3)CC[C@H]2CN1,False
9,0,0,GRIK1_83,-7.733,NC(CC(C(=O)O)=C1CCCC1)C(=O)O,True
9,0,1,GRIK1_83,-7.417,NC(CC(C(=O)O)=C1CCCC1)C(=O)O,False
9,0,2,GRIK1_83,-7.301,NC(CC(C(=O)O)=C1CCCC1)C(=O)O,False
9,0,3,GRIK1_83,-6.887,NC(CC(C(=O)O)=C1CCCC1)C(=O)O,False
9,0,4,GRIK1_83,-6.846,NC(CC(C(=O)O)=C1CCCC1)C(=O)O,False
10,0,0,GRIK1_104,-4.351,Cc1ccc(C(=O)O)cc1-c1ccc2[nH]c(=O)c(=O)[nH]c2c1,True
10,0,1,GRIK1_104,-3.984,Cc1ccc(C(=O)O)cc1-c1ccc2[nH]c(=O)c(=O)[nH]c2c1,False
10,0,2,GRIK1_104,-2.844,Cc1ccc(C(=O)O)cc1-c1ccc2[nH]c(=O)c(=O)[nH]c2c1,False
10,0,3,GRIK1_104,-2.264,Cc1ccc(C(=O)O)cc1-c1ccc2[nH]c(=O)c(=O)[nH]c2c1,False
10,0,4,GRIK1_104,-1.685,Cc1ccc(C(=O)O)cc1-c1ccc2[nH]c(=O)c(=O)[nH]c2c1,False
11,0,0,GRIK1_94,-5.411,O=C(O)C1C[C@H]2C[C@@H](CN3CC(F)(F)CC3C(=O)O)CC[C@H]2CN1,True
11,0,1,GRIK1_94,-5.024,O=C(O)C1C[C@H]2C[C@@H](CN3CC(F)(F)CC3C(=O)O)CC[C@H]2CN1,False
11,0,2,GRIK1_94,-4.578,O=C(O)C1C[C@H]2C[C@@H](CN3CC(F)(F)CC3C(=O)O)CC[C@H]2CN1,False
11,0,3,GRIK1_94,-4.448,O=C(O)C1C[C@H]2C[C@@H](CN3CC(F)(F)CC3C(=O)O)CC[C@H]2CN1,False
11,0,4,GRIK1_94,-4.083,O=C(O)C1C[C@H]2C[C@@H](CN3CC(F)(F)CC3C(=O)O)CC[C@H]2CN1,False
12,0,0,GRIK1_47,-7.024,CC/C=C(/CC(N)C(=O)O)C(=O)O,True
12,0,1,GRIK1_47,-6.457,CC/C=C(/CC(N)C(=O)O)C(=O)O,False
12,0,2,GRIK1_47,-6.31,CC/C=C(/CC(N)C(=O)O)C(=O)O,False
12,0,3,GRIK1_47,-6.247,CC/C=C(/CC(N)C(=O)O)C(=O)O,False
12,0,4,GRIK1_47,-6.237,CC/C=C(/CC(N)C(=O)O)C(=O)O,False
13,0,0,GRIK1_57,-2.958,CN(Cc1ccccc1)Cc1ccn(-c2cc3c(cc2[N+](=O)[O-])[nH]c(=O)c(=O)n3CCC(=O)O)c1,True
13,0,1,GRIK1_57,-2.777,CN(Cc1ccccc1)Cc1ccn(-c2cc3c(cc2[N+](=O)[O-])[nH]c(=O)c(=O)n3CCC(=O)O)c1,False
13,0,2,GRIK1_57,-1.801,CN(Cc1ccccc1)Cc1ccn(-c2cc3c(cc2[N+](=O)[O-])[nH]c(=O)c(=O)n3CCC(=O)O)c1,False
13,0,3,GRIK1_57,-1.58,CN(Cc1ccccc1)Cc1ccn(-c2cc3c(cc2[N+](=O)[O-])[nH]c(=O)c(=O)n3CCC(=O)O)c1,False
13,0,4,GRIK1_57,-1.418,CN(Cc1ccccc1)Cc1ccn(-c2cc3c(cc2[N+](=O)[O-])[nH]c(=O)c(=O)n3CCC(=O)O)c1,False
14,0,0,GRIK1_56,-7.286,NC(C/C(=C\C1CCCC1)C(=O)O)C(=O)O,True
14,0,1,GRIK1_56,-7.26,NC(C/C(=C\C1CCCC1)C(=O)O)C(=O)O,False
14,0,2,GRIK1_56,-7.209,NC(C/C(=C\C1CCCC1)C(=O)O)C(=O)O,False
14,0,3,GRIK1_56,-6.798,NC(C/C(=C\C1CCCC1)C(=O)O)C(=O)O,False
14,0,4,GRIK1_56,-6.588,NC(C/C(=C\C1CCCC1)C(=O)O)C(=O)O,False
15,0,0,GRIK1_61,-3.789,O=C(O)Cn1c(=O)c(=O)[nH]c2cc(C(F)(F)F)c(-n3ccc(CNC(=O)Nc4ccc([N+](=O)[O-])cc4)c3)cc21,True
15,0,1,GRIK1_61,-2.023,O=C(O)Cn1c(=O)c(=O)[nH]c2cc(C(F)(F)F)c(-n3ccc(CNC(=O)Nc4ccc([N+](=O)[O-])cc4)c3)cc21,False
16,0,0,GRIK1_9,-8.633,CN[C@H]1[C@H]2O[C@@](CC(N)C(=O)O)(C(=O)O)C[C@H]2OC[C@H]1O,True
16,0,1,GRIK1_9,-5.923,CN[C@H]1[C@H]2O[C@@](CC(N)C(=O)O)(C(=O)O)C[C@H]2OC[C@H]1O,False
16,0,2,GRIK1_9,-5.734,CN[C@H]1[C@H]2O[C@@](CC(N)C(=O)O)(C(=O)O)C[C@H]2OC[C@H]1O,False
17,0,0,GRIK1_85,-6.822,C/C=C(/CC(N)C(=O)O)C(=O)O,True
17,0,1,GRIK1_85,-6.702,C/C=C(/CC(N)C(=O)O)C(=O)O,False
17,0,2,GRIK1_85,-6.666,C/C=C(/CC(N)C(=O)O)C(=O)O,False
17,0,3,GRIK1_85,-6.407,C/C=C(/CC(N)C(=O)O)C(=O)O,False
17,0,4,GRIK1_85,-6.382,C/C=C(/CC(N)C(=O)O)C(=O)O,False
18,0,0,GRIK1_87,-7.101,NC(CC(C/C=C/c1ccccc1)C(=O)O)C(=O)O,True
18,0,1,GRIK1_87,-6.772,NC(CC(C/C=C/c1ccccc1)C(=O)O)C(=O)O,False
18,0,2,GRIK1_87,-6.412,NC(CC(C/C=C/c1ccccc1)C(=O)O)C(=O)O,False
18,0,3,GRIK1_87,-6.342,NC(CC(C/C=C/c1ccccc1)C(=O)O)C(=O)O,False
18,0,4,GRIK1_87,-6.229,NC(CC(C/C=C/c1ccccc1)C(=O)O)C(=O)O,False
19,0,0,GRIK1_120,-8.412,NC(Cn1c(=O)[nH]c(=O)c2sccc21)C(=O)O,True
19,0,1,GRIK1_120,-7.844,NC(Cn1c(=O)[nH]c(=O)c2sccc21)C(=O)O,False
19,0,2,GRIK1_120,-7.618,NC(Cn1c(=O)[nH]c(=O)c2sccc21)C(=O)O,False
19,0,3,GRIK1_120,-7.369,NC(Cn1c(=O)[nH]c(=O)c2sccc21)C(=O)O,False
19,0,4,GRIK1_120,-6.899,NC(Cn1c(=O)[nH]c(=O)c2sccc21)C(=O)O,False
20,0,0,GRIK1_30,-1.955,O=C(O)C1C[C@H]2C[C@@H](Oc3cc(-c4cccs4)ccc3-c3nn[nH]n3)CC[C@H]2CN1,True
21,0,0,GRIK1_69,-7.156,NC(CC(C/C=C/c1ccc(C(F)(F)F)cc1)C(=O)O)C(=O)O,True
21,0,1,GRIK1_69,-7.053,NC(CC(C/C=C/c1ccc(C(F)(F)F)cc1)C(=O)O)C(=O)O,False
21,0,2,GRIK1_69,-7.036,NC(CC(C/C=C/c1ccc(C(F)(F)F)cc1)C(=O)O)C(=O)O,False
21,0,3,GRIK1_69,-6.485,NC(CC(C/C=C/c1ccc(C(F)(F)F)cc1)C(=O)O)C(=O)O,False
21,0,4,GRIK1_69,-6.164,NC(CC(C/C=C/c1ccc(C(F)(F)F)cc1)C(=O)O)C(=O)O,False
22,0,0,GRIK1_44,-6.558,COc1ccccc1/C=C/CC(CC(N)C(=O)O)C(=O)O,True
22,0,1,GRIK1_44,-6.317,COc1ccccc1/C=C/CC(CC(N)C(=O)O)C(=O)O,False
22,0,2,GRIK1_44,-6.159,COc1ccccc1/C=C/CC(CC(N)C(=O)O)C(=O)O,False
22,0,3,GRIK1_44,-5.838,COc1ccccc1/C=C/CC(CC(N)C(=O)O)C(=O)O,False
22,0,4,GRIK1_44,-5.616,COc1ccccc1/C=C/CC(CC(N)C(=O)O)C(=O)O,False
23,0,0,GRIK1_34,-7.046,NC(CC(C/C=C/c1ccc2ccccc2c1)C(=O)O)C(=O)O,True
23,0,1,GRIK1_34,-6.643,NC(CC(C/C=C/c1ccc2ccccc2c1)C(=O)O)C(=O)O,False
23,0,2,GRIK1_34,-6.104,NC(CC(C/C=C/c1ccc2ccccc2c1)C(=O)O)C(=O)O,False
23,0,3,GRIK1_34,-5.955,NC(CC(C/C=C/c1ccc2ccccc2c1)C(=O)O)C(=O)O,False
23,0,4,GRIK1_34,-5.815,NC(CC(C/C=C/c1ccc2ccccc2c1)C(=O)O)C(=O)O,False
24,0,0,GRIK1_105,-6.815,N#Cc1ccc(/C=C/CC(CC(N)C(=O)O)C(=O)O)cc1,True
24,0,1,GRIK1_105,-6.778,N#Cc1ccc(/C=C/CC(CC(N)C(=O)O)C(=O)O)cc1,False
24,0,2,GRIK1_105,-5.982,N#Cc1ccc(/C=C/CC(CC(N)C(=O)O)C(=O)O)cc1,False
24,0,3,GRIK1_105,-5.841,N#Cc1ccc(/C=C/CC(CC(N)C(=O)O)C(=O)O)cc1,False
24,0,4,GRIK1_105,-5.242,N#Cc1ccc(/C=C/CC(CC(N)C(=O)O)C(=O)O)cc1,False
25,0,0,GRIK1_42,-5.926,NC(Cn1ccc(=O)n(Cc2ccsc2C(=O)O)c1=O)C(=O)O,True
25,0,1,GRIK1_42,-4.708,NC(Cn1ccc(=O)n(Cc2ccsc2C(=O)O)c1=O)C(=O)O,False
25,0,2,GRIK1_42,-4.029,NC(Cn1ccc(=O)n(Cc2ccsc2C(=O)O)c1=O)C(=O)O,False
