ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,HCRTR1_514,-9.574,Cc1ccc(-n2nccn2)c(C(=O)N2CCC[C@H]2c2noc(-c3cnc4sccn34)n2)c1,True
0,0,1,HCRTR1_514,-9.554,Cc1ccc(-n2nccn2)c(C(=O)N2CCC[C@H]2c2noc(-c3cnc4sccn34)n2)c1,False
0,0,2,HCRTR1_514,-9.494,Cc1ccc(-n2nccn2)c(C(=O)N2CCC[C@H]2c2noc(-c3cnc4sccn34)n2)c1,False
0,0,3,HCRTR1_514,-9.47,Cc1ccc(-n2nccn2)c(C(=O)N2CCC[C@H]2c2noc(-c3cnc4sccn34)n2)c1,False
0,0,4,HCRTR1_514,-9.431,Cc1ccc(-n2nccn2)c(C(=O)N2CCC[C@H]2c2noc(-c3cnc4sccn34)n2)c1,False
1,0,0,HCRTR1_476,-10.69,Cc1nc(C(=O)N2CC[C@H](C)[C@H]2c2nc3c(C)cc(Cl)cc3[nH]2)c(-c2cc(F)cc(F)c2)s1,True
1,0,1,HCRTR1_476,-9.734,Cc1nc(C(=O)N2CC[C@H](C)[C@H]2c2nc3c(C)cc(Cl)cc3[nH]2)c(-c2cc(F)cc(F)c2)s1,False
1,0,2,HCRTR1_476,-9.673,Cc1nc(C(=O)N2CC[C@H](C)[C@H]2c2nc3c(C)cc(Cl)cc3[nH]2)c(-c2cc(F)cc(F)c2)s1,False
1,0,3,HCRTR1_476,-9.42,Cc1nc(C(=O)N2CC[C@H](C)[C@H]2c2nc3c(C)cc(Cl)cc3[nH]2)c(-c2cc(F)cc(F)c2)s1,False
1,0,4,HCRTR1_476,-9.405,Cc1nc(C(=O)N2CC[C@H](C)[C@H]2c2nc3c(C)cc(Cl)cc3[nH]2)c(-c2cc(F)cc(F)c2)s1,False
2,0,0,HCRTR1_67,-10.143,CSc1cccc2[nH]c([C@@H]3CCCN3C(=O)c3nc(C)sc3-c3cccc(Cl)c3)nc12,True
2,0,1,HCRTR1_67,-9.905,CSc1cccc2[nH]c([C@@H]3CCCN3C(=O)c3nc(C)sc3-c3cccc(Cl)c3)nc12,False
2,0,2,HCRTR1_67,-9.673,CSc1cccc2[nH]c([C@@H]3CCCN3C(=O)c3nc(C)sc3-c3cccc(Cl)c3)nc12,False
2,0,3,HCRTR1_67,-9.645,CSc1cccc2[nH]c([C@@H]3CCCN3C(=O)c3nc(C)sc3-c3cccc(Cl)c3)nc12,False
2,0,4,HCRTR1_67,-9.512,CSc1cccc2[nH]c([C@@H]3CCCN3C(=O)c3nc(C)sc3-c3cccc(Cl)c3)nc12,False
3,0,0,HCRTR1_746,-9.57,Cc1n[nH]c(C)c1[C@H](C)NC(=O)COc1cc(C(F)(F)F)c2c(-c3ccccc3)nn(C)c2n1,True
3,0,1,HCRTR1_746,-9.435,Cc1n[nH]c(C)c1[C@H](C)NC(=O)COc1cc(C(F)(F)F)c2c(-c3ccccc3)nn(C)c2n1,False
3,0,2,HCRTR1_746,-9.434,Cc1n[nH]c(C)c1[C@H](C)NC(=O)COc1cc(C(F)(F)F)c2c(-c3ccccc3)nn(C)c2n1,False
3,0,3,HCRTR1_746,-9.405,Cc1n[nH]c(C)c1[C@H](C)NC(=O)COc1cc(C(F)(F)F)c2c(-c3ccccc3)nn(C)c2n1,False
3,0,4,HCRTR1_746,-9.241,Cc1n[nH]c(C)c1[C@H](C)NC(=O)COc1cc(C(F)(F)F)c2c(-c3ccccc3)nn(C)c2n1,False
4,0,0,HCRTR1_975,-10.363,Cc1cc(C)nc(N2CC3CN(C(=O)c4ccc(F)cc4-c4[nH]ncc4F)CC3C2)n1,True
4,0,1,HCRTR1_975,-9.616,Cc1cc(C)nc(N2CC3CN(C(=O)c4ccc(F)cc4-c4[nH]ncc4F)CC3C2)n1,False
4,0,2,HCRTR1_975,-9.582,Cc1cc(C)nc(N2CC3CN(C(=O)c4ccc(F)cc4-c4[nH]ncc4F)CC3C2)n1,False
4,0,3,HCRTR1_975,-9.392,Cc1cc(C)nc(N2CC3CN(C(=O)c4ccc(F)cc4-c4[nH]ncc4F)CC3C2)n1,False
4,0,4,HCRTR1_975,-9.302,Cc1cc(C)nc(N2CC3CN(C(=O)c4ccc(F)cc4-c4[nH]ncc4F)CC3C2)n1,False
5,0,0,HCRTR1_377,-9.928,COc1cc(C(=O)N2CC[C@H]2c2nc(-c3cccc(Cl)c3C)no2)c(-n2nccn2)cc1C,True
5,0,1,HCRTR1_377,-9.85,COc1cc(C(=O)N2CC[C@H]2c2nc(-c3cccc(Cl)c3C)no2)c(-n2nccn2)cc1C,False
5,0,2,HCRTR1_377,-9.628,COc1cc(C(=O)N2CC[C@H]2c2nc(-c3cccc(Cl)c3C)no2)c(-n2nccn2)cc1C,False
5,0,3,HCRTR1_377,-9.48,COc1cc(C(=O)N2CC[C@H]2c2nc(-c3cccc(Cl)c3C)no2)c(-n2nccn2)cc1C,False
5,0,4,HCRTR1_377,-9.47,COc1cc(C(=O)N2CC[C@H]2c2nc(-c3cccc(Cl)c3C)no2)c(-n2nccn2)cc1C,False
6,0,0,HCRTR1_890,-11.692,Cc1ccc(-c2ccccc2C(=O)N2CC[C@H](C)[C@H]2c2nc3c(C)c(Cl)ccc3[nH]2)cc1,True
6,0,1,HCRTR1_890,-10.851,Cc1ccc(-c2ccccc2C(=O)N2CC[C@H](C)[C@H]2c2nc3c(C)c(Cl)ccc3[nH]2)cc1,False
6,0,2,HCRTR1_890,-10.826,Cc1ccc(-c2ccccc2C(=O)N2CC[C@H](C)[C@H]2c2nc3c(C)c(Cl)ccc3[nH]2)cc1,False
6,0,3,HCRTR1_890,-10.613,Cc1ccc(-c2ccccc2C(=O)N2CC[C@H](C)[C@H]2c2nc3c(C)c(Cl)ccc3[nH]2)cc1,False
6,0,4,HCRTR1_890,-10.584,Cc1ccc(-c2ccccc2C(=O)N2CC[C@H](C)[C@H]2c2nc3c(C)c(Cl)ccc3[nH]2)cc1,False
7,0,0,HCRTR1_196,-9.862,C[C@@H]1CC[C@@H](c2nc(CN(C)C)c(-c3ccccc3)o2)CN1C(=O)c1ccccc1-n1nccn1,True
7,0,1,HCRTR1_196,-9.471,C[C@@H]1CC[C@@H](c2nc(CN(C)C)c(-c3ccccc3)o2)CN1C(=O)c1ccccc1-n1nccn1,False
7,0,2,HCRTR1_196,-9.352,C[C@@H]1CC[C@@H](c2nc(CN(C)C)c(-c3ccccc3)o2)CN1C(=O)c1ccccc1-n1nccn1,False
7,0,3,HCRTR1_196,-9.314,C[C@@H]1CC[C@@H](c2nc(CN(C)C)c(-c3ccccc3)o2)CN1C(=O)c1ccccc1-n1nccn1,False
7,0,4,HCRTR1_196,-9.18,C[C@@H]1CC[C@@H](c2nc(CN(C)C)c(-c3ccccc3)o2)CN1C(=O)c1ccccc1-n1nccn1,False
8,0,0,HCRTR1_277,-11.814,Cc1nc(C(=O)N2C[C@@H]3CCCC[C@@H]3[C@H]2CNC(=O)c2cccc3cccnc23)c(-c2ccccc2)s1,True
8,0,1,HCRTR1_277,-11.757,Cc1nc(C(=O)N2C[C@@H]3CCCC[C@@H]3[C@H]2CNC(=O)c2cccc3cccnc23)c(-c2ccccc2)s1,False
8,0,2,HCRTR1_277,-11.348,Cc1nc(C(=O)N2C[C@@H]3CCCC[C@@H]3[C@H]2CNC(=O)c2cccc3cccnc23)c(-c2ccccc2)s1,False
8,0,3,HCRTR1_277,-11.279,Cc1nc(C(=O)N2C[C@@H]3CCCC[C@@H]3[C@H]2CNC(=O)c2cccc3cccnc23)c(-c2ccccc2)s1,False
8,0,4,HCRTR1_277,-11.279,Cc1nc(C(=O)N2C[C@@H]3CCCC[C@@H]3[C@H]2CNC(=O)c2cccc3cccnc23)c(-c2ccccc2)s1,False
9,0,0,HCRTR1_37,-9.707,Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(F)cc(-n3nccn3)c2)c(-n2nccn2)c1,True
9,0,1,HCRTR1_37,-9.197,Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(F)cc(-n3nccn3)c2)c(-n2nccn2)c1,False
9,0,2,HCRTR1_37,-9.184,Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(F)cc(-n3nccn3)c2)c(-n2nccn2)c1,False
9,0,3,HCRTR1_37,-9.18,Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(F)cc(-n3nccn3)c2)c(-n2nccn2)c1,False
9,0,4,HCRTR1_37,-9.046,Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(F)cc(-n3nccn3)c2)c(-n2nccn2)c1,False
10,0,0,HCRTR1_48,-9.959,C=C1C[C@@H](c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,True
10,0,1,HCRTR1_48,-9.868,C=C1C[C@@H](c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,False
10,0,2,HCRTR1_48,-9.618,C=C1C[C@@H](c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,False
10,0,3,HCRTR1_48,-9.599,C=C1C[C@@H](c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,False
10,0,4,HCRTR1_48,-9.469,C=C1C[C@@H](c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,False
11,0,0,HCRTR1_447,-10.778,O=C(c1ccccc1-n1cccc1)N1CC2CN(c3nccc(-c4ccccc4)n3)CC2C1,True
11,0,1,HCRTR1_447,-10.212,O=C(c1ccccc1-n1cccc1)N1CC2CN(c3nccc(-c4ccccc4)n3)CC2C1,False
11,0,2,HCRTR1_447,-10.195,O=C(c1ccccc1-n1cccc1)N1CC2CN(c3nccc(-c4ccccc4)n3)CC2C1,False
11,0,3,HCRTR1_447,-10.049,O=C(c1ccccc1-n1cccc1)N1CC2CN(c3nccc(-c4ccccc4)n3)CC2C1,False
11,0,4,HCRTR1_447,-9.287,O=C(c1ccccc1-n1cccc1)N1CC2CN(c3nccc(-c4ccccc4)n3)CC2C1,False
12,0,0,HCRTR1_4,-10.65,Cc1ccc(-c2ncccn2)c(C(=O)N2CCC[C@@]2(C)c2nc3cc(OC(F)(F)F)ccc3[nH]2)c1,True
12,0,1,HCRTR1_4,-10.62,Cc1ccc(-c2ncccn2)c(C(=O)N2CCC[C@@]2(C)c2nc3cc(OC(F)(F)F)ccc3[nH]2)c1,False
12,0,2,HCRTR1_4,-9.995,Cc1ccc(-c2ncccn2)c(C(=O)N2CCC[C@@]2(C)c2nc3cc(OC(F)(F)F)ccc3[nH]2)c1,False
12,0,3,HCRTR1_4,-9.992,Cc1ccc(-c2ncccn2)c(C(=O)N2CCC[C@@]2(C)c2nc3cc(OC(F)(F)F)ccc3[nH]2)c1,False
12,0,4,HCRTR1_4,-9.768,Cc1ccc(-c2ncccn2)c(C(=O)N2CCC[C@@]2(C)c2nc3cc(OC(F)(F)F)ccc3[nH]2)c1,False
13,0,0,HCRTR1_190,-8.997,Cc1sc([C@@H]2CC[C@@H](C)N(C(=O)c3ccsc3-n3nccn3)C2)nc1C(C)(C)O,True
13,0,1,HCRTR1_190,-8.359,Cc1sc([C@@H]2CC[C@@H](C)N(C(=O)c3ccsc3-n3nccn3)C2)nc1C(C)(C)O,False
13,0,2,HCRTR1_190,-8.058,Cc1sc([C@@H]2CC[C@@H](C)N(C(=O)c3ccsc3-n3nccn3)C2)nc1C(C)(C)O,False
13,0,3,HCRTR1_190,-8.032,Cc1sc([C@@H]2CC[C@@H](C)N(C(=O)c3ccsc3-n3nccn3)C2)nc1C(C)(C)O,False
13,0,4,HCRTR1_190,-7.966,Cc1sc([C@@H]2CC[C@@H](C)N(C(=O)c3ccsc3-n3nccn3)C2)nc1C(C)(C)O,False
14,0,0,HCRTR1_56,-9.97,O=C(c1ccccc1-c1ncccn1)N1CC2CC(Nc3ncc(C(F)(F)F)cn3)C1C2,True
14,0,1,HCRTR1_56,-9.862,O=C(c1ccccc1-c1ncccn1)N1CC2CC(Nc3ncc(C(F)(F)F)cn3)C1C2,False
14,0,2,HCRTR1_56,-9.394,O=C(c1ccccc1-c1ncccn1)N1CC2CC(Nc3ncc(C(F)(F)F)cn3)C1C2,False
14,0,3,HCRTR1_56,-9.194,O=C(c1ccccc1-c1ncccn1)N1CC2CC(Nc3ncc(C(F)(F)F)cn3)C1C2,False
14,0,4,HCRTR1_56,-8.338,O=C(c1ccccc1-c1ncccn1)N1CC2CC(Nc3ncc(C(F)(F)F)cn3)C1C2,False
15,0,0,HCRTR1_0,-9.87,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@@H](COc3ccc(F)c(C)c3)CC[C@H]2C)c1,True
15,0,1,HCRTR1_0,-9.804,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@@H](COc3ccc(F)c(C)c3)CC[C@H]2C)c1,False
15,0,2,HCRTR1_0,-9.774,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@@H](COc3ccc(F)c(C)c3)CC[C@H]2C)c1,False
