ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,IDH1_192,-7.827,COCC(C)(C)c1onc(-c2c(Cl)cc(Cl)cc2Cl)c1C(=O)n1ccc2c(/C=C/C(=O)O)cccc21,True
0,0,1,IDH1_192,-7.77,COCC(C)(C)c1onc(-c2c(Cl)cc(Cl)cc2Cl)c1C(=O)n1ccc2c(/C=C/C(=O)O)cccc21,False
0,0,2,IDH1_192,-6.902,COCC(C)(C)c1onc(-c2c(Cl)cc(Cl)cc2Cl)c1C(=O)n1ccc2c(/C=C/C(=O)O)cccc21,False
0,0,3,IDH1_192,-6.902,COCC(C)(C)c1onc(-c2c(Cl)cc(Cl)cc2Cl)c1C(=O)n1ccc2c(/C=C/C(=O)O)cccc21,False
0,0,4,IDH1_192,-6.683,COCC(C)(C)c1onc(-c2c(Cl)cc(Cl)cc2Cl)c1C(=O)n1ccc2c(/C=C/C(=O)O)cccc21,False
1,0,0,IDH1_828,-9.834,CC(C)O[C@H]1CCC(C(=O)N2Cc3cc(F)cnc3Nc3cc(F)c(N4CC5CCC4CO5)cc32)OC1,True
1,0,1,IDH1_828,-8.738,CC(C)O[C@H]1CCC(C(=O)N2Cc3cc(F)cnc3Nc3cc(F)c(N4CC5CCC4CO5)cc32)OC1,False
1,0,2,IDH1_828,-8.611,CC(C)O[C@H]1CCC(C(=O)N2Cc3cc(F)cnc3Nc3cc(F)c(N4CC5CCC4CO5)cc32)OC1,False
1,0,3,IDH1_828,-8.221,CC(C)O[C@H]1CCC(C(=O)N2Cc3cc(F)cnc3Nc3cc(F)c(N4CC5CCC4CO5)cc32)OC1,False
1,0,4,IDH1_828,-8.218,CC(C)O[C@H]1CCC(C(=O)N2Cc3cc(F)cnc3Nc3cc(F)c(N4CC5CCC4CO5)cc32)OC1,False
2,0,0,IDH1_18,-9.525,COC(=O)CCc1ccc2c(c1)nc(Nc1ccc(C(C)C)cc1)n2[C@H]1CCCC(C)(C)C1,True
2,0,1,IDH1_18,-9.148,COC(=O)CCc1ccc2c(c1)nc(Nc1ccc(C(C)C)cc1)n2[C@H]1CCCC(C)(C)C1,False
2,0,2,IDH1_18,-9.125,COC(=O)CCc1ccc2c(c1)nc(Nc1ccc(C(C)C)cc1)n2[C@H]1CCCC(C)(C)C1,False
2,0,3,IDH1_18,-8.682,COC(=O)CCc1ccc2c(c1)nc(Nc1ccc(C(C)C)cc1)n2[C@H]1CCCC(C)(C)C1,False
2,0,4,IDH1_18,-8.052,COC(=O)CCc1ccc2c(c1)nc(Nc1ccc(C(C)C)cc1)n2[C@H]1CCCC(C)(C)C1,False
3,0,0,IDH1_14,-10.223,CC1(C)CC(n2c(Nc3ccc(OC(F)(F)F)cc3)nc3ccc(OC4CCC4)cc32)CC(C)(C)C1,True
3,0,1,IDH1_14,-9.854,CC1(C)CC(n2c(Nc3ccc(OC(F)(F)F)cc3)nc3ccc(OC4CCC4)cc32)CC(C)(C)C1,False
3,0,2,IDH1_14,-8.999,CC1(C)CC(n2c(Nc3ccc(OC(F)(F)F)cc3)nc3ccc(OC4CCC4)cc32)CC(C)(C)C1,False
3,0,3,IDH1_14,-8.745,CC1(C)CC(n2c(Nc3ccc(OC(F)(F)F)cc3)nc3ccc(OC4CCC4)cc32)CC(C)(C)C1,False
3,0,4,IDH1_14,-8.658,CC1(C)CC(n2c(Nc3ccc(OC(F)(F)F)cc3)nc3ccc(OC4CCC4)cc32)CC(C)(C)C1,False
4,0,0,IDH1_180,-9.233,O=C(C1CCN(CC(F)(F)F)CC1)N1Cc2cccnc2Nc2cc(F)c(N3[C@@H]4CO[C@H]5[C@@H]4OC[C@H]53)cc21,True
4,0,1,IDH1_180,-8.625,O=C(C1CCN(CC(F)(F)F)CC1)N1Cc2cccnc2Nc2cc(F)c(N3[C@@H]4CO[C@H]5[C@@H]4OC[C@H]53)cc21,False
4,0,2,IDH1_180,-8.609,O=C(C1CCN(CC(F)(F)F)CC1)N1Cc2cccnc2Nc2cc(F)c(N3[C@@H]4CO[C@H]5[C@@H]4OC[C@H]53)cc21,False
4,0,3,IDH1_180,-8.066,O=C(C1CCN(CC(F)(F)F)CC1)N1Cc2cccnc2Nc2cc(F)c(N3[C@@H]4CO[C@H]5[C@@H]4OC[C@H]53)cc21,False
4,0,4,IDH1_180,-7.882,O=C(C1CCN(CC(F)(F)F)CC1)N1Cc2cccnc2Nc2cc(F)c(N3[C@@H]4CO[C@H]5[C@@H]4OC[C@H]53)cc21,False
5,0,0,IDH1_936,-7.805,CC(C)(C)c1onc(-c2c(Cl)cc(Cl)cc2Cl)c1C(=O)N1CCc2c(/C=C/C(=O)O)cccc21,True
5,0,1,IDH1_936,-7.085,CC(C)(C)c1onc(-c2c(Cl)cc(Cl)cc2Cl)c1C(=O)N1CCc2c(/C=C/C(=O)O)cccc21,False
