ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,JAK1_548,-8.801,C[C@](O)(c1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cn1)C(F)F,True
0,0,1,JAK1_548,-8.488,C[C@](O)(c1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cn1)C(F)F,False
0,0,2,JAK1_548,-8.179,C[C@](O)(c1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cn1)C(F)F,False
0,0,3,JAK1_548,-8.137,C[C@](O)(c1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cn1)C(F)F,False
0,0,4,JAK1_548,-8.069,C[C@](O)(c1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cn1)C(F)F,False
1,0,0,JAK1_158,-8.856,CCC(CC)n1cc(-c2nc(-c3cnn(C4CC(C(=O)NCCO)C4)c3)cn3nccc23)cn1,True
1,0,1,JAK1_158,-8.451,CCC(CC)n1cc(-c2nc(-c3cnn(C4CC(C(=O)NCCO)C4)c3)cn3nccc23)cn1,False
1,0,2,JAK1_158,-8.032,CCC(CC)n1cc(-c2nc(-c3cnn(C4CC(C(=O)NCCO)C4)c3)cn3nccc23)cn1,False
1,0,3,JAK1_158,-7.813,CCC(CC)n1cc(-c2nc(-c3cnn(C4CC(C(=O)NCCO)C4)c3)cn3nccc23)cn1,False
1,0,4,JAK1_158,-7.683,CCC(CC)n1cc(-c2nc(-c3cnn(C4CC(C(=O)NCCO)C4)c3)cn3nccc23)cn1,False
2,0,0,JAK1_472,-7.4,N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCN(C(=O)CCC(F)(F)F)CC1,True
2,0,1,JAK1_472,-7.396,N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCN(C(=O)CCC(F)(F)F)CC1,False
2,0,2,JAK1_472,-7.075,N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCN(C(=O)CCC(F)(F)F)CC1,False
2,0,3,JAK1_472,-6.94,N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCN(C(=O)CCC(F)(F)F)CC1,False
2,0,4,JAK1_472,-6.701,N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCN(C(=O)CCC(F)(F)F)CC1,False
3,0,0,JAK1_59,-9.596,CN1CCC(CCNC(=O)c2ccc(Nc3nc4c(C5=CCN(C(=O)CCC(F)(F)F)CC5)cccn4n3)cc2)CC1,True
3,0,1,JAK1_59,-9.528,CN1CCC(CCNC(=O)c2ccc(Nc3nc4c(C5=CCN(C(=O)CCC(F)(F)F)CC5)cccn4n3)cc2)CC1,False
3,0,2,JAK1_59,-9.497,CN1CCC(CCNC(=O)c2ccc(Nc3nc4c(C5=CCN(C(=O)CCC(F)(F)F)CC5)cccn4n3)cc2)CC1,False
3,0,3,JAK1_59,-9.488,CN1CCC(CCNC(=O)c2ccc(Nc3nc4c(C5=CCN(C(=O)CCC(F)(F)F)CC5)cccn4n3)cc2)CC1,False
3,0,4,JAK1_59,-8.689,CN1CCC(CCNC(=O)c2ccc(Nc3nc4c(C5=CCN(C(=O)CCC(F)(F)F)CC5)cccn4n3)cc2)CC1,False
4,0,0,JAK1_562,-8.704,COC(=O)Nc1nn(C2(CC#N)CCN(Cc3ccc(-c4ccc(C)o4)c(O)c3)CC2F)cc1C(N)=O,True
4,0,1,JAK1_562,-8.653,COC(=O)Nc1nn(C2(CC#N)CCN(Cc3ccc(-c4ccc(C)o4)c(O)c3)CC2F)cc1C(N)=O,False
