ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,KDM1A_195,-9.723,CN1CCN(c2ccc(Nc3c4ccccc4nc4ccccc34)cc2)CC1,True
0,0,1,KDM1A_195,-9.582,CN1CCN(c2ccc(Nc3c4ccccc4nc4ccccc34)cc2)CC1,False
0,0,2,KDM1A_195,-9.323,CN1CCN(c2ccc(Nc3c4ccccc4nc4ccccc34)cc2)CC1,False
0,0,3,KDM1A_195,-9.139,CN1CCN(c2ccc(Nc3c4ccccc4nc4ccccc34)cc2)CC1,False
0,0,4,KDM1A_195,-9.054,CN1CCN(c2ccc(Nc3c4ccccc4nc4ccccc34)cc2)CC1,False
1,0,0,KDM1A_908,-9.795,Cc1c(C(=O)N2CCC3(CNC3)C2)nc(-c2ccc(C#N)c(F)c2)n1-c1ccc2nn(C)cc2c1,True
1,0,1,KDM1A_908,-9.547,Cc1c(C(=O)N2CCC3(CNC3)C2)nc(-c2ccc(C#N)c(F)c2)n1-c1ccc2nn(C)cc2c1,False
1,0,2,KDM1A_908,-9.504,Cc1c(C(=O)N2CCC3(CNC3)C2)nc(-c2ccc(C#N)c(F)c2)n1-c1ccc2nn(C)cc2c1,False
1,0,3,KDM1A_908,-9.503,Cc1c(C(=O)N2CCC3(CNC3)C2)nc(-c2ccc(C#N)c(F)c2)n1-c1ccc2nn(C)cc2c1,False
1,0,4,KDM1A_908,-9.423,Cc1c(C(=O)N2CCC3(CNC3)C2)nc(-c2ccc(C#N)c(F)c2)n1-c1ccc2nn(C)cc2c1,False
2,0,0,KDM1A_847,-7.812,COc1ccc(/C=N/NC2N=C(SCC(C)C)NC(c3ccc(OC)cc3)=C2C#N)cc1,True
2,0,1,KDM1A_847,-7.634,COc1ccc(/C=N/NC2N=C(SCC(C)C)NC(c3ccc(OC)cc3)=C2C#N)cc1,False
2,0,2,KDM1A_847,-7.486,COc1ccc(/C=N/NC2N=C(SCC(C)C)NC(c3ccc(OC)cc3)=C2C#N)cc1,False
2,0,3,KDM1A_847,-7.381,COc1ccc(/C=N/NC2N=C(SCC(C)C)NC(c3ccc(OC)cc3)=C2C#N)cc1,False
2,0,4,KDM1A_847,-7.339,COc1ccc(/C=N/NC2N=C(SCC(C)C)NC(c3ccc(OC)cc3)=C2C#N)cc1,False
3,0,0,KDM1A_694,-9.474,Cn1cc(-c2ccc(S(=O)(=O)n3ccc(/C=C/C(=O)Nc4ccccc4N)c3)cc2)cn1,True
3,0,1,KDM1A_694,-9.339,Cn1cc(-c2ccc(S(=O)(=O)n3ccc(/C=C/C(=O)Nc4ccccc4N)c3)cc2)cn1,False
3,0,2,KDM1A_694,-9.223,Cn1cc(-c2ccc(S(=O)(=O)n3ccc(/C=C/C(=O)Nc4ccccc4N)c3)cc2)cn1,False
3,0,3,KDM1A_694,-9.026,Cn1cc(-c2ccc(S(=O)(=O)n3ccc(/C=C/C(=O)Nc4ccccc4N)c3)cc2)cn1,False
3,0,4,KDM1A_694,-8.87,Cn1cc(-c2ccc(S(=O)(=O)n3ccc(/C=C/C(=O)Nc4ccccc4N)c3)cc2)cn1,False
4,0,0,KDM1A_958,-8.622,COc1ccc2nc(-c3nc(C4(CN[C@H]5CC5c5ccccc5)CCC4)no3)sc2c1,True
4,0,1,KDM1A_958,-8.589,COc1ccc2nc(-c3nc(C4(CN[C@H]5CC5c5ccccc5)CCC4)no3)sc2c1,False
4,0,2,KDM1A_958,-8.517,COc1ccc2nc(-c3nc(C4(CN[C@H]5CC5c5ccccc5)CCC4)no3)sc2c1,False
4,0,3,KDM1A_958,-8.414,COc1ccc2nc(-c3nc(C4(CN[C@H]5CC5c5ccccc5)CCC4)no3)sc2c1,False
4,0,4,KDM1A_958,-8.405,COc1ccc2nc(-c3nc(C4(CN[C@H]5CC5c5ccccc5)CCC4)no3)sc2c1,False
5,0,0,KDM1A_426,-8.302,COc1ccc(-c2c(-c3ccc([N+]#N)c(F)c3)nc(N3CCC(N)CC3)n(CC(=O)O)c2=O)cc1,True
5,0,1,KDM1A_426,-8.177,COc1ccc(-c2c(-c3ccc([N+]#N)c(F)c3)nc(N3CCC(N)CC3)n(CC(=O)O)c2=O)cc1,False
5,0,2,KDM1A_426,-8.064,COc1ccc(-c2c(-c3ccc([N+]#N)c(F)c3)nc(N3CCC(N)CC3)n(CC(=O)O)c2=O)cc1,False
5,0,3,KDM1A_426,-8.054,COc1ccc(-c2c(-c3ccc([N+]#N)c(F)c3)nc(N3CCC(N)CC3)n(CC(=O)O)c2=O)cc1,False
5,0,4,KDM1A_426,-7.749,COc1ccc(-c2c(-c3ccc([N+]#N)c(F)c3)nc(N3CCC(N)CC3)n(CC(=O)O)c2=O)cc1,False
6,0,0,KDM1A_697,-10.831,O=C(c1cc(CN[C@@H]2C[C@H]2c2ccc(F)cc2)nc(-c2ccc(N3CCOCC3)cc2)n1)N1CCC(F)(F)CC1,True
