ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,NR4A1_1,-6.974,Cc1ccc2oc3cc(NCCCN(C)C)c4c(=O)c5ccccc5c(=O)c4c3[nH]c2c1,True
0,0,1,NR4A1_1,-6.855,Cc1ccc2oc3cc(NCCCN(C)C)c4c(=O)c5ccccc5c(=O)c4c3[nH]c2c1,False
0,0,2,NR4A1_1,-6.812,Cc1ccc2oc3cc(NCCCN(C)C)c4c(=O)c5ccccc5c(=O)c4c3[nH]c2c1,False
0,0,3,NR4A1_1,-6.808,Cc1ccc2oc3cc(NCCCN(C)C)c4c(=O)c5ccccc5c(=O)c4c3[nH]c2c1,False
0,0,4,NR4A1_1,-6.675,Cc1ccc2oc3cc(NCCCN(C)C)c4c(=O)c5ccccc5c(=O)c4c3[nH]c2c1,False
1,0,0,NR4A1_17,-7.229,CCN(CC)CCCNC(=O)c1cc2cc(Nc3nccc(-c4sc(NC)nc4C)n3)ccc2[nH]1,True
1,0,1,NR4A1_17,-7.184,CCN(CC)CCCNC(=O)c1cc2cc(Nc3nccc(-c4sc(NC)nc4C)n3)ccc2[nH]1,False
1,0,2,NR4A1_17,-7.071,CCN(CC)CCCNC(=O)c1cc2cc(Nc3nccc(-c4sc(NC)nc4C)n3)ccc2[nH]1,False
1,0,3,NR4A1_17,-6.993,CCN(CC)CCCNC(=O)c1cc2cc(Nc3nccc(-c4sc(NC)nc4C)n3)ccc2[nH]1,False
1,0,4,NR4A1_17,-4.516,CCN(CC)CCCNC(=O)c1cc2cc(Nc3nccc(-c4sc(NC)nc4C)n3)ccc2[nH]1,False
2,0,0,NR4A1_23,-8.036,Cn1cc([C+](c2ccc(C(F)(F)F)cc2)c2c[nH]c3ccccc23)c2ccccc21,True
2,0,1,NR4A1_23,-7.907,Cn1cc([C+](c2ccc(C(F)(F)F)cc2)c2c[nH]c3ccccc23)c2ccccc21,False
2,0,2,NR4A1_23,-7.843,Cn1cc([C+](c2ccc(C(F)(F)F)cc2)c2c[nH]c3ccccc23)c2ccccc21,False
2,0,3,NR4A1_23,-7.64,Cn1cc([C+](c2ccc(C(F)(F)F)cc2)c2c[nH]c3ccccc23)c2ccccc21,False
2,0,4,NR4A1_23,-7.46,Cn1cc([C+](c2ccc(C(F)(F)F)cc2)c2c[nH]c3ccccc23)c2ccccc21,False
3,0,0,NR4A1_6,-6.552,CC(C)(C)c1ccc(COc2cccc(C(=O)O)c2)cc1,True
3,0,1,NR4A1_6,-6.348,CC(C)(C)c1ccc(COc2cccc(C(=O)O)c2)cc1,False
3,0,2,NR4A1_6,-6.332,CC(C)(C)c1ccc(COc2cccc(C(=O)O)c2)cc1,False
3,0,3,NR4A1_6,-6.305,CC(C)(C)c1ccc(COc2cccc(C(=O)O)c2)cc1,False
3,0,4,NR4A1_6,-6.172,CC(C)(C)c1ccc(COc2cccc(C(=O)O)c2)cc1,False
4,0,0,NR4A1_0,-5.441,Cc1ccc(C)n1-c1ccc(Cl)cc1C(=O)O,True
4,0,1,NR4A1_0,-5.403,Cc1ccc(C)n1-c1ccc(Cl)cc1C(=O)O,False
4,0,2,NR4A1_0,-5.402,Cc1ccc(C)n1-c1ccc(Cl)cc1C(=O)O,False
4,0,3,NR4A1_0,-5.251,Cc1ccc(C)n1-c1ccc(Cl)cc1C(=O)O,False
4,0,4,NR4A1_0,-5.229,Cc1ccc(C)n1-c1ccc(Cl)cc1C(=O)O,False
