ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,P2RX3_0,-9.339,COC(=O)N1CCO[C@@H](Cc2c(-c3c(F)cc(-c4ccn(C(F)F)n4)cc3F)nc3cc(C)ccn23)C1,True
0,0,1,P2RX3_0,-8.877,COC(=O)N1CCO[C@@H](Cc2c(-c3c(F)cc(-c4ccn(C(F)F)n4)cc3F)nc3cc(C)ccn23)C1,False
0,0,2,P2RX3_0,-8.742,COC(=O)N1CCO[C@@H](Cc2c(-c3c(F)cc(-c4ccn(C(F)F)n4)cc3F)nc3cc(C)ccn23)C1,False
0,0,3,P2RX3_0,-8.704,COC(=O)N1CCO[C@@H](Cc2c(-c3c(F)cc(-c4ccn(C(F)F)n4)cc3F)nc3cc(C)ccn23)C1,False
0,0,4,P2RX3_0,-8.606,COC(=O)N1CCO[C@@H](Cc2c(-c3c(F)cc(-c4ccn(C(F)F)n4)cc3F)nc3cc(C)ccn23)C1,False
1,0,0,P2RX3_524,-10.126,CCc1oc2ccc(Nc3ncc(NC(=O)C4CCOCC4)c(=O)n3Cc3ccc(Cl)c(Cl)c3)cc2c1C,True
1,0,1,P2RX3_524,-9.755,CCc1oc2ccc(Nc3ncc(NC(=O)C4CCOCC4)c(=O)n3Cc3ccc(Cl)c(Cl)c3)cc2c1C,False
1,0,2,P2RX3_524,-9.583,CCc1oc2ccc(Nc3ncc(NC(=O)C4CCOCC4)c(=O)n3Cc3ccc(Cl)c(Cl)c3)cc2c1C,False
1,0,3,P2RX3_524,-9.447,CCc1oc2ccc(Nc3ncc(NC(=O)C4CCOCC4)c(=O)n3Cc3ccc(Cl)c(Cl)c3)cc2c1C,False
1,0,4,P2RX3_524,-9.376,CCc1oc2ccc(Nc3ncc(NC(=O)C4CCOCC4)c(=O)n3Cc3ccc(Cl)c(Cl)c3)cc2c1C,False
2,0,0,P2RX3_602,-8.454,Cc1ccc(N2CCc3ncnc(N[C@H](C)c4ccc(Cl)cc4)c3C2)nc1,True
