ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,SPIN1_3,-7.216,CC1(C)C(=N)Nc2cc(OCCCN3Cc4ccccc4C3)c(OCC3CC3)cc21,True
0,0,1,SPIN1_3,-7.035,CC1(C)C(=N)Nc2cc(OCCCN3Cc4ccccc4C3)c(OCC3CC3)cc21,False
0,0,2,SPIN1_3,-7.023,CC1(C)C(=N)Nc2cc(OCCCN3Cc4ccccc4C3)c(OCC3CC3)cc21,False
0,0,3,SPIN1_3,-6.997,CC1(C)C(=N)Nc2cc(OCCCN3Cc4ccccc4C3)c(OCC3CC3)cc21,False
0,0,4,SPIN1_3,-6.833,CC1(C)C(=N)Nc2cc(OCCCN3Cc4ccccc4C3)c(OCC3CC3)cc21,False
1,0,0,SPIN1_7,-6.938,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCCC1,True
1,0,1,SPIN1_7,-6.862,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCCC1,False
1,0,2,SPIN1_7,-6.677,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCCC1,False
1,0,3,SPIN1_7,-6.66,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCCC1,False
1,0,4,SPIN1_7,-6.584,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCCC1,False
2,0,0,SPIN1_1,-8.677,CC1(C)C(=N)Nc2cc(OCCCN3Cc4ccc(OCCc5cn(CCC(=O)N6CCC(CCN7CCCC7)CC6)nn5)cc4C3)c(OCC3CC3)cc21,True
2,0,1,SPIN1_1,-8.637,CC1(C)C(=N)Nc2cc(OCCCN3Cc4ccc(OCCc5cn(CCC(=O)N6CCC(CCN7CCCC7)CC6)nn5)cc4C3)c(OCC3CC3)cc21,False
2,0,2,SPIN1_1,-8.142,CC1(C)C(=N)Nc2cc(OCCCN3Cc4ccc(OCCc5cn(CCC(=O)N6CCC(CCN7CCCC7)CC6)nn5)cc4C3)c(OCC3CC3)cc21,False
2,0,3,SPIN1_1,-8.108,CC1(C)C(=N)Nc2cc(OCCCN3Cc4ccc(OCCc5cn(CCC(=O)N6CCC(CCN7CCCC7)CC6)nn5)cc4C3)c(OCC3CC3)cc21,False
