ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,CCR9_4,-10.265,CC#Cc1ccccc1Oc1ccc(C(=O)O)c(NCC(C)C(O)c2ccccc2O)c1,True
0,0,1,CCR9_4,-8.582,CC#Cc1ccccc1Oc1ccc(C(=O)O)c(NCC(C)C(O)c2ccccc2O)c1,False
0,0,2,CCR9_4,-7.977,CC#Cc1ccccc1Oc1ccc(C(=O)O)c(NCC(C)C(O)c2ccccc2O)c1,False
0,0,3,CCR9_4,-7.73,CC#Cc1ccccc1Oc1ccc(C(=O)O)c(NCC(C)C(O)c2ccccc2O)c1,False
1,0,0,CCR9_191,-9.031,Cc1cc2cnc3ccccc3c2cc1C(=O)OCC(C)C,True
1,0,1,CCR9_191,-8.306,Cc1cc2cnc3ccccc3c2cc1C(=O)OCC(C)C,False
1,0,2,CCR9_191,-7.764,Cc1cc2cnc3ccccc3c2cc1C(=O)OCC(C)C,False
1,0,3,CCR9_191,-7.408,Cc1cc2cnc3ccccc3c2cc1C(=O)OCC(C)C,False
1,0,4,CCR9_191,-7.006,Cc1cc2cnc3ccccc3c2cc1C(=O)OCC(C)C,False
2,0,0,CCR9_57,-9.402,CC(=O)C1=NCc2ccc(-c3ccccc3)cc2N1,True
2,0,1,CCR9_57,-8.729,CC(=O)C1=NCc2ccc(-c3ccccc3)cc2N1,False
2,0,2,CCR9_57,-7.216,CC(=O)C1=NCc2ccc(-c3ccccc3)cc2N1,False
2,0,3,CCR9_57,-7.17,CC(=O)C1=NCc2ccc(-c3ccccc3)cc2N1,False
2,0,4,CCR9_57,-7.078,CC(=O)C1=NCc2ccc(-c3ccccc3)cc2N1,False
3,0,0,CCR9_184,-8.221,O=C(O)c1cc2ccccc2cc1O,True
3,0,1,CCR9_184,-7.945,O=C(O)c1cc2ccccc2cc1O,False
3,0,2,CCR9_184,-7.853,O=C(O)c1cc2ccccc2cc1O,False
