ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,ESR1_210,-8.173,CC1=CNc2ccc(CC(=O)O)cc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,True
0,0,1,ESR1_210,-7.641,CC1=CNc2ccc(CC(=O)O)cc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,False
0,0,2,ESR1_210,-7.64,CC1=CNc2ccc(CC(=O)O)cc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,False
0,0,3,ESR1_210,-7.344,CC1=CNc2ccc(CC(=O)O)cc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,False
0,0,4,ESR1_210,-7.304,CC1=CNc2ccc(CC(=O)O)cc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,False
1,0,0,ESR1_141,-9.194,CCCCC1=CC(CC=C(CC=O)CC2OC(C)(C)c3c(OC)cccc32)=CC(=CC(=O)O)CC1,True
1,0,1,ESR1_141,-8.81,CCCCC1=CC(CC=C(CC=O)CC2OC(C)(C)c3c(OC)cccc32)=CC(=CC(=O)O)CC1,False
1,0,2,ESR1_141,-8.776,CCCCC1=CC(CC=C(CC=O)CC2OC(C)(C)c3c(OC)cccc32)=CC(=CC(=O)O)CC1,False
1,0,3,ESR1_141,-8.608,CCCCC1=CC(CC=C(CC=O)CC2OC(C)(C)c3c(OC)cccc32)=CC(=CC(=O)O)CC1,False
1,0,4,ESR1_141,-8.389,CCCCC1=CC(CC=C(CC=O)CC2OC(C)(C)c3c(OC)cccc32)=CC(=CC(=O)O)CC1,False
2,0,0,ESR1_359,-9.57,CC(=O)Nc1cccc(C(C)CCc2cc(O)ccc2-c2ccc(O)cc2)c1,True
2,0,1,ESR1_359,-8.901,CC(=O)Nc1cccc(C(C)CCc2cc(O)ccc2-c2ccc(O)cc2)c1,False
2,0,2,ESR1_359,-8.724,CC(=O)Nc1cccc(C(C)CCc2cc(O)ccc2-c2ccc(O)cc2)c1,False
2,0,3,ESR1_359,-8.709,CC(=O)Nc1cccc(C(C)CCc2cc(O)ccc2-c2ccc(O)cc2)c1,False
2,0,4,ESR1_359,-8.461,CC(=O)Nc1cccc(C(C)CCc2cc(O)ccc2-c2ccc(O)cc2)c1,False
3,0,0,ESR1_261,-11.138,Oc1cccc(Nc2ccc3c(c2)NC=CC3=Cc2ccccc2-c2ccc3c(O)c(O)ccc3c2)c1,True
3,0,1,ESR1_261,-10.354,Oc1cccc(Nc2ccc3c(c2)NC=CC3=Cc2ccccc2-c2ccc3c(O)c(O)ccc3c2)c1,False
3,0,2,ESR1_261,-10.332,Oc1cccc(Nc2ccc3c(c2)NC=CC3=Cc2ccccc2-c2ccc3c(O)c(O)ccc3c2)c1,False
3,0,3,ESR1_261,-10.288,Oc1cccc(Nc2ccc3c(c2)NC=CC3=Cc2ccccc2-c2ccc3c(O)c(O)ccc3c2)c1,False
3,0,4,ESR1_261,-10.062,Oc1cccc(Nc2ccc3c(c2)NC=CC3=Cc2ccccc2-c2ccc3c(O)c(O)ccc3c2)c1,False
4,0,0,ESR1_199,-8.426,C=C1C(=O)CCC2=C1CC(c1ccc(OCC)c(Cc3ccc(CCO)cc3)c1C)CC2,True
4,0,1,ESR1_199,-8.221,C=C1C(=O)CCC2=C1CC(c1ccc(OCC)c(Cc3ccc(CCO)cc3)c1C)CC2,False
4,0,2,ESR1_199,-8.179,C=C1C(=O)CCC2=C1CC(c1ccc(OCC)c(Cc3ccc(CCO)cc3)c1C)CC2,False
4,0,3,ESR1_199,-8.084,C=C1C(=O)CCC2=C1CC(c1ccc(OCC)c(Cc3ccc(CCO)cc3)c1C)CC2,False
4,0,4,ESR1_199,-8.028,C=C1C(=O)CCC2=C1CC(c1ccc(OCC)c(Cc3ccc(CCO)cc3)c1C)CC2,False
5,0,0,ESR1_69,-9.63,CC1=C2C=CC(C)CC2=C(c2ccc(O)c(C)c2)C1C,True
5,0,1,ESR1_69,-9.303,CC1=C2C=CC(C)CC2=C(c2ccc(O)c(C)c2)C1C,False
5,0,2,ESR1_69,-7.659,CC1=C2C=CC(C)CC2=C(c2ccc(O)c(C)c2)C1C,False
5,0,3,ESR1_69,-7.497,CC1=C2C=CC(C)CC2=C(c2ccc(O)c(C)c2)C1C,False
5,0,4,ESR1_69,-7.452,CC1=C2C=CC(C)CC2=C(c2ccc(O)c(C)c2)C1C,False
6,0,0,ESR1_235,-4.792,CC1CCC(O)C1,True
6,0,1,ESR1_235,-4.414,CC1CCC(O)C1,False
6,0,2,ESR1_235,-4.351,CC1CCC(O)C1,False
6,0,3,ESR1_235,-4.282,CC1CCC(O)C1,False
6,0,4,ESR1_235,-4.073,CC1CCC(O)C1,False
7,0,0,ESR1_18,-8.1,CCC1=CC2=CCc3c(C(=O)O)cccc3C2C(O)C1,True
7,0,1,ESR1_18,-8.086,CCC1=CC2=CCc3c(C(=O)O)cccc3C2C(O)C1,False
7,0,2,ESR1_18,-7.717,CCC1=CC2=CCc3c(C(=O)O)cccc3C2C(O)C1,False
7,0,3,ESR1_18,-7.592,CCC1=CC2=CCc3c(C(=O)O)cccc3C2C(O)C1,False
7,0,4,ESR1_18,-7.14,CCC1=CC2=CCc3c(C(=O)O)cccc3C2C(O)C1,False
8,0,0,ESR1_45,-9.146,CC(=O)Nc1cccc(C(CCc2cc(O)ccc2-c2ccc(O)cc2)=NO)c1,True
8,0,1,ESR1_45,-8.309,CC(=O)Nc1cccc(C(CCc2cc(O)ccc2-c2ccc(O)cc2)=NO)c1,False
8,0,2,ESR1_45,-8.227,CC(=O)Nc1cccc(C(CCc2cc(O)ccc2-c2ccc(O)cc2)=NO)c1,False
8,0,3,ESR1_45,-8.198,CC(=O)Nc1cccc(C(CCc2cc(O)ccc2-c2ccc(O)cc2)=NO)c1,False
8,0,4,ESR1_45,-7.797,CC(=O)Nc1cccc(C(CCc2cc(O)ccc2-c2ccc(O)cc2)=NO)c1,False
9,0,0,ESR1_61,-11.285,COc1cc2ccccc2cc1-c1ccc(Cc2cccc3ccc(CC(C)C)cc23)c(O)c1,True
9,0,1,ESR1_61,-11.208,COc1cc2ccccc2cc1-c1ccc(Cc2cccc3ccc(CC(C)C)cc23)c(O)c1,False
9,0,2,ESR1_61,-10.81,COc1cc2ccccc2cc1-c1ccc(Cc2cccc3ccc(CC(C)C)cc23)c(O)c1,False
9,0,3,ESR1_61,-10.672,COc1cc2ccccc2cc1-c1ccc(Cc2cccc3ccc(CC(C)C)cc23)c(O)c1,False
9,0,4,ESR1_61,-10.427,COc1cc2ccccc2cc1-c1ccc(Cc2cccc3ccc(CC(C)C)cc23)c(O)c1,False
10,0,0,ESR1_105,-10.722,O=C(NC(=O)c1ccccc1O)c1ccc(C(O)c2ccccc2Oc2cccc(O)c2)cc1,True
10,0,1,ESR1_105,-10.422,O=C(NC(=O)c1ccccc1O)c1ccc(C(O)c2ccccc2Oc2cccc(O)c2)cc1,False
10,0,2,ESR1_105,-9.671,O=C(NC(=O)c1ccccc1O)c1ccc(C(O)c2ccccc2Oc2cccc(O)c2)cc1,False
10,0,3,ESR1_105,-9.57,O=C(NC(=O)c1ccccc1O)c1ccc(C(O)c2ccccc2Oc2cccc(O)c2)cc1,False
10,0,4,ESR1_105,-9.478,O=C(NC(=O)c1ccccc1O)c1ccc(C(O)c2ccccc2Oc2cccc(O)c2)cc1,False
11,0,0,ESR1_342,-8.744,CC(O)=CC1OC(C)(C)C(C)=C1c1ccc(O)c(C)c1,True
11,0,1,ESR1_342,-7.747,CC(O)=CC1OC(C)(C)C(C)=C1c1ccc(O)c(C)c1,False
11,0,2,ESR1_342,-7.668,CC(O)=CC1OC(C)(C)C(C)=C1c1ccc(O)c(C)c1,False
11,0,3,ESR1_342,-7.594,CC(O)=CC1OC(C)(C)C(C)=C1c1ccc(O)c(C)c1,False
11,0,4,ESR1_342,-7.45,CC(O)=CC1OC(C)(C)C(C)=C1c1ccc(O)c(C)c1,False
12,0,0,ESR1_343,-10.342,CCNC(=O)c1ccc(-c2ccc(Cc3cccc4ccc(CC(C)C)cc34)c(O)c2)c(OC)c1,True
12,0,1,ESR1_343,-10.276,CCNC(=O)c1ccc(-c2ccc(Cc3cccc4ccc(CC(C)C)cc34)c(O)c2)c(OC)c1,False
12,0,2,ESR1_343,-9.894,CCNC(=O)c1ccc(-c2ccc(Cc3cccc4ccc(CC(C)C)cc34)c(O)c2)c(OC)c1,False
12,0,3,ESR1_343,-9.819,CCNC(=O)c1ccc(-c2ccc(Cc3cccc4ccc(CC(C)C)cc34)c(O)c2)c(OC)c1,False
12,0,4,ESR1_343,-8.127,CCNC(=O)c1ccc(-c2ccc(Cc3cccc4ccc(CC(C)C)cc34)c(O)c2)c(OC)c1,False
13,0,0,ESR1_288,-11.124,Cc1ccc(C)c(NC(=O)c2ccc(F)c(-c3c(C)cccc3Cc3c(O)cccc3F)c2)c1O,True
13,0,1,ESR1_288,-9.53,Cc1ccc(C)c(NC(=O)c2ccc(F)c(-c3c(C)cccc3Cc3c(O)cccc3F)c2)c1O,False
13,0,2,ESR1_288,-8.425,Cc1ccc(C)c(NC(=O)c2ccc(F)c(-c3c(C)cccc3Cc3c(O)cccc3F)c2)c1O,False
13,0,3,ESR1_288,-8.286,Cc1ccc(C)c(NC(=O)c2ccc(F)c(-c3c(C)cccc3Cc3c(O)cccc3F)c2)c1O,False
13,0,4,ESR1_288,-8.242,Cc1ccc(C)c(NC(=O)c2ccc(F)c(-c3c(C)cccc3Cc3c(O)cccc3F)c2)c1O,False
14,0,0,ESR1_121,-8.69,Cc1ccc(C2C=Cc3c(O)cccc32)cc1,True
14,0,1,ESR1_121,-8.38,Cc1ccc(C2C=Cc3c(O)cccc32)cc1,False
14,0,2,ESR1_121,-8.095,Cc1ccc(C2C=Cc3c(O)cccc32)cc1,False
14,0,3,ESR1_121,-8.008,Cc1ccc(C2C=Cc3c(O)cccc32)cc1,False
14,0,4,ESR1_121,-7.703,Cc1ccc(C2C=Cc3c(O)cccc32)cc1,False
15,0,0,ESR1_243,-7.973,CC(O)=CC1OC(C)(C)C(C)=C1c1ccc(O)cc1,True
15,0,1,ESR1_243,-7.851,CC(O)=CC1OC(C)(C)C(C)=C1c1ccc(O)cc1,False
15,0,2,ESR1_243,-7.524,CC(O)=CC1OC(C)(C)C(C)=C1c1ccc(O)cc1,False
15,0,3,ESR1_243,-7.207,CC(O)=CC1OC(C)(C)C(C)=C1c1ccc(O)cc1,False
15,0,4,ESR1_243,-7.097,CC(O)=CC1OC(C)(C)C(C)=C1c1ccc(O)cc1,False
16,0,0,ESR1_42,-8.934,Cc1cc(-c2ccc3c(c2)CCOC3)ccc1O,True
16,0,1,ESR1_42,-8.581,Cc1cc(-c2ccc3c(c2)CCOC3)ccc1O,False
16,0,2,ESR1_42,-8.484,Cc1cc(-c2ccc3c(c2)CCOC3)ccc1O,False
16,0,3,ESR1_42,-8.006,Cc1cc(-c2ccc3c(c2)CCOC3)ccc1O,False
16,0,4,ESR1_42,-7.594,Cc1cc(-c2ccc3c(c2)CCOC3)ccc1O,False
17,0,0,ESR1_428,-10.394,O=C(NC(=O)c1ccc(C(O)c2ccccc2Oc2cccc(O)c2)cc1)C1=CCC=C1O,True
17,0,1,ESR1_428,-9.916,O=C(NC(=O)c1ccc(C(O)c2ccccc2Oc2cccc(O)c2)cc1)C1=CCC=C1O,False
17,0,2,ESR1_428,-9.701,O=C(NC(=O)c1ccc(C(O)c2ccccc2Oc2cccc(O)c2)cc1)C1=CCC=C1O,False
17,0,3,ESR1_428,-9.499,O=C(NC(=O)c1ccc(C(O)c2ccccc2Oc2cccc(O)c2)cc1)C1=CCC=C1O,False
17,0,4,ESR1_428,-9.302,O=C(NC(=O)c1ccc(C(O)c2ccccc2Oc2cccc(O)c2)cc1)C1=CCC=C1O,False
18,0,0,ESR1_84,-7.297,O=C(O)CCNC(=O)c1ccc(CC=CC(C(=O)O)=C2C=C[SH]=C2)c(C(F)(F)F)c1,True
18,0,1,ESR1_84,-7.276,O=C(O)CCNC(=O)c1ccc(CC=CC(C(=O)O)=C2C=C[SH]=C2)c(C(F)(F)F)c1,False
18,0,2,ESR1_84,-7.14,O=C(O)CCNC(=O)c1ccc(CC=CC(C(=O)O)=C2C=C[SH]=C2)c(C(F)(F)F)c1,False
18,0,3,ESR1_84,-6.946,O=C(O)CCNC(=O)c1ccc(CC=CC(C(=O)O)=C2C=C[SH]=C2)c(C(F)(F)F)c1,False
18,0,4,ESR1_84,-6.822,O=C(O)CCNC(=O)c1ccc(CC=CC(C(=O)O)=C2C=C[SH]=C2)c(C(F)(F)F)c1,False
19,0,0,ESR1_215,-9.027,CC1=CNc2c(O)cccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,True
19,0,1,ESR1_215,-8.882,CC1=CNc2c(O)cccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,False
19,0,2,ESR1_215,-8.881,CC1=CNc2c(O)cccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,False
19,0,3,ESR1_215,-8.731,CC1=CNc2c(O)cccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,False
19,0,4,ESR1_215,-8.71,CC1=CNc2c(O)cccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,False
20,0,0,ESR1_422,-10.566,O=C(O)C1=CC(C(=O)NC(=O)c2ccc(C(O)c3ccccc3Oc3cccc(O)c3)cc2)=CC1,True
20,0,1,ESR1_422,-10.161,O=C(O)C1=CC(C(=O)NC(=O)c2ccc(C(O)c3ccccc3Oc3cccc(O)c3)cc2)=CC1,False
20,0,2,ESR1_422,-9.876,O=C(O)C1=CC(C(=O)NC(=O)c2ccc(C(O)c3ccccc3Oc3cccc(O)c3)cc2)=CC1,False
20,0,3,ESR1_422,-9.379,O=C(O)C1=CC(C(=O)NC(=O)c2ccc(C(O)c3ccccc3Oc3cccc(O)c3)cc2)=CC1,False
20,0,4,ESR1_422,-8.948,O=C(O)C1=CC(C(=O)NC(=O)c2ccc(C(O)c3ccccc3Oc3cccc(O)c3)cc2)=CC1,False
21,0,0,ESR1_152,-9.392,COc1ccc(C=C2C=CC(C3=C(c4ccc(O)c(C)c4)CC4=C3CCCC4)CC2)cc1,True
21,0,1,ESR1_152,-9.18,COc1ccc(C=C2C=CC(C3=C(c4ccc(O)c(C)c4)CC4=C3CCCC4)CC2)cc1,False
21,0,2,ESR1_152,-8.944,COc1ccc(C=C2C=CC(C3=C(c4ccc(O)c(C)c4)CC4=C3CCCC4)CC2)cc1,False
21,0,3,ESR1_152,-8.778,COc1ccc(C=C2C=CC(C3=C(c4ccc(O)c(C)c4)CC4=C3CCCC4)CC2)cc1,False
21,0,4,ESR1_152,-8.595,COc1ccc(C=C2C=CC(C3=C(c4ccc(O)c(C)c4)CC4=C3CCCC4)CC2)cc1,False
22,0,0,ESR1_339,-9.73,OC1=CNc2ccccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,True
22,0,1,ESR1_339,-9.43,OC1=CNc2ccccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,False
22,0,2,ESR1_339,-9.372,OC1=CNc2ccccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,False
22,0,3,ESR1_339,-9.247,OC1=CNc2ccccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,False
22,0,4,ESR1_339,-8.923,OC1=CNc2ccccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,False
23,0,0,ESR1_259,-10.731,Cc1c(OC(=O)C=C2CC3C(c4ccc(O)cc4)CCC4CCCC(C2C)C43)cccc1-c1ccc(O)c(O)c1,True
