ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,FTO_229,-8.296,COCC1(c2cccc(Oc3ccccc3O)c2)Cc2ccccc2C(=O)N1,True
0,0,1,FTO_229,-8.199,COCC1(c2cccc(Oc3ccccc3O)c2)Cc2ccccc2C(=O)N1,False
0,0,2,FTO_229,-8.161,COCC1(c2cccc(Oc3ccccc3O)c2)Cc2ccccc2C(=O)N1,False
0,0,3,FTO_229,-8.151,COCC1(c2cccc(Oc3ccccc3O)c2)Cc2ccccc2C(=O)N1,False
0,0,4,FTO_229,-7.676,COCC1(c2cccc(Oc3ccccc3O)c2)Cc2ccccc2C(=O)N1,False
1,0,0,FTO_350,-7.994,Cc1ccc2cccc(C(C)(C)CCC(=O)OO)c2c1,True
1,0,1,FTO_350,-7.79,Cc1ccc2cccc(C(C)(C)CCC(=O)OO)c2c1,False
1,0,2,FTO_350,-7.761,Cc1ccc2cccc(C(C)(C)CCC(=O)OO)c2c1,False
1,0,3,FTO_350,-7.562,Cc1ccc2cccc(C(C)(C)CCC(=O)OO)c2c1,False
1,0,4,FTO_350,-7.441,Cc1ccc2cccc(C(C)(C)CCC(=O)OO)c2c1,False
2,0,0,FTO_347,-9.995,Cn1c(=O)c2ccccc2c2c(Oc3ccc(C(=O)CC(=O)O)cc3)c(F)ccc21,True
2,0,1,FTO_347,-9.709,Cn1c(=O)c2ccccc2c2c(Oc3ccc(C(=O)CC(=O)O)cc3)c(F)ccc21,False
2,0,2,FTO_347,-9.535,Cn1c(=O)c2ccccc2c2c(Oc3ccc(C(=O)CC(=O)O)cc3)c(F)ccc21,False
2,0,3,FTO_347,-9.499,Cn1c(=O)c2ccccc2c2c(Oc3ccc(C(=O)CC(=O)O)cc3)c(F)ccc21,False
2,0,4,FTO_347,-8.994,Cn1c(=O)c2ccccc2c2c(Oc3ccc(C(=O)CC(=O)O)cc3)c(F)ccc21,False
3,0,0,FTO_82,-8.464,Cc1cccc(Cc2ccnc3ccccc23)c1,True
3,0,1,FTO_82,-8.179,Cc1cccc(Cc2ccnc3ccccc23)c1,False
3,0,2,FTO_82,-7.9,Cc1cccc(Cc2ccnc3ccccc23)c1,False
3,0,3,FTO_82,-7.817,Cc1cccc(Cc2ccnc3ccccc23)c1,False
3,0,4,FTO_82,-7.742,Cc1cccc(Cc2ccnc3ccccc23)c1,False
4,0,0,FTO_219,-9.684,O=C(O)CCc1ccc(-c2cc3c(O)c(O)ccc3c3ccccc23)cc1,True
4,0,1,FTO_219,-9.614,O=C(O)CCc1ccc(-c2cc3c(O)c(O)ccc3c3ccccc23)cc1,False
4,0,2,FTO_219,-9.166,O=C(O)CCc1ccc(-c2cc3c(O)c(O)ccc3c3ccccc23)cc1,False
4,0,3,FTO_219,-8.87,O=C(O)CCc1ccc(-c2cc3c(O)c(O)ccc3c3ccccc23)cc1,False
4,0,4,FTO_219,-8.843,O=C(O)CCc1ccc(-c2cc3c(O)c(O)ccc3c3ccccc23)cc1,False
5,0,0,FTO_66,-10.102,CC=C1C=CC(C)=C2C3=CC=CC4CC(Cc5cc(O)cc(C(=O)O)c5)CC(=C34)C12C,True
5,0,1,FTO_66,-9.913,CC=C1C=CC(C)=C2C3=CC=CC4CC(Cc5cc(O)cc(C(=O)O)c5)CC(=C34)C12C,False
5,0,2,FTO_66,-9.785,CC=C1C=CC(C)=C2C3=CC=CC4CC(Cc5cc(O)cc(C(=O)O)c5)CC(=C34)C12C,False
5,0,3,FTO_66,-9.739,CC=C1C=CC(C)=C2C3=CC=CC4CC(Cc5cc(O)cc(C(=O)O)c5)CC(=C34)C12C,False
5,0,4,FTO_66,-9.526,CC=C1C=CC(C)=C2C3=CC=CC4CC(Cc5cc(O)cc(C(=O)O)c5)CC(=C34)C12C,False
6,0,0,FTO_225,-6.767,O=C(O)CNC(=O)C=CC=Cc1ccccc1,True
6,0,1,FTO_225,-6.674,O=C(O)CNC(=O)C=CC=Cc1ccccc1,False
6,0,2,FTO_225,-6.626,O=C(O)CNC(=O)C=CC=Cc1ccccc1,False
6,0,3,FTO_225,-6.455,O=C(O)CNC(=O)C=CC=Cc1ccccc1,False
6,0,4,FTO_225,-6.44,O=C(O)CNC(=O)C=CC=Cc1ccccc1,False
7,0,0,FTO_135,-9.261,COc1c(O)ccc2c1Cc1c(cc(-c3ccc(CCC(=O)O)cc3)c3c1CCCC3)CC2,True
7,0,1,FTO_135,-8.985,COc1c(O)ccc2c1Cc1c(cc(-c3ccc(CCC(=O)O)cc3)c3c1CCCC3)CC2,False
7,0,2,FTO_135,-8.313,COc1c(O)ccc2c1Cc1c(cc(-c3ccc(CCC(=O)O)cc3)c3c1CCCC3)CC2,False
7,0,3,FTO_135,-7.996,COc1c(O)ccc2c1Cc1c(cc(-c3ccc(CCC(=O)O)cc3)c3c1CCCC3)CC2,False
