ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,GRIK1_58,-5.529,COc1ccc2c(c1)CC(CC(=O)O)N1CCCC(CC(=O)O)C21,True
0,0,1,GRIK1_58,-4.835,COc1ccc2c(c1)CC(CC(=O)O)N1CCCC(CC(=O)O)C21,False
0,0,2,GRIK1_58,-3.64,COc1ccc2c(c1)CC(CC(=O)O)N1CCCC(CC(=O)O)C21,False
0,0,3,GRIK1_58,-3.1,COc1ccc2c(c1)CC(CC(=O)O)N1CCCC(CC(=O)O)C21,False
1,0,0,GRIK1_76,-4.813,CCCCCOC1OC(=O)C(O)C2=NC3OCC(CO)C3=C=C21,True
1,0,1,GRIK1_76,-4.491,CCCCCOC1OC(=O)C(O)C2=NC3OCC(CO)C3=C=C21,False
1,0,2,GRIK1_76,-4.038,CCCCCOC1OC(=O)C(O)C2=NC3OCC(CO)C3=C=C21,False
1,0,3,GRIK1_76,-3.984,CCCCCOC1OC(=O)C(O)C2=NC3OCC(CO)C3=C=C21,False
1,0,4,GRIK1_76,-3.523,CCCCCOC1OC(=O)C(O)C2=NC3OCC(CO)C3=C=C21,False
2,0,0,GRIK1_140,-5.34,CC12C3CCC4CC(O)C(=O)C(CCC1C(C(=O)O)C3)C42,True
2,0,1,GRIK1_140,-5.077,CC12C3CCC4CC(O)C(=O)C(CCC1C(C(=O)O)C3)C42,False
2,0,2,GRIK1_140,-4.713,CC12C3CCC4CC(O)C(=O)C(CCC1C(C(=O)O)C3)C42,False
2,0,3,GRIK1_140,-3.41,CC12C3CCC4CC(O)C(=O)C(CCC1C(C(=O)O)C3)C42,False
2,0,4,GRIK1_140,-3.377,CC12C3CCC4CC(O)C(=O)C(CCC1C(C(=O)O)C3)C42,False
3,0,0,GRIK1_7,-7.603,NCC1CN(C(=O)O)CC1C(C(=O)O)c1ccoc1,True
3,0,1,GRIK1_7,-7.449,NCC1CN(C(=O)O)CC1C(C(=O)O)c1ccoc1,False
3,0,2,GRIK1_7,-7.082,NCC1CN(C(=O)O)CC1C(C(=O)O)c1ccoc1,False
3,0,3,GRIK1_7,-7.019,NCC1CN(C(=O)O)CC1C(C(=O)O)c1ccoc1,False
3,0,4,GRIK1_7,-6.95,NCC1CN(C(=O)O)CC1C(C(=O)O)c1ccoc1,False
4,0,0,GRIK1_211,-3.233,O=C1CC2CNCC3C(c4ccc(O)c(O)c4)OC(C(=O)O)(C1)C23,True
4,0,1,GRIK1_211,-3.115,O=C1CC2CNCC3C(c4ccc(O)c(O)c4)OC(C(=O)O)(C1)C23,False
4,0,2,GRIK1_211,-2.936,O=C1CC2CNCC3C(c4ccc(O)c(O)c4)OC(C(=O)O)(C1)C23,False
