ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,IDH1_103,-8.064,O=C1OC2c3ccccc3OC2C(O)C(O)C1O,True
0,0,1,IDH1_103,-7.12,O=C1OC2c3ccccc3OC2C(O)C(O)C1O,False
0,0,2,IDH1_103,-6.999,O=C1OC2c3ccccc3OC2C(O)C(O)C1O,False
0,0,3,IDH1_103,-6.639,O=C1OC2c3ccccc3OC2C(O)C(O)C1O,False
0,0,4,IDH1_103,-6.419,O=C1OC2c3ccccc3OC2C(O)C(O)C1O,False
1,0,0,IDH1_8,-8.204,NC(=O)C=CCC1CCN(CCCCO)c2ccccc21,True
1,0,1,IDH1_8,-7.99,NC(=O)C=CCC1CCN(CCCCO)c2ccccc21,False
1,0,2,IDH1_8,-7.878,NC(=O)C=CCC1CCN(CCCCO)c2ccccc21,False
1,0,3,IDH1_8,-7.46,NC(=O)C=CCC1CCN(CCCCO)c2ccccc21,False
1,0,4,IDH1_8,-7.458,NC(=O)C=CCC1CCN(CCCCO)c2ccccc21,False
2,0,0,IDH1_84,-9.148,O=C1NCCC(O)C2=C1N(c1cccc3ccccc13)CC2O,True
2,0,1,IDH1_84,-8.459,O=C1NCCC(O)C2=C1N(c1cccc3ccccc13)CC2O,False
2,0,2,IDH1_84,-8.362,O=C1NCCC(O)C2=C1N(c1cccc3ccccc13)CC2O,False
2,0,3,IDH1_84,-8.171,O=C1NCCC(O)C2=C1N(c1cccc3ccccc13)CC2O,False
2,0,4,IDH1_84,-8.014,O=C1NCCC(O)C2=C1N(c1cccc3ccccc13)CC2O,False
3,0,0,IDH1_145,-8.967,Oc1nccc2c(F)c(Cc3ccccc3F)ccc12,True
3,0,1,IDH1_145,-8.965,Oc1nccc2c(F)c(Cc3ccccc3F)ccc12,False
3,0,2,IDH1_145,-8.865,Oc1nccc2c(F)c(Cc3ccccc3F)ccc12,False
3,0,3,IDH1_145,-8.715,Oc1nccc2c(F)c(Cc3ccccc3F)ccc12,False
5,0,0,IDH1_132,-8.28,CN1CCN(Cc2ccccc2CNC(=O)C2CCCC2)CC1,True
