ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,JAK1_124,-8.611,O=C(O)C1CC2CCC(C3NCCc4cnccc43)CC2C1,True
0,0,1,JAK1_124,-8.435,O=C(O)C1CC2CCC(C3NCCc4cnccc43)CC2C1,False
0,0,2,JAK1_124,-7.886,O=C(O)C1CC2CCC(C3NCCc4cnccc43)CC2C1,False
0,0,3,JAK1_124,-7.702,O=C(O)C1CC2CCC(C3NCCc4cnccc43)CC2C1,False
0,0,4,JAK1_124,-7.697,O=C(O)C1CC2CCC(C3NCCc4cnccc43)CC2C1,False
1,0,0,JAK1_184,-9.48,O=c1[nH]c2ccc(C3CCC(CO)N3CC(O)C(O)CO)cc2c2cccnc12,True
1,0,1,JAK1_184,-9.232,O=c1[nH]c2ccc(C3CCC(CO)N3CC(O)C(O)CO)cc2c2cccnc12,False
1,0,2,JAK1_184,-9.011,O=c1[nH]c2ccc(C3CCC(CO)N3CC(O)C(O)CO)cc2c2cccnc12,False
1,0,3,JAK1_184,-8.63,O=c1[nH]c2ccc(C3CCC(CO)N3CC(O)C(O)CO)cc2c2cccnc12,False
1,0,4,JAK1_184,-8.48,O=c1[nH]c2ccc(C3CCC(CO)N3CC(O)C(O)CO)cc2c2cccnc12,False
2,0,0,JAK1_8,-9.341,CC1=NCN(CCNCc2cc(C)c(O)c3ccccc23)C1=O,True
2,0,1,JAK1_8,-9.118,CC1=NCN(CCNCc2cc(C)c(O)c3ccccc23)C1=O,False
2,0,2,JAK1_8,-9.09,CC1=NCN(CCNCc2cc(C)c(O)c3ccccc23)C1=O,False
2,0,3,JAK1_8,-8.719,CC1=NCN(CCNCc2cc(C)c(O)c3ccccc23)C1=O,False
2,0,4,JAK1_8,-8.65,CC1=NCN(CCNCc2cc(C)c(O)c3ccccc23)C1=O,False
3,0,0,JAK1_241,-5.956,Nc1nnc2ccccn12,True
3,0,1,JAK1_241,-5.892,Nc1nnc2ccccn12,False
3,0,2,JAK1_241,-5.874,Nc1nnc2ccccn12,False
3,0,3,JAK1_241,-5.846,Nc1nnc2ccccn12,False
3,0,4,JAK1_241,-5.67,Nc1nnc2ccccn12,False
4,0,0,JAK1_121,-8.58,NC(=O)C1CCCC(C2NCCc3cnccc32)C1,True
4,0,1,JAK1_121,-8.187,NC(=O)C1CCCC(C2NCCc3cnccc32)C1,False
4,0,2,JAK1_121,-7.417,NC(=O)C1CCCC(C2NCCc3cnccc32)C1,False
4,0,3,JAK1_121,-7.387,NC(=O)C1CCCC(C2NCCc3cnccc32)C1,False
4,0,4,JAK1_121,-7.212,NC(=O)C1CCCC(C2NCCc3cnccc32)C1,False
6,0,0,JAK1_422,-8.115,O=C1NCC(C(=O)O)Cc2ccccc21,True
6,0,1,JAK1_422,-7.614,O=C1NCC(C(=O)O)Cc2ccccc21,False
6,0,2,JAK1_422,-6.902,O=C1NCC(C(=O)O)Cc2ccccc21,False
