ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,KDM1A_169,-9.101,CNCCCOc1cc2c(C=C3c4ccccc4C=Cc4cccc(O)c43)cccc2cc1O,True
0,0,1,KDM1A_169,-8.747,CNCCCOc1cc2c(C=C3c4ccccc4C=Cc4cccc(O)c43)cccc2cc1O,False
0,0,2,KDM1A_169,-8.724,CNCCCOc1cc2c(C=C3c4ccccc4C=Cc4cccc(O)c43)cccc2cc1O,False
0,0,3,KDM1A_169,-8.524,CNCCCOc1cc2c(C=C3c4ccccc4C=Cc4cccc(O)c43)cccc2cc1O,False
0,0,4,KDM1A_169,-8.17,CNCCCOc1cc2c(C=C3c4ccccc4C=Cc4cccc(O)c43)cccc2cc1O,False
1,0,0,KDM1A_259,-7.131,Cc1cc(C(=O)O)ccc1-c1ccccc1,True
1,0,1,KDM1A_259,-6.866,Cc1cc(C(=O)O)ccc1-c1ccccc1,False
1,0,2,KDM1A_259,-6.635,Cc1cc(C(=O)O)ccc1-c1ccccc1,False
1,0,3,KDM1A_259,-6.6,Cc1cc(C(=O)O)ccc1-c1ccccc1,False
1,0,4,KDM1A_259,-6.594,Cc1cc(C(=O)O)ccc1-c1ccccc1,False
2,0,0,KDM1A_413,-9.505,O=C(O)c1cc(C(=O)O)c(O)c(-c2cccc(Oc3ccc(-c4ccccc4)cc3)c2)c1O,True
2,0,1,KDM1A_413,-9.496,O=C(O)c1cc(C(=O)O)c(O)c(-c2cccc(Oc3ccc(-c4ccccc4)cc3)c2)c1O,False
2,0,2,KDM1A_413,-9.329,O=C(O)c1cc(C(=O)O)c(O)c(-c2cccc(Oc3ccc(-c4ccccc4)cc3)c2)c1O,False
2,0,3,KDM1A_413,-9.301,O=C(O)c1cc(C(=O)O)c(O)c(-c2cccc(Oc3ccc(-c4ccccc4)cc3)c2)c1O,False
2,0,4,KDM1A_413,-9.025,O=C(O)c1cc(C(=O)O)c(O)c(-c2cccc(Oc3ccc(-c4ccccc4)cc3)c2)c1O,False
3,0,0,KDM1A_400,-7.406,COc1cccc(-n2nc(OC)c3ccccc32)c1C,True
3,0,1,KDM1A_400,-7.366,COc1cccc(-n2nc(OC)c3ccccc32)c1C,False
3,0,2,KDM1A_400,-7.284,COc1cccc(-n2nc(OC)c3ccccc32)c1C,False
3,0,3,KDM1A_400,-7.044,COc1cccc(-n2nc(OC)c3ccccc32)c1C,False
3,0,4,KDM1A_400,-6.955,COc1cccc(-n2nc(OC)c3ccccc32)c1C,False
4,0,0,KDM1A_211,-9.473,Cc1cc(Oc2cccc3c2OC(=O)CN(C)C3=O)ccc1-c1ccccc1,True
4,0,1,KDM1A_211,-9.336,Cc1cc(Oc2cccc3c2OC(=O)CN(C)C3=O)ccc1-c1ccccc1,False
4,0,2,KDM1A_211,-9.1,Cc1cc(Oc2cccc3c2OC(=O)CN(C)C3=O)ccc1-c1ccccc1,False
4,0,3,KDM1A_211,-9.063,Cc1cc(Oc2cccc3c2OC(=O)CN(C)C3=O)ccc1-c1ccccc1,False
4,0,4,KDM1A_211,-9.06,Cc1cc(Oc2cccc3c2OC(=O)CN(C)C3=O)ccc1-c1ccccc1,False
5,0,0,KDM1A_356,-10.039,Cc1cccc(C(=O)N(C)Cc2ccccc2-c2ccc3c(c2)Oc2ccccc2CO3)c1,True
5,0,1,KDM1A_356,-9.666,Cc1cccc(C(=O)N(C)Cc2ccccc2-c2ccc3c(c2)Oc2ccccc2CO3)c1,False
5,0,2,KDM1A_356,-9.661,Cc1cccc(C(=O)N(C)Cc2ccccc2-c2ccc3c(c2)Oc2ccccc2CO3)c1,False
5,0,3,KDM1A_356,-9.555,Cc1cccc(C(=O)N(C)Cc2ccccc2-c2ccc3c(c2)Oc2ccccc2CO3)c1,False
