ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,NR4A1_59,-7.451,CCOC(=O)c1ccc2c(c1O)Cc1c(F)ccc3cc(C)cc(c13)N2C(=O)CC(=O)NCC(C)CC,True
0,0,1,NR4A1_59,-7.281,CCOC(=O)c1ccc2c(c1O)Cc1c(F)ccc3cc(C)cc(c13)N2C(=O)CC(=O)NCC(C)CC,False
0,0,2,NR4A1_59,-6.76,CCOC(=O)c1ccc2c(c1O)Cc1c(F)ccc3cc(C)cc(c13)N2C(=O)CC(=O)NCC(C)CC,False
0,0,3,NR4A1_59,-6.744,CCOC(=O)c1ccc2c(c1O)Cc1c(F)ccc3cc(C)cc(c13)N2C(=O)CC(=O)NCC(C)CC,False
0,0,4,NR4A1_59,-6.633,CCOC(=O)c1ccc2c(c1O)Cc1c(F)ccc3cc(C)cc(c13)N2C(=O)CC(=O)NCC(C)CC,False
1,0,0,NR4A1_242,-7.541,O=C(NCc1cccc(O)c1)C1CC2(C(=O)Oc3ccc(F)cc3)CCOC2C1C(=O)O,True
1,0,1,NR4A1_242,-7.211,O=C(NCc1cccc(O)c1)C1CC2(C(=O)Oc3ccc(F)cc3)CCOC2C1C(=O)O,False
1,0,2,NR4A1_242,-7.185,O=C(NCc1cccc(O)c1)C1CC2(C(=O)Oc3ccc(F)cc3)CCOC2C1C(=O)O,False
1,0,3,NR4A1_242,-7.169,O=C(NCc1cccc(O)c1)C1CC2(C(=O)Oc3ccc(F)cc3)CCOC2C1C(=O)O,False
1,0,4,NR4A1_242,-7.101,O=C(NCc1cccc(O)c1)C1CC2(C(=O)Oc3ccc(F)cc3)CCOC2C1C(=O)O,False
2,0,0,NR4A1_281,-6.333,CCCCCC(=O)NCCC1=CC(C2(C)CCCCC2C(=O)O)CNC1=O,True
2,0,1,NR4A1_281,-6.181,CCCCCC(=O)NCCC1=CC(C2(C)CCCCC2C(=O)O)CNC1=O,False
2,0,2,NR4A1_281,-6.144,CCCCCC(=O)NCCC1=CC(C2(C)CCCCC2C(=O)O)CNC1=O,False
