ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,P2RX3_53,-6.089,Cc1cccc(CNC(N)=O)c1,True
0,0,1,P2RX3_53,-5.761,Cc1cccc(CNC(N)=O)c1,False
0,0,2,P2RX3_53,-5.5,Cc1cccc(CNC(N)=O)c1,False
0,0,3,P2RX3_53,-5.481,Cc1cccc(CNC(N)=O)c1,False
0,0,4,P2RX3_53,-5.424,Cc1cccc(CNC(N)=O)c1,False
1,0,0,P2RX3_95,-7.838,Cc1nc(-n2c(C(=O)O)ccnc2=O)nc2ccccc12,True
1,0,1,P2RX3_95,-7.571,Cc1nc(-n2c(C(=O)O)ccnc2=O)nc2ccccc12,False
1,0,2,P2RX3_95,-7.569,Cc1nc(-n2c(C(=O)O)ccnc2=O)nc2ccccc12,False
1,0,3,P2RX3_95,-7.415,Cc1nc(-n2c(C(=O)O)ccnc2=O)nc2ccccc12,False
1,0,4,P2RX3_95,-7.367,Cc1nc(-n2c(C(=O)O)ccnc2=O)nc2ccccc12,False
2,0,0,P2RX3_9,-7.916,Cc1cc(C(=O)NC2CN(O)CCC2C(=O)C(=O)O)ccc1O,True
2,0,1,P2RX3_9,-7.286,Cc1cc(C(=O)NC2CN(O)CCC2C(=O)C(=O)O)ccc1O,False
2,0,2,P2RX3_9,-6.9,Cc1cc(C(=O)NC2CN(O)CCC2C(=O)C(=O)O)ccc1O,False
2,0,3,P2RX3_9,-6.835,Cc1cc(C(=O)NC2CN(O)CCC2C(=O)C(=O)O)ccc1O,False
2,0,4,P2RX3_9,-6.738,Cc1cc(C(=O)NC2CN(O)CCC2C(=O)C(=O)O)ccc1O,False
3,0,0,P2RX3_140,-6.022,COc1ccc(C(=O)OCC(=O)O)cc1OC,True
3,0,1,P2RX3_140,-5.938,COc1ccc(C(=O)OCC(=O)O)cc1OC,False
3,0,2,P2RX3_140,-5.647,COc1ccc(C(=O)OCC(=O)O)cc1OC,False
3,0,3,P2RX3_140,-5.641,COc1ccc(C(=O)OCC(=O)O)cc1OC,False
4,0,0,P2RX3_69,-8.754,CN=Cc1cc(N2C(=O)OC(C)=CC2CC(=O)O)cc2ccccc12,True
4,0,1,P2RX3_69,-8.515,CN=Cc1cc(N2C(=O)OC(C)=CC2CC(=O)O)cc2ccccc12,False
4,0,2,P2RX3_69,-8.248,CN=Cc1cc(N2C(=O)OC(C)=CC2CC(=O)O)cc2ccccc12,False
4,0,3,P2RX3_69,-8.185,CN=Cc1cc(N2C(=O)OC(C)=CC2CC(=O)O)cc2ccccc12,False
4,0,4,P2RX3_69,-7.909,CN=Cc1cc(N2C(=O)OC(C)=CC2CC(=O)O)cc2ccccc12,False
5,0,0,P2RX3_52,-8.162,CCC1C=C(c2cccc(Oc3ccccc3O)c2O)c2ccccc2O1,True
5,0,1,P2RX3_52,-7.833,CCC1C=C(c2cccc(Oc3ccccc3O)c2O)c2ccccc2O1,False
5,0,2,P2RX3_52,-7.651,CCC1C=C(c2cccc(Oc3ccccc3O)c2O)c2ccccc2O1,False
5,0,3,P2RX3_52,-7.491,CCC1C=C(c2cccc(Oc3ccccc3O)c2O)c2ccccc2O1,False
5,0,4,P2RX3_52,-7.406,CCC1C=C(c2cccc(Oc3ccccc3O)c2O)c2ccccc2O1,False
6,0,0,P2RX3_130,-6.675,Cc1cccc(C23COC(O)C(CCC2C)C3)c1,True
6,0,1,P2RX3_130,-6.6,Cc1cccc(C23COC(O)C(CCC2C)C3)c1,False
6,0,2,P2RX3_130,-6.52,Cc1cccc(C23COC(O)C(CCC2C)C3)c1,False
