ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,RIOK1_142,-9.167,Cc1ccc2c(n1)N(C=O)C(CNC(=O)c1cc(Oc3ccc(O)cc3)ccc1O)O2,True
0,0,1,RIOK1_142,-8.987,Cc1ccc2c(n1)N(C=O)C(CNC(=O)c1cc(Oc3ccc(O)cc3)ccc1O)O2,False
0,0,2,RIOK1_142,-8.832,Cc1ccc2c(n1)N(C=O)C(CNC(=O)c1cc(Oc3ccc(O)cc3)ccc1O)O2,False
0,0,3,RIOK1_142,-8.696,Cc1ccc2c(n1)N(C=O)C(CNC(=O)c1cc(Oc3ccc(O)cc3)ccc1O)O2,False
0,0,4,RIOK1_142,-8.692,Cc1ccc2c(n1)N(C=O)C(CNC(=O)c1cc(Oc3ccc(O)cc3)ccc1O)O2,False
1,0,0,RIOK1_92,-7.343,CC(C)CNC(=O)C1=CN(C(=O)c2ccccc2)C=C=C1,True
1,0,1,RIOK1_92,-7.219,CC(C)CNC(=O)C1=CN(C(=O)c2ccccc2)C=C=C1,False
1,0,2,RIOK1_92,-7.181,CC(C)CNC(=O)C1=CN(C(=O)c2ccccc2)C=C=C1,False
1,0,3,RIOK1_92,-7.131,CC(C)CNC(=O)C1=CN(C(=O)c2ccccc2)C=C=C1,False
1,0,4,RIOK1_92,-7.066,CC(C)CNC(=O)C1=CN(C(=O)c2ccccc2)C=C=C1,False
2,0,0,RIOK1_179,-9.023,COc1c2cc(C(=O)O)ccc2c(C)c2oc3ccccc3c12,True
2,0,1,RIOK1_179,-8.957,COc1c2cc(C(=O)O)ccc2c(C)c2oc3ccccc3c12,False
2,0,2,RIOK1_179,-8.587,COc1c2cc(C(=O)O)ccc2c(C)c2oc3ccccc3c12,False
2,0,3,RIOK1_179,-8.328,COc1c2cc(C(=O)O)ccc2c(C)c2oc3ccccc3c12,False
2,0,4,RIOK1_179,-8.325,COc1c2cc(C(=O)O)ccc2c(C)c2oc3ccccc3c12,False
3,0,0,RIOK1_369,-8.814,OCC(O)COc1c(O)ccc2c(-c3cccc(O)c3)ccnc12,True
3,0,1,RIOK1_369,-8.483,OCC(O)COc1c(O)ccc2c(-c3cccc(O)c3)ccnc12,False
3,0,2,RIOK1_369,-8.307,OCC(O)COc1c(O)ccc2c(-c3cccc(O)c3)ccnc12,False
3,0,3,RIOK1_369,-8.263,OCC(O)COc1c(O)ccc2c(-c3cccc(O)c3)ccnc12,False
3,0,4,RIOK1_369,-8.217,OCC(O)COc1c(O)ccc2c(-c3cccc(O)c3)ccnc12,False
4,0,0,RIOK1_202,-10.242,CNC(=O)c1c(Oc2cccc(F)c2)ccc2c1cc(OC)c1c3ccccc3oc21,True
4,0,1,RIOK1_202,-10.023,CNC(=O)c1c(Oc2cccc(F)c2)ccc2c1cc(OC)c1c3ccccc3oc21,False
4,0,2,RIOK1_202,-9.687,CNC(=O)c1c(Oc2cccc(F)c2)ccc2c1cc(OC)c1c3ccccc3oc21,False
4,0,3,RIOK1_202,-9.5,CNC(=O)c1c(Oc2cccc(F)c2)ccc2c1cc(OC)c1c3ccccc3oc21,False
4,0,4,RIOK1_202,-8.942,CNC(=O)c1c(Oc2cccc(F)c2)ccc2c1cc(OC)c1c3ccccc3oc21,False
5,0,0,RIOK1_291,-7.633,CC(NC(=O)C1C(=O)N(C(C)C)N=C1Nc1ccccc1)C(=O)O,True
5,0,1,RIOK1_291,-7.38,CC(NC(=O)C1C(=O)N(C(C)C)N=C1Nc1ccccc1)C(=O)O,False
5,0,2,RIOK1_291,-7.358,CC(NC(=O)C1C(=O)N(C(C)C)N=C1Nc1ccccc1)C(=O)O,False
5,0,3,RIOK1_291,-7.077,CC(NC(=O)C1C(=O)N(C(C)C)N=C1Nc1ccccc1)C(=O)O,False
