ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,SPIN1_251,-11.583,CC=C1SCC=C1c1ccc(F)c(C(=O)NCCNC(=O)c2cc(C3=NC(c4c(C)cc(O)cc4OC)=CCN3)c(O)cc2O)c1,True
0,0,1,SPIN1_251,-11.402,CC=C1SCC=C1c1ccc(F)c(C(=O)NCCNC(=O)c2cc(C3=NC(c4c(C)cc(O)cc4OC)=CCN3)c(O)cc2O)c1,False
0,0,2,SPIN1_251,-10.695,CC=C1SCC=C1c1ccc(F)c(C(=O)NCCNC(=O)c2cc(C3=NC(c4c(C)cc(O)cc4OC)=CCN3)c(O)cc2O)c1,False
0,0,3,SPIN1_251,-10.327,CC=C1SCC=C1c1ccc(F)c(C(=O)NCCNC(=O)c2cc(C3=NC(c4c(C)cc(O)cc4OC)=CCN3)c(O)cc2O)c1,False
0,0,4,SPIN1_251,-10.135,CC=C1SCC=C1c1ccc(F)c(C(=O)NCCNC(=O)c2cc(C3=NC(c4c(C)cc(O)cc4OC)=CCN3)c(O)cc2O)c1,False
1,0,0,SPIN1_198,-11.353,CCc1ccc(C)c(CN=CNC2(C)CCC(C)(CNC(=O)c3cccc(C)c3C)NC2=O)c1,True
1,0,1,SPIN1_198,-10.55,CCc1ccc(C)c(CN=CNC2(C)CCC(C)(CNC(=O)c3cccc(C)c3C)NC2=O)c1,False
1,0,2,SPIN1_198,-10.526,CCc1ccc(C)c(CN=CNC2(C)CCC(C)(CNC(=O)c3cccc(C)c3C)NC2=O)c1,False
1,0,3,SPIN1_198,-10.161,CCc1ccc(C)c(CN=CNC2(C)CCC(C)(CNC(=O)c3cccc(C)c3C)NC2=O)c1,False
1,0,4,SPIN1_198,-10.007,CCc1ccc(C)c(CN=CNC2(C)CCC(C)(CNC(=O)c3cccc(C)c3C)NC2=O)c1,False
2,0,0,SPIN1_192,-6.785,CC1CCC2C=CCCN12,True
2,0,1,SPIN1_192,-6.371,CC1CCC2C=CCCN12,False
2,0,2,SPIN1_192,-6.335,CC1CCC2C=CCCN12,False
2,0,3,SPIN1_192,-6.266,CC1CCC2C=CCCN12,False
2,0,4,SPIN1_192,-6.028,CC1CCC2C=CCCN12,False
3,0,0,SPIN1_220,-9.593,O=C(O)c1cccc(-n2cc(-c3cccc(F)c3)ccc2=O)c1,True
3,0,1,SPIN1_220,-9.593,O=C(O)c1cccc(-n2cc(-c3cccc(F)c3)ccc2=O)c1,False
3,0,2,SPIN1_220,-9.479,O=C(O)c1cccc(-n2cc(-c3cccc(F)c3)ccc2=O)c1,False
3,0,3,SPIN1_220,-8.822,O=C(O)c1cccc(-n2cc(-c3cccc(F)c3)ccc2=O)c1,False
3,0,4,SPIN1_220,-8.649,O=C(O)c1cccc(-n2cc(-c3cccc(F)c3)ccc2=O)c1,False
4,0,0,SPIN1_443,-9.002,CN(C)C(=O)C1C2=CC(N)=NCC2c2nc(-c3ccccc3)cc(=O)n21,True
4,0,1,SPIN1_443,-8.412,CN(C)C(=O)C1C2=CC(N)=NCC2c2nc(-c3ccccc3)cc(=O)n21,False
4,0,2,SPIN1_443,-8.364,CN(C)C(=O)C1C2=CC(N)=NCC2c2nc(-c3ccccc3)cc(=O)n21,False
4,0,3,SPIN1_443,-8.123,CN(C)C(=O)C1C2=CC(N)=NCC2c2nc(-c3ccccc3)cc(=O)n21,False
4,0,4,SPIN1_443,-8.016,CN(C)C(=O)C1C2=CC(N)=NCC2c2nc(-c3ccccc3)cc(=O)n21,False
