ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,CCR9_678,-8.525,COc1cc2c(cc1Cl)C(=O)CC(C(=O)O)C2,True
0,0,1,CCR9_678,-7.45,COc1cc2c(cc1Cl)C(=O)CC(C(=O)O)C2,False
0,0,2,CCR9_678,-7.402,COc1cc2c(cc1Cl)C(=O)CC(C(=O)O)C2,False
0,0,3,CCR9_678,-7.377,COc1cc2c(cc1Cl)C(=O)CC(C(=O)O)C2,False
0,0,4,CCR9_678,-6.663,COc1cc2c(cc1Cl)C(=O)CC(C(=O)O)C2,False
1,0,0,CCR9_184,-10.625,NC(=O)c1cc(Oc2ccc3c(C(=O)O)cccc3c2)ccc1F,True
1,0,1,CCR9_184,-10.431,NC(=O)c1cc(Oc2ccc3c(C(=O)O)cccc3c2)ccc1F,False
1,0,2,CCR9_184,-10.329,NC(=O)c1cc(Oc2ccc3c(C(=O)O)cccc3c2)ccc1F,False
1,0,3,CCR9_184,-10.172,NC(=O)c1cc(Oc2ccc3c(C(=O)O)cccc3c2)ccc1F,False
1,0,4,CCR9_184,-9.629,NC(=O)c1cc(Oc2ccc3c(C(=O)O)cccc3c2)ccc1F,False
2,0,0,CCR9_188,-6.583,Cc1cc(O)c(F)cc1F,True
2,0,1,CCR9_188,-6.359,Cc1cc(O)c(F)cc1F,False
2,0,2,CCR9_188,-6.258,Cc1cc(O)c(F)cc1F,False
2,0,3,CCR9_188,-6.07,Cc1cc(O)c(F)cc1F,False
2,0,4,CCR9_188,-5.951,Cc1cc(O)c(F)cc1F,False
3,0,0,CCR9_924,-8.164,CC(CCC(OF)c1cccc(C(F)(F)F)c1)C(F)F,True
3,0,1,CCR9_924,-7.996,CC(CCC(OF)c1cccc(C(F)(F)F)c1)C(F)F,False
3,0,2,CCR9_924,-7.935,CC(CCC(OF)c1cccc(C(F)(F)F)c1)C(F)F,False
3,0,3,CCR9_924,-7.895,CC(CCC(OF)c1cccc(C(F)(F)F)c1)C(F)F,False
3,0,4,CCR9_924,-7.701,CC(CCC(OF)c1cccc(C(F)(F)F)c1)C(F)F,False
4,0,0,CCR9_801,-6.034,CC1CCCC(=C=O)C1,True
4,0,1,CCR9_801,-5.963,CC1CCCC(=C=O)C1,False
4,0,2,CCR9_801,-5.896,CC1CCCC(=C=O)C1,False
4,0,3,CCR9_801,-5.893,CC1CCCC(=C=O)C1,False
4,0,4,CCR9_801,-5.835,CC1CCCC(=C=O)C1,False
5,0,0,CCR9_972,-8.379,CC=CCOC(=O)c1ccc2c(c1)CN=C2,True
5,0,1,CCR9_972,-7.954,CC=CCOC(=O)c1ccc2c(c1)CN=C2,False
5,0,2,CCR9_972,-7.893,CC=CCOC(=O)c1ccc2c(c1)CN=C2,False
5,0,3,CCR9_972,-7.767,CC=CCOC(=O)c1ccc2c(c1)CN=C2,False
5,0,4,CCR9_972,-7.591,CC=CCOC(=O)c1ccc2c(c1)CN=C2,False
