ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,ESR1_0,-8.003,Nc1ccc2cc3ccccc3cc2c1,True
0,0,1,ESR1_0,-8.002,Nc1ccc2cc3ccccc3cc2c1,False
0,0,2,ESR1_0,-7.987,Nc1ccc2cc3ccccc3cc2c1,False
0,0,3,ESR1_0,-7.84,Nc1ccc2cc3ccccc3cc2c1,False
0,0,4,ESR1_0,-7.305,Nc1ccc2cc3ccccc3cc2c1,False
1,0,0,ESR1_555,-8.752,CC(c1cc(-c2ccc(O)cc2)ccc1)C(F)(F)F,True
1,0,1,ESR1_555,-8.684,CC(c1cc(-c2ccc(O)cc2)ccc1)C(F)(F)F,False
1,0,2,ESR1_555,-8.283,CC(c1cc(-c2ccc(O)cc2)ccc1)C(F)(F)F,False
1,0,3,ESR1_555,-8.034,CC(c1cc(-c2ccc(O)cc2)ccc1)C(F)(F)F,False
1,0,4,ESR1_555,-7.958,CC(c1cc(-c2ccc(O)cc2)ccc1)C(F)(F)F,False
2,0,0,ESR1_645,-9.064,Oc1cc(C=C(CCCCC(F)(F)F)CCc2ccccc2)ccc1Cl,True
2,0,1,ESR1_645,-9.013,Oc1cc(C=C(CCCCC(F)(F)F)CCc2ccccc2)ccc1Cl,False
2,0,2,ESR1_645,-8.966,Oc1cc(C=C(CCCCC(F)(F)F)CCc2ccccc2)ccc1Cl,False
2,0,3,ESR1_645,-8.943,Oc1cc(C=C(CCCCC(F)(F)F)CCc2ccccc2)ccc1Cl,False
2,0,4,ESR1_645,-8.83,Oc1cc(C=C(CCCCC(F)(F)F)CCc2ccccc2)ccc1Cl,False
3,0,0,ESR1_316,-8.972,Cc1c(CNc2cc(F)ccc2-c2ccccc2)cccc1,True
3,0,1,ESR1_316,-8.952,Cc1c(CNc2cc(F)ccc2-c2ccccc2)cccc1,False
3,0,2,ESR1_316,-8.835,Cc1c(CNc2cc(F)ccc2-c2ccccc2)cccc1,False
3,0,3,ESR1_316,-8.14,Cc1c(CNc2cc(F)ccc2-c2ccccc2)cccc1,False
3,0,4,ESR1_316,-7.844,Cc1c(CNc2cc(F)ccc2-c2ccccc2)cccc1,False
4,0,0,ESR1_520,-8.215,FC(F)(F)c1ccc(-c2ccccc2)cc1,True
4,0,1,ESR1_520,-8.214,FC(F)(F)c1ccc(-c2ccccc2)cc1,False
4,0,2,ESR1_520,-7.925,FC(F)(F)c1ccc(-c2ccccc2)cc1,False
4,0,3,ESR1_520,-7.762,FC(F)(F)c1ccc(-c2ccccc2)cc1,False
4,0,4,ESR1_520,-6.767,FC(F)(F)c1ccc(-c2ccccc2)cc1,False
5,0,0,ESR1_175,-8.574,Oc1ccc2ccc(Cc3ccccc3)c(Cl)c2c1,True
5,0,1,ESR1_175,-8.286,Oc1ccc2ccc(Cc3ccccc3)c(Cl)c2c1,False
5,0,2,ESR1_175,-8.201,Oc1ccc2ccc(Cc3ccccc3)c(Cl)c2c1,False
5,0,3,ESR1_175,-8.182,Oc1ccc2ccc(Cc3ccccc3)c(Cl)c2c1,False
5,0,4,ESR1_175,-8.169,Oc1ccc2ccc(Cc3ccccc3)c(Cl)c2c1,False
6,0,0,ESR1_269,-8.79,NC(=O)c1ccc2c(c1)C(=O)Nc1c-2c(N)c(N=O)cc1,True
6,0,1,ESR1_269,-7.679,NC(=O)c1ccc2c(c1)C(=O)Nc1c-2c(N)c(N=O)cc1,False
6,0,2,ESR1_269,-7.142,NC(=O)c1ccc2c(c1)C(=O)Nc1c-2c(N)c(N=O)cc1,False
6,0,3,ESR1_269,-7.048,NC(=O)c1ccc2c(c1)C(=O)Nc1c-2c(N)c(N=O)cc1,False
6,0,4,ESR1_269,-6.334,NC(=O)c1ccc2c(c1)C(=O)Nc1c-2c(N)c(N=O)cc1,False
7,0,0,ESR1_44,-8.304,Cc1cc2ccncc2c(CC2(N)C=C(O)C(=O)CCC(F)C2)c1,True
7,0,1,ESR1_44,-7.759,Cc1cc2ccncc2c(CC2(N)C=C(O)C(=O)CCC(F)C2)c1,False
7,0,2,ESR1_44,-7.631,Cc1cc2ccncc2c(CC2(N)C=C(O)C(=O)CCC(F)C2)c1,False
7,0,3,ESR1_44,-7.222,Cc1cc2ccncc2c(CC2(N)C=C(O)C(=O)CCC(F)C2)c1,False
7,0,4,ESR1_44,-6.597,Cc1cc2ccncc2c(CC2(N)C=C(O)C(=O)CCC(F)C2)c1,False
8,0,0,ESR1_533,-8.986,C=CC(=Cc1c(C2=CNc3c2cccn3)ccc(O)c1)CC(F)(F)F,True
8,0,1,ESR1_533,-8.941,C=CC(=Cc1c(C2=CNc3c2cccn3)ccc(O)c1)CC(F)(F)F,False
8,0,2,ESR1_533,-8.674,C=CC(=Cc1c(C2=CNc3c2cccn3)ccc(O)c1)CC(F)(F)F,False
8,0,3,ESR1_533,-8.464,C=CC(=Cc1c(C2=CNc3c2cccn3)ccc(O)c1)CC(F)(F)F,False
8,0,4,ESR1_533,-8.152,C=CC(=Cc1c(C2=CNc3c2cccn3)ccc(O)c1)CC(F)(F)F,False
9,0,0,ESR1_255,-7.81,CC=CC(C)c1cc2c(cccc2)cc1,True
9,0,1,ESR1_255,-7.731,CC=CC(C)c1cc2c(cccc2)cc1,False
9,0,2,ESR1_255,-7.628,CC=CC(C)c1cc2c(cccc2)cc1,False
9,0,3,ESR1_255,-7.495,CC=CC(C)c1cc2c(cccc2)cc1,False
9,0,4,ESR1_255,-7.482,CC=CC(C)c1cc2c(cccc2)cc1,False
10,0,0,ESR1_6,-8.474,Oc1ccc(Cl)c(-c2ccc(Cl)c(C(F)(F)Cl)c2)c1O,True
10,0,1,ESR1_6,-8.428,Oc1ccc(Cl)c(-c2ccc(Cl)c(C(F)(F)Cl)c2)c1O,False
10,0,2,ESR1_6,-8.271,Oc1ccc(Cl)c(-c2ccc(Cl)c(C(F)(F)Cl)c2)c1O,False
10,0,3,ESR1_6,-8.164,Oc1ccc(Cl)c(-c2ccc(Cl)c(C(F)(F)Cl)c2)c1O,False
10,0,4,ESR1_6,-8.108,Oc1ccc(Cl)c(-c2ccc(Cl)c(C(F)(F)Cl)c2)c1O,False
11,0,0,ESR1_443,-8.021,NC(=O)C1CC(=O)c2cc(CCC(=O)Br)ccc2C1,True
11,0,1,ESR1_443,-7.809,NC(=O)C1CC(=O)c2cc(CCC(=O)Br)ccc2C1,False
11,0,2,ESR1_443,-7.21,NC(=O)C1CC(=O)c2cc(CCC(=O)Br)ccc2C1,False
11,0,3,ESR1_443,-7.017,NC(=O)C1CC(=O)c2cc(CCC(=O)Br)ccc2C1,False
11,0,4,ESR1_443,-6.747,NC(=O)C1CC(=O)c2cc(CCC(=O)Br)ccc2C1,False
12,0,0,ESR1_241,-7.014,CC(C=CC=CO)=Cc1ccccc1,True
12,0,1,ESR1_241,-6.821,CC(C=CC=CO)=Cc1ccccc1,False
12,0,2,ESR1_241,-6.792,CC(C=CC=CO)=Cc1ccccc1,False
12,0,3,ESR1_241,-6.518,CC(C=CC=CO)=Cc1ccccc1,False
12,0,4,ESR1_241,-6.363,CC(C=CC=CO)=Cc1ccccc1,False
13,0,0,ESR1_240,-8.861,C=CC=Cc1ccc(-c2ccc(OCc3cc(CCc4cc(CN)ccc4)cc(O)c3)cc2)cc1,True
13,0,1,ESR1_240,-8.745,C=CC=Cc1ccc(-c2ccc(OCc3cc(CCc4cc(CN)ccc4)cc(O)c3)cc2)cc1,False
13,0,2,ESR1_240,-8.613,C=CC=Cc1ccc(-c2ccc(OCc3cc(CCc4cc(CN)ccc4)cc(O)c3)cc2)cc1,False
13,0,3,ESR1_240,-8.595,C=CC=Cc1ccc(-c2ccc(OCc3cc(CCc4cc(CN)ccc4)cc(O)c3)cc2)cc1,False
13,0,4,ESR1_240,-8.529,C=CC=Cc1ccc(-c2ccc(OCc3cc(CCc4cc(CN)ccc4)cc(O)c3)cc2)cc1,False
14,0,0,ESR1_725,-8.55,CC=C1C=CCCC2C1Cc1cccnc1C2Br,True
14,0,1,ESR1_725,-8.161,CC=C1C=CCCC2C1Cc1cccnc1C2Br,False
14,0,2,ESR1_725,-7.987,CC=C1C=CCCC2C1Cc1cccnc1C2Br,False
14,0,3,ESR1_725,-7.805,CC=C1C=CCCC2C1Cc1cccnc1C2Br,False
14,0,4,ESR1_725,-7.131,CC=C1C=CCCC2C1Cc1cccnc1C2Br,False
15,0,0,ESR1_982,-10.146,CC=Cc1cccc(C(C)=CC(Cc2ccccc2-c2c(F)cccc2)C(F)C=CC(F)(F)F)c1,True
15,0,1,ESR1_982,-9.89,CC=Cc1cccc(C(C)=CC(Cc2ccccc2-c2c(F)cccc2)C(F)C=CC(F)(F)F)c1,False
15,0,2,ESR1_982,-9.571,CC=Cc1cccc(C(C)=CC(Cc2ccccc2-c2c(F)cccc2)C(F)C=CC(F)(F)F)c1,False
15,0,3,ESR1_982,-9.554,CC=Cc1cccc(C(C)=CC(Cc2ccccc2-c2c(F)cccc2)C(F)C=CC(F)(F)F)c1,False
15,0,4,ESR1_982,-9.532,CC=Cc1cccc(C(C)=CC(Cc2ccccc2-c2c(F)cccc2)C(F)C=CC(F)(F)F)c1,False
16,0,0,ESR1_82,-7.721,C=CCCCCC(=O)Cc1ccc(Cc2ccccc2)cc1,True
16,0,1,ESR1_82,-7.188,C=CCCCCC(=O)Cc1ccc(Cc2ccccc2)cc1,False
16,0,2,ESR1_82,-7.099,C=CCCCCC(=O)Cc1ccc(Cc2ccccc2)cc1,False
16,0,3,ESR1_82,-6.852,C=CCCCCC(=O)Cc1ccc(Cc2ccccc2)cc1,False
16,0,4,ESR1_82,-6.624,C=CCCCCC(=O)Cc1ccc(Cc2ccccc2)cc1,False
17,0,0,ESR1_378,-7.454,O=C(O)COC(Cc1cc(C2CCC(O)CC2=O)ccc1)C(=O)O,True
17,0,1,ESR1_378,-7.352,O=C(O)COC(Cc1cc(C2CCC(O)CC2=O)ccc1)C(=O)O,False
17,0,2,ESR1_378,-7.277,O=C(O)COC(Cc1cc(C2CCC(O)CC2=O)ccc1)C(=O)O,False
17,0,3,ESR1_378,-7.118,O=C(O)COC(Cc1cc(C2CCC(O)CC2=O)ccc1)C(=O)O,False
17,0,4,ESR1_378,-6.803,O=C(O)COC(Cc1cc(C2CCC(O)CC2=O)ccc1)C(=O)O,False
18,0,0,ESR1_96,-9.099,C=C(C)Cc1ccc(-c2ccccc2)c(C2CCC=CO2)c1,True
18,0,1,ESR1_96,-8.918,C=C(C)Cc1ccc(-c2ccccc2)c(C2CCC=CO2)c1,False
18,0,2,ESR1_96,-8.896,C=C(C)Cc1ccc(-c2ccccc2)c(C2CCC=CO2)c1,False
18,0,3,ESR1_96,-7.784,C=C(C)Cc1ccc(-c2ccccc2)c(C2CCC=CO2)c1,False
18,0,4,ESR1_96,-7.683,C=C(C)Cc1ccc(-c2ccccc2)c(C2CCC=CO2)c1,False
19,0,0,ESR1_354,-10.787,CCc1cc(O)ccc1C(C=Cc1ccccc1)c1ccc(-c2cccc3ccccc23)cc1,True
19,0,1,ESR1_354,-10.757,CCc1cc(O)ccc1C(C=Cc1ccccc1)c1ccc(-c2cccc3ccccc23)cc1,False
19,0,2,ESR1_354,-9.721,CCc1cc(O)ccc1C(C=Cc1ccccc1)c1ccc(-c2cccc3ccccc23)cc1,False
19,0,3,ESR1_354,-9.601,CCc1cc(O)ccc1C(C=Cc1ccccc1)c1ccc(-c2cccc3ccccc23)cc1,False
19,0,4,ESR1_354,-9.597,CCc1cc(O)ccc1C(C=Cc1ccccc1)c1ccc(-c2cccc3ccccc23)cc1,False
20,0,0,ESR1_75,-7.503,C=CCC=CN1CNc2c(cccc2)C1c1c(C)cc(Cl)cc1,True
20,0,1,ESR1_75,-6.959,C=CCC=CN1CNc2c(cccc2)C1c1c(C)cc(Cl)cc1,False
20,0,2,ESR1_75,-6.834,C=CCC=CN1CNc2c(cccc2)C1c1c(C)cc(Cl)cc1,False
20,0,3,ESR1_75,-6.667,C=CCC=CN1CNc2c(cccc2)C1c1c(C)cc(Cl)cc1,False
20,0,4,ESR1_75,-6.509,C=CCC=CN1CNc2c(cccc2)C1c1c(C)cc(Cl)cc1,False
21,0,0,ESR1_458,-6.765,C=CC(CC=CCC)c1ccccc1,True
21,0,1,ESR1_458,-6.756,C=CC(CC=CCC)c1ccccc1,False
21,0,2,ESR1_458,-6.742,C=CC(CC=CCC)c1ccccc1,False
21,0,3,ESR1_458,-6.718,C=CC(CC=CCC)c1ccccc1,False
21,0,4,ESR1_458,-6.681,C=CC(CC=CCC)c1ccccc1,False
22,0,0,ESR1_351,-7.344,C=C(C)c1ccc(CC(C)C(=O)CC(=O)O)cc1,True
22,0,1,ESR1_351,-7.316,C=C(C)c1ccc(CC(C)C(=O)CC(=O)O)cc1,False
22,0,2,ESR1_351,-7.284,C=C(C)c1ccc(CC(C)C(=O)CC(=O)O)cc1,False
22,0,3,ESR1_351,-7.038,C=C(C)c1ccc(CC(C)C(=O)CC(=O)O)cc1,False
22,0,4,ESR1_351,-6.926,C=C(C)c1ccc(CC(C)C(=O)CC(=O)O)cc1,False
23,0,0,ESR1_35,-6.27,C=CC=CC(C)c1ccccc1,True
23,0,1,ESR1_35,-6.265,C=CC=CC(C)c1ccccc1,False
23,0,2,ESR1_35,-6.261,C=CC=CC(C)c1ccccc1,False
23,0,3,ESR1_35,-6.211,C=CC=CC(C)c1ccccc1,False
23,0,4,ESR1_35,-6.14,C=CC=CC(C)c1ccccc1,False
24,0,0,ESR1_549,-7.798,O=C(O)CC=C(O)c1c(O)ccc(OCc2ccccc2)c1,True
24,0,1,ESR1_549,-7.447,O=C(O)CC=C(O)c1c(O)ccc(OCc2ccccc2)c1,False
24,0,2,ESR1_549,-7.421,O=C(O)CC=C(O)c1c(O)ccc(OCc2ccccc2)c1,False
24,0,3,ESR1_549,-7.351,O=C(O)CC=C(O)c1c(O)ccc(OCc2ccccc2)c1,False
24,0,4,ESR1_549,-7.266,O=C(O)CC=C(O)c1c(O)ccc(OCc2ccccc2)c1,False
25,0,0,ESR1_870,-7.702,Cc1c(Cc2ccccc2)cccc1,True
25,0,1,ESR1_870,-7.671,Cc1c(Cc2ccccc2)cccc1,False
25,0,2,ESR1_870,-7.599,Cc1c(Cc2ccccc2)cccc1,False
25,0,3,ESR1_870,-7.42,Cc1c(Cc2ccccc2)cccc1,False
25,0,4,ESR1_870,-7.311,Cc1c(Cc2ccccc2)cccc1,False
26,0,0,ESR1_125,-6.785,CCC1=CC=CC=C(O)CCC1C,True
26,0,1,ESR1_125,-6.411,CCC1=CC=CC=C(O)CCC1C,False
26,0,2,ESR1_125,-6.368,CCC1=CC=CC=C(O)CCC1C,False
26,0,3,ESR1_125,-6.343,CCC1=CC=CC=C(O)CCC1C,False
26,0,4,ESR1_125,-6.314,CCC1=CC=CC=C(O)CCC1C,False
27,0,0,ESR1_275,-8.923,O=C1CCC(F)c2cc(Cc3ccccc3)ccc12,True
27,0,1,ESR1_275,-8.753,O=C1CCC(F)c2cc(Cc3ccccc3)ccc12,False
27,0,2,ESR1_275,-8.706,O=C1CCC(F)c2cc(Cc3ccccc3)ccc12,False
27,0,3,ESR1_275,-8.641,O=C1CCC(F)c2cc(Cc3ccccc3)ccc12,False
27,0,4,ESR1_275,-8.446,O=C1CCC(F)c2cc(Cc3ccccc3)ccc12,False
28,0,0,ESR1_246,-7.49,CC=CCOc1cccc(C(F)c2ccnc(NC)c2F)c1,True
28,0,1,ESR1_246,-7.446,CC=CCOc1cccc(C(F)c2ccnc(NC)c2F)c1,False
28,0,2,ESR1_246,-7.385,CC=CCOc1cccc(C(F)c2ccnc(NC)c2F)c1,False
28,0,3,ESR1_246,-7.27,CC=CCOc1cccc(C(F)c2ccnc(NC)c2F)c1,False
28,0,4,ESR1_246,-7.105,CC=CCOc1cccc(C(F)c2ccnc(NC)c2F)c1,False
29,0,0,ESR1_133,-7.633,CC(=CN)Cc1cc2cc(N)ccc2cc1,True
29,0,1,ESR1_133,-7.429,CC(=CN)Cc1cc2cc(N)ccc2cc1,False
29,0,2,ESR1_133,-7.389,CC(=CN)Cc1cc2cc(N)ccc2cc1,False
29,0,3,ESR1_133,-7.35,CC(=CN)Cc1cc2cc(N)ccc2cc1,False
29,0,4,ESR1_133,-7.189,CC(=CN)Cc1cc2cc(N)ccc2cc1,False
30,0,0,ESR1_237,-9.038,CCC1(c2cc(F)ccc2Cl)CNc2ccccc2C1,True
30,0,1,ESR1_237,-8.528,CCC1(c2cc(F)ccc2Cl)CNc2ccccc2C1,False
30,0,2,ESR1_237,-8.502,CCC1(c2cc(F)ccc2Cl)CNc2ccccc2C1,False
30,0,3,ESR1_237,-8.452,CCC1(c2cc(F)ccc2Cl)CNc2ccccc2C1,False
30,0,4,ESR1_237,-8.226,CCC1(c2cc(F)ccc2Cl)CNc2ccccc2C1,False
31,0,0,ESR1_360,-6.814,OC(=Cc1ccc(-c2ccccc2)cc1C(O)OF)C(O)CC1=CCCO1,True
31,0,1,ESR1_360,-6.732,OC(=Cc1ccc(-c2ccccc2)cc1C(O)OF)C(O)CC1=CCCO1,False
31,0,2,ESR1_360,-6.633,OC(=Cc1ccc(-c2ccccc2)cc1C(O)OF)C(O)CC1=CCCO1,False
31,0,3,ESR1_360,-6.443,OC(=Cc1ccc(-c2ccccc2)cc1C(O)OF)C(O)CC1=CCCO1,False
31,0,4,ESR1_360,-6.392,OC(=Cc1ccc(-c2ccccc2)cc1C(O)OF)C(O)CC1=CCCO1,False
32,0,0,ESR1_538,-9.44,CC(C=CC(=CC1CC=CN1C)c1ccc(F)c(C=O)c1)=C1C=CC=C1O,True
32,0,1,ESR1_538,-9.162,CC(C=CC(=CC1CC=CN1C)c1ccc(F)c(C=O)c1)=C1C=CC=C1O,False
32,0,2,ESR1_538,-8.895,CC(C=CC(=CC1CC=CN1C)c1ccc(F)c(C=O)c1)=C1C=CC=C1O,False
32,0,3,ESR1_538,-8.755,CC(C=CC(=CC1CC=CN1C)c1ccc(F)c(C=O)c1)=C1C=CC=C1O,False
32,0,4,ESR1_538,-8.67,CC(C=CC(=CC1CC=CN1C)c1ccc(F)c(C=O)c1)=C1C=CC=C1O,False
33,0,0,ESR1_411,-6.996,COc1ccc(-c2c(N)cc(C(=O)O)cc2F)cc1,True
33,0,1,ESR1_411,-6.763,COc1ccc(-c2c(N)cc(C(=O)O)cc2F)cc1,False
33,0,2,ESR1_411,-6.574,COc1ccc(-c2c(N)cc(C(=O)O)cc2F)cc1,False
33,0,3,ESR1_411,-6.308,COc1ccc(-c2c(N)cc(C(=O)O)cc2F)cc1,False
33,0,4,ESR1_411,-6.076,COc1ccc(-c2c(N)cc(C(=O)O)cc2F)cc1,False
34,0,0,ESR1_204,-5.526,CCCCCc1ccccc1,True
34,0,1,ESR1_204,-5.384,CCCCCc1ccccc1,False
34,0,2,ESR1_204,-5.377,CCCCCc1ccccc1,False
34,0,3,ESR1_204,-5.339,CCCCCc1ccccc1,False
34,0,4,ESR1_204,-5.285,CCCCCc1ccccc1,False
35,0,0,ESR1_24,-9.488,O=C(O)c1cccc(C(C=Cc2ccccc2)Cc2ccccc2)c1,True
35,0,1,ESR1_24,-9.356,O=C(O)c1cccc(C(C=Cc2ccccc2)Cc2ccccc2)c1,False
35,0,2,ESR1_24,-9.168,O=C(O)c1cccc(C(C=Cc2ccccc2)Cc2ccccc2)c1,False
35,0,3,ESR1_24,-9.108,O=C(O)c1cccc(C(C=Cc2ccccc2)Cc2ccccc2)c1,False
35,0,4,ESR1_24,-8.913,O=C(O)c1cccc(C(C=Cc2ccccc2)Cc2ccccc2)c1,False
36,0,0,ESR1_267,-10.787,Cc1cccc(-c2ccc3ncc(NCc4cc(NCCc5ccccc5)cc(O)c4)cc3c2)c1,True
36,0,1,ESR1_267,-10.045,Cc1cccc(-c2ccc3ncc(NCc4cc(NCCc5ccccc5)cc(O)c4)cc3c2)c1,False
