ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,FTO_554,-7.247,O=C(O)c1ccc(Oc2ccccc2)cc1,True
0,0,1,FTO_554,-6.989,O=C(O)c1ccc(Oc2ccccc2)cc1,False
0,0,2,FTO_554,-6.979,O=C(O)c1ccc(Oc2ccccc2)cc1,False
0,0,3,FTO_554,-6.93,O=C(O)c1ccc(Oc2ccccc2)cc1,False
0,0,4,FTO_554,-6.898,O=C(O)c1ccc(Oc2ccccc2)cc1,False
1,0,0,FTO_477,-9.339,N=CC=COc1cccc(C(=O)NC(=N)c2ccccc2)c1,True
1,0,1,FTO_477,-9.017,N=CC=COc1cccc(C(=O)NC(=N)c2ccccc2)c1,False
1,0,2,FTO_477,-8.653,N=CC=COc1cccc(C(=O)NC(=N)c2ccccc2)c1,False
1,0,3,FTO_477,-8.244,N=CC=COc1cccc(C(=O)NC(=N)c2ccccc2)c1,False
1,0,4,FTO_477,-8.236,N=CC=COc1cccc(C(=O)NC(=N)c2ccccc2)c1,False
2,0,0,FTO_906,-7.278,C1=C(c2ccccc2)CCN1c1ccccc1,True
2,0,1,FTO_906,-7.224,C1=C(c2ccccc2)CCN1c1ccccc1,False
2,0,2,FTO_906,-7.177,C1=C(c2ccccc2)CCN1c1ccccc1,False
2,0,3,FTO_906,-7.062,C1=C(c2ccccc2)CCN1c1ccccc1,False
2,0,4,FTO_906,-7.018,C1=C(c2ccccc2)CCN1c1ccccc1,False
3,0,0,FTO_872,-7.542,C=CC=CCN(C)Cc1cccc(CC(=O)N=C(F)c2ccc(CC(=O)NCC(=O)OC)cc2)c1,True
3,0,1,FTO_872,-7.353,C=CC=CCN(C)Cc1cccc(CC(=O)N=C(F)c2ccc(CC(=O)NCC(=O)OC)cc2)c1,False
3,0,2,FTO_872,-7.307,C=CC=CCN(C)Cc1cccc(CC(=O)N=C(F)c2ccc(CC(=O)NCC(=O)OC)cc2)c1,False
3,0,3,FTO_872,-7.284,C=CC=CCN(C)Cc1cccc(CC(=O)N=C(F)c2ccc(CC(=O)NCC(=O)OC)cc2)c1,False
3,0,4,FTO_872,-7.279,C=CC=CCN(C)Cc1cccc(CC(=O)N=C(F)c2ccc(CC(=O)NCC(=O)OC)cc2)c1,False
4,0,0,FTO_392,-6.05,CCC1=CC(C=CC(N)=O)CC1,True
4,0,1,FTO_392,-5.943,CCC1=CC(C=CC(N)=O)CC1,False
4,0,2,FTO_392,-5.626,CCC1=CC(C=CC(N)=O)CC1,False
4,0,3,FTO_392,-5.608,CCC1=CC(C=CC(N)=O)CC1,False
4,0,4,FTO_392,-5.572,CCC1=CC(C=CC(N)=O)CC1,False
5,0,0,FTO_867,-8.161,Oc1cc(-c2ccc3ccccc3c2)ccc1,True
5,0,1,FTO_867,-8.059,Oc1cc(-c2ccc3ccccc3c2)ccc1,False
5,0,2,FTO_867,-7.966,Oc1cc(-c2ccc3ccccc3c2)ccc1,False
5,0,3,FTO_867,-7.853,Oc1cc(-c2ccc3ccccc3c2)ccc1,False
5,0,4,FTO_867,-7.719,Oc1cc(-c2ccc3ccccc3c2)ccc1,False
6,0,0,FTO_654,-6.948,O=C(O)CCC1Cc2nc(F)ncc2C(O)C1=O,True
6,0,1,FTO_654,-6.396,O=C(O)CCC1Cc2nc(F)ncc2C(O)C1=O,False
6,0,2,FTO_654,-6.366,O=C(O)CCC1Cc2nc(F)ncc2C(O)C1=O,False
6,0,3,FTO_654,-6.27,O=C(O)CCC1Cc2nc(F)ncc2C(O)C1=O,False
6,0,4,FTO_654,-6.095,O=C(O)CCC1Cc2nc(F)ncc2C(O)C1=O,False
7,0,0,FTO_875,-8.509,Clc1cc(OCCc2cccc3c(Cl)cccc23)c(-c2ccccc2)cc1,True
7,0,1,FTO_875,-8.249,Clc1cc(OCCc2cccc3c(Cl)cccc23)c(-c2ccccc2)cc1,False
7,0,2,FTO_875,-8.134,Clc1cc(OCCc2cccc3c(Cl)cccc23)c(-c2ccccc2)cc1,False
7,0,3,FTO_875,-7.809,Clc1cc(OCCc2cccc3c(Cl)cccc23)c(-c2ccccc2)cc1,False
7,0,4,FTO_875,-7.786,Clc1cc(OCCc2cccc3c(Cl)cccc23)c(-c2ccccc2)cc1,False
8,0,0,FTO_354,-7.746,O=C(OCl)c1ccc(-c2cc(C(F)(F)F)ccc2)cc1,True
8,0,1,FTO_354,-7.707,O=C(OCl)c1ccc(-c2cc(C(F)(F)F)ccc2)cc1,False
8,0,2,FTO_354,-7.642,O=C(OCl)c1ccc(-c2cc(C(F)(F)F)ccc2)cc1,False
8,0,3,FTO_354,-7.632,O=C(OCl)c1ccc(-c2cc(C(F)(F)F)ccc2)cc1,False
8,0,4,FTO_354,-7.505,O=C(OCl)c1ccc(-c2cc(C(F)(F)F)ccc2)cc1,False
9,0,0,FTO_219,-9.217,c1ccc(Cc2cc(-c3ccc(-c4ccccc4)cc3)ccc2)cc1,True
9,0,1,FTO_219,-9.208,c1ccc(Cc2cc(-c3ccc(-c4ccccc4)cc3)ccc2)cc1,False
9,0,2,FTO_219,-8.976,c1ccc(Cc2cc(-c3ccc(-c4ccccc4)cc3)ccc2)cc1,False
9,0,3,FTO_219,-8.944,c1ccc(Cc2cc(-c3ccc(-c4ccccc4)cc3)ccc2)cc1,False
9,0,4,FTO_219,-8.839,c1ccc(Cc2cc(-c3ccc(-c4ccccc4)cc3)ccc2)cc1,False
10,0,0,FTO_65,-4.373,Nc1ncccc1,True
10,0,1,FTO_65,-4.327,Nc1ncccc1,False
10,0,2,FTO_65,-4.282,Nc1ncccc1,False
10,0,3,FTO_65,-4.1,Nc1ncccc1,False
10,0,4,FTO_65,-4.035,Nc1ncccc1,False
11,0,0,FTO_665,-9.786,O=C(F)c1cc2c3CC(Cc4cccc(F)c4)=Cc3ccc2c2ccccc12,True
11,0,1,FTO_665,-9.602,O=C(F)c1cc2c3CC(Cc4cccc(F)c4)=Cc3ccc2c2ccccc12,False
11,0,2,FTO_665,-9.577,O=C(F)c1cc2c3CC(Cc4cccc(F)c4)=Cc3ccc2c2ccccc12,False
11,0,3,FTO_665,-9.512,O=C(F)c1cc2c3CC(Cc4cccc(F)c4)=Cc3ccc2c2ccccc12,False
11,0,4,FTO_665,-9.495,O=C(F)c1cc2c3CC(Cc4cccc(F)c4)=Cc3ccc2c2ccccc12,False
12,0,0,FTO_181,-5.144,C=CC=CC=CC(F)F,True
12,0,1,FTO_181,-4.833,C=CC=CC=CC(F)F,False
12,0,2,FTO_181,-4.665,C=CC=CC=CC(F)F,False
12,0,3,FTO_181,-4.659,C=CC=CC=CC(F)F,False
12,0,4,FTO_181,-4.607,C=CC=CC=CC(F)F,False
13,0,0,FTO_722,-6.752,CC(CCC=CC=CO)c1ccccc1,True
13,0,1,FTO_722,-6.258,CC(CCC=CC=CO)c1ccccc1,False
13,0,2,FTO_722,-6.217,CC(CCC=CC=CO)c1ccccc1,False
13,0,3,FTO_722,-6.166,CC(CCC=CC=CO)c1ccccc1,False
13,0,4,FTO_722,-6.125,CC(CCC=CC=CO)c1ccccc1,False
14,0,0,FTO_158,-10.312,CCC(=O)NC(=O)c1cc(-c2ccc(C=CC(=O)N3C=CC=C3C)cc2)ccc1,True
14,0,1,FTO_158,-9.938,CCC(=O)NC(=O)c1cc(-c2ccc(C=CC(=O)N3C=CC=C3C)cc2)ccc1,False
14,0,2,FTO_158,-9.287,CCC(=O)NC(=O)c1cc(-c2ccc(C=CC(=O)N3C=CC=C3C)cc2)ccc1,False
14,0,3,FTO_158,-9.07,CCC(=O)NC(=O)c1cc(-c2ccc(C=CC(=O)N3C=CC=C3C)cc2)ccc1,False
14,0,4,FTO_158,-8.801,CCC(=O)NC(=O)c1cc(-c2ccc(C=CC(=O)N3C=CC=C3C)cc2)ccc1,False
15,0,0,FTO_166,-7.947,O=C(F)c1cc(O)cc(-c2cc(Cl)ccc2)c1,True
15,0,1,FTO_166,-7.865,O=C(F)c1cc(O)cc(-c2cc(Cl)ccc2)c1,False
15,0,2,FTO_166,-7.823,O=C(F)c1cc(O)cc(-c2cc(Cl)ccc2)c1,False
15,0,3,FTO_166,-7.515,O=C(F)c1cc(O)cc(-c2cc(Cl)ccc2)c1,False
15,0,4,FTO_166,-7.38,O=C(F)c1cc(O)cc(-c2cc(Cl)ccc2)c1,False
16,0,0,FTO_702,-10.047,C=C1CC(Cc2cc(Cl)ccc2)CC(OCC(COBr)OCc2cc(-c3ccccc3)ccc2)C1,True
16,0,1,FTO_702,-9.366,C=C1CC(Cc2cc(Cl)ccc2)CC(OCC(COBr)OCc2cc(-c3ccccc3)ccc2)C1,False
16,0,2,FTO_702,-9.356,C=C1CC(Cc2cc(Cl)ccc2)CC(OCC(COBr)OCc2cc(-c3ccccc3)ccc2)C1,False
16,0,3,FTO_702,-9.272,C=C1CC(Cc2cc(Cl)ccc2)CC(OCC(COBr)OCc2cc(-c3ccccc3)ccc2)C1,False
16,0,4,FTO_702,-9.234,C=C1CC(Cc2cc(Cl)ccc2)CC(OCC(COBr)OCc2cc(-c3ccccc3)ccc2)C1,False
17,0,0,FTO_49,-6.107,CN1Cc2c(cccc2)OC1F,True
17,0,1,FTO_49,-6.081,CN1Cc2c(cccc2)OC1F,False
17,0,2,FTO_49,-5.853,CN1Cc2c(cccc2)OC1F,False
17,0,3,FTO_49,-5.676,CN1Cc2c(cccc2)OC1F,False
17,0,4,FTO_49,-5.653,CN1Cc2c(cccc2)OC1F,False
18,0,0,FTO_272,-8.303,N=C=C(c1ccccc1)c1cccc(C(F)(F)F)c1,True
18,0,1,FTO_272,-8.111,N=C=C(c1ccccc1)c1cccc(C(F)(F)F)c1,False
18,0,2,FTO_272,-8.096,N=C=C(c1ccccc1)c1cccc(C(F)(F)F)c1,False
18,0,3,FTO_272,-8.088,N=C=C(c1ccccc1)c1cccc(C(F)(F)F)c1,False
18,0,4,FTO_272,-8.04,N=C=C(c1ccccc1)c1cccc(C(F)(F)F)c1,False
19,0,0,FTO_157,-8.465,Fc1c2cc(-c3ccccc3)ccc2ccc1,True
19,0,1,FTO_157,-8.324,Fc1c2cc(-c3ccccc3)ccc2ccc1,False
19,0,2,FTO_157,-8.02,Fc1c2cc(-c3ccccc3)ccc2ccc1,False
19,0,3,FTO_157,-8.011,Fc1c2cc(-c3ccccc3)ccc2ccc1,False
19,0,4,FTO_157,-7.987,Fc1c2cc(-c3ccccc3)ccc2ccc1,False
20,0,0,FTO_369,-8.137,Clc1c(Cc2ccccc2)cc(-c2ccncc2)cc1,True
20,0,1,FTO_369,-8.105,Clc1c(Cc2ccccc2)cc(-c2ccncc2)cc1,False
20,0,2,FTO_369,-7.849,Clc1c(Cc2ccccc2)cc(-c2ccncc2)cc1,False
20,0,3,FTO_369,-7.796,Clc1c(Cc2ccccc2)cc(-c2ccncc2)cc1,False
20,0,4,FTO_369,-7.64,Clc1c(Cc2ccccc2)cc(-c2ccncc2)cc1,False
21,0,0,FTO_869,-11.305,Cc1cccc(-c2cc(-c3cccc(Cc4cccc(CN5CCC(F)NC5N)c4)c3)ccc2)c1,True
21,0,1,FTO_869,-11.021,Cc1cccc(-c2cc(-c3cccc(Cc4cccc(CN5CCC(F)NC5N)c4)c3)ccc2)c1,False
21,0,2,FTO_869,-10.904,Cc1cccc(-c2cc(-c3cccc(Cc4cccc(CN5CCC(F)NC5N)c4)c3)ccc2)c1,False
21,0,3,FTO_869,-10.657,Cc1cccc(-c2cc(-c3cccc(Cc4cccc(CN5CCC(F)NC5N)c4)c3)ccc2)c1,False
21,0,4,FTO_869,-10.421,Cc1cccc(-c2cc(-c3cccc(Cc4cccc(CN5CCC(F)NC5N)c4)c3)ccc2)c1,False
22,0,0,FTO_193,-4.734,Oc1ccccc1,True
22,0,1,FTO_193,-4.467,Oc1ccccc1,False
22,0,2,FTO_193,-4.453,Oc1ccccc1,False
22,0,3,FTO_193,-4.452,Oc1ccccc1,False
22,0,4,FTO_193,-3.965,Oc1ccccc1,False
23,0,0,FTO_0,-6.135,CCC=CC=CCc1cccc(CC)c1,True
23,0,1,FTO_0,-6.126,CCC=CC=CCc1cccc(CC)c1,False
23,0,2,FTO_0,-6.037,CCC=CC=CCc1cccc(CC)c1,False
23,0,3,FTO_0,-5.956,CCC=CC=CCc1cccc(CC)c1,False
23,0,4,FTO_0,-5.924,CCC=CC=CCc1cccc(CC)c1,False
24,0,0,FTO_683,-6.657,O=C1NCCc2c(Cl)cc(O)cc12,True
24,0,1,FTO_683,-6.507,O=C1NCCc2c(Cl)cc(O)cc12,False
24,0,2,FTO_683,-6.161,O=C1NCCc2c(Cl)cc(O)cc12,False
24,0,3,FTO_683,-5.887,O=C1NCCc2c(Cl)cc(O)cc12,False
24,0,4,FTO_683,-5.862,O=C1NCCc2c(Cl)cc(O)cc12,False
25,0,0,FTO_729,-9.656,CNCc1cccc(C(c2ccccc2)c2cccc(Cc3cccc(CNCC(=O)O)c3)c2)c1,True
25,0,1,FTO_729,-9.521,CNCc1cccc(C(c2ccccc2)c2cccc(Cc3cccc(CNCC(=O)O)c3)c2)c1,False
25,0,2,FTO_729,-9.455,CNCc1cccc(C(c2ccccc2)c2cccc(Cc3cccc(CNCC(=O)O)c3)c2)c1,False
25,0,3,FTO_729,-9.415,CNCc1cccc(C(c2ccccc2)c2cccc(Cc3cccc(CNCC(=O)O)c3)c2)c1,False
25,0,4,FTO_729,-9.407,CNCc1cccc(C(c2ccccc2)c2cccc(Cc3cccc(CNCC(=O)O)c3)c2)c1,False
26,0,0,FTO_296,-6.763,OCc1nccc(-c2ccccc2)c1,True
26,0,1,FTO_296,-6.708,OCc1nccc(-c2ccccc2)c1,False
26,0,2,FTO_296,-6.682,OCc1nccc(-c2ccccc2)c1,False
26,0,3,FTO_296,-6.657,OCc1nccc(-c2ccccc2)c1,False
26,0,4,FTO_296,-6.351,OCc1nccc(-c2ccccc2)c1,False
27,0,0,FTO_808,-8.922,C=CC=CC1=CC(C)(c2ccc(Cc3c(OC)cc(-c4cnccc4)cc3)cc2)c2ccccc12,True
27,0,1,FTO_808,-8.737,C=CC=CC1=CC(C)(c2ccc(Cc3c(OC)cc(-c4cnccc4)cc3)cc2)c2ccccc12,False
27,0,2,FTO_808,-8.714,C=CC=CC1=CC(C)(c2ccc(Cc3c(OC)cc(-c4cnccc4)cc3)cc2)c2ccccc12,False
27,0,3,FTO_808,-8.535,C=CC=CC1=CC(C)(c2ccc(Cc3c(OC)cc(-c4cnccc4)cc3)cc2)c2ccccc12,False
27,0,4,FTO_808,-8.526,C=CC=CC1=CC(C)(c2ccc(Cc3c(OC)cc(-c4cnccc4)cc3)cc2)c2ccccc12,False
28,0,0,FTO_643,-8.093,O=P(O)(O)OCc1cc(Cc2ccccc2)ccc1,True
28,0,1,FTO_643,-8.083,O=P(O)(O)OCc1cc(Cc2ccccc2)ccc1,False
28,0,2,FTO_643,-8.068,O=P(O)(O)OCc1cc(Cc2ccccc2)ccc1,False
28,0,3,FTO_643,-8.066,O=P(O)(O)OCc1cc(Cc2ccccc2)ccc1,False
28,0,4,FTO_643,-7.174,O=P(O)(O)OCc1cc(Cc2ccccc2)ccc1,False
29,0,0,FTO_61,-8.1,N=C(CCCc1cc(Cc2ccccc2)ccc1)P(=O)(O)OCl,True
29,0,1,FTO_61,-8.079,N=C(CCCc1cc(Cc2ccccc2)ccc1)P(=O)(O)OCl,False
29,0,2,FTO_61,-8.079,N=C(CCCc1cc(Cc2ccccc2)ccc1)P(=O)(O)OCl,False
29,0,3,FTO_61,-8.029,N=C(CCCc1cc(Cc2ccccc2)ccc1)P(=O)(O)OCl,False
29,0,4,FTO_61,-7.949,N=C(CCCc1cc(Cc2ccccc2)ccc1)P(=O)(O)OCl,False
30,0,0,FTO_347,-6.045,CN(Cc1cc(O)ccc1)C(=O)N=O,True
30,0,1,FTO_347,-5.982,CN(Cc1cc(O)ccc1)C(=O)N=O,False
30,0,2,FTO_347,-5.927,CN(Cc1cc(O)ccc1)C(=O)N=O,False
30,0,3,FTO_347,-5.842,CN(Cc1cc(O)ccc1)C(=O)N=O,False
30,0,4,FTO_347,-5.812,CN(Cc1cc(O)ccc1)C(=O)N=O,False
31,0,0,FTO_99,-9.89,Fc1cc(-c2cncc(-c3cc(-c4ccccc4)ccc3)c2)ccn1,True
31,0,1,FTO_99,-9.638,Fc1cc(-c2cncc(-c3cc(-c4ccccc4)ccc3)c2)ccn1,False
31,0,2,FTO_99,-9.41,Fc1cc(-c2cncc(-c3cc(-c4ccccc4)ccc3)c2)ccn1,False
31,0,3,FTO_99,-9.105,Fc1cc(-c2cncc(-c3cc(-c4ccccc4)ccc3)c2)ccn1,False
31,0,4,FTO_99,-9.085,Fc1cc(-c2cncc(-c3cc(-c4ccccc4)ccc3)c2)ccn1,False
32,0,0,FTO_522,-4.346,C#CC=CC=C,True
32,0,1,FTO_522,-3.931,C#CC=CC=C,False
32,0,2,FTO_522,-3.827,C#CC=CC=C,False
32,0,3,FTO_522,-3.487,C#CC=CC=C,False
32,0,4,FTO_522,-3.463,C#CC=CC=C,False
33,0,0,FTO_59,-5.933,O=C(O)C=COc1ccccc1,True
33,0,1,FTO_59,-5.889,O=C(O)C=COc1ccccc1,False
33,0,2,FTO_59,-5.766,O=C(O)C=COc1ccccc1,False
33,0,3,FTO_59,-5.7,O=C(O)C=COc1ccccc1,False
33,0,4,FTO_59,-5.555,O=C(O)C=COc1ccccc1,False
34,0,0,FTO_153,-5.66,C=C1CCC(C=CC=CC)CC1,True
34,0,1,FTO_153,-5.411,C=C1CCC(C=CC=CC)CC1,False
34,0,2,FTO_153,-5.376,C=C1CCC(C=CC=CC)CC1,False
34,0,3,FTO_153,-5.3,C=C1CCC(C=CC=CC)CC1,False
34,0,4,FTO_153,-5.274,C=C1CCC(C=CC=CC)CC1,False
35,0,0,FTO_950,-9.152,O=C(O)OC(=O)COc1cc(-c2cc(-c3ccccc3)ccc2)ccc1,True
35,0,1,FTO_950,-9.059,O=C(O)OC(=O)COc1cc(-c2cc(-c3ccccc3)ccc2)ccc1,False
35,0,2,FTO_950,-8.987,O=C(O)OC(=O)COc1cc(-c2cc(-c3ccccc3)ccc2)ccc1,False
35,0,3,FTO_950,-8.805,O=C(O)OC(=O)COc1cc(-c2cc(-c3ccccc3)ccc2)ccc1,False
