ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,GRIK1_66,-7.692,COC(=CCC(=O)O)C1CC(=O)C(O)C(O)C1,True
0,0,1,GRIK1_66,-7.463,COC(=CCC(=O)O)C1CC(=O)C(O)C(O)C1,False
0,0,2,GRIK1_66,-6.858,COC(=CCC(=O)O)C1CC(=O)C(O)C(O)C1,False
0,0,3,GRIK1_66,-6.686,COC(=CCC(=O)O)C1CC(=O)C(O)C(O)C1,False
0,0,4,GRIK1_66,-6.573,COC(=CCC(=O)O)C1CC(=O)C(O)C(O)C1,False
1,0,0,GRIK1_582,3.555,O=C(O)CCOC(O)CC1(O)OC(=O)C2(O)CC(C(=O)O)CCC23OCOCC(O)OC13C(=O)O,True
1,0,1,GRIK1_582,3.617,O=C(O)CCOC(O)CC1(O)OC(=O)C2(O)CC(C(=O)O)CCC23OCOCC(O)OC13C(=O)O,False
1,0,2,GRIK1_582,4.574,O=C(O)CCOC(O)CC1(O)OC(=O)C2(O)CC(C(=O)O)CCC23OCOCC(O)OC13C(=O)O,False
1,0,3,GRIK1_582,4.586,O=C(O)CCOC(O)CC1(O)OC(=O)C2(O)CC(C(=O)O)CCC23OCOCC(O)OC13C(=O)O,False
1,0,4,GRIK1_582,4.587,O=C(O)CCOC(O)CC1(O)OC(=O)C2(O)CC(C(=O)O)CCC23OCOCC(O)OC13C(=O)O,False
2,0,0,GRIK1_378,-6.936,CC(=O)Oc1c(O)c(O)c(OF)c(C(N)=C(OF)C(=O)N=O)c1,True
2,0,1,GRIK1_378,-6.611,CC(=O)Oc1c(O)c(O)c(OF)c(C(N)=C(OF)C(=O)N=O)c1,False
2,0,2,GRIK1_378,-6.186,CC(=O)Oc1c(O)c(O)c(OF)c(C(N)=C(OF)C(=O)N=O)c1,False
2,0,3,GRIK1_378,-6.059,CC(=O)Oc1c(O)c(O)c(OF)c(C(N)=C(OF)C(=O)N=O)c1,False
2,0,4,GRIK1_378,-5.609,CC(=O)Oc1c(O)c(O)c(OF)c(C(N)=C(OF)C(=O)N=O)c1,False
3,0,0,GRIK1_443,-7.841,N=CNc1cccc(C(=O)O)c1,True
3,0,1,GRIK1_443,-7.111,N=CNc1cccc(C(=O)O)c1,False
3,0,2,GRIK1_443,-7.045,N=CNc1cccc(C(=O)O)c1,False
3,0,3,GRIK1_443,-6.953,N=CNc1cccc(C(=O)O)c1,False
3,0,4,GRIK1_443,-6.66,N=CNc1cccc(C(=O)O)c1,False
4,0,0,GRIK1_526,-4.867,COC1=C2OC(=O)C3C=C(O)C=CC3=C2C2OC=COC2=C1O,True
4,0,1,GRIK1_526,-3.753,COC1=C2OC(=O)C3C=C(O)C=CC3=C2C2OC=COC2=C1O,False
4,0,2,GRIK1_526,-3.228,COC1=C2OC(=O)C3C=C(O)C=CC3=C2C2OC=COC2=C1O,False
4,0,3,GRIK1_526,-2.973,COC1=C2OC(=O)C3C=C(O)C=CC3=C2C2OC=COC2=C1O,False
4,0,4,GRIK1_526,-2.52,COC1=C2OC(=O)C3C=C(O)C=CC3=C2C2OC=COC2=C1O,False
5,0,0,GRIK1_944,-6.961,O=COCC(F)C(O)COc1cccc(O)c1O,True
5,0,1,GRIK1_944,-6.774,O=COCC(F)C(O)COc1cccc(O)c1O,False
5,0,2,GRIK1_944,-6.735,O=COCC(F)C(O)COc1cccc(O)c1O,False
5,0,3,GRIK1_944,-6.704,O=COCC(F)C(O)COc1cccc(O)c1O,False
5,0,4,GRIK1_944,-6.509,O=COCC(F)C(O)COc1cccc(O)c1O,False
6,0,0,GRIK1_817,-6.523,COC(F)C(O)CCC(O)(O)F,True
6,0,1,GRIK1_817,-6.279,COC(F)C(O)CCC(O)(O)F,False
6,0,2,GRIK1_817,-6.182,COC(F)C(O)CCC(O)(O)F,False
6,0,3,GRIK1_817,-6.18,COC(F)C(O)CCC(O)(O)F,False
6,0,4,GRIK1_817,-6.076,COC(F)C(O)CCC(O)(O)F,False
7,0,0,GRIK1_745,2.714,O=C(O)C1CC2C(=O)OC3CCC(COC(O)CC(O)C(C1)C2=O)OC3O,True
7,0,1,GRIK1_745,3.74,O=C(O)C1CC2C(=O)OC3CCC(COC(O)CC(O)C(C1)C2=O)OC3O,False
7,0,2,GRIK1_745,4.285,O=C(O)C1CC2C(=O)OC3CCC(COC(O)CC(O)C(C1)C2=O)OC3O,False
7,0,3,GRIK1_745,5.275,O=C(O)C1CC2C(=O)OC3CCC(COC(O)CC(O)C(C1)C2=O)OC3O,False
