ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,HCRTR1_380,-7.57,Cc1cc2c(cc1C(O)F)CC(C(C)C)CC2,True
0,0,1,HCRTR1_380,-7.452,Cc1cc2c(cc1C(O)F)CC(C(C)C)CC2,False
0,0,2,HCRTR1_380,-7.239,Cc1cc2c(cc1C(O)F)CC(C(C)C)CC2,False
0,0,3,HCRTR1_380,-7.183,Cc1cc2c(cc1C(O)F)CC(C(C)C)CC2,False
0,0,4,HCRTR1_380,-7.162,Cc1cc2c(cc1C(O)F)CC(C(C)C)CC2,False
1,0,0,HCRTR1_546,-7.264,Cc1cc(Cc2ccccc2)ccc1,True
1,0,1,HCRTR1_546,-7.237,Cc1cc(Cc2ccccc2)ccc1,False
1,0,2,HCRTR1_546,-7.22,Cc1cc(Cc2ccccc2)ccc1,False
1,0,3,HCRTR1_546,-7.16,Cc1cc(Cc2ccccc2)ccc1,False
1,0,4,HCRTR1_546,-7.025,Cc1cc(Cc2ccccc2)ccc1,False
2,0,0,HCRTR1_696,-9.176,Cc1ccc(C=C(Cc2ccccc2)c2ccccc2)cc1C(=O)F,True
2,0,1,HCRTR1_696,-9.171,Cc1ccc(C=C(Cc2ccccc2)c2ccccc2)cc1C(=O)F,False
2,0,2,HCRTR1_696,-8.97,Cc1ccc(C=C(Cc2ccccc2)c2ccccc2)cc1C(=O)F,False
2,0,3,HCRTR1_696,-8.95,Cc1ccc(C=C(Cc2ccccc2)c2ccccc2)cc1C(=O)F,False
3,0,0,HCRTR1_695,-7.781,CC=CNc1ccc(-c2ccccc2)cc1,True
3,0,1,HCRTR1_695,-7.755,CC=CNc1ccc(-c2ccccc2)cc1,False
3,0,2,HCRTR1_695,-7.649,CC=CNc1ccc(-c2ccccc2)cc1,False
3,0,3,HCRTR1_695,-6.97,CC=CNc1ccc(-c2ccccc2)cc1,False
3,0,4,HCRTR1_695,-6.694,CC=CNc1ccc(-c2ccccc2)cc1,False
4,0,0,HCRTR1_845,-10.191,Cc1ccc(CCOC(=O)c2ccc(Oc3cccc(C(c4ccccc4)C(F)F)c3)cc2)cc1,True
4,0,1,HCRTR1_845,-10.023,Cc1ccc(CCOC(=O)c2ccc(Oc3cccc(C(c4ccccc4)C(F)F)c3)cc2)cc1,False
4,0,2,HCRTR1_845,-9.977,Cc1ccc(CCOC(=O)c2ccc(Oc3cccc(C(c4ccccc4)C(F)F)c3)cc2)cc1,False
4,0,3,HCRTR1_845,-9.73,Cc1ccc(CCOC(=O)c2ccc(Oc3cccc(C(c4ccccc4)C(F)F)c3)cc2)cc1,False
4,0,4,HCRTR1_845,-9.677,Cc1ccc(CCOC(=O)c2ccc(Oc3cccc(C(c4ccccc4)C(F)F)c3)cc2)cc1,False
5,0,0,HCRTR1_337,-5.988,C=CC=CC=CCCC(F)(F)F,True
5,0,1,HCRTR1_337,-5.739,C=CC=CC=CCCC(F)(F)F,False
5,0,2,HCRTR1_337,-5.654,C=CC=CC=CCCC(F)(F)F,False
5,0,3,HCRTR1_337,-5.571,C=CC=CC=CCCC(F)(F)F,False
5,0,4,HCRTR1_337,-5.496,C=CC=CC=CCCC(F)(F)F,False
6,0,0,HCRTR1_571,-8.808,C=CC=CC=CC1CCC23CC(=O)OCC2CCC(C)C3C1,True
6,0,1,HCRTR1_571,-8.332,C=CC=CC=CC1CCC23CC(=O)OCC2CCC(C)C3C1,False
6,0,2,HCRTR1_571,-8.326,C=CC=CC=CC1CCC23CC(=O)OCC2CCC(C)C3C1,False
6,0,3,HCRTR1_571,-8.179,C=CC=CC=CC1CCC23CC(=O)OCC2CCC(C)C3C1,False
6,0,4,HCRTR1_571,-8.057,C=CC=CC=CC1CCC23CC(=O)OCC2CCC(C)C3C1,False
7,0,0,HCRTR1_368,-8.95,Cc1cc(OCc2ccc3cc(Cl)ccc3c2)ccc1,True
7,0,1,HCRTR1_368,-8.879,Cc1cc(OCc2ccc3cc(Cl)ccc3c2)ccc1,False
