ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,IDH1_810,-8.244,CC(C=O)Cc1ccc(C(C)c2ccccc2)cc1,True
0,0,1,IDH1_810,-8.203,CC(C=O)Cc1ccc(C(C)c2ccccc2)cc1,False
0,0,2,IDH1_810,-8.151,CC(C=O)Cc1ccc(C(C)c2ccccc2)cc1,False
0,0,3,IDH1_810,-8.047,CC(C=O)Cc1ccc(C(C)c2ccccc2)cc1,False
0,0,4,IDH1_810,-8.02,CC(C=O)Cc1ccc(C(C)c2ccccc2)cc1,False
1,0,0,IDH1_472,-8.821,CN(c1ccccc1)c1ccc2ccccc2c1,True
1,0,1,IDH1_472,-8.709,CN(c1ccccc1)c1ccc2ccccc2c1,False
1,0,2,IDH1_472,-8.576,CN(c1ccccc1)c1ccc2ccccc2c1,False
1,0,3,IDH1_472,-8.569,CN(c1ccccc1)c1ccc2ccccc2c1,False
1,0,4,IDH1_472,-8.085,CN(c1ccccc1)c1ccc2ccccc2c1,False
2,0,0,IDH1_186,-7.727,Cc1cc(-c2ccccc2)ccc1,True
2,0,1,IDH1_186,-7.497,Cc1cc(-c2ccccc2)ccc1,False
2,0,2,IDH1_186,-7.388,Cc1cc(-c2ccccc2)ccc1,False
2,0,3,IDH1_186,-7.294,Cc1cc(-c2ccccc2)ccc1,False
2,0,4,IDH1_186,-7.201,Cc1cc(-c2ccccc2)ccc1,False
3,0,0,IDH1_38,-7.703,c1ccc(CCCc2ccccc2)cc1,True
3,0,1,IDH1_38,-7.672,c1ccc(CCCc2ccccc2)cc1,False
3,0,2,IDH1_38,-7.669,c1ccc(CCCc2ccccc2)cc1,False
3,0,3,IDH1_38,-7.605,c1ccc(CCCc2ccccc2)cc1,False
3,0,4,IDH1_38,-7.598,c1ccc(CCCc2ccccc2)cc1,False
4,0,0,IDH1_520,-10.003,Cc1c(C(C)Cc2cc(-c3ncnc(N)c3)ccc2)cccc1,True
4,0,1,IDH1_520,-9.964,Cc1c(C(C)Cc2cc(-c3ncnc(N)c3)ccc2)cccc1,False
4,0,2,IDH1_520,-9.955,Cc1c(C(C)Cc2cc(-c3ncnc(N)c3)ccc2)cccc1,False
4,0,3,IDH1_520,-9.898,Cc1c(C(C)Cc2cc(-c3ncnc(N)c3)ccc2)cccc1,False
4,0,4,IDH1_520,-9.655,Cc1c(C(C)Cc2cc(-c3ncnc(N)c3)ccc2)cccc1,False
5,0,0,IDH1_257,-9.842,C=Cc1cc2cc3c(-c4ccccc4)cccc3cc2c(CCCC=CCCc2ccccc2)c1,True
5,0,1,IDH1_257,-9.763,C=Cc1cc2cc3c(-c4ccccc4)cccc3cc2c(CCCC=CCCc2ccccc2)c1,False
5,0,2,IDH1_257,-9.404,C=Cc1cc2cc3c(-c4ccccc4)cccc3cc2c(CCCC=CCCc2ccccc2)c1,False
5,0,3,IDH1_257,-9.258,C=Cc1cc2cc3c(-c4ccccc4)cccc3cc2c(CCCC=CCCc2ccccc2)c1,False
5,0,4,IDH1_257,-9.119,C=Cc1cc2cc3c(-c4ccccc4)cccc3cc2c(CCCC=CCCc2ccccc2)c1,False
6,0,0,IDH1_910,-10.97,CC=Cc1c2ccccc2ccc1C=CC=Cc1cc(-c2ccccc2)cc(C(F)(F)F)c1,True
6,0,1,IDH1_910,-10.902,CC=Cc1c2ccccc2ccc1C=CC=Cc1cc(-c2ccccc2)cc(C(F)(F)F)c1,False
6,0,2,IDH1_910,-10.365,CC=Cc1c2ccccc2ccc1C=CC=Cc1cc(-c2ccccc2)cc(C(F)(F)F)c1,False
6,0,3,IDH1_910,-10.274,CC=Cc1c2ccccc2ccc1C=CC=Cc1cc(-c2ccccc2)cc(C(F)(F)F)c1,False
6,0,4,IDH1_910,-10.102,CC=Cc1c2ccccc2ccc1C=CC=Cc1cc(-c2ccccc2)cc(C(F)(F)F)c1,False
7,0,0,IDH1_234,-5.635,NCCc1ccccc1,True
7,0,1,IDH1_234,-5.281,NCCc1ccccc1,False
7,0,2,IDH1_234,-5.265,NCCc1ccccc1,False
7,0,3,IDH1_234,-5.22,NCCc1ccccc1,False
7,0,4,IDH1_234,-5.066,NCCc1ccccc1,False
8,0,0,IDH1_952,-8.244,CC(C=CC=CCCc1ccccc1)c1ccccc1,True
8,0,1,IDH1_952,-8.214,CC(C=CC=CCCc1ccccc1)c1ccccc1,False
8,0,2,IDH1_952,-8.095,CC(C=CC=CCCc1ccccc1)c1ccccc1,False
8,0,3,IDH1_952,-8.082,CC(C=CC=CCCc1ccccc1)c1ccccc1,False
8,0,4,IDH1_952,-7.867,CC(C=CC=CCCc1ccccc1)c1ccccc1,False
9,0,0,IDH1_466,-10.402,CC=CC(C=Cc1ccccc1)c1ccc(CCc2ccc(C(Br)Cc3ccccc3)cc2)cc1,True
9,0,1,IDH1_466,-10.274,CC=CC(C=Cc1ccccc1)c1ccc(CCc2ccc(C(Br)Cc3ccccc3)cc2)cc1,False
9,0,2,IDH1_466,-10.266,CC=CC(C=Cc1ccccc1)c1ccc(CCc2ccc(C(Br)Cc3ccccc3)cc2)cc1,False
9,0,3,IDH1_466,-10.117,CC=CC(C=Cc1ccccc1)c1ccc(CCc2ccc(C(Br)Cc3ccccc3)cc2)cc1,False
9,0,4,IDH1_466,-10.076,CC=CC(C=Cc1ccccc1)c1ccc(CCc2ccc(C(Br)Cc3ccccc3)cc2)cc1,False
10,0,0,IDH1_797,-7.289,CC=CCC(c1ccccc1)C(F)F,True
10,0,1,IDH1_797,-7.007,CC=CCC(c1ccccc1)C(F)F,False
10,0,2,IDH1_797,-6.978,CC=CCC(c1ccccc1)C(F)F,False
10,0,3,IDH1_797,-6.978,CC=CCC(c1ccccc1)C(F)F,False
10,0,4,IDH1_797,-6.798,CC=CCC(c1ccccc1)C(F)F,False
11,0,0,IDH1_191,-7.702,FC(F)(F)c1cc(C(F)(F)F)cc(Cl)c1,True
11,0,1,IDH1_191,-7.678,FC(F)(F)c1cc(C(F)(F)F)cc(Cl)c1,False
11,0,2,IDH1_191,-7.668,FC(F)(F)c1cc(C(F)(F)F)cc(Cl)c1,False
11,0,3,IDH1_191,-7.663,FC(F)(F)c1cc(C(F)(F)F)cc(Cl)c1,False
11,0,4,IDH1_191,-7.346,FC(F)(F)c1cc(C(F)(F)F)cc(Cl)c1,False
12,0,0,IDH1_63,-11.327,C=C(CCc1ccccc1)c1cc(C(=O)Nc2cncc(-c3cccc(CC=CC)c3)c2)ccc1,True
12,0,1,IDH1_63,-11.283,C=C(CCc1ccccc1)c1cc(C(=O)Nc2cncc(-c3cccc(CC=CC)c3)c2)ccc1,False
12,0,2,IDH1_63,-11.158,C=C(CCc1ccccc1)c1cc(C(=O)Nc2cncc(-c3cccc(CC=CC)c3)c2)ccc1,False
12,0,3,IDH1_63,-10.941,C=C(CCc1ccccc1)c1cc(C(=O)Nc2cncc(-c3cccc(CC=CC)c3)c2)ccc1,False
12,0,4,IDH1_63,-10.85,C=C(CCc1ccccc1)c1cc(C(=O)Nc2cncc(-c3cccc(CC=CC)c3)c2)ccc1,False
13,0,0,IDH1_665,-11.82,CCCc1ccc2C(=O)NC(=O)c3c2c1cc(COC(=O)CCCc1ccc2ccccc2c1)c3,True
13,0,1,IDH1_665,-10.766,CCCc1ccc2C(=O)NC(=O)c3c2c1cc(COC(=O)CCCc1ccc2ccccc2c1)c3,False
13,0,2,IDH1_665,-10.712,CCCc1ccc2C(=O)NC(=O)c3c2c1cc(COC(=O)CCCc1ccc2ccccc2c1)c3,False
13,0,3,IDH1_665,-10.661,CCCc1ccc2C(=O)NC(=O)c3c2c1cc(COC(=O)CCCc1ccc2ccccc2c1)c3,False
13,0,4,IDH1_665,-10.528,CCCc1ccc2C(=O)NC(=O)c3c2c1cc(COC(=O)CCCc1ccc2ccccc2c1)c3,False
14,0,0,IDH1_660,-6.543,C=C(c1ccccc1)C(O)O,True
14,0,1,IDH1_660,-6.237,C=C(c1ccccc1)C(O)O,False
14,0,2,IDH1_660,-6.236,C=C(c1ccccc1)C(O)O,False
14,0,3,IDH1_660,-6.068,C=C(c1ccccc1)C(O)O,False
14,0,4,IDH1_660,-6.046,C=C(c1ccccc1)C(O)O,False
15,0,0,IDH1_383,-10.333,O=C(Oc1cc(-c2ccccc2)ccc1)c1cccc(C(F)(F)F)c1,True
15,0,1,IDH1_383,-10.24,O=C(Oc1cc(-c2ccccc2)ccc1)c1cccc(C(F)(F)F)c1,False
15,0,2,IDH1_383,-10.193,O=C(Oc1cc(-c2ccccc2)ccc1)c1cccc(C(F)(F)F)c1,False
15,0,3,IDH1_383,-10.153,O=C(Oc1cc(-c2ccccc2)ccc1)c1cccc(C(F)(F)F)c1,False
15,0,4,IDH1_383,-10.118,O=C(Oc1cc(-c2ccccc2)ccc1)c1cccc(C(F)(F)F)c1,False
16,0,0,IDH1_338,-10.595,ClCc1cc(CC=CCc2cccc3ccccc23)ccc1,True
16,0,1,IDH1_338,-10.185,ClCc1cc(CC=CCc2cccc3ccccc23)ccc1,False
16,0,2,IDH1_338,-10.119,ClCc1cc(CC=CCc2cccc3ccccc23)ccc1,False
16,0,3,IDH1_338,-10.119,ClCc1cc(CC=CCc2cccc3ccccc23)ccc1,False
16,0,4,IDH1_338,-10.103,ClCc1cc(CC=CCc2cccc3ccccc23)ccc1,False
17,0,0,IDH1_635,-6.491,C=CC=CCCc1ccccc1,True
17,0,1,IDH1_635,-6.489,C=CC=CCCc1ccccc1,False
17,0,2,IDH1_635,-6.462,C=CC=CCCc1ccccc1,False
17,0,3,IDH1_635,-6.426,C=CC=CCCc1ccccc1,False
17,0,4,IDH1_635,-6.381,C=CC=CCCc1ccccc1,False
18,0,0,IDH1_908,-11.705,Cc1c(CC(C)c2cccc(CN)c2)cc(-c2cccc(-c3ccccc3C3C=C=NC3)c2)cc1,True
18,0,1,IDH1_908,-11.658,Cc1c(CC(C)c2cccc(CN)c2)cc(-c2cccc(-c3ccccc3C3C=C=NC3)c2)cc1,False
