ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
1,0,0,JAK1_316,-7.871,Clc1cccc(-c2ccccc2)c1,True
1,0,1,JAK1_316,-7.621,Clc1cccc(-c2ccccc2)c1,False
1,0,2,JAK1_316,-7.561,Clc1cccc(-c2ccccc2)c1,False
1,0,3,JAK1_316,-7.455,Clc1cccc(-c2ccccc2)c1,False
1,0,4,JAK1_316,-7.33,Clc1cccc(-c2ccccc2)c1,False
2,0,0,JAK1_234,-8.814,C=CC=C(C)C1CCC(COCC=C(c2ccc(C(F)(F)F)cc2)c2cc(NCC)ccc2)CC1,True
2,0,1,JAK1_234,-8.574,C=CC=C(C)C1CCC(COCC=C(c2ccc(C(F)(F)F)cc2)c2cc(NCC)ccc2)CC1,False
2,0,2,JAK1_234,-8.423,C=CC=C(C)C1CCC(COCC=C(c2ccc(C(F)(F)F)cc2)c2cc(NCC)ccc2)CC1,False
2,0,3,JAK1_234,-8.337,C=CC=C(C)C1CCC(COCC=C(c2ccc(C(F)(F)F)cc2)c2cc(NCC)ccc2)CC1,False
2,0,4,JAK1_234,-8.296,C=CC=C(C)C1CCC(COCC=C(c2ccc(C(F)(F)F)cc2)c2cc(NCC)ccc2)CC1,False
3,0,0,JAK1_203,-7.85,C=CC=CC=Cc1cc(C(=O)O)cc(C(=O)NC(C)CN)c1,True
3,0,1,JAK1_203,-7.816,C=CC=CC=Cc1cc(C(=O)O)cc(C(=O)NC(C)CN)c1,False
3,0,2,JAK1_203,-7.667,C=CC=CC=Cc1cc(C(=O)O)cc(C(=O)NC(C)CN)c1,False
3,0,3,JAK1_203,-7.633,C=CC=CC=Cc1cc(C(=O)O)cc(C(=O)NC(C)CN)c1,False
3,0,4,JAK1_203,-7.239,C=CC=CC=Cc1cc(C(=O)O)cc(C(=O)NC(C)CN)c1,False
4,0,0,JAK1_534,-10.616,O=C(O)c1ccc(O)c(Cc2cccc3c2Nc2ccccc2C3)c1,True
4,0,1,JAK1_534,-9.502,O=C(O)c1ccc(O)c(Cc2cccc3c2Nc2ccccc2C3)c1,False
4,0,2,JAK1_534,-9.099,O=C(O)c1ccc(O)c(Cc2cccc3c2Nc2ccccc2C3)c1,False
4,0,3,JAK1_534,-9.006,O=C(O)c1ccc(O)c(Cc2cccc3c2Nc2ccccc2C3)c1,False
4,0,4,JAK1_534,-8.938,O=C(O)c1ccc(O)c(Cc2cccc3c2Nc2ccccc2C3)c1,False
5,0,0,JAK1_471,-10.507,O=C(O)c1ccc(-c2ccc3cc2CC(=O)c2ccc(cc2)C(F)Nc2cccc-3c2)cc1,True
5,0,1,JAK1_471,-10.129,O=C(O)c1ccc(-c2ccc3cc2CC(=O)c2ccc(cc2)C(F)Nc2cccc-3c2)cc1,False
5,0,2,JAK1_471,-8.357,O=C(O)c1ccc(-c2ccc3cc2CC(=O)c2ccc(cc2)C(F)Nc2cccc-3c2)cc1,False
5,0,3,JAK1_471,-8.207,O=C(O)c1ccc(-c2ccc3cc2CC(=O)c2ccc(cc2)C(F)Nc2cccc-3c2)cc1,False
6,0,0,JAK1_979,-8.878,Nc1cc(-c2cccc(Cc3ccccc3)c2)ncn1,True
6,0,1,JAK1_979,-8.841,Nc1cc(-c2cccc(Cc3ccccc3)c2)ncn1,False
6,0,2,JAK1_979,-8.354,Nc1cc(-c2cccc(Cc3ccccc3)c2)ncn1,False
6,0,3,JAK1_979,-8.242,Nc1cc(-c2cccc(Cc3ccccc3)c2)ncn1,False
6,0,4,JAK1_979,-8.071,Nc1cc(-c2cccc(Cc3ccccc3)c2)ncn1,False
7,0,0,JAK1_445,-7.166,NC(=O)c1ccc(C(F)(F)F)cc1,True
7,0,1,JAK1_445,-7.072,NC(=O)c1ccc(C(F)(F)F)cc1,False
7,0,2,JAK1_445,-6.966,NC(=O)c1ccc(C(F)(F)F)cc1,False
7,0,3,JAK1_445,-6.769,NC(=O)c1ccc(C(F)(F)F)cc1,False
7,0,4,JAK1_445,-6.372,NC(=O)c1ccc(C(F)(F)F)cc1,False
8,0,0,JAK1_698,-11.193,Cc1ccccc1-c1ccc(-c2ccccc2-c2cccc(-c3cc(O)cnc3)c2)cc1,True
8,0,1,JAK1_698,-10.912,Cc1ccccc1-c1ccc(-c2ccccc2-c2cccc(-c3cc(O)cnc3)c2)cc1,False
8,0,2,JAK1_698,-10.15,Cc1ccccc1-c1ccc(-c2ccccc2-c2cccc(-c3cc(O)cnc3)c2)cc1,False
8,0,3,JAK1_698,-10.062,Cc1ccccc1-c1ccc(-c2ccccc2-c2cccc(-c3cc(O)cnc3)c2)cc1,False
8,0,4,JAK1_698,-9.978,Cc1ccccc1-c1ccc(-c2ccccc2-c2cccc(-c3cc(O)cnc3)c2)cc1,False
9,0,0,JAK1_729,-8.82,C1=C(c2cccc(Cc3ccccc3)c2)NNC1,True
9,0,1,JAK1_729,-8.777,C1=C(c2cccc(Cc3ccccc3)c2)NNC1,False
9,0,2,JAK1_729,-8.599,C1=C(c2cccc(Cc3ccccc3)c2)NNC1,False
9,0,3,JAK1_729,-8.299,C1=C(c2cccc(Cc3ccccc3)c2)NNC1,False
9,0,4,JAK1_729,-8.059,C1=C(c2cccc(Cc3ccccc3)c2)NNC1,False
