ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,KDM1A_326,-8.952,O=C(O)c1cc(CC=Cc2ccc(-c3ccccc3)cc2)cc(CBr)c1,True
0,0,1,KDM1A_326,-8.597,O=C(O)c1cc(CC=Cc2ccc(-c3ccccc3)cc2)cc(CBr)c1,False
0,0,2,KDM1A_326,-8.583,O=C(O)c1cc(CC=Cc2ccc(-c3ccccc3)cc2)cc(CBr)c1,False
0,0,3,KDM1A_326,-8.58,O=C(O)c1cc(CC=Cc2ccc(-c3ccccc3)cc2)cc(CBr)c1,False
0,0,4,KDM1A_326,-8.468,O=C(O)c1cc(CC=Cc2ccc(-c3ccccc3)cc2)cc(CBr)c1,False
1,0,0,KDM1A_707,-9.046,C=CC=Cc1cc(C(C)(C)c2ccc(CC=CCc3cc(C(=O)O)cc(C(=N)Br)c3)cc2)ccc1,True
1,0,1,KDM1A_707,-9.041,C=CC=Cc1cc(C(C)(C)c2ccc(CC=CCc3cc(C(=O)O)cc(C(=N)Br)c3)cc2)ccc1,False
1,0,2,KDM1A_707,-8.882,C=CC=Cc1cc(C(C)(C)c2ccc(CC=CCc3cc(C(=O)O)cc(C(=N)Br)c3)cc2)ccc1,False
1,0,3,KDM1A_707,-8.602,C=CC=Cc1cc(C(C)(C)c2ccc(CC=CCc3cc(C(=O)O)cc(C(=N)Br)c3)cc2)ccc1,False
1,0,4,KDM1A_707,-8.581,C=CC=Cc1cc(C(C)(C)c2ccc(CC=CCc3cc(C(=O)O)cc(C(=N)Br)c3)cc2)ccc1,False
2,0,0,KDM1A_866,-6.518,CCCCCCCc1cccc(-c2ccccc2)c1,True
2,0,1,KDM1A_866,-6.382,CCCCCCCc1cccc(-c2ccccc2)c1,False
2,0,2,KDM1A_866,-6.269,CCCCCCCc1cccc(-c2ccccc2)c1,False
2,0,3,KDM1A_866,-6.231,CCCCCCCc1cccc(-c2ccccc2)c1,False
2,0,4,KDM1A_866,-6.099,CCCCCCCc1cccc(-c2ccccc2)c1,False
3,0,0,KDM1A_719,-8.053,N=CC(CN)COc1c(C(=O)c2ccccc2)ccc(C=CC=CCC=NCc2ccccc2)c1,True
3,0,1,KDM1A_719,-8.036,N=CC(CN)COc1c(C(=O)c2ccccc2)ccc(C=CC=CCC=NCc2ccccc2)c1,False
3,0,2,KDM1A_719,-7.974,N=CC(CN)COc1c(C(=O)c2ccccc2)ccc(C=CC=CCC=NCc2ccccc2)c1,False
3,0,3,KDM1A_719,-7.938,N=CC(CN)COc1c(C(=O)c2ccccc2)ccc(C=CC=CCC=NCc2ccccc2)c1,False
3,0,4,KDM1A_719,-7.728,N=CC(CN)COc1c(C(=O)c2ccccc2)ccc(C=CC=CCC=NCc2ccccc2)c1,False
4,0,0,KDM1A_950,-7.976,Fc1cc(OC=Cc2ccccc2)c(-c2ccccc2)cc1,True
4,0,1,KDM1A_950,-7.632,Fc1cc(OC=Cc2ccccc2)c(-c2ccccc2)cc1,False
4,0,2,KDM1A_950,-7.412,Fc1cc(OC=Cc2ccccc2)c(-c2ccccc2)cc1,False
4,0,3,KDM1A_950,-7.181,Fc1cc(OC=Cc2ccccc2)c(-c2ccccc2)cc1,False
4,0,4,KDM1A_950,-7.049,Fc1cc(OC=Cc2ccccc2)c(-c2ccccc2)cc1,False
5,0,0,KDM1A_619,-8.212,Cc1c(Cc2cc(-c3ccccc3)ccc2)cccc1,True
5,0,1,KDM1A_619,-8.032,Cc1c(Cc2cc(-c3ccccc3)ccc2)cccc1,False
5,0,2,KDM1A_619,-8.001,Cc1c(Cc2cc(-c3ccccc3)ccc2)cccc1,False
5,0,3,KDM1A_619,-7.807,Cc1c(Cc2cc(-c3ccccc3)ccc2)cccc1,False
5,0,4,KDM1A_619,-7.789,Cc1c(Cc2cc(-c3ccccc3)ccc2)cccc1,False
6,0,0,KDM1A_736,-5.853,CCCCc1ccc(C(=O)O)cc1,True
6,0,1,KDM1A_736,-5.759,CCCCc1ccc(C(=O)O)cc1,False
6,0,2,KDM1A_736,-5.427,CCCCc1ccc(C(=O)O)cc1,False
6,0,3,KDM1A_736,-5.253,CCCCc1ccc(C(=O)O)cc1,False
6,0,4,KDM1A_736,-5.223,CCCCc1ccc(C(=O)O)cc1,False
7,0,0,KDM1A_81,-9.594,C=CCCC=CCC=CCc1ccc(CCC2CCC(c3ccc4ccccc4c3)CC2=O)cc1,True
7,0,1,KDM1A_81,-9.421,C=CCCC=CCC=CCc1ccc(CCC2CCC(c3ccc4ccccc4c3)CC2=O)cc1,False
7,0,2,KDM1A_81,-9.399,C=CCCC=CCC=CCc1ccc(CCC2CCC(c3ccc4ccccc4c3)CC2=O)cc1,False
7,0,3,KDM1A_81,-9.107,C=CCCC=CCC=CCc1ccc(CCC2CCC(c3ccc4ccccc4c3)CC2=O)cc1,False
7,0,4,KDM1A_81,-9.106,C=CCCC=CCC=CCc1ccc(CCC2CCC(c3ccc4ccccc4c3)CC2=O)cc1,False
8,0,0,KDM1A_33,-8.808,CCC=C(C)c1cc(Cc2ccc(-c3ccccc3)cc2)ccc1,True
8,0,1,KDM1A_33,-8.41,CCC=C(C)c1cc(Cc2ccc(-c3ccccc3)cc2)ccc1,False
8,0,2,KDM1A_33,-8.331,CCC=C(C)c1cc(Cc2ccc(-c3ccccc3)cc2)ccc1,False
8,0,3,KDM1A_33,-8.226,CCC=C(C)c1cc(Cc2ccc(-c3ccccc3)cc2)ccc1,False
8,0,4,KDM1A_33,-8.061,CCC=C(C)c1cc(Cc2ccc(-c3ccccc3)cc2)ccc1,False
9,0,0,KDM1A_6,-9.184,CC(C)CCCc1cc2ccc(C=NC(=O)c3ccc(-c4ccc(C(=O)O)cc4)cc3)cc2cc1,True
9,0,1,KDM1A_6,-9.015,CC(C)CCCc1cc2ccc(C=NC(=O)c3ccc(-c4ccc(C(=O)O)cc4)cc3)cc2cc1,False
9,0,2,KDM1A_6,-8.76,CC(C)CCCc1cc2ccc(C=NC(=O)c3ccc(-c4ccc(C(=O)O)cc4)cc3)cc2cc1,False
9,0,3,KDM1A_6,-8.663,CC(C)CCCc1cc2ccc(C=NC(=O)c3ccc(-c4ccc(C(=O)O)cc4)cc3)cc2cc1,False
9,0,4,KDM1A_6,-8.493,CC(C)CCCc1cc2ccc(C=NC(=O)c3ccc(-c4ccc(C(=O)O)cc4)cc3)cc2cc1,False
10,0,0,KDM1A_260,-9.57,Cc1cc(C(=O)NCC=C(Cc2ccccc2)c2c(C)cc(-c3ccccc3)cc2)ccc1,True
10,0,1,KDM1A_260,-9.443,Cc1cc(C(=O)NCC=C(Cc2ccccc2)c2c(C)cc(-c3ccccc3)cc2)ccc1,False
10,0,2,KDM1A_260,-9.36,Cc1cc(C(=O)NCC=C(Cc2ccccc2)c2c(C)cc(-c3ccccc3)cc2)ccc1,False
