ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,NR4A1_767,-7.71,Cc1c(Oc2cc(OC(F)F)ccc2O)cc2nc3ccccc3cc2c1,True
0,0,1,NR4A1_767,-7.469,Cc1c(Oc2cc(OC(F)F)ccc2O)cc2nc3ccccc3cc2c1,False
0,0,2,NR4A1_767,-7.393,Cc1c(Oc2cc(OC(F)F)ccc2O)cc2nc3ccccc3cc2c1,False
0,0,3,NR4A1_767,-7.347,Cc1c(Oc2cc(OC(F)F)ccc2O)cc2nc3ccccc3cc2c1,False
0,0,4,NR4A1_767,-7.181,Cc1c(Oc2cc(OC(F)F)ccc2O)cc2nc3ccccc3cc2c1,False
1,0,0,NR4A1_66,-4.546,c1ccc2cnccc2c1,True
1,0,1,NR4A1_66,-4.538,c1ccc2cnccc2c1,False
1,0,2,NR4A1_66,-4.383,c1ccc2cnccc2c1,False
1,0,3,NR4A1_66,-4.353,c1ccc2cnccc2c1,False
1,0,4,NR4A1_66,-4.348,c1ccc2cnccc2c1,False
2,0,0,NR4A1_706,-7.275,COCc1cc(Cl)cc(O)c1C(F)C1=C(C=Cc2cc(Cl)cc(-c3cccc(Cl)c3Cl)c2)OC=C1,True
2,0,1,NR4A1_706,-7.193,COCc1cc(Cl)cc(O)c1C(F)C1=C(C=Cc2cc(Cl)cc(-c3cccc(Cl)c3Cl)c2)OC=C1,False
2,0,2,NR4A1_706,-6.953,COCc1cc(Cl)cc(O)c1C(F)C1=C(C=Cc2cc(Cl)cc(-c3cccc(Cl)c3Cl)c2)OC=C1,False
2,0,3,NR4A1_706,-6.945,COCc1cc(Cl)cc(O)c1C(F)C1=C(C=Cc2cc(Cl)cc(-c3cccc(Cl)c3Cl)c2)OC=C1,False
2,0,4,NR4A1_706,-6.885,COCc1cc(Cl)cc(O)c1C(F)C1=C(C=Cc2cc(Cl)cc(-c3cccc(Cl)c3Cl)c2)OC=C1,False
3,0,0,NR4A1_796,-8.4,COc1c2ccc(C(F)(F)F)cc2c2CC(C=O)c3c(ccc(C(Cl)c4ncccc4)c3)-c2c1,True
3,0,1,NR4A1_796,-7.948,COc1c2ccc(C(F)(F)F)cc2c2CC(C=O)c3c(ccc(C(Cl)c4ncccc4)c3)-c2c1,False
3,0,2,NR4A1_796,-7.77,COc1c2ccc(C(F)(F)F)cc2c2CC(C=O)c3c(ccc(C(Cl)c4ncccc4)c3)-c2c1,False
3,0,3,NR4A1_796,-7.498,COc1c2ccc(C(F)(F)F)cc2c2CC(C=O)c3c(ccc(C(Cl)c4ncccc4)c3)-c2c1,False
