ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,P2RX3_561,-7.797,OCC(O)C(C=CC1CCC(C(F)=Cc2ccccc2)c2c(O)cccc2O1)OF,True
0,0,1,P2RX3_561,-7.72,OCC(O)C(C=CC1CCC(C(F)=Cc2ccccc2)c2c(O)cccc2O1)OF,False
0,0,2,P2RX3_561,-7.214,OCC(O)C(C=CC1CCC(C(F)=Cc2ccccc2)c2c(O)cccc2O1)OF,False
0,0,3,P2RX3_561,-7.179,OCC(O)C(C=CC1CCC(C(F)=Cc2ccccc2)c2c(O)cccc2O1)OF,False
0,0,4,P2RX3_561,-7.036,OCC(O)C(C=CC1CCC(C(F)=Cc2ccccc2)c2c(O)cccc2O1)OF,False
1,0,0,P2RX3_479,-7.985,CC(C)(CO)Oc1cc(-c2c(O)ccc(C(F)(F)F)c2)cc(C(=O)OC(=O)C(=O)OCC(=O)O)c1,True
1,0,1,P2RX3_479,-7.97,CC(C)(CO)Oc1cc(-c2c(O)ccc(C(F)(F)F)c2)cc(C(=O)OC(=O)C(=O)OCC(=O)O)c1,False
1,0,2,P2RX3_479,-7.962,CC(C)(CO)Oc1cc(-c2c(O)ccc(C(F)(F)F)c2)cc(C(=O)OC(=O)C(=O)OCC(=O)O)c1,False
1,0,3,P2RX3_479,-7.924,CC(C)(CO)Oc1cc(-c2c(O)ccc(C(F)(F)F)c2)cc(C(=O)OC(=O)C(=O)OCC(=O)O)c1,False
1,0,4,P2RX3_479,-7.902,CC(C)(CO)Oc1cc(-c2c(O)ccc(C(F)(F)F)c2)cc(C(=O)OC(=O)C(=O)OCC(=O)O)c1,False
2,0,0,P2RX3_912,-7.612,Cc1cccc(Cc2cc3c(cnc(N)c3)c(O)c2)c1,True
2,0,1,P2RX3_912,-7.511,Cc1cccc(Cc2cc3c(cnc(N)c3)c(O)c2)c1,False
2,0,2,P2RX3_912,-7.262,Cc1cccc(Cc2cc3c(cnc(N)c3)c(O)c2)c1,False
2,0,3,P2RX3_912,-7.235,Cc1cccc(Cc2cc3c(cnc(N)c3)c(O)c2)c1,False
2,0,4,P2RX3_912,-7.178,Cc1cccc(Cc2cc3c(cnc(N)c3)c(O)c2)c1,False
3,0,0,P2RX3_872,-4.235,Oc1cccnc1,True
3,0,1,P2RX3_872,-4.105,Oc1cccnc1,False
3,0,2,P2RX3_872,-3.941,Oc1cccnc1,False
3,0,3,P2RX3_872,-3.859,Oc1cccnc1,False
3,0,4,P2RX3_872,-3.792,Oc1cccnc1,False
4,0,0,P2RX3_396,-9.294,O=C(O)c1cc(C(=O)O)cc(Cc2c3C(=O)NCC(c4cc5ccccc5cc4)c3ccc2Cl)c1,True
4,0,1,P2RX3_396,-9.226,O=C(O)c1cc(C(=O)O)cc(Cc2c3C(=O)NCC(c4cc5ccccc5cc4)c3ccc2Cl)c1,False
4,0,2,P2RX3_396,-8.928,O=C(O)c1cc(C(=O)O)cc(Cc2c3C(=O)NCC(c4cc5ccccc5cc4)c3ccc2Cl)c1,False
4,0,3,P2RX3_396,-8.911,O=C(O)c1cc(C(=O)O)cc(Cc2c3C(=O)NCC(c4cc5ccccc5cc4)c3ccc2Cl)c1,False
4,0,4,P2RX3_396,-8.894,O=C(O)c1cc(C(=O)O)cc(Cc2c3C(=O)NCC(c4cc5ccccc5cc4)c3ccc2Cl)c1,False
