ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,RIOK1_813,-8.533,CN1C(=O)CCC(C2=Cc3ccccc3C2)C1c1ccccc1,True
0,0,1,RIOK1_813,-8.341,CN1C(=O)CCC(C2=Cc3ccccc3C2)C1c1ccccc1,False
0,0,2,RIOK1_813,-8.2,CN1C(=O)CCC(C2=Cc3ccccc3C2)C1c1ccccc1,False
0,0,3,RIOK1_813,-7.883,CN1C(=O)CCC(C2=Cc3ccccc3C2)C1c1ccccc1,False
0,0,4,RIOK1_813,-7.593,CN1C(=O)CCC(C2=Cc3ccccc3C2)C1c1ccccc1,False
1,0,0,RIOK1_486,-9.478,N=C1CCC(O)C(CCc2cccc(-c3ccccc3)c2)C(=O)N1,True
1,0,1,RIOK1_486,-9.377,N=C1CCC(O)C(CCc2cccc(-c3ccccc3)c2)C(=O)N1,False
1,0,2,RIOK1_486,-9.282,N=C1CCC(O)C(CCc2cccc(-c3ccccc3)c2)C(=O)N1,False
1,0,3,RIOK1_486,-8.847,N=C1CCC(O)C(CCc2cccc(-c3ccccc3)c2)C(=O)N1,False
1,0,4,RIOK1_486,-8.794,N=C1CCC(O)C(CCc2cccc(-c3ccccc3)c2)C(=O)N1,False
2,0,0,RIOK1_197,-8.4,Clc1ccc(-c2cc(-c3ccccc3)ccc2)cc1,True
2,0,1,RIOK1_197,-8.386,Clc1ccc(-c2cc(-c3ccccc3)ccc2)cc1,False
2,0,2,RIOK1_197,-8.308,Clc1ccc(-c2cc(-c3ccccc3)ccc2)cc1,False
2,0,3,RIOK1_197,-8.023,Clc1ccc(-c2cc(-c3ccccc3)ccc2)cc1,False
2,0,4,RIOK1_197,-7.893,Clc1ccc(-c2cc(-c3ccccc3)ccc2)cc1,False
3,0,0,RIOK1_40,-8.593,NCc1cc(C2CCN(CC=Cc3ccccc3)C(=O)C2)ccc1,True
3,0,1,RIOK1_40,-7.928,NCc1cc(C2CCN(CC=Cc3ccccc3)C(=O)C2)ccc1,False
3,0,2,RIOK1_40,-7.921,NCc1cc(C2CCN(CC=Cc3ccccc3)C(=O)C2)ccc1,False
3,0,3,RIOK1_40,-7.725,NCc1cc(C2CCN(CC=Cc3ccccc3)C(=O)C2)ccc1,False
3,0,4,RIOK1_40,-7.693,NCc1cc(C2CCN(CC=Cc3ccccc3)C(=O)C2)ccc1,False
4,0,0,RIOK1_527,-8.463,C=C(CCC=CC(C)CCc1ccccc1)C1=CC(C(=O)O)C(c2cc(C(F)F)ccc2)=C1,True
4,0,1,RIOK1_527,-8.35,C=C(CCC=CC(C)CCc1ccccc1)C1=CC(C(=O)O)C(c2cc(C(F)F)ccc2)=C1,False
4,0,2,RIOK1_527,-8.282,C=C(CCC=CC(C)CCc1ccccc1)C1=CC(C(=O)O)C(c2cc(C(F)F)ccc2)=C1,False
4,0,3,RIOK1_527,-8.244,C=C(CCC=CC(C)CCc1ccccc1)C1=CC(C(=O)O)C(c2cc(C(F)F)ccc2)=C1,False
4,0,4,RIOK1_527,-8.161,C=C(CCC=CC(C)CCc1ccccc1)C1=CC(C(=O)O)C(c2cc(C(F)F)ccc2)=C1,False
5,0,0,RIOK1_266,-7.44,O=C(O)CN(C(=O)CO)C(=O)c1ccc(C=Cc2c(F)ccc3cc(F)ccc23)cc1,True
5,0,1,RIOK1_266,-7.275,O=C(O)CN(C(=O)CO)C(=O)c1ccc(C=Cc2c(F)ccc3cc(F)ccc23)cc1,False
5,0,2,RIOK1_266,-7.226,O=C(O)CN(C(=O)CO)C(=O)c1ccc(C=Cc2c(F)ccc3cc(F)ccc23)cc1,False
5,0,3,RIOK1_266,-7.175,O=C(O)CN(C(=O)CO)C(=O)c1ccc(C=Cc2c(F)ccc3cc(F)ccc23)cc1,False
5,0,4,RIOK1_266,-7.079,O=C(O)CN(C(=O)CO)C(=O)c1ccc(C=Cc2c(F)ccc3cc(F)ccc23)cc1,False
6,0,0,RIOK1_913,-9.354,NC1NCC=C1CC=CCCCC(c1ccccc1)c1cccc(C(C(=O)Cl)c2ccccc2)c1,True
6,0,1,RIOK1_913,-9.133,NC1NCC=C1CC=CCCCC(c1ccccc1)c1cccc(C(C(=O)Cl)c2ccccc2)c1,False
6,0,2,RIOK1_913,-9.104,NC1NCC=C1CC=CCCCC(c1ccccc1)c1cccc(C(C(=O)Cl)c2ccccc2)c1,False
6,0,3,RIOK1_913,-8.916,NC1NCC=C1CC=CCCCC(c1ccccc1)c1cccc(C(C(=O)Cl)c2ccccc2)c1,False
6,0,4,RIOK1_913,-8.79,NC1NCC=C1CC=CCCCC(c1ccccc1)c1cccc(C(C(=O)Cl)c2ccccc2)c1,False
7,0,0,RIOK1_242,-9.252,C=C1CCc2cc(-c3ccccc3)cc(C)c2C(F)C2(C)c3ccccc3CCC12,True
7,0,1,RIOK1_242,-7.958,C=C1CCc2cc(-c3ccccc3)cc(C)c2C(F)C2(C)c3ccccc3CCC12,False
7,0,2,RIOK1_242,-7.893,C=C1CCc2cc(-c3ccccc3)cc(C)c2C(F)C2(C)c3ccccc3CCC12,False
7,0,3,RIOK1_242,-7.703,C=C1CCc2cc(-c3ccccc3)cc(C)c2C(F)C2(C)c3ccccc3CCC12,False
7,0,4,RIOK1_242,-7.447,C=C1CCc2cc(-c3ccccc3)cc(C)c2C(F)C2(C)c3ccccc3CCC12,False
8,0,0,RIOK1_957,-5.441,C#CCCc1ccccc1,True
8,0,1,RIOK1_957,-5.345,C#CCCc1ccccc1,False
8,0,2,RIOK1_957,-5.32,C#CCCc1ccccc1,False
8,0,3,RIOK1_957,-5.068,C#CCCc1ccccc1,False
8,0,4,RIOK1_957,-4.92,C#CCCc1ccccc1,False
9,0,0,RIOK1_480,-7.047,C=CC(Cc1c(C)ccc(-c2ccccc2)c1O)CC(C)P,True
9,0,1,RIOK1_480,-6.755,C=CC(Cc1c(C)ccc(-c2ccccc2)c1O)CC(C)P,False
9,0,2,RIOK1_480,-6.75,C=CC(Cc1c(C)ccc(-c2ccccc2)c1O)CC(C)P,False
9,0,3,RIOK1_480,-6.718,C=CC(Cc1c(C)ccc(-c2ccccc2)c1O)CC(C)P,False
9,0,4,RIOK1_480,-6.71,C=CC(Cc1c(C)ccc(-c2ccccc2)c1O)CC(C)P,False
10,0,0,RIOK1_799,-5.663,C=CCCCC=CC=CC(=C)C=C,True
10,0,1,RIOK1_799,-5.53,C=CCCCC=CC=CC(=C)C=C,False
10,0,2,RIOK1_799,-5.434,C=CCCCC=CC=CC(=C)C=C,False
10,0,3,RIOK1_799,-5.428,C=CCCCC=CC=CC(=C)C=C,False
10,0,4,RIOK1_799,-5.387,C=CCCCC=CC=CC(=C)C=C,False
11,0,0,RIOK1_201,-6.671,C=CC=CC=CC=Cc1cc(C)ccc1,True
11,0,1,RIOK1_201,-6.637,C=CC=CC=CC=Cc1cc(C)ccc1,False
11,0,2,RIOK1_201,-6.554,C=CC=CC=CC=Cc1cc(C)ccc1,False
11,0,3,RIOK1_201,-6.421,C=CC=CC=CC=Cc1cc(C)ccc1,False
11,0,4,RIOK1_201,-6.194,C=CC=CC=CC=Cc1cc(C)ccc1,False
12,0,0,RIOK1_65,-6.513,O=C1CCCC(Cc2ccccc2)N1,True
12,0,1,RIOK1_65,-6.391,O=C1CCCC(Cc2ccccc2)N1,False
12,0,2,RIOK1_65,-6.349,O=C1CCCC(Cc2ccccc2)N1,False
12,0,3,RIOK1_65,-6.27,O=C1CCCC(Cc2ccccc2)N1,False
12,0,4,RIOK1_65,-6.266,O=C1CCCC(Cc2ccccc2)N1,False
13,0,0,RIOK1_669,-6.688,Oc1cccc(-c2ccccc2)n1,True
13,0,1,RIOK1_669,-6.623,Oc1cccc(-c2ccccc2)n1,False
13,0,2,RIOK1_669,-6.484,Oc1cccc(-c2ccccc2)n1,False
13,0,3,RIOK1_669,-6.391,Oc1cccc(-c2ccccc2)n1,False
13,0,4,RIOK1_669,-6.157,Oc1cccc(-c2ccccc2)n1,False
14,0,0,RIOK1_663,-7.569,CC1CCN(C(=O)Cc2ccccc2)CC1c1ccccc1,True
14,0,1,RIOK1_663,-7.183,CC1CCN(C(=O)Cc2ccccc2)CC1c1ccccc1,False
14,0,2,RIOK1_663,-7.056,CC1CCN(C(=O)Cc2ccccc2)CC1c1ccccc1,False
14,0,3,RIOK1_663,-7.015,CC1CCN(C(=O)Cc2ccccc2)CC1c1ccccc1,False
14,0,4,RIOK1_663,-6.877,CC1CCN(C(=O)Cc2ccccc2)CC1c1ccccc1,False
15,0,0,RIOK1_407,-8.405,Cc1ccc(-c2cccc(C(=O)O)c2)cc1C(F)(F)F,True
15,0,1,RIOK1_407,-8.375,Cc1ccc(-c2cccc(C(=O)O)c2)cc1C(F)(F)F,False
15,0,2,RIOK1_407,-8.284,Cc1ccc(-c2cccc(C(=O)O)c2)cc1C(F)(F)F,False
15,0,3,RIOK1_407,-8.188,Cc1ccc(-c2cccc(C(=O)O)c2)cc1C(F)(F)F,False
15,0,4,RIOK1_407,-7.986,Cc1ccc(-c2cccc(C(=O)O)c2)cc1C(F)(F)F,False
17,0,0,RIOK1_640,-8.69,O=C(O)c1cccc(Cc2ccccc2Cc2ccccc2)c1,True
17,0,1,RIOK1_640,-8.582,O=C(O)c1cccc(Cc2ccccc2Cc2ccccc2)c1,False
17,0,2,RIOK1_640,-8.052,O=C(O)c1cccc(Cc2ccccc2Cc2ccccc2)c1,False
17,0,3,RIOK1_640,-7.94,O=C(O)c1cccc(Cc2ccccc2Cc2ccccc2)c1,False
17,0,4,RIOK1_640,-7.857,O=C(O)c1cccc(Cc2ccccc2Cc2ccccc2)c1,False
18,0,0,RIOK1_911,-5.848,C=CC=CC=CNc1c(Br)cccc1,True
18,0,1,RIOK1_911,-5.758,C=CC=CC=CNc1c(Br)cccc1,False
18,0,2,RIOK1_911,-5.734,C=CC=CC=CNc1c(Br)cccc1,False
18,0,3,RIOK1_911,-5.649,C=CC=CC=CNc1c(Br)cccc1,False
18,0,4,RIOK1_911,-5.581,C=CC=CC=CNc1c(Br)cccc1,False
19,0,0,RIOK1_582,-6.137,Cc1ccccc1C(F)(F)F,True
19,0,1,RIOK1_582,-6.027,Cc1ccccc1C(F)(F)F,False
19,0,2,RIOK1_582,-6.004,Cc1ccccc1C(F)(F)F,False
19,0,3,RIOK1_582,-5.983,Cc1ccccc1C(F)(F)F,False
19,0,4,RIOK1_582,-5.877,Cc1ccccc1C(F)(F)F,False
20,0,0,RIOK1_704,-3.216,CCCC=O,True
20,0,1,RIOK1_704,-3.046,CCCC=O,False
20,0,2,RIOK1_704,-3.018,CCCC=O,False
20,0,3,RIOK1_704,-2.927,CCCC=O,False
20,0,4,RIOK1_704,-2.913,CCCC=O,False
21,0,0,RIOK1_883,-7.027,ClC=C1CCCC(Cc2ccccc2)C1,True
21,0,1,RIOK1_883,-7.012,ClC=C1CCCC(Cc2ccccc2)C1,False
21,0,2,RIOK1_883,-7.0,ClC=C1CCCC(Cc2ccccc2)C1,False
21,0,3,RIOK1_883,-6.93,ClC=C1CCCC(Cc2ccccc2)C1,False
21,0,4,RIOK1_883,-6.822,ClC=C1CCCC(Cc2ccccc2)C1,False
22,0,0,RIOK1_390,-5.428,NC=NCc1cccc(C=O)c1,True
22,0,1,RIOK1_390,-5.41,NC=NCc1cccc(C=O)c1,False
22,0,2,RIOK1_390,-5.362,NC=NCc1cccc(C=O)c1,False
22,0,3,RIOK1_390,-5.349,NC=NCc1cccc(C=O)c1,False
22,0,4,RIOK1_390,-5.185,NC=NCc1cccc(C=O)c1,False
23,0,0,RIOK1_20,-8.483,c1ccc(CCc2cccc(Cc3ccccc3)c2)cc1,True
23,0,1,RIOK1_20,-8.391,c1ccc(CCc2cccc(Cc3ccccc3)c2)cc1,False
23,0,2,RIOK1_20,-8.108,c1ccc(CCc2cccc(Cc3ccccc3)c2)cc1,False
23,0,3,RIOK1_20,-7.899,c1ccc(CCc2cccc(Cc3ccccc3)c2)cc1,False
23,0,4,RIOK1_20,-7.728,c1ccc(CCc2cccc(Cc3ccccc3)c2)cc1,False
24,0,0,RIOK1_912,-7.587,CC(CC#N)CNC(=O)C1CCc2c(cc(C(F)(F)F)cc2)C1,True
24,0,1,RIOK1_912,-7.411,CC(CC#N)CNC(=O)C1CCc2c(cc(C(F)(F)F)cc2)C1,False
24,0,2,RIOK1_912,-7.402,CC(CC#N)CNC(=O)C1CCc2c(cc(C(F)(F)F)cc2)C1,False
24,0,3,RIOK1_912,-7.299,CC(CC#N)CNC(=O)C1CCc2c(cc(C(F)(F)F)cc2)C1,False
24,0,4,RIOK1_912,-7.133,CC(CC#N)CNC(=O)C1CCc2c(cc(C(F)(F)F)cc2)C1,False
25,0,0,RIOK1_342,-9.699,CN=Cc1ccc(-c2ccc(NCc3cc(C)c(Cc4cc5ccccc5cc4)cc3)cc2)cc1,True
25,0,1,RIOK1_342,-9.69,CN=Cc1ccc(-c2ccc(NCc3cc(C)c(Cc4cc5ccccc5cc4)cc3)cc2)cc1,False
25,0,2,RIOK1_342,-9.458,CN=Cc1ccc(-c2ccc(NCc3cc(C)c(Cc4cc5ccccc5cc4)cc3)cc2)cc1,False
25,0,3,RIOK1_342,-9.36,CN=Cc1ccc(-c2ccc(NCc3cc(C)c(Cc4cc5ccccc5cc4)cc3)cc2)cc1,False
25,0,4,RIOK1_342,-9.211,CN=Cc1ccc(-c2ccc(NCc3cc(C)c(Cc4cc5ccccc5cc4)cc3)cc2)cc1,False
26,0,0,RIOK1_921,-7.436,CC=CC=Cc1cccc2ccccc12,True
26,0,1,RIOK1_921,-7.093,CC=CC=Cc1cccc2ccccc12,False
26,0,2,RIOK1_921,-6.809,CC=CC=Cc1cccc2ccccc12,False
26,0,3,RIOK1_921,-6.705,CC=CC=Cc1cccc2ccccc12,False
26,0,4,RIOK1_921,-6.674,CC=CC=Cc1cccc2ccccc12,False
27,0,0,RIOK1_53,-8.86,CC(C)C(C)(C)Cc1cc(-c2cccc(F)c2)cc(-c2ccccc2)c1,True
27,0,1,RIOK1_53,-8.842,CC(C)C(C)(C)Cc1cc(-c2cccc(F)c2)cc(-c2ccccc2)c1,False
27,0,2,RIOK1_53,-8.808,CC(C)C(C)(C)Cc1cc(-c2cccc(F)c2)cc(-c2ccccc2)c1,False
27,0,3,RIOK1_53,-8.706,CC(C)C(C)(C)Cc1cc(-c2cccc(F)c2)cc(-c2ccccc2)c1,False
27,0,4,RIOK1_53,-8.65,CC(C)C(C)(C)Cc1cc(-c2cccc(F)c2)cc(-c2ccccc2)c1,False
28,0,0,RIOK1_511,-9.529,CC1CCC23CCCCC2CC(c2cc4ccc(-c5ccccc5)cc4c(N)n2)CC32OC=CC12,True
