ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,SPIN1_702,-9.388,CCCCC=CC=CC1c2ccccc2Oc2cc(Cc3ccccc3)cc3c2OC1C=CC=C3,True
0,0,1,SPIN1_702,-9.21,CCCCC=CC=CC1c2ccccc2Oc2cc(Cc3ccccc3)cc3c2OC1C=CC=C3,False
0,0,2,SPIN1_702,-8.942,CCCCC=CC=CC1c2ccccc2Oc2cc(Cc3ccccc3)cc3c2OC1C=CC=C3,False
0,0,3,SPIN1_702,-8.909,CCCCC=CC=CC1c2ccccc2Oc2cc(Cc3ccccc3)cc3c2OC1C=CC=C3,False
0,0,4,SPIN1_702,-8.683,CCCCC=CC=CC1c2ccccc2Oc2cc(Cc3ccccc3)cc3c2OC1C=CC=C3,False
1,0,0,SPIN1_880,-9.701,C=Cc1cccc(-c2ccc(Cc3cc(CCc4ccccc4)ccc3)cc2)c1,True
1,0,1,SPIN1_880,-9.687,C=Cc1cccc(-c2ccc(Cc3cc(CCc4ccccc4)ccc3)cc2)c1,False
1,0,2,SPIN1_880,-9.676,C=Cc1cccc(-c2ccc(Cc3cc(CCc4ccccc4)ccc3)cc2)c1,False
1,0,3,SPIN1_880,-9.662,C=Cc1cccc(-c2ccc(Cc3cc(CCc4ccccc4)ccc3)cc2)c1,False
1,0,4,SPIN1_880,-9.657,C=Cc1cccc(-c2ccc(Cc3cc(CCc4ccccc4)ccc3)cc2)c1,False
2,0,0,SPIN1_610,-9.628,C(=CCc1ccccc1)COC1CCc2cc3ccccc3cc2C1,True
2,0,1,SPIN1_610,-9.489,C(=CCc1ccccc1)COC1CCc2cc3ccccc3cc2C1,False
2,0,2,SPIN1_610,-9.425,C(=CCc1ccccc1)COC1CCc2cc3ccccc3cc2C1,False
2,0,3,SPIN1_610,-9.295,C(=CCc1ccccc1)COC1CCc2cc3ccccc3cc2C1,False
2,0,4,SPIN1_610,-9.252,C(=CCc1ccccc1)COC1CCc2cc3ccccc3cc2C1,False
3,0,0,SPIN1_863,-10.576,C=Cc1cc(OC(C)Cc2ccccc2C=C(C)c2cccc(C)c2)cc(O)c1-c1ccccc1,True
3,0,1,SPIN1_863,-10.429,C=Cc1cc(OC(C)Cc2ccccc2C=C(C)c2cccc(C)c2)cc(O)c1-c1ccccc1,False
3,0,2,SPIN1_863,-10.303,C=Cc1cc(OC(C)Cc2ccccc2C=C(C)c2cccc(C)c2)cc(O)c1-c1ccccc1,False
3,0,3,SPIN1_863,-10.226,C=Cc1cc(OC(C)Cc2ccccc2C=C(C)c2cccc(C)c2)cc(O)c1-c1ccccc1,False
3,0,4,SPIN1_863,-10.063,C=Cc1cc(OC(C)Cc2ccccc2C=C(C)c2cccc(C)c2)cc(O)c1-c1ccccc1,False
4,0,0,SPIN1_184,-7.984,CCC=Cc1ccccc1,True
4,0,1,SPIN1_184,-7.778,CCC=Cc1ccccc1,False
4,0,2,SPIN1_184,-6.991,CCC=Cc1ccccc1,False
4,0,3,SPIN1_184,-6.927,CCC=Cc1ccccc1,False
4,0,4,SPIN1_184,-6.202,CCC=Cc1ccccc1,False
5,0,0,SPIN1_365,-8.502,OC1OC(c2c3cc(C(F)(F)F)ccc3ccc2)NC=C1F,True
5,0,1,SPIN1_365,-8.286,OC1OC(c2c3cc(C(F)(F)F)ccc3ccc2)NC=C1F,False
5,0,2,SPIN1_365,-8.027,OC1OC(c2c3cc(C(F)(F)F)ccc3ccc2)NC=C1F,False
5,0,3,SPIN1_365,-7.56,OC1OC(c2c3cc(C(F)(F)F)ccc3ccc2)NC=C1F,False
5,0,4,SPIN1_365,-7.517,OC1OC(c2c3cc(C(F)(F)F)ccc3ccc2)NC=C1F,False
6,0,0,SPIN1_823,-10.038,CC=CC#Cc1ccc2cc(-c3ccccc3)ccc2c1,True
6,0,1,SPIN1_823,-10.01,CC=CC#Cc1ccc2cc(-c3ccccc3)ccc2c1,False
6,0,2,SPIN1_823,-8.85,CC=CC#Cc1ccc2cc(-c3ccccc3)ccc2c1,False
6,0,3,SPIN1_823,-8.537,CC=CC#Cc1ccc2cc(-c3ccccc3)ccc2c1,False
6,0,4,SPIN1_823,-8.096,CC=CC#Cc1ccc2cc(-c3ccccc3)ccc2c1,False
7,0,0,SPIN1_18,-7.991,OC(=NC=Cc1ccccc1)c1ccccc1,True
7,0,1,SPIN1_18,-7.866,OC(=NC=Cc1ccccc1)c1ccccc1,False
