ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,CCR9_722,-9.236,O=S(=O)(Nc1nc(CO)cs1)c1cc2ccccc2s1,True
0,0,1,CCR9_722,-8.952,O=S(=O)(Nc1nc(CO)cs1)c1cc2ccccc2s1,False
0,0,2,CCR9_722,-8.809,O=S(=O)(Nc1nc(CO)cs1)c1cc2ccccc2s1,False
0,0,3,CCR9_722,-8.396,O=S(=O)(Nc1nc(CO)cs1)c1cc2ccccc2s1,False
0,0,4,CCR9_722,-7.895,O=S(=O)(Nc1nc(CO)cs1)c1cc2ccccc2s1,False
1,0,0,CCR9_197,-9.247,CC(C)(C)c1cccc(S(=O)(=O)Nc2ccccc2NS(=O)(=O)c2ccc(Cl)s2)c1,True
1,0,1,CCR9_197,-9.105,CC(C)(C)c1cccc(S(=O)(=O)Nc2ccccc2NS(=O)(=O)c2ccc(Cl)s2)c1,False
1,0,2,CCR9_197,-9.093,CC(C)(C)c1cccc(S(=O)(=O)Nc2ccccc2NS(=O)(=O)c2ccc(Cl)s2)c1,False
1,0,3,CCR9_197,-8.895,CC(C)(C)c1cccc(S(=O)(=O)Nc2ccccc2NS(=O)(=O)c2ccc(Cl)s2)c1,False
1,0,4,CCR9_197,-8.334,CC(C)(C)c1cccc(S(=O)(=O)Nc2ccccc2NS(=O)(=O)c2ccc(Cl)s2)c1,False
2,0,0,CCR9_383,-4.831,CC(C)(C)c1ccc(NC(=O)NC(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,True
2,0,1,CCR9_383,-4.499,CC(C)(C)c1ccc(NC(=O)NC(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,False
2,0,2,CCR9_383,-1.971,CC(C)(C)c1ccc(NC(=O)NC(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,False
3,0,0,CCR9_612,-6.026,CC(C)(C)c1ccc(S(=O)(=O)N2CCc3ccc(-c4ccc(Cl)cc4)cc3C2=O)cc1,True
3,0,1,CCR9_612,-3.742,CC(C)(C)c1ccc(S(=O)(=O)N2CCc3ccc(-c4ccc(Cl)cc4)cc3C2=O)cc1,False
4,0,0,CCR9_664,-11.237,CC(C)(C)c1ccc(NS(=O)(=O)c2ccc(Cl)cc2Cl)cc1,True
4,0,1,CCR9_664,-10.819,CC(C)(C)c1ccc(NS(=O)(=O)c2ccc(Cl)cc2Cl)cc1,False
4,0,2,CCR9_664,-9.359,CC(C)(C)c1ccc(NS(=O)(=O)c2ccc(Cl)cc2Cl)cc1,False
4,0,3,CCR9_664,-8.747,CC(C)(C)c1ccc(NS(=O)(=O)c2ccc(Cl)cc2Cl)cc1,False
5,0,0,CCR9_634,-9.735,CC(C)(C)c1ccc(Cl)cc1NS(=O)(=O)NC(=O)c1ccc(Cl)c(Cl)c1,True
5,0,1,CCR9_634,-8.921,CC(C)(C)c1ccc(Cl)cc1NS(=O)(=O)NC(=O)c1ccc(Cl)c(Cl)c1,False
